tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,control,value,channel,program,note,velocity
0,time_signature,4,4,24,8,0,1,0,,,,,,,,
0,note_on,,,,,0,0,1,,,,,0,,73,92
0,program_change,,,,,0,0,1,,,,,0,0,,
0,track_name,,,,,0,1,1,,,,,,,,
0,control_change,,,,,0,0,1,,,7,100,1,,,
0,control_change,,,,,0,0,1,,,10,30,1,,,
0,control_change,,,,,0,0,1,,,91,60,1,,,
0,control_change,,,,,0,0,1,,,121,0,1,,,
0,control_change,,,,,0,0,1,,,7,100,0,,,
0,control_change,,,,,0,0,1,,,91,60,0,,,
0,control_change,,,,,0,0,1,,,10,90,0,,,
0,set_tempo,,,,,0,1,0,,138888,,,,,,
0,key_signature,,,,,0,1,0,C,,,,,,,
0,time_signature,3,4,24,8,0,1,0,,,,,,,,
0,control_change,,,,,0,0,1,,,121,0,0,,,
256,note_on,,,,,256,0,1,,,,,0,,73,0
256,note_on,,,,,0,0,1,,,,,0,,73,93
512,note_on,,,,,0,0,1,,,,,0,,73,98
512,note_on,,,,,256,0,1,,,,,0,,73,0
768,note_on,,,,,0,0,1,,,,,0,,73,97
768,note_on,,,,,256,0,1,,,,,0,,73,0
1280,note_on,,,,,512,0,1,,,,,0,,73,0
1280,note_on,,,,,0,0,1,,,,,0,,73,98
1536,note_on,,,,,256,0,1,,,,,0,,73,0
1536,note_on,,,,,0,0,1,,,,,0,,72,93
2048,note_on,,,,,0,0,1,,,,,0,,72,95
2048,note_on,,,,,512,0,1,,,,,0,,72,0
2304,note_on,,,,,256,0,1,,,,,0,,72,0
2304,note_on,,,,,0,0,1,,,,,0,,66,79
3072,note_on,,,,,768,0,1,,,,,0,,66,0
3072,note_on,,,,,0,0,1,,,,,0,,72,108
3328,note_on,,,,,256,0,1,,,,,0,,72,0
3328,note_on,,,,,0,0,1,,,,,0,,72,101
3584,note_on,,,,,0,0,1,,,,,0,,72,102
3584,note_on,,,,,256,0,1,,,,,0,,72,0
3840,note_on,,,,,256,0,1,,,,,0,,72,0
3840,note_on,,,,,0,0,1,,,,,0,,72,93
4352,note_on,,,,,0,0,1,,,,,0,,72,96
4352,note_on,,,,,512,0,1,,,,,0,,72,0
4608,note_on,,,,,0,0,1,,,,,0,,70,88
4608,note_on,,,,,256,0,1,,,,,0,,72,0
5120,note_on,,,,,512,0,1,,,,,0,,70,0
5120,note_on,,,,,0,0,1,,,,,0,,70,95
5376,note_on,,,,,256,0,1,,,,,0,,70,0
5376,note_on,,,,,0,0,1,,,,,0,,81,118
6144,note_on,,,,,768,0,1,,,,,0,,81,0
6144,note_on,,,,,0,0,1,,,,,0,,96,111
6144,note_on,,,,,0,0,1,,,,,1,,35,90
6144,program_change,,,,,0,0,1,,,,,1,0,,
6400,note_on,,,,,256,0,1,,,,,0,,96,0
6400,note_on,,,,,0,0,1,,,,,1,,35,0
6400,note_on,,,,,0,0,1,,,,,1,,52,111
6400,note_on,,,,,0,0,1,,,,,0,,83,70
6656,note_on,,,,,0,0,1,,,,,1,,36,86
6656,note_on,,,,,256,0,1,,,,,0,,83,0
6656,note_on,,,,,0,0,1,,,,,0,,77,80
6656,note_on,,,,,0,0,1,,,,,1,,52,0
6912,note_on,,,,,0,0,1,,,,,0,,88,121
6912,note_on,,,,,0,0,1,,,,,1,,53,106
6912,note_on,,,,,0,0,1,,,,,1,,36,0
6912,note_on,,,,,256,0,1,,,,,0,,77,0
7168,note_on,,,,,0,0,1,,,,,1,,53,0
7168,note_on,,,,,0,0,1,,,,,0,,83,91
7168,note_on,,,,,256,0,1,,,,,0,,88,0
7168,note_on,,,,,0,0,1,,,,,1,,38,87
7424,note_on,,,,,256,0,1,,,,,0,,83,0
7424,note_on,,,,,0,0,1,,,,,0,,93,114
7424,note_on,,,,,0,0,1,,,,,1,,38,0
7424,note_on,,,,,0,0,1,,,,,1,,55,109
7680,note_on,,,,,0,0,1,,,,,1,,55,0
7680,note_on,,,,,0,0,1,,,,,1,,40,86
7680,note_on,,,,,0,0,1,,,,,0,,77,72
7680,note_on,,,,,256,0,1,,,,,0,,93,0
7936,note_on,,,,,0,0,1,,,,,1,,57,107
7936,note_on,,,,,0,0,1,,,,,1,,40,0
7936,note_on,,,,,256,0,1,,,,,0,,77,0
7936,note_on,,,,,0,0,1,,,,,0,,81,102
8192,note_on,,,,,256,0,1,,,,,0,,81,0
8192,note_on,,,,,0,0,1,,,,,0,,91,121
8192,note_on,,,,,0,0,1,,,,,1,,57,0
8192,note_on,,,,,0,0,1,,,,,1,,41,86
8448,note_on,,,,,0,0,1,,,,,0,,88,93
8448,note_on,,,,,0,0,1,,,,,1,,59,108
8448,note_on,,,,,256,0,1,,,,,0,,91,0
8448,note_on,,,,,0,0,1,,,,,1,,41,0
8704,note_on,,,,,256,0,1,,,,,0,,88,0
8704,note_on,,,,,0,0,1,,,,,1,,43,88
8704,note_on,,,,,0,0,1,,,,,0,,83,82
8704,note_on,,,,,0,0,1,,,,,1,,59,0
8960,note_on,,,,,0,0,1,,,,,1,,60,119
8960,note_on,,,,,0,0,1,,,,,1,,43,0
8960,note_on,,,,,0,0,1,,,,,0,,74,78
8960,note_on,,,,,256,0,1,,,,,0,,83,0
9216,note_on,,,,,256,0,1,,,,,0,,74,0
