tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,control,value,channel,program,note,velocity
0,time_signature,4,4,24,8,0,1,0,,,,,,,,
0,note_on,,,,,0,0,1,,,,,0,,36,64
0,note_on,,,,,0,0,1,,,,,0,,60,66
0,program_change,,,,,0,0,1,,,,,0,0,,
0,track_name,,,,,0,1,1,,,,,,,,
0,control_change,,,,,0,0,1,,,7,100,0,,,
0,control_change,,,,,0,0,1,,,10,30,0,,,
0,control_change,,,,,0,0,1,,,91,60,0,,,
0,control_change,,,,,0,0,1,,,121,0,0,,,
0,control_change,,,,,0,0,1,,,7,100,0,,,
0,control_change,,,,,0,0,1,,,91,60,0,,,
0,control_change,,,,,0,0,1,,,121,0,0,,,
0,control_change,,,,,0,0,1,,,10,90,0,,,
0,set_tempo,,,,,0,1,0,,576923,,,,,,
0,key_signature,,,,,0,1,0,C,,,,,,,
0,time_signature,4,4,24,8,0,1,0,,,,,,,,
256,note_on,,,,,0,0,1,,,,,0,,43,78
256,note_on,,,,,256,0,1,,,,,0,,60,0
256,note_on,,,,,0,0,1,,,,,0,,62,73
256,note_on,,,,,0,0,1,,,,,0,,36,0
512,note_on,,,,,0,0,1,,,,,0,,43,0
512,note_on,,,,,0,0,1,,,,,0,,37,62
512,note_on,,,,,0,0,1,,,,,0,,63,74
512,note_on,,,,,256,0,1,,,,,0,,62,0
640,note_on,,,,,128,0,1,,,,,0,,63,0
640,note_on,,,,,0,0,1,,,,,0,,65,75
768,note_on,,,,,0,0,1,,,,,0,,66,76
768,note_on,,,,,0,0,1,,,,,0,,37,0
768,note_on,,,,,0,0,1,,,,,0,,48,80
768,note_on,,,,,128,0,1,,,,,0,,65,0
896,note_on,,,,,128,0,1,,,,,0,,66,0
896,note_on,,,,,0,0,1,,,,,0,,67,74
1024,note_on,,,,,0,0,1,,,,,0,,38,71
1024,note_on,,,,,0,0,1,,,,,0,,72,80
1024,note_on,,,,,128,0,1,,,,,0,,67,0
1024,note_on,,,,,0,0,1,,,,,0,,48,0
1792,note_on,,,,,768,0,1,,,,,0,,48,62
1920,note_on,,,,,0,0,1,,,,,0,,48,78
1920,note_on,,,,,128,0,1,,,,,0,,48,0
2048,note_on,,,,,0,0,1,,,,,0,,50,79
2048,note_on,,,,,128,0,1,,,,,0,,48,0
2176,note_on,,,,,0,0,1,,,,,0,,48,77
2176,note_on,,,,,128,0,1,,,,,0,,50,0
2304,note_on,,,,,128,0,1,,,,,0,,48,0
2304,note_on,,,,,0,0,1,,,,,0,,48,76
2432,note_on,,,,,0,0,1,,,,,0,,48,82
2432,note_on,,,,,128,0,1,,,,,0,,48,0
