tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,note,velocity,channel,control,value
0,time_signature,4,4,24,8,0,1,0,,,,,,
0,end_of_track,,,,,0,1,5,,,,,,
0,track_name,,,,,0,1,5,,,,,,
0,end_of_track,,,,,0,1,4,,,,,,
0,track_name,,,,,0,1,4,,,,,,
0,end_of_track,,,,,0,1,3,,,,,,
0,track_name,,,,,0,1,3,,,,,,
0,end_of_track,,,,,0,1,2,,,,,,
0,track_name,,,,,0,1,2,,,,,,
0,track_name,,,,,0,1,6,,,,,,
0,end_of_track,,,,,0,1,6,,,,,,
0,note_on,,,,,0,0,1,,46,70,0,,
0,track_name,,,,,0,1,1,,,,,,
0,end_of_track,,,,,0,1,0,,,,,,
0,set_tempo,,,,,0,1,0,500000,,,,,
50,note_on,,,,,50,0,1,,46,0,0,,
125,note_on,,,,,75,0,1,,70,93,0,,
137,note_on,,,,,12,0,1,,62,53,0,,
142,note_on,,,,,5,0,1,,58,49,0,,
153,control_change,,,,,11,0,1,,,,0,64,0
170,note_on,,,,,17,0,1,,70,0,0,,
173,note_on,,,,,3,0,1,,62,0,0,,
177,note_on,,,,,4,0,1,,58,0,0,,
252,note_on,,,,,75,0,1,,72,61,0,,
272,note_on,,,,,20,0,1,,62,39,0,,
273,note_on,,,,,1,0,1,,58,42,0,,
286,note_on,,,,,13,0,1,,72,0,0,,
292,note_on,,,,,6,0,1,,62,0,0,,
306,note_on,,,,,14,0,1,,58,0,0,,
388,note_on,,,,,82,0,1,,74,59,0,,
400,note_on,,,,,12,0,1,,62,42,0,,
401,note_on,,,,,1,0,1,,58,45,0,,
413,note_on,,,,,12,0,1,,74,0,0,,
421,note_on,,,,,8,0,1,,62,0,0,,
435,note_on,,,,,14,0,1,,58,0,0,,
520,note_on,,,,,85,0,1,,75,54,0,,
533,note_on,,,,,13,0,1,,62,51,0,,
541,note_on,,,,,8,0,1,,58,44,0,,
547,note_on,,,,,6,0,1,,75,0,0,,
550,note_on,,,,,3,0,1,,62,0,0,,
581,note_on,,,,,31,0,1,,58,0,0,,
655,note_on,,,,,74,0,1,,77,64,0,,
667,control_change,,,,,12,0,1,,,,0,64,127
670,note_on,,,,,3,0,1,,46,68,0,,
713,note_on,,,,,43,0,1,,46,0,0,,
800,control_change,,,,,87,0,1,,,,0,64,0
803,note_on,,,,,3,0,1,,62,51,0,,
806,note_on,,,,,3,0,1,,58,47,0,,
