tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,program,note,velocity,pitch
0,track_name,0,1,0,,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,0,0,1,,,,
0,control_change,0,0,2,,,,,,,32,0,1,,,,
0,program_change,0,0,2,,,,,,,,,1,0,,,
0,control_change,0,0,2,,,,,,,10,64,1,,,,
0,control_change,0,0,2,,,,,,,64,0,1,,,,
0,control_change,0,0,2,,,,,,,7,117,1,,,,
0,control_change,0,0,2,,,,,,,93,28,1,,,,
0,control_change,0,0,2,,,,,,,91,91,1,,,,
0,control_change,0,0,4,,,,,,,10,55,3,,,,
0,control_change,0,0,4,,,,,,,0,0,3,,,,
0,control_change,0,0,4,,,,,,,32,0,3,,,,
0,program_change,0,0,4,,,,,,,,,3,0,,,
0,control_change,0,0,4,,,,,,,7,117,3,,,,
0,control_change,0,0,4,,,,,,,1,0,3,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,93,28,2,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,93,28,0,,,,
0,control_change,0,0,1,,,,,,,7,127,0,,,,
0,control_change,0,0,1,,,,,,,64,0,0,,,,
0,control_change,0,0,1,,,,,,,10,73,0,,,,
0,control_change,0,0,1,,,,,,,0,0,0,,,,
0,control_change,0,0,1,,,,,,,32,0,0,,,,
0,control_change,0,0,1,,,,,,,91,91,0,,,,
0,program_change,0,0,1,,,,,,,,,0,0,,,
0,control_change,0,0,3,,,,,,,91,91,2,,,,
0,control_change,0,0,3,,,,,,,7,112,2,,,,
0,control_change,0,0,3,,,,,,,10,64,2,,,,
0,program_change,0,0,3,,,,,,,,,2,0,,,
0,control_change,0,0,3,,,,,,,32,0,2,,,,
0,control_change,0,0,3,,,,,,,0,0,2,,,,
0,control_change,0,0,4,,,,,,,93,28,3,,,,
0,control_change,0,0,4,,,,,,,91,91,3,,,,
0,control_change,0,0,3,,,,,,,64,0,2,,,,
0,time_signature,0,1,0,3,4,24,8,,,,,,,,,
0,key_signature,0,1,0,,,,,C,,,,,,,,
0,set_tempo,0,1,0,,,,,,500000,,,,,,,
0,marker,0,1,0,,,,,,,,,,,,,
10,control_change,10,0,4,,,,,,,64,0,3,,,,
1440,set_tempo,1440,1,0,,,,,,324324,,,,,,,
1440,note_on,0,0,2,,,,,,,,,1,,58,59,
1440,note_on,1440,0,1,,,,,,,,,0,,67,59,
1440,note_on,1430,0,4,,,,,,,,,3,,39,54,
1440,note_on,1440,0,2,,,,,,,,,1,,63,59,
1440,marker,0,1,0,,,,,,,,,,,,,
1680,note_on,1680,0,3,,,,,,,,,2,,51,49,
1920,note_on,0,0,3,,,,,,,,,2,,51,47,
1920,note_off,240,0,3,,,,,,,,,2,,51,0,
2160,note_off,240,0,3,,,,,,,,,2,,51,0,
2160,note_on,0,0,3,,,,,,,,,2,,51,46,
2400,note_on,0,0,3,,,,,,,,,2,,51,45,
2400,note_off,240,0,3,,,,,,,,,2,,51,0,
2640,note_on,0,0,3,,,,,,,,,2,,51,44,
2640,note_off,240,0,3,,,,,,,,,2,,51,0,
2880,note_on,0,0,2,,,,,,,,,1,,55,41,
2880,note_off,240,0,3,,,,,,,,,2,,51,0,
2880,marker,1440,1,0,,,,,,,,,,,,,
2880,note_on,0,0,1,,,,,,,,,0,,63,41,
2880,note_on,0,0,3,,,,,,,,,2,,51,42,
2880,note_off,0,0,2,,,,,,,,,1,,63,0,
2880,note_off,1440,0,2,,,,,,,,,1,,58,0,
2880,note_off,1440,0,1,,,,,,,,,0,,67,0,
2880,note_on,0,0,2,,,,,,,,,1,,58,41,
3120,note_off,240,0,3,,,,,,,,,2,,51,0,
3120,note_on,0,0,3,,,,,,,,,2,,51,41,
3360,note_off,0,0,2,,,,,,,,,1,,58,0,
3360,note_off,480,0,2,,,,,,,,,1,,55,0,
3360,note_off,480,0,1,,,,,,,,,0,,63,0,
3360,note_off,240,0,3,,,,,,,,,2,,51,0,
3360,note_on,0,0,3,,,,,,,,,2,,51,40,
3600,note_off,240,0,3,,,,,,,,,2,,51,0,
3600,note_on,0,0,3,,,,,,,,,2,,51,39,
3840,note_off,240,0,3,,,,,,,,,2,,51,0,
3840,note_on,0,0,3,,,,,,,,,2,,51,37,
4080,note_off,240,0,3,,,,,,,,,2,,51,0,
4080,note_on,0,0,3,,,,,,,,,2,,51,36,
4200,set_tempo,1320,1,0,,,,,,327868,,,,,,,
4261,note_off,2821,0,4,,,,,,,,,3,,39,0,
4320,note_off,240,0,3,,,,,,,,,2,,51,0,
4320,note_on,0,0,1,,,,,,,,,0,,67,70,
4320,note_on,960,0,1,,,,,,,,,0,,70,70,
4320,note_on,960,0,2,,,,,,,,,1,,58,70,
4320,note_on,0,0,2,,,,,,,,,1,,63,70,
4320,set_tempo,120,1,0,,,,,,324324,,,,,,,
4320,note_on,59,0,4,,,,,,,,,3,,39,57,
4320,marker,0,1,0,,,,,,,,,,,,,
4560,note_on,240,0,3,,,,,,,,,2,,51,51,
4800,note_off,240,0,3,,,,,,,,,2,,51,0,
4800,note_on,0,0,3,,,,,,,,,2,,51,50,
5040,note_off,240,0,3,,,,,,,,,2,,51,0,
5040,note_on,0,0,3,,,,,,,,,2,,51,49,
5280,note_on,0,0,3,,,,,,,,,2,,51,48,
5280,note_off,240,0,3,,,,,,,,,2,,51,0,
5520,note_off,240,0,3,,,,,,,,,2,,51,0,
5520,note_on,0,0,3,,,,,,,,,2,,51,47,
5760,note_off,240,0,3,,,,,,,,,2,,51,0,
5760,note_on,0,0,1,,,,,,,,,0,,67,52,
5760,note_off,0,0,1,,,,,,,,,0,,70,0,
5760,note_on,0,0,2,,,,,,,,,1,,58,50,
5760,note_on,0,0,2,,,,,,,,,1,,55,50,
5760,note_off,0,0,2,,,,,,,,,1,,58,0,
5760,note_off,1440,0,2,,,,,,,,,1,,63,0,
5760,marker,1440,1,0,,,,,,,,,,,,,
5760,note_on,0,0,2,,,,,,,,,1,,63,50,
5760,note_off,1440,0,1,,,,,,,,,0,,67,0,
5760,note_on,0,0,3,,,,,,,,,2,,51,46,
6000,note_off,240,0,3,,,,,,,,,2,,51,0,
6000,note_on,0,0,3,,,,,,,,,2,,51,45,
6240,note_off,480,0,1,,,,,,,,,0,,67,0,
6240,note_off,480,0,2,,,,,,,,,1,,63,0,
6240,note_off,0,0,2,,,,,,,,,1,,58,0,
6240,note_off,0,0,2,,,,,,,,,1,,55,0,
6240,note_on,0,0,3,,,,,,,,,2,,51,44,
6240,note_off,240,0,3,,,,,,,,,2,,51,0,
6480,note_on,0,0,3,,,,,,,,,2,,51,43,
