tick,type,time,meta,track,data,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,control,value,channel,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,,
0,end_of_track,0,1,3,,,,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,,,7,100,2,,,
0,midi_port,0,1,3,,,,,,,,0,,,,,,
0,note_on,0,0,2,,,,,,,,,,,1,,54,70
0,control_change,0,0,2,,,,,,,,,7,100,1,,,
0,control_change,0,0,2,,,,,,,,,32,0,1,,,
0,midi_port,0,1,4,,,,,,,,0,,,,,,
0,control_change,0,0,2,,,,,,,,,0,0,1,,,
0,program_change,0,0,2,,,,,,,,,,,1,0,,
0,midi_port,0,1,2,,,,,,,,0,,,,,,
0,control_change,0,0,10,,,,,,,,,7,100,9,,,
0,program_change,0,0,1,,,,,,,,,,,0,0,,
0,control_change,0,0,1,,,,,,,,,7,100,0,,,
0,control_change,0,0,1,,,,,,,,,32,0,0,,,
0,program_change,0,0,2,,,,,,,,,,,1,0,,
0,control_change,0,0,4,,,,,,,,,7,100,3,,,
0,end_of_track,0,1,4,,,,,,,,,,,,,,
0,midi_port,0,1,5,,,,,,,,0,,,,,,
0,midi_port,0,1,10,,,,,,,,0,,,,,,
0,end_of_track,0,1,9,,,,,,,,,,,,,,
0,control_change,0,0,9,,,,,,,,,7,100,8,,,
0,midi_port,0,1,9,,,,,,,,0,,,,,,
0,end_of_track,0,1,8,,,,,,,,,,,,,,
0,control_change,0,0,8,,,,,,,,,7,100,7,,,
0,midi_port,0,1,8,,,,,,,,0,,,,,,
0,end_of_track,0,1,7,,,,,,,,,,,,,,
0,control_change,0,0,7,,,,,,,,,7,100,6,,,
0,midi_port,0,1,7,,,,,,,,0,,,,,,
0,end_of_track,0,1,6,,,,,,,,,,,,,,
0,control_change,0,0,6,,,,,,,,,7,100,5,,,
0,midi_port,0,1,6,,,,,,,,0,,,,,,
0,end_of_track,0,1,5,,,,,,,,,,,,,,
0,control_change,0,0,5,,,,,,,,,7,100,4,,,
0,control_change,0,0,1,,,,,,,,,0,0,0,,,
0,midi_port,0,1,1,,,,,,,,0,,,,,,
0,end_of_track,0,1,10,,,,,,,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,
0,sequencer_specific,0,1,0,"(0, 0, 65)",,,,,,,,,,,,,
0,time_signature,0,1,0,,4,4,24,8,,,,,,,,,
0,key_signature,0,1,0,,,,,,D,,,,,,,,
0,set_tempo,0,1,0,,,,,,,545455,,,,,,,
