tick,type,time,meta,track,data,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,control,value,channel,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,,0,0,1,,,
0,control_change,0,0,2,,,,,,,,,32,0,1,,,
0,program_change,0,0,2,,,,,,,,,,,1,0,,
0,control_change,0,0,2,,,,,,,,,7,72,1,,,
0,track_name,0,1,2,,,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,,,,,0,0,,
0,control_change,0,0,1,,,,,,,,,7,72,0,,,
0,control_change,0,0,1,,,,,,,,,32,0,0,,,
0,control_change,0,0,1,,,,,,,,,0,0,0,,,
0,track_name,0,1,1,,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,,0,,,,,,
0,midi_port,0,1,2,,,,,,,,0,,,,,,
0,time_signature,0,1,0,,2,4,24,8,,,,,,,,,
0,key_signature,0,1,0,,,,,,Bb,,,,,,,,
0,sequencer_specific,0,1,0,"(0, 0, 65)",,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,,1090909,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,
60,note_on,60,0,1,,,,,,,,,,,0,,75,80
120,note_on,60,0,1,,,,,,,,,,,0,,75,0
120,note_on,0,0,1,,,,,,,,,,,0,,74,81
180,note_on,60,0,1,,,,,,,,,,,0,,74,0
180,note_on,0,0,1,,,,,,,,,,,0,,69,81
240,note_on,60,0,1,,,,,,,,,,,0,,69,0
240,note_on,0,0,1,,,,,,,,,,,0,,72,82
300,note_on,60,0,1,,,,,,,,,,,0,,72,0
300,note_on,0,0,1,,,,,,,,,,,0,,70,86
345,note_on,45,0,1,,,,,,,,,,,0,,70,0
345,note_on,0,0,1,,,,,,,,,,,0,,69,82
359,note_on,14,0,1,,,,,,,,,,,0,,69,0
360,note_on,1,0,1,,,,,,,,,,,0,,70,83
420,note_on,60,0,1,,,,,,,,,,,0,,70,0
420,note_on,0,0,1,,,,,,,,,,,0,,69,83
480,note_on,0,0,1,,,,,,,,,,,0,,67,84
480,note_on,60,0,1,,,,,,,,,,,0,,69,0
540,note_on,60,0,1,,,,,,,,,,,0,,67,0
540,note_on,0,0,1,,,,,,,,,,,0,,66,84
540,note_on,540,0,2,,,,,,,,,,,1,,63,84
600,note_on,60,0,1,,,,,,,,,,,0,,66,0
600,note_on,0,0,1,,,,,,,,,,,0,,69,85
600,note_on,0,0,2,,,,,,,,,,,1,,62,85
600,note_on,60,0,2,,,,,,,,,,,1,,63,0
660,note_on,60,0,1,,,,,,,,,,,0,,69,0
660,note_on,0,0,2,,,,,,,,,,,1,,57,85
660,note_on,60,0,2,,,,,,,,,,,1,,62,0
660,note_on,0,0,1,,,,,,,,,,,0,,72,85
720,note_on,60,0,2,,,,,,,,,,,1,,57,0
720,note_on,0,0,2,,,,,,,,,,,1,,60,86
720,note_on,60,0,1,,,,,,,,,,,0,,72,0
720,note_on,0,0,1,,,,,,,,,,,0,,75,86
780,note_on,0,0,1,,,,,,,,,,,0,,74,86
780,note_on,0,0,2,,,,,,,,,,,1,,58,86
780,note_on,60,0,2,,,,,,,,,,,1,,60,0
780,note_on,60,0,1,,,,,,,,,,,0,,75,0
825,note_on,45,0,2,,,,,,,,,,,1,,58,0
825,note_on,0,0,2,,,,,,,,,,,1,,57,86
839,note_on,14,0,2,,,,,,,,,,,1,,57,0
840,note_on,60,0,1,,,,,,,,,,,0,,74,0
840,note_on,0,0,1,,,,,,,,,,,0,,76,87
840,note_on,1,0,2,,,,,,,,,,,1,,58,87
900,note_on,0,0,2,,,,,,,,,,,1,,57,87
900,note_on,60,0,2,,,,,,,,,,,1,,58,0
900,note_on,60,0,1,,,,,,,,,,,0,,76,0
900,note_on,0,0,1,,,,,,,,,,,0,,78,87
960,note_on,0,0,2,,,,,,,,,,,1,,58,88
960,note_on,60,0,2,,,,,,,,,,,1,,57,0
960,note_on,0,0,1,,,,,,,,,,,0,,79,88
960,note_on,60,0,1,,,,,,,,,,,0,,78,0
1020,note_on,0,0,1,,,,,,,,,,,0,,80,88
1020,note_on,60,0,1,,,,,,,,,,,0,,79,0
1080,note_on,60,0,1,,,,,,,,,,,0,,80,0
1080,note_on,0,0,2,,,,,,,,,,,1,,59,89
1080,note_on,120,0,2,,,,,,,,,,,1,,58,0
1080,note_on,0,0,1,,,,,,,,,,,0,,79,89
1140,note_on,60,0,1,,,,,,,,,,,0,,79,0
1140,note_on,0,0,1,,,,,,,,,,,0,,74,89
1200,note_on,0,0,1,,,,,,,,,,,0,,77,90
1200,note_on,60,0,1,,,,,,,,,,,0,,74,0
1200,note_on,120,0,2,,,,,,,,,,,1,,59,0
1260,note_on,60,0,2,,,,,,,,,,,1,,62,90
1320,note_on,0,0,1,,,,,,,,,,,0,,76,91
1320,note_on,60,0,2,,,,,,,,,,,1,,62,0
1320,note_on,0,0,2,,,,,,,,,,,1,,60,91
1320,note_on,120,0,1,,,,,,,,,,,0,,77,0
1380,note_on,0,0,2,,,,,,,,,,,1,,55,91
1380,note_on,60,0,2,,,,,,,,,,,1,,60,0
1440,note_on,60,0,2,,,,,,,,,,,1,,55,0
1440,note_on,0,0,2,,,,,,,,,,,1,,58,92
1440,note_on,120,0,1,,,,,,,,,,,0,,76,0
1500,note_on,60,0,1,,,,,,,,,,,0,,79,92
1560,note_on,120,0,2,,,,,,,,,,,1,,58,0
1560,note_on,0,0,2,,,,,,,,,,,1,,57,93
1560,note_on,60,0,1,,,,,,,,,,,0,,79,0
1560,note_on,0,0,1,,,,,,,,,,,0,,77,93
1620,note_on,60,0,1,,,,,,,,,,,0,,77,0
1620,note_on,0,0,1,,,,,,,,,,,0,,72,93
1680,note_on,0,0,1,,,,,,,,,,,0,,74,94
1680,note_on,120,0,2,,,,,,,,,,,1,,57,0
1680,note_on,0,0,2,,,,,,,,,,,1,,60,94
1680,note_on,60,0,1,,,,,,,,,,,0,,72,0
1740,note_on,0,0,2,,,,,,,,,,,1,,58,94
1740,note_on,60,0,1,,,,,,,,,,,0,,74,0
1740,note_on,60,0,2,,,,,,,,,,,1,,60,0
1740,note_on,0,0,1,,,,,,,,,,,0,,75,94
1800,note_on,60,0,1,,,,,,,,,,,0,,75,0
1800,note_on,0,0,1,,,,,,,,,,,0,,74,95
1860,note_on,0,0,1,,,,,,,,,,,0,,69,95
1860,note_on,0,0,2,,,,,,,,,,,1,,54,95
1860,note_on,120,0,2,,,,,,,,,,,1,,58,0
1860,note_on,60,0,1,,,,,,,,,,,0,,74,0
1920,note_on,0,0,1,,,,,,,,,,,0,,79,96
1920,note_on,0,0,2,,,,,,,,,,,1,,55,96
1920,note_on,60,0,2,,,,,,,,,,,1,,54,0
