tick,type,time,meta,track,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,port,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,,1,93,84,,
0,control_change,0,0,2,,,,,,,,,1,91,84,,
0,note_on,0,0,1,,,,,,,,,0,,,66,60
0,control_change,0,0,1,,,,,,,,,0,93,84,,
0,control_change,0,0,1,,,,,,,,,0,91,84,,
0,control_change,0,0,1,,,,,,,,,0,10,111,,
0,control_change,0,0,1,,,,,,,,,0,10,111,,
0,control_change,0,0,1,,,,,,,,,0,7,127,,
0,control_change,0,0,1,,,,,,,,,0,7,127,,
0,program_change,0,0,1,,,,,,,,0,0,,,,
0,program_change,0,0,1,,,,,,,,0,0,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,control_change,0,0,2,,,,,,,,,1,10,9,,
0,control_change,0,0,2,,,,,,,,,1,10,9,,
0,control_change,0,0,2,,,,,,,,,1,7,127,,
0,program_change,0,0,2,,,,,,,,0,1,,,,
0,program_change,0,0,2,,,,,,,,0,1,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,key_signature,0,1,0,,,,,,D,,,,,,,
0,time_signature,0,1,0,,2,4,24,8,,,,,,,,
0,set_tempo,0,1,0,631578,,,,,,,,,,,,
0,set_tempo,0,1,0,631578,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,,1,7,127,,
94,note_on,94,0,1,,,,,,,,,0,,,66,0
96,note_on,2,0,1,,,,,,,,,0,,,66,60
96,note_on,96,0,2,,,,,,,,,1,,,50,60
96,note_on,0,0,2,,,,,,,,,1,,,57,60
256,note_on,160,0,2,,,,,,,,,1,,,50,0
256,note_on,0,0,2,,,,,,,,,1,,,57,0
288,note_on,192,0,1,,,,,,,,,0,,,66,0
288,note_on,32,0,2,,,,,,,,,1,,,55,60
288,note_on,0,0,2,,,,,,,,,1,,,59,60
288,note_on,0,0,1,,,,,,,,,0,,,64,60
382,note_on,94,0,1,,,,,,,,,0,,,64,0
382,note_on,94,0,2,,,,,,,,,1,,,55,0
382,note_on,0,0,2,,,,,,,,,1,,,59,0
384,note_on,0,0,2,,,,,,,,,1,,,57,60
384,note_on,2,0,1,,,,,,,,,0,,,62,60
384,note_on,2,0,2,,,,,,,,,1,,,54,60
478,note_on,94,0,2,,,,,,,,,1,,,54,0
478,note_on,0,0,2,,,,,,,,,1,,,57,0
478,note_on,94,0,1,,,,,,,,,0,,,62,0
480,note_on,2,0,2,,,,,,,,,1,,,52,75
480,note_on,0,0,2,,,,,,,,,1,,,59,75
480,note_on,2,0,1,,,,,,,,,0,,,62,60
504,note_on,0,0,1,,,,,,,,,0,,,67,92
504,note_on,24,0,1,,,,,,,,,0,,,62,0
574,note_on,94,0,2,,,,,,,,,1,,,52,0
574,note_on,0,0,2,,,,,,,,,1,,,59,0
736,note_on,232,0,1,,,,,,,,,0,,,67,0
768,note_on,32,0,1,,,,,,,,,0,,,67,60
800,note_on,32,0,1,,,,,,,,,0,,,67,0
864,note_on,64,0,1,,,,,,,,,0,,,67,60
864,note_on,290,0,2,,,,,,,,,1,,,45,45
864,note_on,0,0,2,,,,,,,,,1,,,49,45
864,note_on,0,0,2,,,,,,,,,1,,,52,45
864,note_on,0,0,2,,,,,,,,,1,,,55,45
888,note_on,24,0,1,,,,,,,,,0,,,67,0
888,note_on,0,0,1,,,,,,,,,0,,,69,60
896,note_on,32,0,2,,,,,,,,,1,,,45,0
896,note_on,0,0,2,,,,,,,,,1,,,49,0
896,note_on,0,0,2,,,,,,,,,1,,,55,0
896,note_on,0,0,2,,,,,,,,,1,,,52,0
912,note_on,24,0,1,,,,,,,,,0,,,69,0
912,note_on,0,0,1,,,,,,,,,0,,,71,60
936,note_on,24,0,1,,,,,,,,,0,,,71,0
936,note_on,0,0,1,,,,,,,,,0,,,69,60
960,note_on,0,0,1,,,,,,,,,0,,,69,60
960,note_on,0,0,1,,,,,,,,,0,,,66,60
960,note_on,24,0,1,,,,,,,,,0,,,69,0
984,note_on,0,0,1,,,,,,,,,0,,,67,60
984,note_on,24,0,1,,,,,,,,,0,,,66,0
1008,note_on,24,0,1,,,,,,,,,0,,,67,0
1008,note_on,0,0,1,,,,,,,,,0,,,69,0
1008,note_on,0,0,1,,,,,,,,,0,,,71,60
1056,note_on,48,0,1,,,,,,,,,0,,,71,0
1056,note_on,160,0,2,,,,,,,,,1,,,45,45
1056,note_on,0,0,2,,,,,,,,,1,,,49,45
1056,note_on,0,0,2,,,,,,,,,1,,,55,45
1056,note_on,0,0,2,,,,,,,,,1,,,52,45
1056,note_on,0,0,1,,,,,,,,,0,,,69,60
1088,note_on,0,0,2,,,,,,,,,1,,,55,0
1088,note_on,0,0,2,,,,,,,,,1,,,49,0
