tick,type,time,meta,track,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,port,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,,0,10,110,,
0,control_change,0,0,1,,,,,,,,,0,10,110,,
0,control_change,0,0,1,,,,,,,,,0,91,84,,
0,control_change,0,0,1,,,,,,,,,0,93,84,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,note_on,0,0,2,,,,,,,,,1,,,36,45
0,control_change,0,0,1,,,,,,,,,0,7,127,,
0,control_change,0,0,2,,,,,,,,,1,93,84,,
0,control_change,0,0,2,,,,,,,,,1,10,9,,
0,control_change,0,0,2,,,,,,,,,1,10,9,,
0,control_change,0,0,2,,,,,,,,,1,7,127,,
0,control_change,0,0,2,,,,,,,,,1,7,127,,
0,program_change,0,0,2,,,,,,,,0,1,,,,
0,program_change,0,0,2,,,,,,,,0,1,,,,
0,control_change,0,0,2,,,,,,,,,1,91,84,,
0,control_change,0,0,1,,,,,,,,,0,7,127,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,program_change,0,0,1,,,,,,,,0,0,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,time_signature,0,1,0,,3,4,24,8,,,,,,,,
0,set_tempo,0,1,0,500000,,,,,,,,,,,,
0,set_tempo,0,1,0,500000,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,,0,0,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
30,note_on,30,0,2,,,,,,,,,1,,,36,0
32,note_on,2,0,2,,,,,,,,,1,,,40,45
62,note_on,30,0,2,,,,,,,,,1,,,40,0
64,note_on,2,0,2,,,,,,,,,1,,,43,45
94,note_on,30,0,2,,,,,,,,,1,,,43,0
96,note_on,2,0,2,,,,,,,,,1,,,48,45
126,note_on,30,0,2,,,,,,,,,1,,,48,0
128,note_on,2,0,2,,,,,,,,,1,,,52,45
158,note_on,30,0,2,,,,,,,,,1,,,52,0
160,note_on,2,0,2,,,,,,,,,1,,,55,45
190,note_on,30,0,2,,,,,,,,,1,,,55,0
192,note_on,192,0,1,,,,,,,,,0,,,60,45
222,note_on,30,0,1,,,,,,,,,0,,,60,0
224,note_on,2,0,1,,,,,,,,,0,,,64,45
254,note_on,30,0,1,,,,,,,,,0,,,64,0
256,note_on,2,0,1,,,,,,,,,0,,,67,45
286,note_on,30,0,1,,,,,,,,,0,,,67,0
288,note_on,2,0,1,,,,,,,,,0,,,72,45
318,note_on,30,0,1,,,,,,,,,0,,,72,0
320,note_on,2,0,1,,,,,,,,,0,,,76,50
350,note_on,30,0,1,,,,,,,,,0,,,76,0
352,note_on,2,0,1,,,,,,,,,0,,,79,55
382,note_on,30,0,1,,,,,,,,,0,,,79,0
384,note_on,2,0,1,,,,,,,,,0,,,84,60
416,note_on,32,0,1,,,,,,,,,0,,,84,0
480,note_on,290,0,2,,,,,,,,,1,,,48,60
512,note_on,32,0,2,,,,,,,,,1,,,48,0
576,note_on,160,0,1,,,,,,,,,0,,,81,92
608,note_on,32,0,1,,,,,,,,,0,,,81,0
672,note_on,160,0,2,,,,,,,,,1,,,41,75
704,note_on,32,0,2,,,,,,,,,1,,,41,0
768,note_on,64,0,2,,,,,,,,,1,,,81,105
864,note_on,256,0,1,,,,,,,,,0,,,89,127
928,note_on,160,0,2,,,,,,,,,1,,,81,0
958,note_on,94,0,1,,,,,,,,,0,,,89,0
960,note_on,32,0,2,,,,,,,,,1,,,81,75
960,note_on,2,0,1,,,,,,,,,0,,,89,92
990,note_on,30,0,1,,,,,,,,,0,,,89,0
990,note_on,30,0,2,,,,,,,,,1,,,81,0
992,note_on,2,0,1,,,,,,,,,0,,,88,92
992,note_on,2,0,2,,,,,,,,,1,,,79,75
1022,note_on,30,0,1,,,,,,,,,0,,,88,0
1022,note_on,30,0,2,,,,,,,,,1,,,79,0
1024,note_on,2,0,1,,,,,,,,,0,,,86,92
1024,note_on,2,0,2,,,,,,,,,1,,,77,75
1054,note_on,30,0,2,,,,,,,,,1,,,77,0
1054,note_on,30,0,1,,,,,,,,,0,,,86,0
1056,note_on,2,0,1,,,,,,,,,0,,,88,92
1056,note_on,2,0,2,,,,,,,,,1,,,79,75
1086,note_on,30,0,1,,,,,,,,,0,,,88,0
1086,note_on,30,0,2,,,,,,,,,1,,,79,0
1088,note_on,2,0,2,,,,,,,,,1,,,77,75
1088,note_on,2,0,1,,,,,,,,,0,,,86,92
1118,note_on,30,0,1,,,,,,,,,0,,,86,0
1118,note_on,30,0,2,,,,,,,,,1,,,77,0
1120,note_on,2,0,1,,,,,,,,,0,,,84,92
1120,note_on,2,0,2,,,,,,,,,1,,,76,75
1150,note_on,30,0,1,,,,,,,,,0,,,84,0
1150,note_on,30,0,2,,,,,,,,,1,,,76,0
1152,note_on,2,0,1,,,,,,,,,0,,,86,92
1152,note_on,2,0,2,,,,,,,,,1,,,67,75
1152,note_on,0,0,2,,,,,,,,,1,,,77,75
1182,note_on,30,0,2,,,,,,,,,1,,,77,0
1182,note_on,30,0,1,,,,,,,,,0,,,86,0
1184,note_on,2,0,2,,,,,,,,,1,,,76,75
1184,note_on,2,0,1,,,,,,,,,0,,,84,92
1214,note_on,30,0,2,,,,,,,,,1,,,76,0
1214,note_on,30,0,1,,,,,,,,,0,,,84,0
1216,note_on,2,0,1,,,,,,,,,0,,,83,92
1216,note_on,2,0,2,,,,,,,,,1,,,74,75
1246,note_on,30,0,2,,,,,,,,,1,,,74,0
1246,note_on,30,0,1,,,,,,,,,0,,,83,0
1248,note_on,2,0,1,,,,,,,,,0,,,84,92
1248,note_on,2,0,2,,,,,,,,,1,,,76,75
1278,note_on,30,0,2,,,,,,,,,1,,,76,0
1278,note_on,30,0,1,,,,,,,,,0,,,84,0
1280,note_on,2,0,1,,,,,,,,,0,,,83,92
1280,note_on,2,0,2,,,,,,,,,1,,,74,75
1310,note_on,30,0,1,,,,,,,,,0,,,83,0
1310,note_on,30,0,2,,,,,,,,,1,,,74,0
1312,note_on,2,0,1,,,,,,,,,0,,,81,92
