tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,data,control,value,channel,program,note,velocity
0,time_signature,4,4,24,8,0,1,0,,,,,,,,,,
0,text,,,,,0,1,1,,,,,,,,,,
0,midi_port,,,,,0,1,1,,,0,,,,,,,
0,track_name,,,,,0,1,1,,,,,,,,,,
0,midi_port,,,,,0,1,2,,,0,,,,,,,
0,track_name,,,,,0,1,3,,,,,,,,,,
0,midi_port,,,,,0,1,3,,,0,,,,,,,
0,track_name,,,,,0,1,4,,,,,,,,,,
0,midi_port,,,,,0,1,4,,,0,,,,,,,
0,track_name,,,,,0,1,5,,,,,,,,,,
0,midi_port,,,,,0,1,5,,,0,,,,,,,
0,set_tempo,,,,,0,1,0,,625000,,,,,,,,
0,track_name,,,,,0,1,2,,,,,,,,,,
0,text,,,,,0,1,0,,,,,,,,,,
0,key_signature,,,,,0,1,0,F,,,,,,,,,
0,track_name,,,,,0,1,0,,,,,,,,,,
0,text,,,,,0,1,0,,,,,,,,,,
0,text,,,,,0,1,0,,,,,,,,,,
0,set_tempo,,,,,0,1,0,,1250000,,,,,,,,
0,text,,,,,0,1,0,,,,,,,,,,
0,text,,,,,0,1,0,,,,,,,,,,
0,text,,,,,0,1,0,,,,,,,,,,
0,text,,,,,0,1,0,,,,,,,,,,
0,text,,,,,0,1,0,,,,,,,,,,
12,text,,,,,12,1,1,,,,,,,,,,
14,sysex,,,,,2,0,1,,,,"(65, 16, 66, 18, 64, 0, 127, 0, 65)",,,,,,
24,sysex,,,,,0,0,1,,,,"(65, 16, 66, 18, 64, 0, 4, 100, 88)",,,,,,
24,text,,,,,10,1,1,,,,,,,,,,
36,text,,,,,12,1,1,,,,,,,,,,
38,sysex,,,,,2,0,1,,,,"(65, 16, 66, 18, 64, 1, 48, 3, 12)",,,,,,
40,sysex,,,,,2,0,1,,,,"(65, 16, 66, 18, 64, 1, 51, 80, 60)",,,,,,
42,sysex,,,,,2,0,1,,,,"(65, 16, 66, 18, 64, 1, 52, 70, 69)",,,,,,
48,sysex,,,,,6,0,1,,,,"(65, 16, 66, 18, 64, 1, 16, 0, 12, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23)",,,,,,
96,control_change,,,,,96,0,2,,,,,32,1,0,,,
98,control_change,,,,,98,0,3,,,,,32,1,1,,,
102,control_change,,,,,6,0,2,,,,,0,0,0,,,
104,control_change,,,,,6,0,3,,,,,0,0,1,,,
108,program_change,,,,,6,0,2,,,,,,,0,0,,
110,program_change,,,,,6,0,3,,,,,,,1,0,,
114,control_change,,,,,6,0,2,,,,,10,74,0,,,
116,control_change,,,,,6,0,3,,,,,10,68,1,,,
120,control_change,,,,,6,0,2,,,,,91,80,0,,,
122,control_change,,,,,6,0,3,,,,,91,80,1,,,
126,control_change,,,,,6,0,2,,,,,7,127,0,,,
128,control_change,,,,,6,0,3,,,,,7,127,1,,,
132,control_change,,,,,6,0,2,,,,,11,127,0,,,
134,control_change,,,,,6,0,3,,,,,11,127,1,,,
138,control_change,,,,,0,0,2,,,,,99,1,0,,,
138,text,,,,,6,1,2,,,,,,,,,,
140,control_change,,,,,2,0,2,,,,,98,99,0,,,
140,text,,,,,6,1,3,,,,,,,,,,
140,control_change,,,,,0,0,3,,,,,99,1,1,,,
142,control_change,,,,,2,0,3,,,,,98,99,1,,,
142,control_change,,,,,2,0,2,,,,,6,62,0,,,
144,text,,,,,2,1,2,,,,,,,,,,
144,control_change,,,,,0,0,2,,,,,98,100,0,,,
144,control_change,,,,,2,0,3,,,,,6,64,1,,,
144,set_tempo,,,,,144,1,0,,1250000,,,,,,,,
146,control_change,,,,,0,0,3,,,,,98,100,1,,,
146,text,,,,,2,1,3,,,,,,,,,,
147,control_change,,,,,3,0,2,,,,,6,75,0,,,
149,control_change,,,,,3,0,3,,,,,6,75,1,,,
150,control_change,,,,,0,0,2,,,,,98,101,0,,,
150,text,,,,,3,1,2,,,,,,,,,,
152,control_change,,,,,0,0,3,,,,,98,101,1,,,
152,text,,,,,3,1,3,,,,,,,,,,
153,control_change,,,,,3,0,2,,,,,6,90,0,,,
155,control_change,,,,,3,0,3,,,,,6,90,1,,,
168,control_change,,,,,168,0,5,,,,,64,127,1,,,
168,control_change,,,,,168,0,4,,,,,64,127,0,,,
185,note_on,,,,,32,0,2,,,,,,,0,,69,40
189,note_on,,,,,4,0,2,,,,,,,0,,72,35
192,control_change,,,,,24,0,5,,,,,64,127,1,,,
192,control_change,,,,,24,0,4,,,,,64,127,0,,,
192,set_tempo,,,,,48,1,0,,1304347,,,,,,,,
192,note_on,,,,,37,0,3,,,,,,,1,,53,30
192,note_on,,,,,0,0,3,,,,,,,1,,41,45
192,note_on,,,,,3,0,2,,,,,,,0,,77,50
216,set_tempo,,,,,24,1,0,,1250000,,,,,,,,
