tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity,pitch
0,track_name,0,1,0,,,,,,,,,,,,,,
0,track_name,0,1,7,,,,,,,,,,,,,,
0,midi_port,0,1,7,,,,,,,0,,,,,,,
0,control_change,0,0,6,,,,,,,,,4,93,32,,,
0,control_change,0,0,6,,,,,,,,,4,91,106,,,
0,control_change,0,0,6,,,,,,,,,4,64,0,,,
0,control_change,0,0,6,,,,,,,,,4,11,100,,,
0,control_change,0,0,6,,,,,,,,,4,10,54,,,
0,control_change,0,0,6,,,,,,,,,4,7,57,,,
0,program_change,0,0,6,,,,,,,,60,4,,,,,
0,program_change,0,0,6,,,,,,,,60,4,,,,,
0,track_name,0,1,6,,,,,,,,,,,,,,
0,midi_port,0,1,6,,,,,,,0,,,,,,,
0,control_change,0,0,5,,,,,,,,,3,93,24,,,
0,control_change,0,0,5,,,,,,,,,3,91,89,,,
0,control_change,0,0,5,,,,,,,,,3,64,0,,,
0,control_change,0,0,5,,,,,,,,,3,11,100,,,
0,control_change,0,0,5,,,,,,,,,3,10,80,,,
0,program_change,0,0,7,,,,,,,,60,4,,,,,
0,program_change,0,0,7,,,,,,,,60,4,,,,,
0,control_change,0,0,7,,,,,,,,,4,7,57,,,
0,control_change,0,0,7,,,,,,,,,4,10,54,,,
0,program_change,0,0,9,,,,,,,,47,6,,,,,
0,program_change,0,0,9,,,,,,,,47,6,,,,,
0,track_name,0,1,9,,,,,,,,,,,,,,
0,midi_port,0,1,9,,,,,,,0,,,,,,,
0,control_change,0,0,8,,,,,,,,,5,93,32,,,
0,control_change,0,0,8,,,,,,,,,5,91,106,,,
0,control_change,0,0,8,,,,,,,,,5,64,0,,,
0,control_change,0,0,8,,,,,,,,,5,11,100,,,
0,control_change,0,0,5,,,,,,,,,3,7,57,,,
0,control_change,0,0,8,,,,,,,,,5,10,77,,,
0,program_change,0,0,8,,,,,,,,56,5,,,,,
0,program_change,0,0,8,,,,,,,,56,5,,,,,
0,track_name,0,1,8,,,,,,,,,,,,,,
0,midi_port,0,1,8,,,,,,,0,,,,,,,
0,control_change,0,0,7,,,,,,,,,4,93,32,,,
0,control_change,0,0,7,,,,,,,,,4,91,106,,,
0,control_change,0,0,7,,,,,,,,,4,64,0,,,
0,control_change,0,0,7,,,,,,,,,4,11,100,,,
0,control_change,0,0,8,,,,,,,,,5,7,57,,,
0,control_change,0,0,9,,,,,,,,,6,7,57,,,
0,program_change,0,0,5,,,,,,,,70,3,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,,1,91,72,,,
0,control_change,0,0,2,,,,,,,,,1,64,0,,,
0,control_change,0,0,2,,,,,,,,,1,11,100,,,
0,control_change,0,0,2,,,,,,,,,1,10,80,,,
0,control_change,0,0,2,,,,,,,,,1,7,57,,,
0,program_change,0,0,2,,,,,,,,68,1,,,,,
0,program_change,0,0,2,,,,,,,,68,1,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,,
0,control_change,0,0,1,,,,,,,,,0,93,24,,,
0,control_change,0,0,1,,,,,,,,,0,91,72,,,
0,control_change,0,0,1,,,,,,,,,0,64,0,,,
0,control_change,0,0,1,,,,,,,,,0,11,100,,,
0,control_change,0,0,1,,,,,,,,,0,10,62,,,
0,control_change,0,0,1,,,,,,,,,0,7,57,,,
0,program_change,0,0,1,,,,,,,,73,0,,,,,
0,program_change,0,0,1,,,,,,,,73,0,,,,,
0,control_change,0,0,2,,,,,,,,,1,93,24,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,,
0,program_change,0,0,3,,,,,,,,71,2,,,,,
0,midi_port,0,1,5,,,,,,,0,,,,,,,
0,control_change,0,0,4,,,,,,,,,2,93,24,,,
0,control_change,0,0,4,,,,,,,,,2,91,89,,,
0,control_change,0,0,4,,,,,,,,,2,64,0,,,
0,control_change,0,0,4,,,,,,,,,2,11,100,,,
0,control_change,0,0,4,,,,,,,,,2,10,65,,,
0,control_change,0,0,4,,,,,,,,,2,7,57,,,
0,program_change,0,0,4,,,,,,,,71,2,,,,,
0,program_change,0,0,5,,,,,,,,70,3,,,,,
0,program_change,0,0,4,,,,,,,,71,2,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,,
0,control_change,0,0,3,,,,,,,,,2,93,24,,,
0,control_change,0,0,3,,,,,,,,,2,91,89,,,
0,control_change,0,0,3,,,,,,,,,2,64,0,,,
0,control_change,0,0,3,,,,,,,,,2,11,100,,,
0,control_change,0,0,3,,,,,,,,,2,10,65,,,
0,control_change,0,0,3,,,,,,,,,2,7,57,,,
0,program_change,0,0,3,,,,,,,,71,2,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,,
0,control_change,0,0,9,,,,,,,,,6,10,67,,,
0,control_change,0,0,9,,,,,,,,,6,11,100,,,
0,control_change,0,0,9,,,,,,,,,6,64,0,,,
0,note_on,0,0,14,,,,,,,,,12,,,47,112,
0,control_change,0,0,14,,,,,,,,,12,93,80,,,
0,control_change,0,0,14,,,,,,,,,12,91,68,,,
0,control_change,0,0,14,,,,,,,,,12,64,0,,,
0,control_change,0,0,14,,,,,,,,,12,11,50,,,
0,control_change,0,0,14,,,,,,,,,12,10,101,,,
0,control_change,0,0,14,,,,,,,,,12,7,57,,,
0,pitchwheel,0,0,14,,,,,,,,,12,,,,,-400
0,program_change,0,0,14,,,,,,,,45,12,,,,,
0,program_change,0,0,14,,,,,,,,48,12,,,,,
