tick,type,time,meta,track,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,port,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,note_on,0,0,1,,,,,,,,,1,,,67,45
0,control_change,0,0,3,,,,,,,,,3,7,127,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,control_change,0,0,2,,,,,,,,,2,10,64,,
0,control_change,0,0,2,,,,,,,,,2,7,127,,
0,control_change,0,0,1,,,,,,,,,1,10,64,,
0,program_change,0,0,2,,,,,,,,0,2,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,program_change,0,0,4,,,,,,,,0,4,,,,
0,control_change,0,0,4,,,,,,,,,4,7,127,,
0,control_change,0,0,4,,,,,,,,,4,10,64,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,,1,7,127,,
0,program_change,0,0,3,,,,,,,,0,3,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,time_signature,0,1,0,,3,4,24,8,,,,,,,,
0,set_tempo,0,1,0,1250000,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,,,3,10,64,,
0,program_change,0,0,1,,,,,,,,0,1,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
160,note_on,160,0,1,,,,,,,,,1,,,67,0
192,note_on,192,0,4,,,,,,,,,4,,,36,45
192,note_on,32,0,1,,,,,,,,,1,,,72,45
192,note_on,192,0,3,,,,,,,,,3,,,64,45
192,note_on,192,0,2,,,,,,,,,2,,,67,45
480,note_on,288,0,4,,,,,,,,,4,,,36,0
480,note_on,0,0,4,,,,,,,,,4,,,40,45
480,note_on,0,0,3,,,,,,,,,3,,,60,45
480,note_on,0,0,2,,,,,,,,,2,,,64,45
480,note_on,288,0,2,,,,,,,,,2,,,67,0
480,note_on,288,0,3,,,,,,,,,3,,,64,0
480,note_on,288,0,1,,,,,,,,,1,,,72,0
480,note_on,0,0,1,,,,,,,,,1,,,67,45
576,note_on,0,0,2,,,,,,,,,2,,,60,45
576,note_on,96,0,3,,,,,,,,,3,,,60,0
576,note_on,0,0,3,,,,,,,,,3,,,55,45
576,note_on,0,0,4,,,,,,,,,4,,,43,45
576,note_on,96,0,4,,,,,,,,,4,,,40,0
576,note_on,96,0,2,,,,,,,,,2,,,64,0
576,note_on,0,0,1,,,,,,,,,1,,,64,45
576,note_on,96,0,1,,,,,,,,,1,,,67,0
672,note_on,0,0,4,,,,,,,,,4,,,48,45
