tick,type,data,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
0,sequencer_specific,"(0, 0, 65)",0,1,0,,,,,,,,,,,,,
0,program_change,,0,0,1,,,,,,,,0,0,,,,
0,program_change,,0,0,1,,,,,,,,0,0,,,,
0,control_change,,0,0,1,,,,,,,,,0,7,127,,
0,control_change,,0,0,1,,,,,,,,,0,10,64,,
0,control_change,,0,0,1,,,,,,,,,0,121,0,,
0,control_change,,0,0,1,,,,,,,,,0,0,0,,
0,control_change,,0,0,1,,,,,,,,,0,7,127,,
0,control_change,,0,0,1,,,,,,,,,0,10,64,,
0,track_name,,0,1,6,,,,,,,,,,,,,
0,midi_port,,0,1,2,,,,,,,0,,,,,,
0,track_name,,0,1,1,,,,,,,,,,,,,
0,track_name,,0,1,2,,,,,,,,,,,,,
0,midi_port,,0,1,3,,,,,,,0,,,,,,
0,track_name,,0,1,3,,,,,,,,,,,,,
0,end_of_track,,0,1,3,,,,,,,,,,,,,
0,midi_port,,0,1,4,,,,,,,0,,,,,,
0,track_name,,0,1,4,,,,,,,,,,,,,
0,end_of_track,,0,1,4,,,,,,,,,,,,,
0,midi_port,,0,1,5,,,,,,,0,,,,,,
0,track_name,,0,1,5,,,,,,,,,,,,,
0,end_of_track,,0,1,5,,,,,,,,,,,,,
0,midi_port,,0,1,6,,,,,,,0,,,,,,
0,end_of_track,,0,1,2,,,,,,,,,,,,,
0,midi_port,,0,1,1,,,,,,,0,,,,,,
0,end_of_track,,0,1,6,,,,,,,,,,,,,
0,set_tempo,,0,1,0,,,,,,377358,,,,,,,
0,time_signature,,0,1,0,3,4,24,8,,,,,,,,,
0,key_signature,,0,1,0,,,,,C,,,,,,,,
235,note_on,,235,0,1,,,,,,,,,0,,,76,84
297,note_on,,62,0,1,,,,,,,,,0,,,75,71
305,note_on,,8,0,1,,,,,,,,,0,,,76,0
362,note_on,,57,0,1,,,,,,,,,0,,,76,80
363,note_on,,1,0,1,,,,,,,,,0,,,75,0
417,note_on,,54,0,1,,,,,,,,,0,,,75,65
432,note_on,,15,0,1,,,,,,,,,0,,,76,0
476,note_on,,44,0,1,,,,,,,,,0,,,76,84
478,note_on,,2,0,1,,,,,,,,,0,,,75,0
535,note_on,,57,0,1,,,,,,,,,0,,,71,69
551,note_on,,16,0,1,,,,,,,,,0,,,76,0
593,note_on,,42,0,1,,,,,,,,,0,,,74,78
600,note_on,,7,0,1,,,,,,,,,0,,,71,0
653,note_on,,53,0,1,,,,,,,,,0,,,74,0
654,note_on,,1,0,1,,,,,,,,,0,,,72,73
715,note_on,,61,0,1,,,,,,,,,0,,,45,65
717,note_on,,2,0,1,,,,,,,,,0,,,69,74
729,note_on,,12,0,1,,,,,,,,,0,,,72,0
760,control_change,,31,0,1,,,,,,,,,0,64,127,,
772,note_on,,12,0,1,,,,,,,,,0,,,45,0
775,note_on,,3,0,1,,,,,,,,,0,,,52,66
835,note_on,,60,0,1,,,,,,,,,0,,,57,63
850,note_on,,15,0,1,,,,,,,,,0,,,52,0
866,note_on,,16,0,1,,,,,,,,,0,,,69,0
894,note_on,,28,0,1,,,,,,,,,0,,,60,71
894,note_on,,0,0,1,,,,,,,,,0,,,57,0
944,note_on,,50,0,1,,,,,,,,,0,,,60,0
951,note_on,,7,0,1,,,,,,,,,0,,,64,67
956,control_change,,5,0,1,,,,,,,,,0,64,0,,
1008,note_on,,52,0,1,,,,,,,,,0,,,69,77
1008,note_on,,0,0,1,,,,,,,,,0,,,64,0
1062,note_on,,54,0,1,,,,,,,,,0,,,71,74
1066,note_on,,4,0,1,,,,,,,,,0,,,40,68
1068,note_on,,2,0,1,,,,,,,,,0,,,69,0
1095,control_change,,27,0,1,,,,,,,,,0,64,127,,
1122,note_on,,27,0,1,,,,,,,,,0,,,52,70
1123,note_on,,1,0,1,,,,,,,,,0,,,71,0
1125,note_on,,2,0,1,,,,,,,,,0,,,40,0
1175,note_on,,50,0,1,,,,,,,,,0,,,56,74
1181,note_on,,6,0,1,,,,,,,,,0,,,52,0
1231,note_on,,50,0,1,,,,,,,,,0,,,64,66
1234,note_on,,3,0,1,,,,,,,,,0,,,56,0
1285,control_change,,51,0,1,,,,,,,,,0,64,0,,
1290,note_on,,5,0,1,,,,,,,,,0,,,68,75
1309,note_on,,19,0,1,,,,,,,,,0,,,64,0
1355,note_on,,46,0,1,,,,,,,,,0,,,71,80
1356,note_on,,1,0,1,,,,,,,,,0,,,68,0
1420,note_on,,0,0,1,,,,,,,,,0,,,71,0
1420,note_on,,64,0,1,,,,,,,,,0,,,45,64
1421,note_on,,1,0,1,,,,,,,,,0,,,72,73
1471,control_change,,50,0,1,,,,,,,,,0,64,127,,
1487,note_on,,16,0,1,,,,,,,,,0,,,52,62
1495,note_on,,8,0,1,,,,,,,,,0,,,45,0
1506,note_on,,11,0,1,,,,,,,,,0,,,72,0
1550,note_on,,44,0,1,,,,,,,,,0,,,57,60
1562,note_on,,12,0,1,,,,,,,,,0,,,52,0
1609,note_on,,47,0,1,,,,,,,,,0,,,57,0
1611,note_on,,2,0,1,,,,,,,,,0,,,64,68
1677,note_on,,66,0,1,,,,,,,,,0,,,76,72
1679,note_on,,2,0,1,,,,,,,,,0,,,64,0
1680,control_change,,1,0,1,,,,,,,,,0,64,0,,
1737,note_on,,57,0,1,,,,,,,,,0,,,75,61
1743,note_on,,6,0,1,,,,,,,,,0,,,76,0
1797,note_on,,54,0,1,,,,,,,,,0,,,75,0
1800,note_on,,3,0,1,,,,,,,,,0,,,76,73
1856,note_on,,56,0,1,,,,,,,,,0,,,75,64
1870,note_on,,14,0,1,,,,,,,,,0,,,76,0
1912,note_on,,42,0,1,,,,,,,,,0,,,76,77
1914,note_on,,2,0,1,,,,,,,,,0,,,75,0
1967,note_on,,53,0,1,,,,,,,,,0,,,71,76
1987,note_on,,20,0,1,,,,,,,,,0,,,76,0
2025,note_on,,38,0,1,,,,,,,,,0,,,74,83
2043,note_on,,18,0,1,,,,,,,,,0,,,71,0
2083,note_on,,40,0,1,,,,,,,,,0,,,72,81
2085,note_on,,2,0,1,,,,,,,,,0,,,74,0
2146,note_on,,61,0,1,,,,,,,,,0,,,69,73
2146,note_on,,0,0,1,,,,,,,,,0,,,45,66
2153,note_on,,7,0,1,,,,,,,,,0,,,72,0
2180,control_change,,27,0,1,,,,,,,,,0,64,127,,
2201,note_on,,21,0,1,,,,,,,,,0,,,45,0
2210,note_on,,9,0,1,,,,,,,,,0,,,52,61
2265,note_on,,55,0,1,,,,,,,,,0,,,52,0
2271,note_on,,6,0,1,,,,,,,,,0,,,57,58
2295,note_on,,24,0,1,,,,,,,,,0,,,69,0
2325,note_on,,30,0,1,,,,,,,,,0,,,60,66
2330,note_on,,5,0,1,,,,,,,,,0,,,57,0
2385,control_change,,55,0,1,,,,,,,,,0,64,0,,
2385,note_on,,0,0,1,,,,,,,,,0,,,64,65
2385,note_on,,0,0,1,,,,,,,,,0,,,60,0
2440,note_on,,55,0,1,,,,,,,,,0,,,64,0
2445,note_on,,5,0,1,,,,,,,,,0,,,69,69
2491,note_on,,46,0,1,,,,,,,,,0,,,69,0
2500,note_on,,0,0,1,,,,,,,,,0,,,71,76
2500,note_on,,9,0,1,,,,,,,,,0,,,40,62
2531,control_change,,31,0,1,,,,,,,,,0,64,127,,
2545,note_on,,14,0,1,,,,,,,,,0,,,40,0
2560,note_on,,15,0,1,,,,,,,,,0,,,52,78
2570,note_on,,10,0,1,,,,,,,,,0,,,71,0
2610,note_on,,40,0,1,,,,,,,,,0,,,52,0
2620,note_on,,10,0,1,,,,,,,,,0,,,56,79
2675,note_on,,55,0,1,,,,,,,,,0,,,64,77
2679,note_on,,4,0,1,,,,,,,,,0,,,56,0
2705,control_change,,26,0,1,,,,,,,,,0,64,0,,
2736,note_on,,31,0,1,,,,,,,,,0,,,72,83
2753,note_on,,17,0,1,,,,,,,,,0,,,64,0
2797,note_on,,44,0,1,,,,,,,,,0,,,72,0
2799,note_on,,2,0,1,,,,,,,,,0,,,71,80
2855,note_on,,56,0,1,,,,,,,,,0,,,71,0
2865,note_on,,10,0,1,,,,,,,,,0,,,69,72
2866,note_on,,1,0,1,,,,,,,,,0,,,45,61
2917,control_change,,51,0,1,,,,,,,,,0,64,127,,
2935,note_on,,18,0,1,,,,,,,,,0,,,52,70
2937,note_on,,2,0,1,,,,,,,,,0,,,69,0
2939,note_on,,2,0,1,,,,,,,,,0,,,45,0
3010,note_on,,71,0,1,,,,,,,,,0,,,57,57
3010,note_on,,0,0,1,,,,,,,,,0,,,52,0
3127,control_change,,117,0,1,,,,,,,,,0,64,0,,
3141,note_on,,14,0,1,,,,,,,,,0,,,76,59
3159,note_on,,18,0,1,,,,,,,,,0,,,57,0
3200,note_on,,41,0,1,,,,,,,,,0,,,75,45
3204,note_on,,4,0,1,,,,,,,,,0,,,76,0
3260,note_on,,56,0,1,,,,,,,,,0,,,76,59
3263,note_on,,3,0,1,,,,,,,,,0,,,75,0
3320,note_on,,57,0,1,,,,,,,,,0,,,75,45
3328,note_on,,8,0,1,,,,,,,,,0,,,76,0
3375,note_on,,47,0,1,,,,,,,,,0,,,76,63
3383,note_on,,8,0,1,,,,,,,,,0,,,75,0
3436,note_on,,53,0,1,,,,,,,,,0,,,71,45
3440,note_on,,4,0,1,,,,,,,,,0,,,76,0
3500,note_on,,60,0,1,,,,,,,,,0,,,74,47
3511,note_on,,11,0,1,,,,,,,,,0,,,71,0
3551,note_on,,40,0,1,,,,,,,,,0,,,74,0
3557,note_on,,6,0,1,,,,,,,,,0,,,72,45
3617,note_on,,60,0,1,,,,,,,,,0,,,69,41
3620,note_on,,3,0,1,,,,,,,,,0,,,45,40
3627,note_on,,7,0,1,,,,,,,,,0,,,72,0
3651,control_change,,24,0,1,,,,,,,,,0,64,127,,
3672,note_on,,21,0,1,,,,,,,,,0,,,45,0
3675,note_on,,3,0,1,,,,,,,,,0,,,52,44
3731,note_on,,56,0,1,,,,,,,,,0,,,57,48
3735,note_on,,4,0,1,,,,,,,,,0,,,52,0
3736,note_on,,1,0,1,,,,,,,,,0,,,69,0
3785,note_on,,49,0,1,,,,,,,,,0,,,60,52
3790,note_on,,5,0,1,,,,,,,,,0,,,57,0
3832,control_change,,42,0,1,,,,,,,,,0,64,0,,
3850,note_on,,18,0,1,,,,,,,,,0,,,64,55
3851,note_on,,1,0,1,,,,,,,,,0,,,60,0
3905,note_on,,54,0,1,,,,,,,,,0,,,69,48
3910,note_on,,5,0,1,,,,,,,,,0,,,64,0
3960,note_on,,50,0,1,,,,,,,,,0,,,71,59
3960,note_on,,0,0,1,,,,,,,,,0,,,69,0
3961,note_on,,1,0,1,,,,,,,,,0,,,40,59
4002,control_change,,41,0,1,,,,,,,,,0,64,127,,
4006,note_on,,4,0,1,,,,,,,,,0,,,40,0
4020,note_on,,14,0,1,,,,,,,,,0,,,52,46
4068,note_on,,48,0,1,,,,,,,,,0,,,52,0
4077,note_on,,9,0,1,,,,,,,,,0,,,56,54
4079,note_on,,2,0,1,,,,,,,,,0,,,71,0
4136,note_on,,57,0,1,,,,,,,,,0,,,56,0
4137,note_on,,1,0,1,,,,,,,,,0,,,64,54
4165,control_change,,28,0,1,,,,,,,,,0,64,0,,
4190,note_on,,25,0,1,,,,,,,,,0,,,68,57
4210,note_on,,20,0,1,,,,,,,,,0,,,64,0
4250,note_on,,40,0,1,,,,,,,,,0,,,71,57
4253,note_on,,3,0,1,,,,,,,,,0,,,68,0
4305,note_on,,52,0,1,,,,,,,,,0,,,71,0
4309,note_on,,4,0,1,,,,,,,,,0,,,72,77
4310,note_on,,1,0,1,,,,,,,,,0,,,45,57
4361,control_change,,51,0,1,,,,,,,,,0,64,127,,
4370,note_on,,0,0,1,,,,,,,,,0,,,45,0
4370,note_on,,9,0,1,,,,,,,,,0,,,52,48
4428,note_on,,58,0,1,,,,,,,,,0,,,72,0
4430,note_on,,2,0,1,,,,,,,,,0,,,52,0
4431,note_on,,1,0,1,,,,,,,,,0,,,57,44
4490,note_on,,59,0,1,,,,,,,,,0,,,57,0
4496,note_on,,6,0,1,,,,,,,,,0,,,64,53
4521,control_change,,25,0,1,,,,,,,,,0,64,0,,
4557,note_on,,36,0,1,,,,,,,,,0,,,76,67
4561,note_on,,4,0,1,,,,,,,,,0,,,64,0
4615,note_on,,54,0,1,,,,,,,,,0,,,75,53
