tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,,73,0,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,control_change,0,0,9,,,,,,,,,12,10,44,,
0,control_change,0,0,9,,,,,,,,,12,7,127,,
0,program_change,0,0,9,,,,,,,,48,12,,,,
0,track_name,0,1,9,,,,,,,,,,,,,
0,midi_port,0,1,9,,,,,,,0,,,,,,
0,midi_port,0,1,5,,,,,,,0,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,program_change,0,0,5,,,,,,,,60,4,,,,
0,control_change,0,0,5,,,,,,,,,4,7,127,,
0,control_change,0,0,1,,,,,,,,,0,7,127,,
0,control_change,0,0,5,,,,,,,,,4,10,31,,
0,track_name,0,1,6,,,,,,,,,,,,,
0,program_change,0,0,6,,,,,,,,56,5,,,,
0,control_change,0,0,6,,,,,,,,,5,7,127,,
0,control_change,0,0,6,,,,,,,,,5,10,115,,
0,midi_port,0,1,7,,,,,,,0,,,,,,
0,track_name,0,1,7,,,,,,,,,,,,,
0,program_change,0,0,7,,,,,,,,47,6,,,,
0,control_change,0,0,7,,,,,,,,,6,7,127,,
0,control_change,0,0,7,,,,,,,,,6,10,64,,
0,midi_port,0,1,8,,,,,,,0,,,,,,
0,track_name,0,1,8,,,,,,,,,,,,,
0,program_change,0,0,8,,,,,,,,48,11,,,,
0,midi_port,0,1,6,,,,,,,0,,,,,,
0,control_change,0,0,1,,,,,,,,,0,10,74,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,midi_port,0,1,12,,,,,,,0,,,,,,
0,program_change,0,0,2,,,,,,,,68,1,,,,
0,control_change,0,0,2,,,,,,,,,1,7,127,,
0,control_change,0,0,2,,,,,,,,,1,10,72,,
0,control_change,0,0,10,,,,,,,,,13,10,86,,
0,control_change,0,0,10,,,,,,,,,13,7,127,,
0,program_change,0,0,10,,,,,,,,48,13,,,,
0,track_name,0,1,10,,,,,,,,,,,,,
0,midi_port,0,1,10,,,,,,,0,,,,,,
0,midi_port,0,1,11,,,,,,,0,,,,,,
0,track_name,0,1,11,,,,,,,,,,,,,
0,program_change,0,0,11,,,,,,,,48,14,,,,
0,control_change,0,0,11,,,,,,,,,14,7,127,,
0,control_change,0,0,11,,,,,,,,,14,10,105,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,program_change,0,0,3,,,,,,,,71,2,,,,
0,control_change,0,0,3,,,,,,,,,2,7,127,,
0,control_change,0,0,3,,,,,,,,,2,10,70,,
