tick,type,time,meta,track,data,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,,
0,midi_port,0,1,4,,,,,,,,0,,,,,,
0,end_of_track,0,1,3,,,,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,,,,2,7,127,,
0,control_change,0,0,3,,,,,,,,,,2,32,0,,
0,control_change,0,0,3,,,,,,,,,,2,0,0,,
0,program_change,0,0,3,,,,,,,,,0,2,,,,
0,control_change,0,0,4,,,,,,,,,,3,7,127,,
0,program_change,0,0,3,,,,,,,,,0,2,,,,
0,control_change,0,0,2,,,,,,,,,,1,7,127,,
0,control_change,0,0,2,,,,,,,,,,1,32,0,,
0,control_change,0,0,2,,,,,,,,,,1,0,0,,
0,program_change,0,0,2,,,,,,,,,0,1,,,,
0,program_change,0,0,2,,,,,,,,,0,1,,,,
0,track_name,0,1,2,,,,,,,,,,,,,,
0,midi_port,0,1,3,,,,,,,,0,,,,,,
0,midi_port,0,1,2,,,,,,,,0,,,,,,
0,end_of_track,0,1,4,,,,,,,,,,,,,,
0,control_change,0,0,5,,,,,,,,,,4,7,127,,
0,midi_port,0,1,10,,,,,,,,0,,,,,,
0,end_of_track,0,1,9,,,,,,,,,,,,,,
0,control_change,0,0,9,,,,,,,,,,8,7,127,,
0,midi_port,0,1,9,,,,,,,,0,,,,,,
0,end_of_track,0,1,8,,,,,,,,,,,,,,
0,control_change,0,0,8,,,,,,,,,,7,7,127,,
0,midi_port,0,1,5,,,,,,,,0,,,,,,
0,midi_port,0,1,8,,,,,,,,0,,,,,,
0,control_change,0,0,7,,,,,,,,,,6,7,127,,
0,midi_port,0,1,7,,,,,,,,0,,,,,,
0,end_of_track,0,1,6,,,,,,,,,,,,,,
0,control_change,0,0,6,,,,,,,,,,5,7,127,,
0,midi_port,0,1,6,,,,,,,,0,,,,,,
0,end_of_track,0,1,5,,,,,,,,,,,,,,
0,end_of_track,0,1,7,,,,,,,,,,,,,,
0,control_change,0,0,10,,,,,,,,,,9,7,127,,
0,end_of_track,0,1,10,,,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,,,0,0,0,,
0,note_on,0,0,1,,,,,,,,,,0,,,75,60
0,control_change,0,0,1,,,,,,,,,,0,7,117,,
0,control_change,0,0,1,,,,,,,,,,0,32,0,,
0,program_change,0,0,1,,,,,,,,,0,0,,,,
0,program_change,0,0,1,,,,,,,,,0,0,,,,
0,midi_port,0,1,1,,,,,,,,0,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,,
0,key_signature,0,1,0,,,,,,Bb,,,,,,,,
0,time_signature,0,1,0,,3,4,24,8,,,,,,,,,
0,sequencer_specific,0,1,0,"(0, 0, 65)",,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,,465116,,,,,,,
120,note_on,120,0,2,,,,,,,,,,1,,,60,60
120,note_on,120,0,1,,,,,,,,,,0,,,67,60
210,note_on,90,0,2,,,,,,,,,,1,,,60,0
210,note_on,0,0,1,,,,,,,,,,0,,,79,60
210,note_on,0,0,2,,,,,,,,,,1,,,59,60
210,note_on,0,0,1,,,,,,,,,,0,,,75,0
210,note_on,90,0,1,,,,,,,,,,0,,,67,0
210,note_on,0,0,1,,,,,,,,,,0,,,64,60
240,note_on,30,0,2,,,,,,,,,,1,,,59,0
240,note_on,0,0,2,,,,,,,,,,1,,,57,60
240,note_on,0,0,1,,,,,,,,,,0,,,65,60
240,note_on,0,0,1,,,,,,,,,,0,,,72,60
240,note_on,30,0,1,,,,,,,,,,0,,,79,0
240,note_on,0,0,1,,,,,,,,,,0,,,64,0
330,note_on,0,0,1,,,,,,,,,,0,,,74,60
330,note_on,90,0,1,,,,,,,,,,0,,,72,0
330,note_on,0,0,2,,,,,,,,,,1,,,59,60
330,note_on,90,0,2,,,,,,,,,,1,,,57,0
360,note_on,30,0,1,,,,,,,,,,0,,,74,0
360,note_on,0,0,1,,,,,,,,,,0,,,65,60
360,note_on,30,0,2,,,,,,,,,,1,,,59,0
360,note_on,0,0,2,,,,,,,,,,1,,,60,60
360,note_on,0,0,1,,,,,,,,,,0,,,75,60
360,note_on,0,0,1,,,,,,,,,,0,,,65,0
420,note_on,0,0,1,,,,,,,,,,0,,,65,0
420,note_on,60,0,2,,,,,,,,,,1,,,60,0
420,note_on,60,0,1,,,,,,,,,,0,,,75,0
720,note_on,300,0,1,,,,,,,,,,0,,,75,60
840,note_on,120,0,1,,,,,,,,,,0,,,69,60
840,note_on,420,0,2,,,,,,,,,,1,,,60,60
930,note_on,90,0,2,,,,,,,,,,1,,,60,0
930,note_on,0,0,2,,,,,,,,,,1,,,57,60
930,note_on,90,0,1,,,,,,,,,,0,,,69,0
930,note_on,0,0,1,,,,,,,,,,0,,,75,0
930,note_on,0,0,1,,,,,,,,,,0,,,72,60
930,note_on,0,0,1,,,,,,,,,,0,,,77,60
960,note_on,0,0,2,,,,,,,,,,1,,,58,60
960,note_on,30,0,1,,,,,,,,,,0,,,77,0
960,note_on,0,0,1,,,,,,,,,,0,,,72,0
960,note_on,0,0,1,,,,,,,,,,0,,,65,60
