tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,port,control,value,channel,program,note,velocity,data
0,set_tempo,344827,0,1,0,,,,,,,,,,,,,
0,track_name,,0,1,12,,,,,,,,,,,,,
0,midi_port,,0,1,10,,,,,,0,,,,,,,
0,track_name,,0,1,16,,,,,,,,,,,,,
0,midi_port,,0,1,16,,,,,,0,,,,,,,
0,midi_port,,0,1,1,,,,,,0,,,,,,,
0,midi_port,,0,1,15,,,,,,0,,,,,,,
0,track_name,,0,1,15,,,,,,,,,,,,,
0,midi_port,,0,1,14,,,,,,0,,,,,,,
0,track_name,,0,1,14,,,,,,,,,,,,,
0,midi_port,,0,1,13,,,,,,0,,,,,,,
0,track_name,,0,1,13,,,,,,,,,,,,,
0,track_name,,0,1,11,,,,,,,,,,,,,
0,midi_port,,0,1,11,,,,,,0,,,,,,,
0,midi_port,,0,1,9,,,,,,0,,,,,,,
0,track_name,,0,1,9,,,,,,,,,,,,,
0,track_name,,0,1,5,,,,,,,,,,,,,
0,midi_port,,0,1,5,,,,,,0,,,,,,,
0,track_name,,0,1,6,,,,,,,,,,,,,
0,midi_port,,0,1,6,,,,,,0,,,,,,,
0,midi_port,,0,1,2,,,,,,0,,,,,,,
0,track_name,,0,1,2,,,,,,,,,,,,,
0,track_name,,0,1,3,,,,,,,,,,,,,
0,midi_port,,0,1,3,,,,,,0,,,,,,,
0,track_name,,0,1,10,,,,,,,,,,,,,
0,midi_port,,0,1,12,,,,,,0,,,,,,,
0,text,,0,1,0,,,,,,,,,,,,,
0,text,,0,1,0,,,,,,,,,,,,,
0,text,,0,1,0,,,,,,,,,,,,,
0,text,,0,1,0,,,,,,,,,,,,,
0,text,,0,1,0,,,,,,,,,,,,,
0,track_name,,0,1,1,,,,,,,,,,,,,
0,midi_port,,0,1,7,,,,,,0,,,,,,,
0,text,,0,1,0,,,,,,,,,,,,,
0,track_name,,0,1,4,,,,,,,,,,,,,
0,text,,0,1,0,,,,,,,,,,,,,
0,text,,0,1,0,,,,,,,,,,,,,
0,midi_port,,0,1,8,,,,,,0,,,,,,,
