tick,type,key,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,frame_rate,hours,minutes,seconds,frames,sub_frames,tempo,channel,note,velocity,control,value,program,data
0,key_signature,Eb,0,1,0,,,,,,,,,,,,,,,,,,
0,track_name,,0,1,9,,,,,,,,,,,,,,,,,,
0,instrument_name,,0,1,9,,,,,,,,,,,,,,,,,,
0,channel_prefix,,0,1,10,,,,,,,,,,,,10,,,,,,
0,track_name,,0,1,10,,,,,,,,,,,,,,,,,,
0,instrument_name,,0,1,10,,,,,,,,,,,,,,,,,,
0,track_name,,0,1,2,,,,,,,,,,,,,,,,,,
0,channel_prefix,,0,1,11,,,,,,,,,,,,11,,,,,,
0,channel_prefix,,0,1,9,,,,,,,,,,,,8,,,,,,
0,track_name,,0,1,11,,,,,,,,,,,,,,,,,,
0,channel_prefix,,0,1,12,,,,,,,,,,,,12,,,,,,
0,track_name,,0,1,12,,,,,,,,,,,,,,,,,,
0,instrument_name,,0,1,12,,,,,,,,,,,,,,,,,,
0,track_name,,0,1,13,,,,,,,,,,,,,,,,,,
0,instrument_name,,0,1,13,,,,,,,,,,,,,,,,,,
0,sysex,,0,0,13,,,,,,,,,,,,,,,,,,"(65, 16, 66, 18, 64, 0, 127, 0, 65)"
0,instrument_name,,0,1,1,,,,,,,,,,,,,,,,,,
0,instrument_name,,0,1,11,,,,,,,,,,,,,,,,,,
0,track_name,,0,1,1,,,,,,,,,,,,,,,,,,
0,instrument_name,,0,1,8,,,,,,,,,,,,,,,,,,
0,channel_prefix,,0,1,8,,,,,,,,,,,,7,,,,,,
0,instrument_name,,0,1,2,,,,,,,,,,,,,,,,,,
0,channel_prefix,,0,1,3,,,,,,,,,,,,2,,,,,,
0,track_name,,0,1,3,,,,,,,,,,,,,,,,,,
0,instrument_name,,0,1,3,,,,,,,,,,,,,,,,,,
0,channel_prefix,,0,1,4,,,,,,,,,,,,3,,,,,,
0,track_name,,0,1,4,,,,,,,,,,,,,,,,,,
0,instrument_name,,0,1,4,,,,,,,,,,,,,,,,,,
0,track_name,,0,1,8,,,,,,,,,,,,,,,,,,
0,channel_prefix,,0,1,5,,,,,,,,,,,,4,,,,,,
0,instrument_name,,0,1,5,,,,,,,,,,,,,,,,,,
0,channel_prefix,,0,1,6,,,,,,,,,,,,5,,,,,,
0,track_name,,0,1,6,,,,,,,,,,,,,,,,,,
0,instrument_name,,0,1,6,,,,,,,,,,,,,,,,,,
0,channel_prefix,,0,1,7,,,,,,,,,,,,6,,,,,,
0,track_name,,0,1,7,,,,,,,,,,,,,,,,,,
0,instrument_name,,0,1,7,,,,,,,,,,,,,,,,,,
0,track_name,,0,1,5,,,,,,,,,,,,,,,,,,
0,channel_prefix,,0,1,1,,,,,,,,,,,,0,,,,,,
0,channel_prefix,,0,1,2,,,,,,,,,,,,1,,,,,,
0,channel_prefix,,0,1,16,,,,,,,,,,,,15,,,,,,
0,channel_prefix,,0,1,15,,,,,,,,,,,,15,,,,,,
0,track_name,,0,1,15,,,,,,,,,,,,,,,,,,
0,instrument_name,,0,1,15,,,,,,,,,,,,,,,,,,
0,text,,0,1,15,,,,,,,,,,,,,,,,,,
0,time_signature,,0,1,0,3,4,24,8,,,,,,,,,,,,,,
0,smpte_offset,,0,1,0,,,,,24,32,0,0,0,0,,,,,,,,
0,set_tempo,,0,1,0,,,,,,,,,,,200000,,,,,,,
0,text,,0,1,18,,,,,,,,,,,,,,,,,,
0,text,,0,1,14,,,,,,,,,,,,,,,,,,
0,instrument_name,,0,1,14,,,,,,,,,,,,,,,,,,
0,channel_prefix,,0,1,14,,,,,,,,,,,,15,,,,,,
0,text,,0,1,16,,,,,,,,,,,,,,,,,,
0,instrument_name,,0,1,17,,,,,,,,,,,,,,,,,,
0,track_name,,0,1,17,,,,,,,,,,,,,,,,,,
0,channel_prefix,,0,1,17,,,,,,,,,,,,15,,,,,,
0,track_name,,0,1,16,,,,,,,,,,,,,,,,,,
0,channel_prefix,,0,1,18,,,,,,,,,,,,15,,,,,,
0,track_name,,0,1,18,,,,,,,,,,,,,,,,,,
0,instrument_name,,0,1,18,,,,,,,,,,,,,,,,,,
0,track_name,,0,1,14,,,,,,,,,,,,,,,,,,
0,text,,0,1,17,,,,,,,,,,,,,,,,,,
0,instrument_name,,0,1,16,,,,,,,,,,,,,,,,,,
2,sysex,,2,0,13,,,,,,,,,,,,,,,,,,"(65, 16, 66, 18, 64, 1, 48, 3, 12)"
5,sysex,,3,0,13,,,,,,,,,,,,,,,,,,"(65, 16, 66, 18, 64, 1, 16, 0, 2, 2, 1, 1, 2, 1, 2, 4, 4, 3, 1, 1, 0, 0, 0, 23)"
7,program_change,,2,0,13,,,,,,,,,,,,0,,,,,73,
10,control_change,,3,0,13,,,,,,,,,,,,0,,,7,127,,
33,control_change,,23,0,13,,,,,,,,,,,,0,,,10,55,,
58,control_change,,25,0,13,,,,,,,,,,,,0,,,91,127,,
83,control_change,,25,0,13,,,,,,,,,,,,0,,,93,18,,
86,control_change,,3,0,13,,,,,,,,,,,,0,,,99,1,,
91,control_change,,5,0,13,,,,,,,,,,,,0,,,98,100,,
96,control_change,,5,0,13,,,,,,,,,,,,0,,,6,114,,
167,program_change,,71,0,13,,,,,,,,,,,,1,,,,,70,
170,control_change,,3,0,13,,,,,,,,,,,,1,,,7,127,,
193,control_change,,23,0,13,,,,,,,,,,,,1,,,10,60,,
218,control_change,,25,0,13,,,,,,,,,,,,1,,,91,127,,
243,control_change,,25,0,13,,,,,,,,,,,,1,,,93,13,,
251,control_change,,8,0,13,,,,,,,,,,,,1,,,99,1,,
256,control_change,,5,0,13,,,,,,,,,,,,1,,,98,100,,
261,control_change,,5,0,13,,,,,,,,,,,,1,,,6,114,,
290,program_change,,29,0,13,,,,,,,,,,,,2,,,,,71,
292,control_change,,2,0,13,,,,,,,,,,,,2,,,7,127,,
316,control_change,,24,0,13,,,,,,,,,,,,2,,,10,50,,
341,control_change,,25,0,13,,,,,,,,,,,,2,,,91,127,,
366,control_change,,25,0,13,,,,,,,,,,,,2,,,93,24,,
375,program_change,,9,0,13,,,,,,,,,,,,3,,,,,70,
377,control_change,,2,0,13,,,,,,,,,,,,3,,,7,127,,
401,control_change,,24,0,13,,,,,,,,,,,,3,,,10,67,,
426,control_change,,25,0,13,,,,,,,,,,,,3,,,91,127,,
451,control_change,,25,0,13,,,,,,,,,,,,3,,,93,21,,
460,program_change,,9,0,13,,,,,,,,,,,,4,,,,,60,
462,control_change,,2,0,13,,,,,,,,,,,,4,,,7,127,,
486,control_change,,24,0,13,,,,,,,,,,,,4,,,10,81,,
511,control_change,,25,0,13,,,,,,,,,,,,4,,,91,127,,
536,control_change,,25,0,13,,,,,,,,,,,,4,,,93,32,,
545,program_change,,9,0,13,,,,,,,,,,,,5,,,,,56,
547,control_change,,2,0,13,,,,,,,,,,,,5,,,7,127,,
571,control_change,,24,0,13,,,,,,,,,,,,5,,,10,51,,
596,control_change,,25,0,13,,,,,,,,,,,,5,,,91,127,,
621,control_change,,25,0,13,,,,,,,,,,,,5,,,93,18,,
630,program_change,,9,0,13,,,,,,,,,,,,6,,,,,47,
632,control_change,,2,0,13,,,,,,,,,,,,6,,,7,127,,
656,control_change,,24,0,13,,,,,,,,,,,,6,,,10,61,,
681,control_change,,25,0,13,,,,,,,,,,,,6,,,91,127,,
696,program_change,,15,0,13,,,,,,,,,,,,7,,,,,48,
698,control_change,,2,0,13,,,,,,,,,,,,7,,,7,127,,
706,control_change,,8,0,13,,,,,,,,,,,,6,,,93,18,,
722,control_change,,16,0,13,,,,,,,,,,,,7,,,10,18,,
747,control_change,,25,0,13,,,,,,,,,,,,7,,,91,127,,
772,control_change,,25,0,13,,,,,,,,,,,,7,,,93,27,,
800,program_change,,28,0,13,,,,,,,,,,,,8,,,,,48,
802,control_change,,2,0,13,,,,,,,,,,,,8,,,7,127,,
826,control_change,,24,0,13,,,,,,,,,,,,8,,,10,43,,
851,control_change,,25,0,13,,,,,,,,,,,,8,,,91,127,,
876,control_change,,25,0,13,,,,,,,,,,,,8,,,93,20,,
885,program_change,,9,0,13,,,,,,,,,,,,10,,,,,48,
887,control_change,,2,0,13,,,,,,,,,,,,10,,,7,127,,
911,control_change,,24,0,13,,,,,,,,,,,,10,,,10,95,,
936,control_change,,25,0,13,,,,,,,,,,,,10,,,91,127,,
961,control_change,,25,0,13,,,,,,,,,,,,10,,,93,25,,
970,program_change,,9,0,13,,,,,,,,,,,,11,,,,,48,
972,control_change,,2,0,13,,,,,,,,,,,,11,,,7,127,,
996,control_change,,24,0,13,,,,,,,,,,,,11,,,10,118,,
1021,control_change,,25,0,13,,,,,,,,,,,,11,,,91,127,,
