tick,type,time,meta,track,data,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,pitch,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,7,127,0,,,,
0,control_change,0,0,1,,,,,,,,10,87,0,,,,
0,control_change,0,0,1,,,,,,,,93,32,0,,,,
0,control_change,0,0,1,,,,,,,,91,42,0,,,,
0,control_change,0,0,1,,,,,,,,6,2,0,,,,
0,control_change,0,0,1,,,,,,,,11,127,0,,,,
0,control_change,0,0,1,,,,,,,,1,0,0,,,,
0,control_change,0,0,1,,,,,,,,32,0,0,,,,
0,pitchwheel,0,0,1,,,,,,,,,,0,0,,,
0,program_change,0,0,1,,,,,,,,,,0,,0,,
0,control_change,0,0,1,,,,,,,,0,0,0,,,,
0,track_name,0,1,2,,,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,7,127,1,,,,
0,control_change,0,0,2,,,,,,,,10,40,1,,,,
0,control_change,0,0,2,,,,,,,,93,33,1,,,,
0,control_change,0,0,2,,,,,,,,91,37,1,,,,
0,control_change,0,0,2,,,,,,,,6,2,1,,,,
0,control_change,0,0,2,,,,,,,,11,127,1,,,,
0,control_change,0,0,2,,,,,,,,1,0,1,,,,
0,control_change,0,0,2,,,,,,,,32,0,1,,,,
0,pitchwheel,0,0,2,,,,,,,,,,1,0,,,
0,program_change,0,0,2,,,,,,,,,,1,,0,,
0,control_change,0,0,2,,,,,,,,0,0,1,,,,
0,track_name,0,1,1,,,,,,,,,,,,,,
0,end_of_track,0,1,3,,,,,,,,,,,,,,
0,time_signature,0,1,0,,2,4,24,8,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,
0,sequencer_specific,0,1,0,"(0, 0, 65)",,,,,,,,,,,,,
0,key_signature,0,1,0,,,,,,Eb,,,,,,,,
0,set_tempo,0,1,0,,,,,,,365854,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,,
0,marker,0,1,0,,,,,,,,,,,,,,
10,set_tempo,10,1,0,,,,,,,372671,,,,,,,
240,note_on,240,0,1,,,,,,,,,,0,,,67,63
240,note_on,240,0,2,,,,,,,,,,1,,,51,78
299,note_on,59,0,1,,,,,,,,,,0,,,67,0
300,note_on,1,0,1,,,,,,,,,,0,,,70,60
359,note_on,59,0,1,,,,,,,,,,0,,,70,0
360,note_on,0,0,2,,,,,,,,,,1,,,55,78
360,note_on,1,0,1,,,,,,,,,,0,,,70,100
360,note_on,0,0,1,,,,,,,,,,0,,,67,100
360,note_on,120,0,2,,,,,,,,,,1,,,51,0
360,note_on,0,0,2,,,,,,,,,,1,,,58,78
430,set_tempo,420,1,0,,,,,,,375000,,,,,,,
480,note_on,0,0,1,,,,,,,,,,0,,,72,60
480,note_on,0,0,1,,,,,,,,,,0,,,67,60
480,note_on,0,0,1,,,,,,,,,,0,,,70,0
480,note_on,120,0,2,,,,,,,,,,1,,,55,0
480,note_on,120,0,1,,,,,,,,,,0,,,67,0
480,note_on,0,0,2,,,,,,,,,,1,,,51,78
480,note_on,0,0,2,,,,,,,,,,1,,,58,0
539,note_on,0,0,1,,,,,,,,,,0,,,72,0
539,note_on,59,0,1,,,,,,,,,,0,,,67,0
540,note_on,1,0,1,,,,,,,,,,0,,,70,60
599,note_on,59,0,1,,,,,,,,,,0,,,70,0
600,note_on,0,0,2,,,,,,,,,,1,,,58,78
600,note_on,120,0,2,,,,,,,,,,1,,,51,0
600,note_on,0,0,1,,,,,,,,,,0,,,67,100
600,note_on,1,0,1,,,,,,,,,,0,,,70,100
600,note_on,0,0,2,,,,,,,,,,1,,,55,78
720,note_on,120,0,2,,,,,,,,,,1,,,55,0
720,note_on,0,0,2,,,,,,,,,,1,,,58,0
720,note_on,0,0,2,,,,,,,,,,1,,,51,78
720,note_on,0,0,1,,,,,,,,,,0,,,67,60
720,note_on,0,0,1,,,,,,,,,,0,,,70,0
720,note_on,120,0,1,,,,,,,,,,0,,,67,0
720,note_on,0,0,1,,,,,,,,,,0,,,75,60
779,note_on,59,0,1,,,,,,,,,,0,,,75,0
779,note_on,0,0,1,,,,,,,,,,0,,,67,0
780,note_on,1,0,1,,,,,,,,,,0,,,70,62
839,note_on,59,0,1,,,,,,,,,,0,,,70,0
840,note_on,0,0,2,,,,,,,,,,1,,,55,78
840,note_on,0,0,1,,,,,,,,,,0,,,67,100
840,note_on,1,0,1,,,,,,,,,,0,,,70,100
840,note_on,120,0,2,,,,,,,,,,1,,,51,0
840,note_on,0,0,2,,,,,,,,,,1,,,58,78
960,note_on,0,0,1,,,,,,,,,,0,,,67,62
960,note_on,0,0,1,,,,,,,,,,0,,,72,62
960,note_on,0,0,1,,,,,,,,,,0,,,70,0
960,note_on,120,0,1,,,,,,,,,,0,,,67,0
960,note_on,120,0,2,,,,,,,,,,1,,,55,0
960,note_on,0,0,2,,,,,,,,,,1,,,58,0
960,note_on,0,0,2,,,,,,,,,,1,,,51,78
1019,note_on,59,0,1,,,,,,,,,,0,,,67,0
1019,note_on,0,0,1,,,,,,,,,,0,,,72,0
1020,note_on,1,0,1,,,,,,,,,,0,,,70,58
1079,note_on,59,0,1,,,,,,,,,,0,,,70,0
1080,note_on,0,0,2,,,,,,,,,,1,,,58,86
1080,note_on,0,0,1,,,,,,,,,,0,,,67,100
1080,note_on,0,0,2,,,,,,,,,,1,,,55,86
1080,note_on,1,0,1,,,,,,,,,,0,,,70,100
1080,note_on,120,0,2,,,,,,,,,,1,,,51,0
1200,note_on,0,0,1,,,,,,,,,,0,,,65,59
1200,note_on,0,0,1,,,,,,,,,,0,,,70,0
1200,note_on,0,0,1,,,,,,,,,,0,,,62,59
1200,note_on,0,0,2,,,,,,,,,,1,,,46,86
1200,note_on,0,0,2,,,,,,,,,,1,,,58,0
1200,note_on,120,0,2,,,,,,,,,,1,,,55,0
1200,note_on,120,0,1,,,,,,,,,,0,,,67,0
1259,note_on,59,0,1,,,,,,,,,,0,,,62,0
1259,note_on,0,0,1,,,,,,,,,,0,,,65,0
1260,note_on,1,0,1,,,,,,,,,,0,,,70,58
