tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,channel,pitch,control,value,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,3,,91,91,,,
0,control_change,0,0,4,,,,,,,3,,93,18,,,
0,control_change,0,0,4,,,,,,,3,,1,0,,,
0,control_change,0,0,4,,,,,,,3,,0,0,,,
0,control_change,0,0,4,,,,,,,3,,32,0,,,
0,program_change,0,0,4,,,,,,,3,,,,0,,
0,control_change,0,0,4,,,,,,,3,,10,55,,,
0,control_change,0,0,4,,,,,,,3,,7,122,,,
0,control_change,0,0,4,,,,,,,3,,64,0,,,
0,pitchwheel,0,0,3,,,,,,,2,0,,,,,
0,control_change,0,0,1,,,,,,,0,,91,91,,,
0,control_change,0,0,1,,,,,,,0,,93,18,,,
0,control_change,0,0,1,,,,,,,0,,1,0,,,
0,control_change,0,0,1,,,,,,,0,,32,0,,,
0,control_change,0,0,1,,,,,,,0,,0,0,,,
0,control_change,0,0,1,,,,,,,0,,10,73,,,
0,control_change,0,0,1,,,,,,,0,,7,127,,,
0,control_change,0,0,1,,,,,,,0,,64,0,,,
0,program_change,0,0,1,,,,,,,0,,,,0,,
0,pitchwheel,0,0,4,,,,,,,3,0,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,2,,91,91,,,
0,control_change,0,0,3,,,,,,,2,,93,18,,,
0,control_change,0,0,3,,,,,,,2,,1,0,,,
0,control_change,0,0,3,,,,,,,2,,0,0,,,
0,control_change,0,0,3,,,,,,,2,,32,0,,,
0,program_change,0,0,3,,,,,,,2,,,,0,,
0,control_change,0,0,3,,,,,,,2,,10,64,,,
0,control_change,0,0,3,,,,,,,2,,7,112,,,
0,control_change,0,0,3,,,,,,,2,,64,0,,,
0,control_change,0,0,2,,,,,,,1,,64,0,,,
0,control_change,0,0,2,,,,,,,1,,7,117,,,
0,control_change,0,0,2,,,,,,,1,,10,64,,,
0,program_change,0,0,2,,,,,,,1,,,,0,,
0,control_change,0,0,2,,,,,,,1,,32,0,,,
0,control_change,0,0,2,,,,,,,1,,0,0,,,
0,control_change,0,0,2,,,,,,,1,,1,0,,,
0,control_change,0,0,2,,,,,,,1,,93,18,,,
0,control_change,0,0,2,,,,,,,1,,91,91,,,
0,pitchwheel,0,0,2,,,,,,,1,0,,,,,
0,pitchwheel,0,0,1,,,,,,,0,0,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,time_signature,0,1,0,4,4,24,8,,,,,,,,,
0,key_signature,0,1,0,,,,,C,,,,,,,,
0,set_tempo,0,1,0,,,,,,555555,,,,,,,
0,marker,0,1,0,,,,,,,,,,,,,
1920,set_tempo,1920,1,0,,,,,,1000000,,,,,,,
1920,note_on,0,0,4,,,,,,,3,,,,,37,26
1920,control_change,1920,0,4,,,,,,,3,,64,127,,,
1920,marker,0,1,0,,,,,,,,,,,,,
1920,control_change,1920,0,1,,,,,,,0,,64,127,,,
1980,note_on,60,0,4,,,,,,,3,,,,,40,27
2040,note_on,60,0,4,,,,,,,3,,,,,45,27
2100,note_on,60,0,4,,,,,,,3,,,,,49,28
2100,set_tempo,180,1,0,,,,,,1034482,,,,,,,
2160,note_on,60,0,4,,,,,,,3,,,,,52,29
2160,set_tempo,60,1,0,,,,,,1090909,,,,,,,
2220,note_on,300,0,1,,,,,,,0,,,,,57,30
2220,set_tempo,60,1,0,,,,,,1578947,,,,,,,
2415,note_off,0,0,4,,,,,,,3,,,,,40,0
2415,note_off,255,0,4,,,,,,,3,,,,,49,0
2420,note_off,0,0,4,,,,,,,3,,,,,37,0
2420,note_off,0,0,4,,,,,,,3,,,,,45,0
2420,note_off,5,0,4,,,,,,,3,,,,,52,0
2880,set_tempo,660,1,0,,,,,,1090909,,,,,,,
2880,note_on,0,0,1,,,,,,,0,,,,,61,30
2880,note_off,660,0,1,,,,,,,0,,,,,57,0
3360,set_tempo,480,1,0,,,,,,1363636,,,,,,,
3360,note_on,0,0,1,,,,,,,0,,,,,64,28
3360,note_off,480,0,1,,,,,,,0,,,,,61,0
3840,note_off,480,0,1,,,,,,,0,,,,,64,0
3840,set_tempo,480,1,0,,,,,,937500,,,,,,,
3840,marker,0,1,0,,,,,,,,,,,,,
3840,note_on,0,0,1,,,,,,,0,,,,,69,26
5280,control_change,1440,0,1,,,,,,,0,,64,0,,,
5280,control_change,2860,0,4,,,,,,,3,,64,0,,,
5280,note_off,0,0,1,,,,,,,0,,,,,69,0
5280,note_on,0,0,1,,,,,,,0,,,,,69,34
5280,note_on,5280,0,3,,,,,,,2,,,,,57,34
5280,set_tempo,1440,1,0,,,,,,242914,,,,,,,
5280,note_on,0,0,4,,,,,,,3,,,,,49,34
5520,note_off,240,0,1,,,,,,,0,,,,,69,0
5520,note_on,0,0,1,,,,,,,0,,,,,67,34
5520,set_tempo,240,1,0,,,,,,240963,,,,,,,
5590,note_off,310,0,3,,,,,,,2,,,,,57,0
5590,note_off,310,0,4,,,,,,,3,,,,,49,0
5710,note_off,190,0,1,,,,,,,0,,,,,67,0
5760,note_on,170,0,3,,,,,,,2,,,,,57,35
5760,note_on,170,0,4,,,,,,,3,,,,,50,35
5760,note_on,50,0,1,,,,,,,0,,,,,67,35
5760,marker,240,1,0,,,,,,,,,,,,,
6000,note_off,240,0,1,,,,,,,0,,,,,67,0
6000,note_on,0,0,1,,,,,,,0,,,,,65,36
6070,note_off,310,0,3,,,,,,,2,,,,,57,0
6070,note_off,310,0,4,,,,,,,3,,,,,50,0
6190,note_off,190,0,1,,,,,,,0,,,,,65,0
6240,note_on,50,0,1,,,,,,,0,,,,,65,36
6240,note_on,170,0,3,,,,,,,2,,,,,57,36
6240,note_on,170,0,4,,,,,,,3,,,,,52,36
6480,note_off,240,0,1,,,,,,,0,,,,,65,0
6480,note_on,0,0,1,,,,,,,0,,,,,64,37
6550,note_off,310,0,4,,,,,,,3,,,,,52,0
6550,note_off,310,0,3,,,,,,,2,,,,,57,0
6670,note_off,190,0,1,,,,,,,0,,,,,64,0
6720,note_on,50,0,1,,,,,,,0,,,,,64,37
6720,note_on,170,0,3,,,,,,,2,,,,,57,37
6720,note_on,170,0,4,,,,,,,3,,,,,53,37
6960,note_on,0,0,1,,,,,,,0,,,,,62,38
6960,note_off,240,0,1,,,,,,,0,,,,,64,0
7030,note_off,310,0,3,,,,,,,2,,,,,57,0
7030,note_off,310,0,4,,,,,,,3,,,,,53,0
7200,note_on,0,0,1,,,,,,,0,,,,,69,39
7200,note_off,240,0,1,,,,,,,0,,,,,62,0
7200,note_on,170,0,3,,,,,,,2,,,,,57,39
7200,note_on,170,0,4,,,,,,,3,,,,,49,39
7440,note_off,240,0,1,,,,,,,0,,,,,69,0
7440,note_on,0,0,1,,,,,,,0,,,,,67,39
7510,note_off,310,0,3,,,,,,,2,,,,,57,0
7510,note_off,310,0,4,,,,,,,3,,,,,49,0
7630,note_off,190,0,1,,,,,,,0,,,,,67,0
7680,marker,1920,1,0,,,,,,,,,,,,,
7680,note_on,170,0,3,,,,,,,2,,,,,57,40
7680,note_on,50,0,1,,,,,,,0,,,,,67,40
7680,note_on,170,0,4,,,,,,,3,,,,,50,40
7920,note_off,240,0,1,,,,,,,0,,,,,67,0
7920,note_on,0,0,1,,,,,,,0,,,,,65,40
7990,note_off,310,0,3,,,,,,,2,,,,,57,0
7990,note_off,310,0,4,,,,,,,3,,,,,50,0
8110,note_off,190,0,1,,,,,,,0,,,,,65,0
8160,note_on,170,0,4,,,,,,,3,,,,,52,41
8160,note_on,170,0,3,,,,,,,2,,,,,57,41
8160,note_on,50,0,1,,,,,,,0,,,,,65,41
8400,note_off,240,0,1,,,,,,,0,,,,,65,0
8400,note_on,0,0,1,,,,,,,0,,,,,64,41
8470,note_off,310,0,4,,,,,,,3,,,,,52,0
8470,note_off,310,0,3,,,,,,,2,,,,,57,0
8590,note_off,190,0,1,,,,,,,0,,,,,64,0
8640,note_on,170,0,4,,,,,,,3,,,,,53,42
8640,note_on,50,0,1,,,,,,,0,,,,,64,42
8640,note_on,170,0,3,,,,,,,2,,,,,57,42
8850,set_tempo,1170,1,0,,,,,,242914,,,,,,,
8880,note_on,0,0,1,,,,,,,0,,,,,62,43
8880,note_off,240,0,1,,,,,,,0,,,,,64,0
