tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,,0,0,,,,
0,control_change,0,0,1,,,,,,,,,0,7,100,,
0,control_change,0,0,1,,,,,,,,,0,10,64,,
0,control_change,0,0,1,,,,,,,,,0,91,127,,
0,text,0,1,1,,,,,,,,,,,,,
0,track_name,0,1,7,,,,,,,,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,program_change,0,0,2,,,,,,,,0,0,,,,
0,control_change,0,0,2,,,,,,,,,0,7,100,,
0,control_change,0,0,2,,,,,,,,,0,10,64,,
0,control_change,0,0,2,,,,,,,,,0,64,0,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,,0,64,0,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,end_of_track,0,1,3,,,,,,,,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,end_of_track,0,1,4,,,,,,,,,,,,,
0,midi_port,0,1,5,,,,,,,0,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,end_of_track,0,1,5,,,,,,,,,,,,,
0,midi_port,0,1,6,,,,,,,0,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,,
0,end_of_track,0,1,6,,,,,,,,,,,,,
0,midi_port,0,1,7,,,,,,,0,,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,end_of_track,0,1,7,,,,,,,,,,,,,
0,key_signature,0,1,0,,,,,Db,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,285714,,,,,,,
0,time_signature,0,1,0,3,4,24,8,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
959,control_change,959,0,1,,,,,,,,,0,91,127,,
959,control_change,959,0,2,,,,,,,,,0,91,127,,
960,note_on,0,0,1,,,,,,,,,0,,,73,62
960,marker,960,1,0,,,,,,,,,,,,,
960,note_on,1,0,1,,,,,,,,,0,,,68,62
960,note_on,1,0,2,,,,,,,,,0,,,65,62
1440,note_on,0,0,1,,,,,,,,,0,,,68,0
1440,set_tempo,480,1,0,,,,,,286205,,,,,,,
1440,note_on,480,0,2,,,,,,,,,0,,,65,0
1440,note_on,480,0,1,,,,,,,,,0,,,73,0
1441,note_on,1,0,1,,,,,,,,,0,,,72,65
1441,note_on,1,0,2,,,,,,,,,0,,,63,65
1441,note_on,0,0,1,,,,,,,,,0,,,68,65
2400,note_on,959,0,2,,,,,,,,,0,,,61,58
2400,note_on,0,0,1,,,,,,,,,0,,,70,58
2400,set_tempo,960,1,0,,,,,,288962,,,,,,,
