tick,type,time,meta,track,data,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,note_on,0,0,2,,,,,,,,,1,,,48,50
0,control_change,0,0,2,,,,,,,,,1,91,18,,
0,control_change,0,0,2,,,,,,,,,1,93,13,,
0,control_change,0,0,2,,,,,,,,,1,10,82,,
0,control_change,0,0,2,,,,,,,,,1,7,127,,
0,program_change,0,0,2,,,,,,,,0,1,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,note_on,0,0,1,,,,,,,,,0,,,67,50
0,control_change,0,0,1,,,,,,,,,0,91,21,,
0,control_change,0,0,1,,,,,,,,,0,93,15,,
0,control_change,0,0,1,,,,,,,,,0,10,44,,
0,control_change,0,0,1,,,,,,,,,0,7,127,,
0,end_of_track,0,1,3,,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,sequencer_specific,0,1,0,"(0, 0, 65)",,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,,
0,time_signature,0,1,0,,2,4,24,8,,,,,,,,
0,key_signature,0,1,0,,,,,,C,,,,,,,
0,set_tempo,0,1,0,,,,,,,394737,,,,,,
0,program_change,0,0,1,,,,,,,,0,0,,,,
60,note_on,0,0,2,,,,,,,,,1,,,60,49
60,note_on,0,0,2,,,,,,,,,1,,,64,49
60,note_on,60,0,2,,,,,,,,,1,,,48,0
120,note_on,0,0,2,,,,,,,,,1,,,64,49
120,note_on,0,0,2,,,,,,,,,1,,,60,49
120,note_on,0,0,2,,,,,,,,,1,,,64,0
120,note_on,60,0,2,,,,,,,,,1,,,60,0
180,note_on,0,0,2,,,,,,,,,1,,,60,51
180,note_on,0,0,2,,,,,,,,,1,,,64,51
180,note_on,0,0,2,,,,,,,,,1,,,64,0
180,note_on,60,0,2,,,,,,,,,1,,,60,0
240,note_on,60,0,2,,,,,,,,,1,,,60,0
240,note_on,0,0,2,,,,,,,,,1,,,60,51
240,note_on,240,0,1,,,,,,,,,0,,,67,0
240,note_on,0,0,2,,,,,,,,,1,,,64,51
240,note_on,0,0,1,,,,,,,,,0,,,76,50
240,note_on,0,0,2,,,,,,,,,1,,,64,0
300,note_on,0,0,2,,,,,,,,,1,,,64,0
300,note_on,60,0,2,,,,,,,,,1,,,60,0
300,note_on,0,0,2,,,,,,,,,1,,,60,52
