tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,port,data,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,,,,,,,,
0,sysex,0,0,0,,,,,,,,"(65, 16, 66, 18, 64, 0, 4, 127, 61)",,,,,,,,,,,,
0,sysex,0,0,0,,,,,,,,"(65, 16, 66, 18, 64, 1, 48, 3, 12)",,,,,,,,,,,,
0,sysex,0,0,0,,,,,,,,"(65, 16, 66, 18, 64, 1, 49, 3, 11)",,,,,,,,,,,,
0,sysex,0,0,0,,,,,,,,"(65, 16, 66, 18, 64, 1, 51, 64, 76)",,,,,,,,,,,,
0,sysex,0,0,0,,,,,,,,"(65, 16, 66, 18, 64, 1, 52, 72, 67)",,,,,,,,,,,,
0,sysex,0,0,0,,,,,,,,"(65, 16, 66, 18, 64, 1, 56, 2, 5)",,,,,,,,,,,,
0,sysex,0,0,0,,,,,,,,"(65, 16, 66, 18, 64, 1, 58, 64, 69)",,,,,,,,,,,,
0,sysex,0,0,0,,,,,,,,"(65, 16, 66, 18, 64, 1, 62, 19, 110)",,,,,,,,,,,,
0,sysex,0,0,0,,,,,,,,"(65, 16, 66, 18, 64, 1, 61, 3, 127)",,,,,,,,,,,,
0,time_signature,0,1,0,,,,,,,,,3,4,24,8,,,,,,,,
0,key_signature,0,1,0,,,,,,,,,,,,,Bb,,,,,,,
0,set_tempo,0,1,0,,,,,,,,,,,,,,500000,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,,,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,,,,,,,,
0,sysex,0,0,0,,,,,,,,"(65, 16, 66, 18, 64, 0, 127, 0, 65)",,,,,,,,,,,,
0,midi_port,0,1,0,,,,,,,0,,,,,,,,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,0,,,,,,,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,0,,,,,,,0,,,,,,,,,,,,,
0,midi_port,0,1,0,,,,,,,0,,,,,,,,,,,,,
0,midi_port,0,1,0,,,,,,,0,,,,,,,,,,,,,
0,midi_port,0,1,0,,,,,,,0,,,,,,,,,,,,,
0,midi_port,0,1,0,,,,,,,0,,,,,,,,,,,,,
0,midi_port,0,1,0,,,,,,,0,,,,,,,,,,,,,
0,midi_port,0,1,0,,,,,,,0,,,,,,,,,,,,,
0,midi_port,0,1,0,,,,,,,0,,,,,,,,,,,,,
0,smpte_offset,0,1,0,25,32,0,3,0,0,,,,,,,,,,,,,,
0,midi_port,0,1,0,,,,,,,0,,,,,,,,,,,,,
6,text,6,1,1,,,,,,,,,,,,,,,,,,,,
18,text,12,1,1,,,,,,,,,,,,,,,,,,,,
24,text,6,1,1,,,,,,,,,,,,,,,,,,,,
26,text,2,1,1,,,,,,,,,,,,,,,,,,,,
28,text,2,1,1,,,,,,,,,,,,,,,,,,,,
30,text,2,1,1,,,,,,,,,,,,,,,,,,,,
32,text,2,1,1,,,,,,,,,,,,,,,,,,,,
34,text,2,1,1,,,,,,,,,,,,,,,,,,,,
34,text,0,1,1,,,,,,,,,,,,,,,,,,,,
36,text,2,1,1,,,,,,,,,,,,,,,,,,,,
38,text,2,1,1,,,,,,,,,,,,,,,,,,,,
40,text,2,1,1,,,,,,,,,,,,,,,,,,,,
48,control_change,8,0,1,,,,,,,,,,,,,,,0,0,0,,,
49,control_change,1,0,1,,,,,,,,,,,,,,,32,2,0,,,
50,program_change,1,0,1,,,,,,,,,,,,,,,,,0,0,,
51,control_change,1,0,1,,,,,,,,,,,,,,,7,127,0,,,
51,control_change,0,0,1,,,,,,,,,,,,,,,10,64,0,,,
66,control_change,15,0,1,,,,,,,,,,,,,,,11,100,0,,,
72,control_change,6,0,1,,,,,,,,,,,,,,,1,0,0,,,
78,control_change,6,0,1,,,,,,,,,,,,,,,91,76,0,,,
84,control_change,6,0,1,,,,,,,,,,,,,,,93,3,0,,,
90,text,6,1,1,,,,,,,,,,,,,,,,,,,,
90,control_change,0,0,1,,,,,,,,,,,,,,,101,0,0,,,
92,control_change,2,0,1,,,,,,,,,,,,,,,100,0,0,,,
94,control_change,2,0,1,,,,,,,,,,,,,,,6,12,0,,,
96,text,2,1,1,,,,,,,,,,,,,,,,,,,,
96,control_change,0,0,1,,,,,,,,,,,,,,,99,1,0,,,
98,control_change,2,0,1,,,,,,,,,,,,,,,98,32,0,,,
100,control_change,2,0,1,,,,,,,,,,,,,,,6,62,0,,,
102,control_change,0,0,1,,,,,,,,,,,,,,,98,33,0,,,
102,text,2,1,1,,,,,,,,,,,,,,,,,,,,
104,control_change,2,0,1,,,,,,,,,,,,,,,6,62,0,,,
108,control_change,0,0,1,,,,,,,,,,,,,,,98,99,0,,,
108,text,4,1,1,,,,,,,,,,,,,,,,,,,,
110,control_change,2,0,1,,,,,,,,,,,,,,,6,64,0,,,
114,text,4,1,1,,,,,,,,,,,,,,,,,,,,
114,control_change,0,0,1,,,,,,,,,,,,,,,98,100,0,,,
116,control_change,2,0,1,,,,,,,,,,,,,,,6,72,0,,,
120,text,4,1,1,,,,,,,,,,,,,,,,,,,,
120,control_change,0,0,1,,,,,,,,,,,,,,,98,102,0,,,
122,control_change,2,0,1,,,,,,,,,,,,,,,6,68,0,,,
144,text,144,1,4,,,,,,,,,,,,,,,,,,,,
288,note_on,288,0,2,,,,,,,,,,,,,,,,,0,,62,39
288,note_on,166,0,1,,,,,,,,,,,,,,,,,0,,74,48
288,time_signature,288,1,0,,,,,,,,,3,8,12,8,,,,,,,,
288,note_on,0,0,2,,,,,,,,,,,,,,,,,0,,58,33
304,note_on,16,0,1,,,,,,,,,,,,,,,,,0,,74,0
304,note_on,16,0,2,,,,,,,,,,,,,,,,,0,,58,0
304,note_on,0,0,2,,,,,,,,,,,,,,,,,0,,62,0
306,note_on,0,0,1,,,,,,,,,,,,,,,,,0,,69,38
306,note_on,2,0,1,,,,,,,,,,,,,,,,,0,,77,56
306,note_on,2,0,2,,,,,,,,,,,,,,,,,0,,60,48
306,note_on,0,0,2,,,,,,,,,,,,,,,,,0,,53,44
306,set_tempo,18,1,0,,,,,,,,,,,,,,535714,,,,,,
311,note_on,0,0,2,,,,,,,,,,,,,,,,,0,,60,0
311,note_on,5,0,2,,,,,,,,,,,,,,,,,0,,53,0
311,note_on,5,0,1,,,,,,,,,,,,,,,,,0,,69,0
311,note_on,0,0,1,,,,,,,,,,,,,,,,,0,,77,0
312,note_on,1,0,1,,,,,,,,,,,,,,,,,0,,77,62
312,note_on,0,0,2,,,,,,,,,,,,,,,,,0,,57,50
312,note_on,1,0,2,,,,,,,,,,,,,,,,,0,,60,54
312,note_on,0,0,1,,,,,,,,,,,,,,,,,0,,72,56
312,set_tempo,6,1,0,,,,,,,,,,,,,,500000,,,,,,
334,note_on,0,0,2,,,,,,,,,,,,,,,,,0,,60,0
334,note_on,22,0,1,,,,,,,,,,,,,,,,,0,,72,0
334,note_on,0,0,1,,,,,,,,,,,,,,,,,0,,77,0
334,note_on,22,0,2,,,,,,,,,,,,,,,,,0,,57,0
336,set_tempo,24,1,0,,,,,,,,,,,,,,508475,,,,,,
336,note_on,0,0,2,,,,,,,,,,,,,,,,,0,,58,37
336,note_on,2,0,2,,,,,,,,,,,,,,,,,0,,62,40
336,note_on,2,0,1,,,,,,,,,,,,,,,,,0,,74,50
336,note_on,0,0,1,,,,,,,,,,,,,,,,,0,,65,44
342,note_on,0,0,1,,,,,,,,,,,,,,,,,0,,74,0
342,note_on,6,0,1,,,,,,,,,,,,,,,,,0,,65,0
342,note_on,0,0,2,,,,,,,,,,,,,,,,,0,,62,0
342,note_on,6,0,2,,,,,,,,,,,,,,,,,0,,58,0
360,note_on,18,0,1,,,,,,,,,,,,,,,,,0,,70,48
360,note_on,0,0,2,,,,,,,,,,,,,,,,,0,,55,34
360,note_on,18,0,2,,,,,,,,,,,,,,,,,0,,58,40
376,note_on,0,0,2,,,,,,,,,,,,,,,,,0,,58,0
376,note_on,16,0,2,,,,,,,,,,,,,,,,,0,,55,0
376,note_on,16,0,1,,,,,,,,,,,,,,,,,0,,70,0
378,note_on,0,0,1,,,,,,,,,,,,,,,,,0,,66,46
378,note_on,2,0,1,,,,,,,,,,,,,,,,,0,,74,53
378,note_on,2,0,2,,,,,,,,,,,,,,,,,0,,57,49
378,set_tempo,42,1,0,,,,,,,,,,,,,,535714,,,,,,
378,note_on,0,0,2,,,,,,,,,,,,,,,,,0,,50,46
383,note_on,5,0,1,,,,,,,,,,,,,,,,,0,,66,0
383,note_on,0,0,2,,,,,,,,,,,,,,,,,0,,57,0
383,note_on,5,0,2,,,,,,,,,,,,,,,,,0,,50,0
383,note_on,0,0,1,,,,,,,,,,,,,,,,,0,,74,0
384,note_on,1,0,2,,,,,,,,,,,,,,,,,0,,57,55
384,note_on,0,0,2,,,,,,,,,,,,,,,,,0,,54,51
384,set_tempo,6,1,0,,,,,,,,,,,,,,500000,,,,,,
384,note_on,1,0,1,,,,,,,,,,,,,,,,,0,,74,61
384,note_on,0,0,1,,,,,,,,,,,,,,,,,0,,69,56
406,note_on,22,0,2,,,,,,,,,,,,,,,,,0,,54,0
406,note_on,0,0,2,,,,,,,,,,,,,,,,,0,,57,0
406,note_on,22,0,1,,,,,,,,,,,,,,,,,0,,69,0
406,note_on,0,0,1,,,,,,,,,,,,,,,,,0,,74,0
408,note_on,2,0,1,,,,,,,,,,,,,,,,,0,,70,47
408,note_on,2,0,2,,,,,,,,,,,,,,,,,0,,58,40
408,note_on,0,0,2,,,,,,,,,,,,,,,,,0,,55,36
408,set_tempo,24,1,0,,,,,,,,,,,,,,508475,,,,,,
408,note_on,0,0,1,,,,,,,,,,,,,,,,,0,,62,44
414,note_on,0,0,1,,,,,,,,,,,,,,,,,0,,70,0
414,note_on,0,0,2,,,,,,,,,,,,,,,,,0,,58,0
414,note_on,6,0,2,,,,,,,,,,,,,,,,,0,,55,0
414,note_on,6,0,1,,,,,,,,,,,,,,,,,0,,62,0
420,set_tempo,12,1,0,,,,,,,,,,,,,,517241,,,,,,
432,note_on,18,0,2,,,,,,,,,,,,,,,,,0,,55,42
432,note_on,0,0,2,,,,,,,,,,,,,,,,,0,,51,39
432,note_on,18,0,1,,,,,,,,,,,,,,,,,0,,67,49
448,note_on,16,0,2,,,,,,,,,,,,,,,,,0,,51,0
448,note_on,0,0,2,,,,,,,,,,,,,,,,,0,,55,0
448,note_on,16,0,1,,,,,,,,,,,,,,,,,0,,67,0
