tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,data,tempo,control,value,channel,program,note,velocity
0,time_signature,4,4,96,8,0,1,0,,,,,,,,
0,program_change,,,,,0,0,3,,,,,4,2,,
0,control_change,,,,,0,0,3,,,0,0,4,,,
0,track_name,,,,,0,1,3,,,,,,,,
0,note_on,,,,,0,0,1,,,,,1,,56,50
0,program_change,,,,,0,0,1,,,,,1,1,,
0,control_change,,,,,0,0,1,,,7,122,1,,,
0,control_change,,,,,0,0,1,,,0,0,1,,,
0,control_change,,,,,0,0,3,,,7,127,4,,,
0,track_name,,,,,0,1,1,,,,,,,,
0,control_change,,,,,0,0,2,,,0,0,2,,,
0,program_change,,,,,0,0,2,,,,,2,1,,
0,control_change,,,,,0,0,2,,,7,120,2,,,
0,note_on,,,,,0,0,2,,,,,2,,37,60
0,note_on,,,,,0,0,2,,,,,2,,49,60
0,set_tempo,,,,,0,1,0,,1153846,,,,,,
0,sequencer_specific,,,,,0,1,0,"(0, 0, 119, 14, 0)",,,,,,,
0,sequencer_specific,,,,,0,1,0,"(0, 0, 65)",,,,,,,
0,track_name,,,,,0,1,2,,,,,,,,
0,note_on,,,,,0,0,3,,,,,4,,56,50
128,note_on,,,,,128,0,1,,,,,1,,61,50
256,note_on,,,,,128,0,1,,,,,1,,64,50
384,note_on,,,,,0,0,1,,,,,1,,56,50
384,note_off,,,,,128,0,1,,,,,1,,56,64
384,note_off,,,,,384,0,3,,,,,4,,56,64
512,note_off,,,,,128,0,1,,,,,1,,61,64
512,note_on,,,,,0,0,1,,,,,1,,61,50
640,note_off,,,,,128,0,1,,,,,1,,64,64
640,note_on,,,,,0,0,1,,,,,1,,64,50
768,note_on,,,,,0,0,1,,,,,1,,56,50
768,note_off,,,,,128,0,1,,,,,1,,56,64
896,note_on,,,,,0,0,1,,,,,1,,61,50
896,note_off,,,,,128,0,1,,,,,1,,61,64
1024,note_on,,,,,0,0,1,,,,,1,,64,50
1024,note_off,,,,,128,0,1,,,,,1,,64,64
1152,note_off,,,,,128,0,1,,,,,1,,56,64
1152,note_on,,,,,0,0,1,,,,,1,,56,50
1280,note_off,,,,,128,0,1,,,,,1,,61,64
1280,note_on,,,,,0,0,1,,,,,1,,61,50
1408,note_off,,,,,128,0,1,,,,,1,,64,64
1408,note_on,,,,,0,0,1,,,,,1,,64,50
1536,note_on,,,,,0,0,2,,,,,2,,35,60
1536,note_off,,,,,0,0,2,,,,,2,,49,64
1536,note_off,,,,,1536,0,2,,,,,2,,37,64
1536,note_on,,,,,0,0,2,,,,,2,,47,60
1536,note_on,,,,,0,0,1,,,,,1,,56,50
1536,note_off,,,,,128,0,1,,,,,1,,56,64
1664,note_off,,,,,128,0,1,,,,,1,,61,64
1664,note_on,,,,,0,0,1,,,,,1,,61,50
1792,note_off,,,,,128,0,1,,,,,1,,64,64
1792,note_on,,,,,0,0,1,,,,,1,,64,50
1920,note_off,,,,,128,0,1,,,,,1,,56,64
1920,note_on,,,,,0,0,1,,,,,1,,56,50
2048,note_off,,,,,128,0,1,,,,,1,,61,64
2048,note_on,,,,,0,0,1,,,,,1,,61,50
2176,note_on,,,,,0,0,1,,,,,1,,64,50
2176,note_off,,,,,128,0,1,,,,,1,,64,64
2304,note_off,,,,,128,0,1,,,,,1,,56,64
2304,note_on,,,,,0,0,1,,,,,1,,56,50
2432,note_off,,,,,128,0,1,,,,,1,,61,64
2432,note_on,,,,,0,0,1,,,,,1,,61,50
2560,note_off,,,,,128,0,1,,,,,1,,64,64
2560,note_on,,,,,0,0,1,,,,,1,,64,50
2688,note_off,,,,,128,0,1,,,,,1,,56,64
2688,note_on,,,,,0,0,1,,,,,1,,56,50
2816,note_off,,,,,128,0,1,,,,,1,,61,64
2816,note_on,,,,,0,0,1,,,,,1,,61,50
2944,note_on,,,,,0,0,1,,,,,1,,64,50
2944,note_off,,,,,128,0,1,,,,,1,,64,64
3072,note_on,,,,,0,0,1,,,,,1,,57,50
3072,note_off,,,,,128,0,1,,,,,1,,56,64
3072,note_off,,,,,0,0,2,,,,,2,,47,64
3072,note_off,,,,,1536,0,2,,,,,2,,35,64
3072,note_on,,,,,0,0,2,,,,,2,,33,60
3072,note_on,,,,,0,0,2,,,,,2,,45,60
3200,note_on,,,,,0,0,1,,,,,1,,61,50
3200,note_off,,,,,128,0,1,,,,,1,,61,64
3328,note_on,,,,,0,0,1,,,,,1,,64,50
3328,note_off,,,,,128,0,1,,,,,1,,64,64
3456,note_off,,,,,128,0,1,,,,,1,,57,64
3456,note_on,,,,,0,0,1,,,,,1,,57,50
3584,note_off,,,,,128,0,1,,,,,1,,61,64
3584,note_on,,,,,0,0,1,,,,,1,,61,50
3712,note_off,,,,,128,0,1,,,,,1,,64,64
3712,note_on,,,,,0,0,1,,,,,1,,64,50
3840,note_on,,,,,3456,0,3,,,,,4,,57,50
3840,note_off,,,,,128,0,1,,,,,1,,57,64
3840,note_on,,,,,0,0,1,,,,,1,,57,50
3840,note_on,,,,,0,0,2,,,,,2,,42,60
3840,note_on,,,,,0,0,2,,,,,2,,30,60
3840,note_off,,,,,0,0,2,,,,,2,,45,64
3840,note_off,,,,,768,0,2,,,,,2,,33,64
3968,note_off,,,,,128,0,1,,,,,1,,61,64
3968,note_on,,,,,0,0,1,,,,,1,,62,50
4096,note_on,,,,,0,0,1,,,,,1,,66,50
4096,note_off,,,,,128,0,1,,,,,1,,64,64
4224,note_off,,,,,384,0,3,,,,,4,,57,64
4224,note_off,,,,,128,0,1,,,,,1,,57,64
4224,note_on,,,,,0,0,1,,,,,1,,57,50
4352,note_off,,,,,128,0,1,,,,,1,,62,64
4352,note_on,,,,,0,0,1,,,,,1,,62,50
4480,note_on,,,,,0,0,1,,,,,1,,66,50
4480,note_off,,,,,128,0,1,,,,,1,,66,64
4608,note_off,,,,,128,0,1,,,,,1,,57,64
4608,note_on,,,,,0,0,1,,,,,1,,56,50
4608,note_on,,,,,384,0,3,,,,,4,,56,50
4608,note_on,,,,,0,0,2,,,,,2,,44,60
4608,note_on,,,,,0,0,2,,,,,2,,32,60
4608,note_off,,,,,0,0,2,,,,,2,,42,64
4608,note_off,,,,,768,0,2,,,,,2,,30,64
4736,note_on,,,,,0,0,1,,,,,1,,60,50
4736,note_off,,,,,128,0,1,,,,,1,,62,64
4736,note_on,,,,,128,0,3,,,,,4,,60,50
4864,note_on,,,,,0,0,1,,,,,1,,66,50
4864,note_off,,,,,128,0,1,,,,,1,,66,64
4992,note_on,,,,,0,0,1,,,,,1,,56,50
4992,note_off,,,,,128,0,1,,,,,1,,56,64
4992,note_off,,,,,256,0,3,,,,,4,,56,64
5120,note_on,,,,,0,0,1,,,,,1,,61,50
5120,note_off,,,,,128,0,1,,,,,1,,60,64
5120,note_on,,,,,0,0,3,,,,,4,,61,50
5120,note_off,,,,,128,0,3,,,,,4,,60,64
5248,note_off,,,,,128,0,1,,,,,1,,66,64
5248,note_on,,,,,0,0,1,,,,,1,,64,50
5376,note_off,,,,,128,0,1,,,,,1,,56,64
5376,note_on,,,,,0,0,1,,,,,1,,56,50
5376,note_on,,,,,0,0,2,,,,,2,,44,60
5376,note_off,,,,,0,0,2,,,,,2,,44,64
5376,note_off,,,,,768,0,2,,,,,2,,32,64
5376,note_on,,,,,0,0,2,,,,,2,,32,60
5504,note_off,,,,,128,0,1,,,,,1,,61,64
5504,note_on,,,,,0,0,3,,,,,4,,61,50
5504,note_on,,,,,0,0,1,,,,,1,,61,50
5504,note_off,,,,,384,0,3,,,,,4,,61,64
5632,note_on,,,,,0,0,1,,,,,1,,63,50
5632,note_off,,,,,128,0,1,,,,,1,,64,64
5760,note_off,,,,,128,0,1,,,,,1,,56,64
5760,note_on,,,,,256,0,3,,,,,4,,54,50
5760,note_on,,,,,0,0,1,,,,,1,,54,50
5888,note_on,,,,,0,0,3,,,,,4,,60,50
5888,note_on,,,,,0,0,1,,,,,1,,60,50
5888,note_off,,,,,128,0,1,,,,,1,,61,64
5888,note_off,,,,,128,0,3,,,,,4,,61,64
6016,note_off,,,,,128,0,1,,,,,1,,63,64
6016,note_on,,,,,0,0,1,,,,,1,,63,50
6080,note_off,,,,,192,0,3,,,,,4,,60,64
6144,note_off,,,,,128,0,1,,,,,1,,54,64
6144,note_on,,,,,0,0,1,,,,,1,,52,50
6144,note_on,,,,,0,0,3,,,,,4,,52,50
6144,note_on,,,,,0,0,2,,,,,2,,37,50
6144,note_on,,,,,0,0,2,,,,,2,,44,50
6144,note_on,,,,,0,0,2,,,,,2,,49,50
6144,note_off,,,,,0,0,2,,,,,2,,32,64
6144,note_off,,,,,768,0,2,,,,,2,,44,64
6144,note_off,,,,,64,0,3,,,,,4,,54,64
6272,note_on,,,,,0,0,1,,,,,1,,56,50
6272,note_off,,,,,128,0,1,,,,,1,,60,64
6400,note_off,,,,,128,0,1,,,,,1,,63,64
6400,note_on,,,,,0,0,1,,,,,1,,61,50
6528,note_off,,,,,128,0,1,,,,,1,,52,64
6528,note_on,,,,,0,0,1,,,,,1,,56,50
6528,note_off,,,,,384,0,3,,,,,4,,52,64
6656,note_off,,,,,128,0,1,,,,,1,,56,64
6656,note_on,,,,,0,0,1,,,,,1,,61,50
6784,note_on,,,,,0,0,1,,,,,1,,64,50
6784,note_off,,,,,128,0,1,,,,,1,,61,64
6912,note_off,,,,,128,0,1,,,,,1,,56,64
6912,note_on,,,,,0,0,1,,,,,1,,56,50
7040,note_on,,,,,0,0,1,,,,,1,,61,50
7040,note_off,,,,,128,0,1,,,,,1,,61,64
7168,note_on,,,,,0,0,1,,,,,1,,64,50
7168,note_off,,,,,128,0,1,,,,,1,,64,64
7296,note_off,,,,,128,0,1,,,,,1,,56,64
7296,note_on,,,,,0,0,1,,,,,1,,68,65
7296,note_on,,,,,0,0,1,,,,,1,,56,50
7424,note_off,,,,,128,0,1,,,,,1,,61,64
7424,note_off,,,,,0,0,1,,,,,1,,56,64
7424,note_on,,,,,0,0,1,,,,,1,,61,50
7552,note_off,,,,,0,0,1,,,,,1,,61,64
7552,note_on,,,,,0,0,1,,,,,1,,64,50
7552,note_off,,,,,128,0,1,,,,,1,,64,64
7584,note_off,,,,,32,0,1,,,,,1,,68,64
7584,note_on,,,,,0,0,1,,,,,1,,68,65
7680,note_off,,,,,96,0,1,,,,,1,,64,64
7680,note_off,,,,,0,0,1,,,,,1,,68,64
7680,note_on,,,,,0,0,1,,,,,1,,56,50
7680,note_on,,,,,0,0,1,,,,,1,,68,65
7680,note_on,,,,,0,0,2,,,,,2,,36,50
7680,note_on,,,,,0,0,2,,,,,2,,44,50
7680,note_off,,,,,0,0,2,,,,,2,,44,64
7680,note_off,,,,,1536,0,2,,,,,2,,49,64
7680,note_off,,,,,0,0,2,,,,,2,,37,64
7680,note_on,,,,,0,0,2,,,,,2,,48,50
7808,note_on,,,,,128,0,1,,,,,1,,63,50
7936,note_off,,,,,128,0,1,,,,,1,,56,64
7936,note_on,,,,,0,0,1,,,,,1,,66,50
7936,note_off,,,,,0,0,1,,,,,1,,63,64
8064,note_on,,,,,0,0,1,,,,,1,,56,50
8064,note_off,,,,,128,0,1,,,,,1,,66,64
8192,note_on,,,,,128,0,1,,,,,1,,63,50
8320,note_on,,,,,0,0,1,,,,,1,,66,50
8320,note_off,,,,,0,0,1,,,,,1,,63,64
8320,note_off,,,,,128,0,1,,,,,1,,56,64
8448,note_off,,,,,128,0,1,,,,,1,,66,64
8448,note_on,,,,,0,0,1,,,,,1,,56,50
8576,note_on,,,,,128,0,1,,,,,1,,63,50
8704,note_off,,,,,0,0,1,,,,,1,,63,64
8704,note_on,,,,,0,0,1,,,,,1,,66,50
8704,note_off,,,,,128,0,1,,,,,1,,56,64
8832,note_on,,,,,0,0,1,,,,,1,,68,65
8832,note_off,,,,,128,0,1,,,,,1,,68,64
8832,note_off,,,,,0,0,1,,,,,1,,66,64
8832,note_on,,,,,0,0,1,,,,,1,,56,50
8960,note_on,,,,,128,0,1,,,,,1,,63,50
9088,note_off,,,,,128,0,1,,,,,1,,56,64
9088,note_off,,,,,0,0,1,,,,,1,,63,64
9088,note_on,,,,,0,0,1,,,,,1,,66,50
9120,note_off,,,,,32,0,1,,,,,1,,68,64
9120,note_on,,,,,0,0,1,,,,,1,,68,65
9216,note_on,,,,,0,0,2,,,,,2,,37,50
9216,note_off,,,,,1536,0,2,,,,,2,,36,64
9216,note_off,,,,,96,0,1,,,,,1,,66,64
9216,note_off,,,,,0,0,1,,,,,1,,68,64
9216,note_on,,,,,0,0,1,,,,,1,,56,50
9216,note_on,,,,,0,0,1,,,,,1,,68,65
9216,note_off,,,,,0,0,2,,,,,2,,44,64
9216,note_off,,,,,0,0,2,,,,,2,,48,64
9216,note_on,,,,,0,0,2,,,,,2,,49,50
9344,note_on,,,,,128,0,1,,,,,1,,61,50
9472,note_off,,,,,0,0,1,,,,,1,,61,64
9472,note_on,,,,,0,0,1,,,,,1,,64,50
9472,note_off,,,,,128,0,1,,,,,1,,56,64
9600,note_off,,,,,128,0,1,,,,,1,,64,64
9600,note_on,,,,,0,0,1,,,,,1,,56,50
9728,note_on,,,,,128,0,1,,,,,1,,61,50
9856,note_off,,,,,128,0,1,,,,,1,,56,64
9856,note_off,,,,,0,0,1,,,,,1,,61,64
9856,note_on,,,,,0,0,1,,,,,1,,64,50
9984,note_on,,,,,0,0,1,,,,,1,,69,65
9984,note_on,,,,,0,0,1,,,,,1,,57,50
9984,note_off,,,,,0,0,1,,,,,1,,64,64
9984,note_off,,,,,0,0,2,,,,,2,,49,64
9984,note_off,,,,,768,0,2,,,,,2,,37,64
9984,note_on,,,,,0,0,2,,,,,2,,30,50
9984,note_off,,,,,128,0,1,,,,,1,,68,64
9984,note_on,,,,,0,0,2,,,,,2,,42,50
10112,note_on,,,,,128,0,1,,,,,1,,61,50
10240,note_off,,,,,128,0,1,,,,,1,,57,64
10240,note_on,,,,,0,0,1,,,,,1,,66,50
10240,note_off,,,,,0,0,1,,,,,1,,61,64
10368,note_on,,,,,0,0,1,,,,,1,,57,50
10368,note_off,,,,,128,0,1,,,,,1,,66,64
10496,note_on,,,,,128,0,1,,,,,1,,61,50
10624,note_off,,,,,0,0,1,,,,,1,,61,64
10624,note_off,,,,,128,0,1,,,,,1,,57,64
10624,note_on,,,,,0,0,1,,,,,1,,66,50
10752,note_on,,,,,0,0,2,,,,,2,,35,50
10752,note_on,,,,,0,0,2,,,,,2,,47,50
10752,note_off,,,,,0,0,2,,,,,2,,42,64
10752,note_off,,,,,768,0,2,,,,,2,,30,64
