tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,program,pitch,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,64,0,2,,,,
0,control_change,0,0,3,,,,,,,93,28,2,,,,
0,control_change,0,0,3,,,,,,,91,91,2,,,,
0,control_change,0,0,3,,,,,,,10,64,2,,,,
0,program_change,0,0,3,,,,,,,,,2,0,,,
0,control_change,0,0,3,,,,,,,32,0,2,,,,
0,control_change,0,0,3,,,,,,,0,0,2,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,10,64,1,,,,
0,control_change,0,0,2,,,,,,,91,91,1,,,,
0,control_change,0,0,2,,,,,,,93,28,1,,,,
0,control_change,0,0,2,,,,,,,64,0,1,,,,
0,control_change,0,0,2,,,,,,,1,0,1,,,,
0,control_change,0,0,3,,,,,,,1,0,2,,,,
0,pitchwheel,0,0,2,,,,,,,,,1,,0,,
0,program_change,0,0,2,,,,,,,,,1,0,,,
0,control_change,0,0,2,,,,,,,32,0,1,,,,
0,control_change,0,0,2,,,,,,,0,0,1,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,pitchwheel,0,0,1,,,,,,,,,0,,0,,
0,program_change,0,0,1,,,,,,,,,0,0,,,
0,control_change,0,0,1,,,,,,,10,73,0,,,,
0,control_change,0,0,1,,,,,,,91,91,0,,,,
0,control_change,0,0,1,,,,,,,93,28,0,,,,
0,control_change,0,0,1,,,,,,,64,0,0,,,,
0,control_change,0,0,1,,,,,,,1,0,0,,,,
0,control_change,0,0,1,,,,,,,7,127,0,,,,
0,control_change,0,0,1,,,,,,,32,0,0,,,,
0,control_change,0,0,2,,,,,,,7,122,1,,,,
0,control_change,0,0,1,,,,,,,0,0,0,,,,
0,pitchwheel,0,0,3,,,,,,,,,2,,0,,
0,pitchwheel,0,0,4,,,,,,,,,3,,0,,
0,time_signature,0,1,0,4,4,24,8,,,,,,,,,
0,key_signature,0,1,0,,,,,C,,,,,,,,
0,set_tempo,0,1,0,,,,,,500000,,,,,,,
0,marker,0,1,0,,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,10,55,3,,,,
0,control_change,0,0,4,,,,,,,7,122,3,,,,
0,control_change,0,0,4,,,,,,,91,91,3,,,,
0,control_change,0,0,4,,,,,,,93,28,3,,,,
0,control_change,0,0,4,,,,,,,64,0,3,,,,
0,control_change,0,0,4,,,,,,,1,0,3,,,,
0,control_change,0,0,3,,,,,,,7,117,2,,,,
0,program_change,0,0,4,,,,,,,,,3,0,,,
0,control_change,0,0,4,,,,,,,32,0,3,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,0,0,3,,,,
1920,set_tempo,1920,1,0,,,,,,389610,,,,,,,
1920,marker,0,1,0,,,,,,,,,,,,,
1920,note_on,1920,0,1,,,,,,,,,0,,,71,38
2160,note_on,0,0,3,,,,,,,,,2,,,56,36
2160,note_on,2160,0,4,,,,,,,,,3,,,52,36
2160,note_on,2160,0,3,,,,,,,,,2,,,59,36
2400,note_on,0,0,3,,,,,,,,,2,,,56,36
2400,note_off,240,0,4,,,,,,,,,3,,,52,0
2400,note_on,0,0,4,,,,,,,,,3,,,52,36
2400,note_on,0,0,3,,,,,,,,,2,,,59,36
2400,note_off,0,0,3,,,,,,,,,2,,,59,0
2400,note_off,240,0,3,,,,,,,,,2,,,56,0
2640,note_off,0,0,3,,,,,,,,,2,,,59,0
2640,note_on,0,0,3,,,,,,,,,2,,,59,36
2640,note_on,0,0,3,,,,,,,,,2,,,56,36
2640,note_on,0,0,4,,,,,,,,,3,,,52,36
2640,note_off,240,0,3,,,,,,,,,2,,,56,0
2640,note_off,240,0,4,,,,,,,,,3,,,52,0
2880,note_off,240,0,4,,,,,,,,,3,,,52,0
2880,note_off,240,0,3,,,,,,,,,2,,,56,0
2880,note_on,0,0,1,,,,,,,,,0,,,76,40
2880,note_on,2880,0,2,,,,,,,,,1,,,64,40
2880,note_off,960,0,1,,,,,,,,,0,,,71,0
2880,note_off,0,0,3,,,,,,,,,2,,,59,0
3120,note_on,240,0,4,,,,,,,,,3,,,52,37
3120,note_on,0,0,3,,,,,,,,,2,,,59,37
3120,note_on,240,0,3,,,,,,,,,2,,,56,37
3360,note_off,240,0,4,,,,,,,,,3,,,52,0
3360,note_on,0,0,4,,,,,,,,,3,,,52,37
3360,note_on,0,0,3,,,,,,,,,2,,,59,37
3360,note_off,0,0,3,,,,,,,,,2,,,56,0
3360,note_off,240,0,3,,,,,,,,,2,,,59,0
3360,note_on,0,0,3,,,,,,,,,2,,,56,37
3600,note_on,0,0,3,,,,,,,,,2,,,59,37
3600,note_off,0,0,3,,,,,,,,,2,,,56,0
3600,note_off,240,0,3,,,,,,,,,2,,,59,0
3600,note_on,0,0,3,,,,,,,,,2,,,56,37
3600,note_off,240,0,4,,,,,,,,,3,,,52,0
3600,note_on,0,0,4,,,,,,,,,3,,,52,37
3840,note_off,0,0,3,,,,,,,,,2,,,59,0
3840,note_off,960,0,2,,,,,,,,,1,,,64,0
3840,note_off,960,0,1,,,,,,,,,0,,,76,0
3840,note_on,0,0,1,,,,,,,,,0,,,73,41
3840,marker,0,1,0,,,,,,,,,,,,,
3840,note_off,240,0,3,,,,,,,,,2,,,56,0
3840,set_tempo,1920,1,0,,,,,,389610,,,,,,,
3840,note_off,240,0,4,,,,,,,,,3,,,52,0
4080,note_on,0,0,3,,,,,,,,,2,,,57,38
4080,note_on,240,0,4,,,,,,,,,3,,,52,38
4080,note_on,240,0,3,,,,,,,,,2,,,61,38
4320,note_on,0,0,4,,,,,,,,,3,,,52,38
4320,note_off,0,0,3,,,,,,,,,2,,,61,0
4320,note_on,0,0,3,,,,,,,,,2,,,61,38
4320,note_off,240,0,3,,,,,,,,,2,,,57,0
4320,note_on,0,0,3,,,,,,,,,2,,,57,38
4320,note_off,240,0,4,,,,,,,,,3,,,52,0
4560,note_on,0,0,3,,,,,,,,,2,,,57,38
4560,note_on,0,0,4,,,,,,,,,3,,,52,38
4560,note_off,240,0,3,,,,,,,,,2,,,57,0
4560,note_off,0,0,3,,,,,,,,,2,,,61,0
4560,note_on,0,0,3,,,,,,,,,2,,,61,38
4560,note_off,240,0,4,,,,,,,,,3,,,52,0
4800,note_off,0,0,3,,,,,,,,,2,,,61,0
4800,note_on,0,0,1,,,,,,,,,0,,,78,43
4800,note_off,960,0,1,,,,,,,,,0,,,73,0
4800,note_on,960,0,2,,,,,,,,,1,,,66,43
4800,note_off,240,0,4,,,,,,,,,3,,,52,0
4800,note_off,240,0,3,,,,,,,,,2,,,57,0
5040,note_on,0,0,3,,,,,,,,,2,,,61,39
5040,note_on,240,0,3,,,,,,,,,2,,,57,39
5040,note_on,240,0,4,,,,,,,,,3,,,52,39
5280,note_off,240,0,3,,,,,,,,,2,,,61,0
5280,note_off,0,0,3,,,,,,,,,2,,,57,0
5280,note_on,0,0,3,,,,,,,,,2,,,57,39
5280,note_on,0,0,3,,,,,,,,,2,,,61,39
5280,note_off,240,0,4,,,,,,,,,3,,,52,0
5280,note_on,0,0,4,,,,,,,,,3,,,52,39
5520,note_off,0,0,3,,,,,,,,,2,,,57,0
5520,note_on,0,0,3,,,,,,,,,2,,,61,39
5520,note_on,0,0,3,,,,,,,,,2,,,57,39
5520,note_off,240,0,4,,,,,,,,,3,,,52,0
