tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity,pitch
0,track_name,0,1,0,,,,,,,,,,,,,,
0,program_change,0,0,2,,,,,,,,0,1,,,,,
0,control_change,0,0,2,,,,,,,,,1,7,101,,,
0,control_change,0,0,2,,,,,,,,,1,10,88,,,
0,control_change,0,0,2,,,,,,,,,1,93,9,,,
0,control_change,0,0,2,,,,,,,,,1,91,27,,,
0,track_name,0,1,2,,,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,,0,91,19,,,
0,control_change,0,0,1,,,,,,,,,0,93,10,,,
0,control_change,0,0,1,,,,,,,,,0,10,44,,,
0,control_change,0,0,1,,,,,,,,,0,7,113,,,
0,program_change,0,0,1,,,,,,,,0,0,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,,
0,set_tempo,0,1,0,,,,,,576923,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,,,
0,key_signature,0,1,0,,,,,C,,,,,,,,,
0,time_signature,0,1,0,3,8,12,8,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,
40,control_change,40,0,2,,,,,,,,,1,121,0,,,
160,pitchwheel,120,0,2,,,,,,,,,1,,,,,0
180,note_on,20,0,2,,,,,,,,,1,,,60,55,
180,note_on,180,0,1,,,,,,,,,0,,,79,61,
210,note_on,0,0,2,,,,,,,,,1,,,64,56,
210,note_on,30,0,2,,,,,,,,,1,,,60,0,
240,note_on,60,0,1,,,,,,,,,0,,,79,0,
240,note_on,0,0,1,,,,,,,,,0,,,79,61,
240,note_on,0,0,2,,,,,,,,,1,,,67,57,
240,note_on,30,0,2,,,,,,,,,1,,,64,0,
270,note_on,30,0,2,,,,,,,,,1,,,67,0,
270,note_on,0,0,2,,,,,,,,,1,,,64,58,
300,note_on,60,0,1,,,,,,,,,0,,,79,0,
300,note_on,0,0,2,,,,,,,,,1,,,67,58,
300,note_on,30,0,2,,,,,,,,,1,,,64,0,
300,note_on,0,0,1,,,,,,,,,0,,,79,61,
330,note_on,0,0,2,,,,,,,,,1,,,64,58,
330,note_on,30,0,2,,,,,,,,,1,,,67,0,
360,note_on,0,0,1,,,,,,,,,0,,,76,60,
360,note_on,60,0,1,,,,,,,,,0,,,79,0,
360,note_on,0,0,2,,,,,,,,,1,,,60,58,
360,note_on,30,0,2,,,,,,,,,1,,,64,0,
390,note_on,0,0,2,,,,,,,,,1,,,64,59,
390,note_on,30,0,2,,,,,,,,,1,,,60,0,
420,note_on,30,0,2,,,,,,,,,1,,,64,0,
420,note_on,0,0,2,,,,,,,,,1,,,67,59,
450,note_on,30,0,2,,,,,,,,,1,,,67,0,
450,note_on,0,0,2,,,,,,,,,1,,,64,59,
480,note_on,120,0,1,,,,,,,,,0,,,76,0,
480,note_on,0,0,1,,,,,,,,,0,,,72,53,
480,note_on,0,0,2,,,,,,,,,1,,,67,59,
480,note_on,30,0,2,,,,,,,,,1,,,64,0,
510,note_on,0,0,2,,,,,,,,,1,,,64,59,
510,note_on,30,0,2,,,,,,,,,1,,,67,0,
540,note_on,30,0,2,,,,,,,,,1,,,64,0,
540,note_on,0,0,2,,,,,,,,,1,,,59,59,
540,note_on,60,0,1,,,,,,,,,0,,,72,0,
540,note_on,0,0,1,,,,,,,,,0,,,79,60,
570,note_on,30,0,2,,,,,,,,,1,,,59,0,
570,note_on,0,0,2,,,,,,,,,1,,,62,59,
600,note_on,60,0,1,,,,,,,,,0,,,79,0,
600,note_on,30,0,2,,,,,,,,,1,,,62,0,
600,note_on,0,0,2,,,,,,,,,1,,,67,59,
600,note_on,0,0,1,,,,,,,,,0,,,79,62,
630,note_on,30,0,2,,,,,,,,,1,,,67,0,
