tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,data,tempo,control,value,channel,program,key,note,velocity
0,time_signature,4,4,96,8,0,1,0,,,,,,,,,
0,key_signature,,,,,0,1,7,,,,,,,C,,
0,note_on,,,,,0,0,2,,,,,1,,,67,115
0,note_on,,,,,0,0,2,,,,,1,,,62,115
0,note_on,,,,,0,0,2,,,,,1,,,58,115
0,key_signature,,,,,0,1,2,,,,,,,Gm,,
0,program_change,,,,,0,0,2,,,,,1,0,,,
0,control_change,,,,,0,0,2,,,93,102,1,,,,
0,control_change,,,,,0,0,2,,,91,50,1,,,,
0,control_change,,,,,0,0,2,,,10,51,1,,,,
0,control_change,,,,,0,0,2,,,0,0,1,,,,
0,track_name,,,,,0,1,2,,,,,,,,,
0,note_on,,,,,0,0,1,,,,,0,,,43,126
0,key_signature,,,,,0,1,1,,,,,,,Bb,,
0,program_change,,,,,0,0,1,,,,,0,42,,,
0,control_change,,,,,0,0,1,,,93,20,0,,,,
0,control_change,,,,,0,0,1,,,91,73,0,,,,
0,control_change,,,,,0,0,1,,,10,84,0,,,,
0,track_name,,,,,0,1,3,,,,,,,,,
0,control_change,,,,,0,0,3,,,0,0,2,,,,
0,control_change,,,,,0,0,3,,,10,46,2,,,,
0,control_change,,,,,0,0,3,,,91,32,2,,,,
0,end_of_track,,,,,0,1,6,,,,,,,,,
0,key_signature,,,,,0,1,6,,,,,,,C,,
0,track_name,,,,,0,1,6,,,,,,,,,
0,end_of_track,,,,,0,1,5,,,,,,,,,
0,key_signature,,,,,0,1,5,,,,,,,C,,
0,track_name,,,,,0,1,5,,,,,,,,,
0,key_signature,,,,,0,1,4,,,,,,,C,,
0,program_change,,,,,0,0,4,,,,,3,0,,,
0,control_change,,,,,0,0,1,,,0,0,0,,,,
0,control_change,,,,,0,0,4,,,10,70,3,,,,
0,track_name,,,,,0,1,4,,,,,,,,,
0,note_on,,,,,0,0,3,,,,,2,,,55,95
0,note_on,,,,,0,0,3,,,,,2,,,50,95
0,note_on,,,,,0,0,3,,,,,2,,,46,95
0,note_on,,,,,0,0,3,,,,,2,,,43,95
0,key_signature,,,,,0,1,3,,,,,,,Gm,,
0,program_change,,,,,0,0,3,,,,,2,0,,,
0,control_change,,,,,0,0,3,,,93,61,2,,,,
0,control_change,,,,,0,0,4,,,0,0,3,,,,
0,track_name,,,,,0,1,1,,,,,,,,,
0,end_of_track,,,,,0,1,7,,,,,,,,,
0,sequencer_specific,,,,,0,1,0,"(0, 0, 65)",,,,,,,,
0,sequencer_specific,,,,,0,1,0,"(0, 0, 119, 14, 0)",,,,,,,,
0,set_tempo,,,,,0,1,0,,789473,,,,,,,
384,note_off,,,,,0,0,3,,,,,2,,,46,60
384,note_off,,,,,384,0,3,,,,,2,,,43,60
384,note_off,,,,,384,0,2,,,,,1,,,58,73
384,note_off,,,,,0,0,2,,,,,1,,,62,73
384,note_off,,,,,0,0,3,,,,,2,,,50,60
384,note_off,,,,,0,0,2,,,,,1,,,67,73
384,note_off,,,,,384,0,1,,,,,0,,,43,73
384,note_off,,,,,0,0,3,,,,,2,,,55,60
576,note_on,,,,,192,0,2,,,,,1,,,86,69
712,note_off,,,,,136,0,2,,,,,1,,,86,73
716,note_on,,,,,4,0,2,,,,,1,,,84,69
760,note_off,,,,,44,0,2,,,,,1,,,84,73
768,note_on,,,,,8,0,2,,,,,1,,,82,69
904,note_off,,,,,136,0,2,,,,,1,,,82,73
908,note_on,,,,,4,0,2,,,,,1,,,81,69
952,note_off,,,,,44,0,2,,,,,1,,,81,73
960,note_on,,,,,8,0,2,,,,,1,,,79,69
1096,note_off,,,,,136,0,2,,,,,1,,,79,73
1100,note_on,,,,,4,0,2,,,,,1,,,77,69
1144,note_off,,,,,44,0,2,,,,,1,,,77,73
1152,note_on,,,,,8,0,2,,,,,1,,,75,69
1288,note_off,,,,,136,0,2,,,,,1,,,75,73
1292,note_on,,,,,4,0,2,,,,,1,,,74,69
1336,note_off,,,,,44,0,2,,,,,1,,,74,73
1344,note_on,,,,,8,0,2,,,,,1,,,72,69
1480,note_off,,,,,136,0,2,,,,,1,,,72,73
1484,note_on,,,,,4,0,2,,,,,1,,,70,69
1528,note_off,,,,,44,0,2,,,,,1,,,70,73
1536,note_on,,,,,0,0,3,,,,,2,,,60,56
1536,note_on,,,,,8,0,2,,,,,1,,,75,69
1536,note_on,,,,,0,0,2,,,,,1,,,69,69
1536,note_on,,,,,1152,0,3,,,,,2,,,63,56
1916,note_off,,,,,380,0,2,,,,,1,,,75,73
