tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity,pitch
0,track_name,0,1,0,,,,,,,,,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,,
0,program_change,0,0,5,,,,,,,,60,4,,,,,
0,midi_port,0,1,6,,,,,,,0,,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,,,
0,program_change,0,0,6,,,,,,,,56,5,,,,,
0,midi_port,0,1,7,,,,,,,0,,,,,,,
0,track_name,0,1,7,,,,,,,,,,,,,,
0,program_change,0,0,7,,,,,,,,47,6,,,,,
0,midi_port,0,1,8,,,,,,,0,,,,,,,
0,track_name,0,1,8,,,,,,,,,,,,,,
0,program_change,0,0,8,,,,,,,,0,7,,,,,
0,program_change,0,0,8,,,,,,,,0,7,,,,,
0,control_change,0,0,8,,,,,,,,,7,7,113,,,
0,control_change,0,0,8,,,,,,,,,7,10,60,,,
0,control_change,0,0,8,,,,,,,,,7,11,127,,,
0,midi_port,0,1,5,,,,,,,0,,,,,,,
0,program_change,0,0,4,,,,,,,,70,3,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,,
0,program_change,0,0,1,,,,,,,,73,0,,,,,
0,program_change,0,0,1,,,,,,,,73,0,,,,,
0,control_change,0,0,1,,,,,,,,,0,7,127,,,
0,control_change,0,0,1,,,,,,,,,0,10,62,,,
0,control_change,0,0,1,,,,,,,,,0,11,100,,,
0,control_change,0,0,1,,,,,,,,,0,64,0,,,
0,control_change,0,0,1,,,,,,,,,0,91,72,,,
0,control_change,0,0,8,,,,,,,,,7,64,64,,,
0,control_change,0,0,1,,,,,,,,,0,93,24,,,
0,note_on,0,0,1,,,,,,,,,0,,,87,94,
0,midi_port,0,1,2,,,,,,,0,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,,
0,program_change,0,0,2,,,,,,,,68,1,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,,
0,program_change,0,0,3,,,,,,,,71,2,,,,,
0,note_on,0,0,1,,,,,,,,,0,,,79,94,
0,control_change,0,0,8,,,,,,,,,7,91,64,,,
0,control_change,0,0,8,,,,,,,,,7,93,1,,,
