tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,control,value,channel,program,note,velocity
0,time_signature,3,4,24,8,0,1,0,,,,,,,
0,control_change,,,,,0,0,1,,32,2,0,,,
0,control_change,,,,,0,0,1,,7,125,0,,,
0,program_change,,,,,0,0,1,,,,0,0,,
0,track_name,,,,,0,1,5,,,,,,,
0,track_name,,,,,0,1,2,,,,,,,
0,program_change,,,,,0,0,2,,,,1,0,,
0,control_change,,,,,0,0,2,,7,120,1,,,
0,control_change,,,,,0,0,2,,11,110,1,,,
0,control_change,,,,,0,0,2,,93,10,1,,,
0,control_change,,,,,0,0,2,,91,24,1,,,
0,control_change,,,,,0,0,2,,10,60,1,,,
0,track_name,,,,,0,1,3,,,,,,,
0,end_of_track,,,,,0,1,3,,,,,,,
0,track_name,,,,,0,1,4,,,,,,,
0,end_of_track,,,,,0,1,4,,,,,,,
0,control_change,,,,,0,0,1,,0,0,0,,,
0,track_name,,,,,0,1,1,,,,,,,
0,end_of_track,,,,,0,1,5,,,,,,,
0,set_tempo,,,,,0,1,0,500000,,,,,,
1,marker,,,,,1,1,0,,,,,,,
270,control_change,,,,,270,0,1,,10,68,0,,,
330,control_change,,,,,60,0,1,,11,110,0,,,
360,control_change,,,,,30,0,1,,1,0,0,,,
390,control_change,,,,,30,0,1,,91,21,0,,,
420,control_change,,,,,30,0,1,,93,12,0,,,
450,control_change,,,,,30,0,1,,101,0,0,,,
460,control_change,,,,,10,0,1,,100,0,0,,,
470,control_change,,,,,10,0,1,,6,12,0,,,
480,control_change,,,,,10,0,1,,99,1,0,,,
490,control_change,,,,,10,0,1,,98,32,0,,,
500,control_change,,,,,10,0,1,,6,62,0,,,
510,control_change,,,,,10,0,1,,98,33,0,,,
520,control_change,,,,,10,0,1,,6,62,0,,,
540,control_change,,,,,20,0,1,,98,99,0,,,
550,control_change,,,,,10,0,1,,6,64,0,,,
570,control_change,,,,,20,0,1,,98,100,0,,,
580,control_change,,,,,10,0,1,,6,72,0,,,
600,control_change,,,,,20,0,1,,98,102,0,,,
610,control_change,,,,,10,0,1,,6,68,0,,,
719,note_on,,,,,719,0,2,,,,1,,62,55
720,note_on,,,,,1,0,2,,,,1,,58,52
720,set_tempo,,,,,0,1,0,535714,,,,,,
720,time_signature,3,8,12,8,719,1,0,,,,,,,
720,note_on,,,,,110,0,1,,,,0,,74,64
799,note_off,,,,,79,0,1,,,,0,,74,62
799,note_off,,,,,79,0,2,,,,1,,58,61
800,note_off,,,,,1,0,2,,,,1,,62,60
809,note_on,,,,,10,0,1,,,,0,,69,55
810,note_on,,,,,1,0,1,,,,0,,77,69
811,note_on,,,,,0,0,2,,,,1,,60,63
811,note_on,,,,,11,0,2,,,,1,,53,59
833,note_off,,,,,23,0,1,,,,0,,69,57
834,note_off,,,,,1,0,1,,,,0,,77,59
835,note_off,,,,,24,0,2,,,,1,,60,58
837,note_off,,,,,2,0,2,,,,1,,53,57
839,note_on,,,,,2,0,2,,,,1,,60,69
840,set_tempo,,,,,120,1,0,500000,,,,,,
840,note_on,,,,,6,0,1,,,,0,,72,69
841,note_on,,,,,1,0,1,,,,0,,77,73
841,note_on,,,,,2,0,2,,,,1,,57,66
949,note_off,,,,,108,0,2,,,,1,,60,61
950,note_off,,,,,109,0,1,,,,0,,77,60
951,note_off,,,,,2,0,2,,,,1,,57,60
951,note_off,,,,,1,0,1,,,,0,,72,62
959,note_on,,,,,8,0,1,,,,0,,74,66
959,note_on,,,,,8,0,2,,,,1,,58,53
960,note_on,,,,,1,0,1,,,,0,,65,59
960,set_tempo,,,,,120,1,0,508475,,,,,,
961,note_on,,,,,2,0,2,,,,1,,62,58
988,note_off,,,,,28,0,1,,,,0,,74,57
989,note_off,,,,,28,0,2,,,,1,,58,57
990,note_off,,,,,2,0,1,,,,0,,65,58
990,note_off,,,,,1,0,2,,,,1,,62,59
1079,note_on,,,,,89,0,2,,,,1,,58,58
1080,note_on,,,,,90,0,1,,,,0,,70,62
1080,set_tempo,,,,,120,1,0,535714,,,,,,
1081,note_on,,,,,2,0,2,,,,1,,55,51
1160,note_off,,,,,0,0,2,,,,1,,58,61
1160,note_off,,,,,79,0,2,,,,1,,55,61
1161,note_off,,,,,81,0,1,,,,0,,70,60
1169,note_on,,,,,9,0,2,,,,1,,57,65
1170,note_on,,,,,0,0,1,,,,0,,74,66
1170,note_on,,,,,9,0,1,,,,0,,66,60
1170,note_on,,,,,1,0,2,,,,1,,50,61
1193,note_off,,,,,23,0,2,,,,1,,57,59
1194,note_off,,,,,24,0,1,,,,0,,66,57
1195,note_off,,,,,1,0,1,,,,0,,74,58
1195,note_off,,,,,2,0,2,,,,1,,50,58
1199,note_on,,,,,4,0,1,,,,0,,69,69
1200,set_tempo,,,,,120,1,0,500000,,,,,,
1200,note_on,,,,,5,0,2,,,,1,,57,69
1201,note_on,,,,,1,0,2,,,,1,,54,66
1201,note_on,,,,,2,0,1,,,,0,,74,72
1309,note_off,,,,,108,0,1,,,,0,,69,61
1309,note_off,,,,,108,0,2,,,,1,,57,61
1311,note_off,,,,,2,0,1,,,,0,,74,62
1312,note_off,,,,,3,0,2,,,,1,,54,62
1320,set_tempo,,,,,120,1,0,508475,,,,,,
1320,note_on,,,,,9,0,1,,,,0,,62,59
1320,note_on,,,,,8,0,2,,,,1,,58,58
1321,note_on,,,,,1,0,2,,,,1,,55,53
1321,note_on,,,,,1,0,1,,,,0,,70,61
1349,note_off,,,,,28,0,1,,,,0,,62,59
1349,note_off,,,,,28,0,2,,,,1,,58,59
1350,note_off,,,,,1,0,2,,,,1,,55,57
1352,note_off,,,,,3,0,1,,,,0,,70,59
1380,set_tempo,,,,,60,1,0,517241,,,,,,
1440,note_on,,,,,90,0,2,,,,1,,51,56
1440,note_on,,,,,0,0,2,,,,1,,55,57
1441,note_on,,,,,89,0,1,,,,0,,67,65
1519,note_off,,,,,79,0,2,,,,1,,51,62
1520,note_off,,,,,79,0,1,,,,0,,67,60
1521,note_off,,,,,2,0,2,,,,1,,55,60
1530,note_on,,,,,9,0,2,,,,1,,46,62
1530,note_on,,,,,10,0,1,,,,0,,70,69
1530,set_tempo,,,,,150,1,0,535714,,,,,,
1530,note_on,,,,,0,0,2,,,,1,,53,66
1531,note_on,,,,,1,0,1,,,,0,,62,64
1554,note_off,,,,,24,0,2,,,,1,,53,59
1555,note_off,,,,,24,0,1,,,,0,,70,58
1556,note_off,,,,,1,0,1,,,,0,,62,57
1556,note_off,,,,,2,0,2,,,,1,,46,58
1559,note_on,,,,,3,0,1,,,,0,,70,75
1560,set_tempo,,,,,30,1,0,500000,,,,,,
1560,note_on,,,,,4,0,2,,,,1,,50,66
1561,note_on,,,,,2,0,1,,,,0,,65,68
1561,note_on,,,,,1,0,2,,,,1,,53,69
1668,note_off,,,,,107,0,1,,,,0,,70,61
1669,note_off,,,,,108,0,2,,,,1,,50,61
1670,note_off,,,,,2,0,1,,,,0,,65,60
1672,note_off,,,,,3,0,2,,,,1,,53,61
1679,note_on,,,,,9,0,1,,,,0,,58,60
1680,note_on,,,,,1,0,1,,,,0,,67,64
1680,note_on,,,,,0,0,2,,,,1,,55,60
1680,note_on,,,,,8,0,2,,,,1,,51,58
1680,set_tempo,,,,,120,1,0,508475,,,,,,
1709,note_off,,,,,29,0,1,,,,0,,58,57
