tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,port,channel,control,value,program,note,velocity
0,set_tempo,300000,0,1,0,,,,,,,,,,,,
0,midi_port,,0,1,6,,,,,,0,,,,,,
0,channel_prefix,,0,1,6,,,,,,,5,,,,,
0,control_change,,0,0,6,,,,,,,5,7,90,,,
0,control_change,,0,0,6,,,,,,,5,10,110,,,
0,control_change,,0,0,6,,,,,,,5,91,66,,,
0,program_change,,0,0,6,,,,,,,5,,,61,,
0,program_change,,0,0,6,,,,,,,5,,,61,,
0,track_name,,0,1,7,,,,,,,,,,,,
0,midi_port,,0,1,7,,,,,,0,,,,,,
0,channel_prefix,,0,1,7,,,,,,,6,,,,,
0,control_change,,0,0,7,,,,,,,6,7,90,,,
0,control_change,,0,0,7,,,,,,,6,10,25,,,
0,control_change,,0,0,7,,,,,,,6,91,66,,,
0,program_change,,0,0,7,,,,,,,6,,,47,,
0,program_change,,0,0,7,,,,,,,6,,,47,,
0,track_name,,0,1,8,,,,,,,,,,,,
0,midi_port,,0,1,8,,,,,,0,,,,,,
0,channel_prefix,,0,1,8,,,,,,,7,,,,,
0,control_change,,0,0,8,,,,,,,7,7,90,,,
0,control_change,,0,0,8,,,,,,,7,10,63,,,
0,control_change,,0,0,8,,,,,,,7,91,66,,,
0,program_change,,0,0,8,,,,,,,7,,,66,,
0,track_name,,0,1,9,,,,,,,,,,,,
0,midi_port,,0,1,9,,,,,,0,,,,,,
0,channel_prefix,,0,1,9,,,,,,,8,,,,,
0,control_change,,0,0,9,,,,,,,8,7,90,,,
0,control_change,,0,0,9,,,,,,,8,10,45,,,
0,track_name,,0,1,6,,,,,,,,,,,,
0,control_change,,0,0,9,,,,,,,8,91,66,,,
0,program_change,,0,0,5,,,,,,,4,,,60,,
0,control_change,,0,0,5,,,,,,,4,91,66,,,
0,channel_prefix,,0,1,2,,,,,,,1,,,,,
0,control_change,,0,0,2,,,,,,,1,7,90,,,
0,control_change,,0,0,2,,,,,,,1,10,70,,,
0,control_change,,0,0,2,,,,,,,1,91,66,,,
0,program_change,,0,0,2,,,,,,,1,,,68,,
0,program_change,,0,0,2,,,,,,,1,,,68,,
