tick,type,time,meta,track,data,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,control,value,channel,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,,7,119,0,,,
0,control_change,0,0,1,,,,,,,,,10,73,0,,,
0,control_change,0,0,1,,,,,,,,,93,21,0,,,
0,control_change,0,0,1,,,,,,,,,91,21,0,,,
0,control_change,0,0,1,,,,,,,,,0,0,0,,,
0,control_change,0,0,1,,,,,,,,,32,0,0,,,
0,program_change,0,0,1,,,,,,,,,,,0,0,,
0,note_on,0,0,1,,,,,,,,,,,0,,77,111
0,track_name,0,1,2,,,,,,,,,,,,,,
0,note_on,0,0,2,,,,,,,,,,,1,,53,85
0,program_change,0,0,2,,,,,,,,,,,1,0,,
0,control_change,0,0,2,,,,,,,,,32,0,1,,,
0,control_change,0,0,2,,,,,,,,,0,0,1,,,
0,control_change,0,0,2,,,,,,,,,91,32,1,,,
0,control_change,0,0,2,,,,,,,,,93,16,1,,,
0,control_change,0,0,2,,,,,,,,,10,43,1,,,
0,control_change,0,0,2,,,,,,,,,7,112,1,,,
0,track_name,0,1,1,,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,,0,,,,,,
0,midi_port,0,1,2,,,,,,,,0,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,,
0,sequencer_specific,0,1,0,"(0, 0, 65)",,,,,,,,,,,,,
0,time_signature,0,1,0,,2,4,24,8,,,,,,,,,
0,key_signature,0,1,0,,,,,,F,,,,,,,,
0,set_tempo,0,1,0,,,,,,,535714,,,,,,,
29,note_on,29,0,2,,,,,,,,,,,1,,53,0
30,note_on,1,0,2,,,,,,,,,,,1,,57,86
59,note_on,29,0,2,,,,,,,,,,,1,,57,0
60,note_on,1,0,2,,,,,,,,,,,1,,60,87
89,note_on,29,0,2,,,,,,,,,,,1,,60,0
90,note_on,1,0,2,,,,,,,,,,,1,,57,87
119,note_on,29,0,2,,,,,,,,,,,1,,57,0
120,note_on,1,0,2,,,,,,,,,,,1,,53,88
120,note_on,120,0,1,,,,,,,,,,,0,,77,106
125,note_on,5,0,1,,,,,,,,,,,0,,77,0
149,note_on,29,0,2,,,,,,,,,,,1,,53,0
150,note_on,1,0,2,,,,,,,,,,,1,,57,89
179,note_on,54,0,1,,,,,,,,,,,0,,77,0
179,note_on,29,0,2,,,,,,,,,,,1,,57,0
180,note_on,1,0,2,,,,,,,,,,,1,,60,89
180,note_on,1,0,1,,,,,,,,,,,0,,77,106
209,note_on,29,0,2,,,,,,,,,,,1,,60,0
210,note_on,1,0,2,,,,,,,,,,,1,,57,89
239,note_on,29,0,2,,,,,,,,,,,1,,57,0
239,note_on,59,0,1,,,,,,,,,,,0,,77,0
240,note_on,1,0,2,,,,,,,,,,,1,,53,89
240,note_on,1,0,1,,,,,,,,,,,0,,77,99
269,note_on,29,0,1,,,,,,,,,,,0,,77,0
270,note_on,1,0,1,,,,,,,,,,,0,,76,99
299,note_on,29,0,1,,,,,,,,,,,0,,76,0
300,note_on,1,0,1,,,,,,,,,,,0,,74,99
329,note_on,29,0,1,,,,,,,,,,,0,,74,0
330,note_on,1,0,1,,,,,,,,,,,0,,72,100
359,note_on,29,0,1,,,,,,,,,,,0,,72,0
360,note_on,1,0,1,,,,,,,,,,,0,,70,100
361,note_on,121,0,2,,,,,,,,,,,1,,53,0
389,note_on,29,0,1,,,,,,,,,,,0,,70,0
390,note_on,1,0,1,,,,,,,,,,,0,,69,100
419,note_on,29,0,1,,,,,,,,,,,0,,69,0
420,note_on,1,0,1,,,,,,,,,,,0,,67,100
449,note_on,29,0,1,,,,,,,,,,,0,,67,0
450,note_on,1,0,1,,,,,,,,,,,0,,65,100
479,note_on,29,0,1,,,,,,,,,,,0,,65,0
480,note_on,1,0,1,,,,,,,,,,,0,,64,98
480,note_on,119,0,2,,,,,,,,,,,1,,58,89
