tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,program,pitch,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,control_change,0,0,5,,,,,,,91,100,5,,,,
0,control_change,0,0,5,,,,,,,93,28,5,,,,
0,control_change,0,0,5,,,,,,,64,0,5,,,,
0,control_change,0,0,5,,,,,,,1,0,5,,,,
0,pitchwheel,0,0,5,,,,,,,,,5,,0,,
0,control_change,0,0,4,,,,,,,64,0,4,,,,
0,control_change,0,0,2,,,,,,,0,0,2,,,,
0,control_change,0,0,2,,,,,,,32,0,2,,,,
0,program_change,0,0,2,,,,,,,,,2,0,,,
0,control_change,0,0,2,,,,,,,7,122,2,,,,
0,pitchwheel,0,0,2,,,,,,,,,2,,0,,
0,control_change,0,0,2,,,,,,,1,0,2,,,,
0,control_change,0,0,2,,,,,,,64,0,2,,,,
0,control_change,0,0,2,,,,,,,93,28,2,,,,
0,control_change,0,0,5,,,,,,,10,55,5,,,,
0,control_change,0,0,2,,,,,,,91,100,2,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,0,0,3,,,,
0,control_change,0,0,3,,,,,,,32,0,3,,,,
0,program_change,0,0,3,,,,,,,,,3,0,,,
0,control_change,0,0,3,,,,,,,10,64,3,,,,
0,control_change,0,0,3,,,,,,,91,100,3,,,,
0,control_change,0,0,3,,,,,,,93,28,3,,,,
0,control_change,0,0,3,,,,,,,64,0,3,,,,
0,control_change,0,0,3,,,,,,,1,0,3,,,,
0,pitchwheel,0,0,3,,,,,,,,,3,,0,,
0,control_change,0,0,3,,,,,,,7,112,3,,,,
0,control_change,0,0,4,,,,,,,93,28,4,,,,
0,control_change,0,0,4,,,,,,,91,100,4,,,,
0,control_change,0,0,4,,,,,,,10,55,4,,,,
0,control_change,0,0,2,,,,,,,10,73,2,,,,
0,program_change,0,0,5,,,,,,,,,5,0,,,
0,control_change,0,0,5,,,,,,,7,125,5,,,,
0,control_change,0,0,5,,,,,,,0,0,5,,,,
0,time_signature,0,1,0,2,4,24,8,,,,,,,,,
0,key_signature,0,1,0,,,,,C,,,,,,,,
0,set_tempo,0,1,0,,,,,,600000,,,,,,,
0,marker,0,1,0,,,,,,,,,,,,,
0,pitchwheel,0,0,1,,,,,,,,,1,,0,,
0,program_change,0,0,1,,,,,,,,,1,0,,,
0,control_change,0,0,1,,,,,,,10,73,1,,,,
0,control_change,0,0,5,,,,,,,32,0,5,,,,
0,control_change,0,0,1,,,,,,,91,100,1,,,,
0,control_change,0,0,1,,,,,,,93,28,1,,,,
0,control_change,0,0,1,,,,,,,64,0,1,,,,
0,control_change,0,0,1,,,,,,,1,0,1,,,,
0,control_change,0,0,1,,,,,,,7,127,1,,,,
0,control_change,0,0,1,,,,,,,32,0,1,,,,
0,control_change,0,0,1,,,,,,,0,0,1,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,0,0,4,,,,
0,control_change,0,0,4,,,,,,,32,0,4,,,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,1,0,4,,,,
0,pitchwheel,0,0,4,,,,,,,,,4,,0,,
0,control_change,0,0,4,,,,,,,7,120,4,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,program_change,0,0,4,,,,,,,,,4,0,,,
480,control_change,480,0,4,,,,,,,64,0,4,,,,
480,control_change,480,0,1,,,,,,,64,0,1,,,,
480,control_change,480,0,2,,,,,,,64,0,2,,,,
480,control_change,480,0,5,,,,,,,64,0,5,,,,
960,control_change,480,0,1,,,,,,,64,0,1,,,,
960,note_on,0,0,1,,,,,,,,,1,,,77,83
960,marker,0,1,0,,,,,,,,,,,,,
960,set_tempo,960,1,0,,,,,,487804,,,,,,,
960,control_change,480,0,2,,,,,,,64,0,2,,,,
960,note_on,0,0,5,,,,,,,,,5,,,53,83
960,control_change,480,0,4,,,,,,,64,0,4,,,,
960,control_change,480,0,5,,,,,,,64,0,5,,,,
1080,note_on,1080,0,3,,,,,,,,,3,,,57,78
1200,note_off,240,0,5,,,,,,,,,5,,,53,0
1200,note_on,0,0,3,,,,,,,,,3,,,60,79
1200,note_off,120,0,3,,,,,,,,,3,,,57,0
1320,note_off,120,0,3,,,,,,,,,3,,,60,0
1320,note_on,0,0,3,,,,,,,,,3,,,57,80
1440,note_off,120,0,3,,,,,,,,,3,,,57,0
1440,note_off,480,0,1,,,,,,,,,1,,,77,0
1440,note_on,240,0,5,,,,,,,,,5,,,53,80
1440,note_on,0,0,1,,,,,,,,,1,,,77,80
1560,note_off,120,0,1,,,,,,,,,1,,,77,0
1560,note_on,120,0,3,,,,,,,,,3,,,57,81
1680,note_on,0,0,3,,,,,,,,,3,,,60,81
