tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,program,channel,note,velocity,control,value
0,time_signature,3,16,6,8,0,1,0,,,,,,,,,
0,midi_port,,,,,0,1,3,,,0,,,,,,
0,end_of_track,,,,,0,1,2,,,,,,,,,
0,track_name,,,,,0,1,2,,,,,,,,,
0,midi_port,,,,,0,1,2,,,0,,,,,,
0,track_name,,,,,0,1,3,,,,,,,,,
0,program_change,,,,,0,0,1,,,,0,0,,,,
0,track_name,,,,,0,1,1,,,,,,,,,
0,midi_port,,,,,0,1,1,,,0,,,,,,
0,end_of_track,,,,,0,1,3,,,,,,,,,
0,key_signature,,,,,0,1,0,C,,,,,,,,
0,set_tempo,,,,,0,1,0,,1333333,,,,,,,
90,time_signature,9,16,6,8,90,1,0,,,,,,,,,
120,note_on,,,,,120,0,1,,,,,0,72,64,,
120,note_on,,,,,0,0,1,,,,,0,64,64,,
120,note_on,,,,,0,0,1,,,,,0,36,64,,
120,note_on,,,,,0,0,1,,,,,0,43,64,,
172,note_on,,,,,52,0,1,,,,,0,43,0,,
172,note_on,,,,,0,0,1,,,,,0,36,0,,
172,note_on,,,,,0,0,1,,,,,0,72,0,,
180,note_on,,,,,8,0,1,,,,,0,67,64,,
198,note_on,,,,,18,0,1,,,,,0,64,0,,
206,note_on,,,,,8,0,1,,,,,0,67,0,,
210,note_on,,,,,0,0,1,,,,,0,36,64,,
210,note_on,,,,,4,0,1,,,,,0,67,64,,
210,note_on,,,,,0,0,1,,,,,0,64,64,,
210,note_on,,,,,0,0,1,,,,,0,43,64,,
288,note_on,,,,,0,0,1,,,,,0,36,0,,
288,note_on,,,,,0,0,1,,,,,0,64,0,,
288,note_on,,,,,78,0,1,,,,,0,43,0,,
300,note_on,,,,,12,0,1,,,,,0,65,64,,
300,note_on,,,,,0,0,1,,,,,0,38,64,,
300,note_on,,,,,0,0,1,,,,,0,43,64,,
375,note_on,,,,,75,0,1,,,,,0,67,0,,
378,note_on,,,,,3,0,1,,,,,0,65,0,,
378,note_on,,,,,0,0,1,,,,,0,38,0,,
378,note_on,,,,,0,0,1,,,,,0,43,0,,
390,note_on,,,,,0,0,1,,,,,0,43,64,,
390,note_on,,,,,12,0,1,,,,,0,74,64,,
390,note_on,,,,,0,0,1,,,,,0,62,64,,
390,note_on,,,,,0,0,1,,,,,0,35,64,,
442,note_on,,,,,52,0,1,,,,,0,74,0,,
450,note_on,,,,,8,0,1,,,,,0,67,64,,
468,note_on,,,,,18,0,1,,,,,0,62,0,,
468,note_on,,,,,0,0,1,,,,,0,43,0,,
468,note_on,,,,,0,0,1,,,,,0,35,0,,
476,note_on,,,,,8,0,1,,,,,0,67,0,,
480,note_on,,,,,0,0,1,,,,,0,35,64,,
480,note_on,,,,,0,0,1,,,,,0,62,64,,
480,note_on,,,,,0,0,1,,,,,0,43,64,,
480,note_on,,,,,4,0,1,,,,,0,67,64,,
558,note_on,,,,,78,0,1,,,,,0,43,0,,
558,note_on,,,,,0,0,1,,,,,0,62,0,,
558,note_on,,,,,0,0,1,,,,,0,35,0,,
570,note_on,,,,,0,0,1,,,,,0,43,64,,
570,note_on,,,,,0,0,1,,,,,0,36,64,,
570,note_on,,,,,12,0,1,,,,,0,64,64,,
645,note_on,,,,,75,0,1,,,,,0,67,0,,
648,note_on,,,,,0,0,1,,,,,0,43,0,,
648,note_on,,,,,3,0,1,,,,,0,64,0,,
648,note_on,,,,,0,0,1,,,,,0,36,0,,
660,note_on,,,,,0,0,1,,,,,0,43,64,,
660,note_on,,,,,0,0,1,,,,,0,38,64,,
660,note_on,,,,,0,0,1,,,,,0,65,64,,
660,note_on,,,,,12,0,1,,,,,0,67,64,,
738,note_on,,,,,0,0,1,,,,,0,38,0,,
738,note_on,,,,,78,0,1,,,,,0,43,0,,
738,note_on,,,,,0,0,1,,,,,0,67,0,,
738,note_on,,,,,0,0,1,,,,,0,65,0,,
750,note_on,,,,,0,0,1,,,,,0,43,64,,
750,note_on,,,,,12,0,1,,,,,0,67,64,,
750,note_on,,,,,0,0,1,,,,,0,40,64,,
828,note_on,,,,,78,0,1,,,,,0,43,0,,
828,note_on,,,,,0,0,1,,,,,0,40,0,,
828,note_on,,,,,0,0,1,,,,,0,67,0,,
840,note_on,,,,,0,0,1,,,,,0,43,64,,
840,note_on,,,,,12,0,1,,,,,0,64,64,,
840,note_on,,,,,0,0,1,,,,,0,36,64,,
840,note_on,,,,,0,0,1,,,,,0,76,64,,
918,note_on,,,,,78,0,1,,,,,0,43,0,,
918,note_on,,,,,0,0,1,,,,,0,64,0,,
918,note_on,,,,,0,0,1,,,,,0,76,0,,
918,note_on,,,,,0,0,1,,,,,0,36,0,,
930,note_on,,,,,0,0,1,,,,,0,43,64,,
930,note_on,,,,,0,0,1,,,,,0,40,64,,
930,note_on,,,,,0,0,1,,,,,0,72,64,,
930,note_on,,,,,12,0,1,,,,,0,67,64,,
1008,note_on,,,,,0,0,1,,,,,0,72,0,,
1008,note_on,,,,,0,0,1,,,,,0,40,0,,
1008,note_on,,,,,78,0,1,,,,,0,43,0,,
1008,note_on,,,,,0,0,1,,,,,0,67,0,,
1020,note_on,,,,,12,0,1,,,,,0,64,64,,
1020,note_on,,,,,0,0,1,,,,,0,72,64,,
1020,note_on,,,,,0,0,1,,,,,0,31,64,,
1020,note_on,,,,,0,0,1,,,,,0,31,64,,
1098,note_on,,,,,78,0,1,,,,,0,31,0,,
1098,note_on,,,,,0,0,1,,,,,0,64,0,,
1098,note_on,,,,,0,0,1,,,,,0,72,0,,
1110,note_on,,,,,12,0,1,,,,,0,62,64,,
1110,note_on,,,,,0,0,1,,,,,0,71,64,,
1110,note_on,,,,,0,0,1,,,,,0,43,64,,
1185,note_on,,,,,75,0,1,,,,,0,31,0,,
1188,note_on,,,,,3,0,1,,,,,0,62,0,,
1188,note_on,,,,,0,0,1,,,,,0,43,0,,
1188,note_on,,,,,0,0,1,,,,,0,71,0,,
1200,note_on,,,,,12,0,1,,,,,0,62,64,,
1200,note_on,,,,,0,0,1,,,,,0,67,64,,
1200,note_on,,,,,0,0,1,,,,,0,71,64,,
1200,note_on,,,,,0,0,1,,,,,0,31,64,,
1200,note_on,,,,,0,0,1,,,,,0,43,64,,
1252,note_on,,,,,52,0,1,,,,,0,43,0,,
1252,note_on,,,,,0,0,1,,,,,0,31,0,,
1260,note_on,,,,,8,0,1,,,,,0,29,64,,
1260,note_on,,,,,0,0,1,,,,,0,41,64,,
1278,note_on,,,,,18,0,1,,,,,0,62,0,,
1278,note_on,,,,,0,0,1,,,,,0,71,0,,
1278,note_on,,,,,0,0,1,,,,,0,67,0,,
1286,note_on,,,,,0,0,1,,,,,0,41,0,,
1286,note_on,,,,,8,0,1,,,,,0,29,0,,
1290,note_on,,,,,0,0,1,,,,,0,67,64,,
1290,note_on,,,,,0,0,1,,,,,0,28,64,,
1290,note_on,,,,,0,0,1,,,,,0,40,64,,
1290,note_on,,,,,4,0,1,,,,,0,72,64,,
1368,note_on,,,,,78,0,1,,,,,0,72,0,,
1380,note_on,,,,,12,0,1,,,,,0,76,64,,
1455,note_on,,,,,75,0,1,,,,,0,67,0,,
1455,note_on,,,,,0,0,1,,,,,0,40,0,,
1455,note_on,,,,,0,0,1,,,,,0,28,0,,
1458,note_on,,,,,3,0,1,,,,,0,76,0,,
1470,note_on,,,,,0,0,1,,,,,0,40,64,,
1470,note_on,,,,,0,0,1,,,,,0,67,64,,
1470,note_on,,,,,0,0,1,,,,,0,28,64,,
