tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,program,channel,note,velocity
0,time_signature,9,8,36,8,0,1,0,,,,,
0,note_on,,,,,0,0,2,,,1,50,107
0,program_change,,,,,0,0,2,,0,1,,
0,track_name,,,,,0,1,2,,,,,
0,track_name,,,,,0,1,3,,,,,
0,program_change,,,,,0,0,1,,0,0,,
0,end_of_track,,,,,0,1,3,,,,,
0,track_name,,,,,0,1,1,,,,,
0,set_tempo,,,,,0,1,0,606061,,,,
120,note_on,,,,,120,0,2,,,1,53,107
216,note_off,,,,,96,0,2,,,1,53,64
240,note_on,,,,,24,0,2,,,1,57,107
360,note_on,,,,,120,0,2,,,1,53,107
360,note_on,,,,,360,0,1,,,0,62,107
360,note_on,,,,,0,0,1,,,0,62,107
456,note_off,,,,,96,0,1,,,0,62,64
480,note_on,,,,,24,0,1,,,0,65,107
480,note_on,,,,,0,0,1,,,0,65,107
552,note_off,,,,,192,0,2,,,1,53,64
576,note_off,,,,,96,0,1,,,0,65,64
600,note_on,,,,,24,0,1,,,0,69,107
648,note_off,,,,,96,0,2,,,1,57,64
648,note_off,,,,,48,0,1,,,0,62,64
672,note_off,,,,,24,0,1,,,0,65,64
696,note_off,,,,,24,0,1,,,0,69,64
720,note_on,,,,,72,0,2,,,1,52,107
720,note_on,,,,,24,0,1,,,0,61,107
720,note_on,,,,,0,0,1,,,0,61,107
720,note_on,,,,,0,0,2,,,1,55,107
816,note_off,,,,,96,0,1,,,0,61,64
840,note_on,,,,,24,0,1,,,0,67,107
840,note_on,,,,,0,0,1,,,0,67,107
936,note_off,,,,,96,0,1,,,0,67,64
960,note_on,,,,,24,0,1,,,0,70,107
1008,note_off,,,,,0,0,2,,,1,52,64
1008,note_off,,,,,48,0,1,,,0,61,64
1008,note_off,,,,,288,0,2,,,1,55,64
1032,note_off,,,,,24,0,1,,,0,67,64
1056,note_off,,,,,24,0,1,,,0,70,64
1080,note_on,,,,,0,0,1,,,0,69,107
1080,note_on,,,,,24,0,1,,,0,62,107
1080,note_on,,,,,72,0,2,,,1,53,107
1200,note_on,,,,,120,0,2,,,1,57,107
1272,note_off,,,,,192,0,1,,,0,69,64
1272,note_off,,,,,0,0,1,,,0,62,64
1272,note_off,,,,,72,0,2,,,1,53,64
1320,note_on,,,,,48,0,1,,,0,62,107
1392,note_off,,,,,120,0,2,,,1,57,64
1440,note_on,,,,,120,0,1,,,0,65,107
1440,note_on,,,,,0,0,1,,,0,65,107
1536,note_off,,,,,96,0,1,,,0,65,64
1553,note_off,,,,,17,0,1,,,0,62,64
1560,note_on,,,,,7,0,1,,,0,69,107
1560,note_on,,,,,0,0,1,,,0,69,110
1632,note_off,,,,,72,0,1,,,0,65,64
1656,note_off,,,,,24,0,1,,,0,69,64
1680,note_on,,,,,24,0,1,,,0,74,107
1752,note_off,,,,,72,0,1,,,0,69,64
1800,note_on,,,,,0,0,2,,,1,58,107
1800,note_on,,,,,48,0,1,,,0,64,107
1800,note_on,,,,,408,0,2,,,1,55,107
1896,note_off,,,,,96,0,1,,,0,74,64
1920,note_on,,,,,24,0,1,,,0,76,107
2016,note_off,,,,,96,0,1,,,0,76,64
2040,note_on,,,,,24,0,1,,,0,73,107
2088,note_off,,,,,0,0,2,,,1,55,64
2088,note_off,,,,,48,0,1,,,0,64,64
2088,note_off,,,,,288,0,2,,,1,58,64
2136,note_off,,,,,48,0,1,,,0,73,64
2160,note_on,,,,,0,0,1,,,0,74,107
2160,note_on,,,,,24,0,1,,,0,65,107
2160,note_on,,,,,72,0,2,,,1,57,107
2256,note_off,,,,,96,0,1,,,0,74,64
2280,note_on,,,,,24,0,1,,,0,69,107
2376,note_off,,,,,96,0,1,,,0,69,64
2400,note_on,,,,,24,0,1,,,0,72,107
2448,note_off,,,,,48,0,1,,,0,65,64
2520,note_on,,,,,72,0,1,,,0,66,107
2520,note_on,,,,,0,0,1,,,0,66,107
2616,note_off,,,,,96,0,1,,,0,66,64
2640,note_on,,,,,24,0,1,,,0,69,107
2736,note_off,,,,,96,0,1,,,0,69,64
2736,note_off,,,,,576,0,2,,,1,57,64
2760,note_on,,,,,24,0,1,,,0,62,107
2856,note_off,,,,,96,0,1,,,0,62,64
2880,note_on,,,,,24,0,1,,,0,62,107
2880,note_on,,,,,144,0,2,,,1,60,107
2880,note_on,,,,,0,0,1,,,0,69,107
2976,note_off,,,,,96,0,2,,,1,60,64
3000,note_on,,,,,24,0,2,,,1,58,107
3096,note_off,,,,,96,0,2,,,1,58,64
3120,note_on,,,,,24,0,2,,,1,57,107
3216,note_off,,,,,96,0,2,,,1,57,64
3240,note_on,,,,,24,0,2,,,1,58,107
3336,note_off,,,,,456,0,1,,,0,62,64
3360,note_on,,,,,24,0,1,,,0,62,107
3432,note_off,,,,,0,0,1,,,0,72,64
3432,note_off,,,,,0,0,1,,,0,66,64
3432,note_off,,,,,72,0,1,,,0,69,64
3456,note_off,,,,,24,0,1,,,0,62,64
3480,note_on,,,,,24,0,1,,,0,66,107
3576,note_off,,,,,96,0,1,,,0,66,64
3600,note_on,,,,,24,0,1,,,0,69,107
3600,note_on,,,,,0,0,1,,,0,69,107
3696,note_off,,,,,96,0,1,,,0,69,64
3720,note_on,,,,,24,0,1,,,0,72,107
3720,note_on,,,,,0,0,1,,,0,72,107
3816,note_off,,,,,96,0,1,,,0,72,64
3840,note_on,,,,,24,0,1,,,0,66,107
3888,note_off,,,,,48,0,1,,,0,69,64
3912,note_off,,,,,24,0,1,,,0,72,64
3936,note_off,,,,,24,0,1,,,0,66,64
3960,note_on,,,,,24,0,1,,,0,67,107
3960,note_on,,,,,0,0,1,,,0,67,107
4056,note_off,,,,,96,0,1,,,0,67,64
4080,note_on,,,,,24,0,1,,,0,70,107
4080,note_on,,,,,0,0,1,,,0,70,107
4176,note_off,,,,,96,0,1,,,0,70,64
4200,note_on,,,,,24,0,1,,,0,62,107
4248,note_off,,,,,1008,0,2,,,1,58,64
4248,note_off,,,,,48,0,1,,,0,67,64
4272,note_off,,,,,24,0,1,,,0,70,64
4296,note_off,,,,,24,0,1,,,0,62,64
4320,note_on,,,,,24,0,1,,,0,64,107
4320,note_on,,,,,0,0,1,,,0,64,107
4320,note_on,,,,,72,0,2,,,1,55,107
4416,note_off,,,,,96,0,1,,,0,64,64
4440,note_on,,,,,24,0,1,,,0,67,107
4440,note_on,,,,,0,0,1,,,0,67,107
4536,note_off,,,,,96,0,1,,,0,67,64
4560,note_on,,,,,24,0,1,,,0,62,107
4608,note_off,,,,,48,0,1,,,0,64,64
4632,note_off,,,,,24,0,1,,,0,67,64
4656,note_off,,,,,24,0,1,,,0,62,64
4680,note_on,,,,,24,0,1,,,0,61,107
4680,note_on,,,,,0,0,1,,,0,61,107
4680,note_on,,,,,360,0,2,,,1,52,107
4776,note_off,,,,,96,0,1,,,0,61,64
4800,note_on,,,,,24,0,1,,,0,64,107
4896,note_off,,,,,96,0,1,,,0,64,64
4920,note_on,,,,,24,0,1,,,0,67,107
5016,note_off,,,,,96,0,1,,,0,67,64
5040,note_on,,,,,24,0,1,,,0,70,107
5064,note_off,,,,,384,0,2,,,1,52,64
5136,note_off,,,,,96,0,1,,,0,70,64
5160,note_on,,,,,24,0,1,,,0,69,107
5256,note_off,,,,,96,0,1,,,0,69,64
5280,note_on,,,,,24,0,1,,,0,67,107
5328,note_off,,,,,48,0,1,,,0,61,64
5328,note_off,,,,,0,0,2,,,1,50,64
5328,note_off,,,,,264,0,2,,,1,55,64
5376,note_off,,,,,48,0,1,,,0,67,64
5400,note_on,,,,,0,0,2,,,1,62,107
5400,note_on,,,,,0,0,2,,,1,50,107
5400,note_on,,,,,24,0,1,,,0,65,107
5400,note_on,,,,,72,0,2,,,1,57,107
5496,note_off,,,,,96,0,1,,,0,65,64
5520,note_on,,,,,24,0,1,,,0,64,107
5616,note_off,,,,,96,0,1,,,0,64,64
5640,note_on,,,,,24,0,1,,,0,62,107
5688,note_off,,,,,288,0,2,,,1,62,64
5688,note_off,,,,,0,0,2,,,1,57,64
5736,note_off,,,,,96,0,1,,,0,62,64
5760,note_on,,,,,24,0,1,,,0,77,107
5784,note_off,,,,,24,0,1,,,0,77,64
5790,note_on,,,,,6,0,1,,,0,76,107
5808,note_off,,,,,120,0,2,,,1,50,64
5814,note_off,,,,,24,0,1,,,0,76,64
5820,note_on,,,,,6,0,1,,,0,77,107
5820,note_on,,,,,12,0,2,,,1,52,107
5868,note_off,,,,,48,0,2,,,1,52,64
5880,note_on,,,,,12,0,2,,,1,53,107
5928,note_off,,,,,48,0,2,,,1,53,64
5940,note_on,,,,,12,0,2,,,1,55,107
5988,note_off,,,,,48,0,2,,,1,55,64
6000,note_on,,,,,12,0,2,,,1,57,107
6072,note_off,,,,,252,0,1,,,0,77,64
6096,note_off,,,,,96,0,2,,,1,57,64
6120,note_on,,,,,24,0,2,,,1,48,107
6120,note_on,,,,,48,0,1,,,0,77,107
6216,note_off,,,,,96,0,2,,,1,48,64
6240,note_on,,,,,24,0,2,,,1,52,107
6336,note_off,,,,,96,0,2,,,1,52,64
6360,note_on,,,,,24,0,2,,,1,57,107
6408,note_off,,,,,288,0,1,,,0,77,64
6456,note_off,,,,,96,0,2,,,1,57,64
6480,note_on,,,,,72,0,1,,,0,79,107
6480,note_on,,,,,24,0,2,,,1,47,107
6504,note_off,,,,,24,0,1,,,0,79,64
6510,note_on,,,,,6,0,1,,,0,77,107
6534,note_off,,,,,24,0,1,,,0,77,64
6540,note_on,,,,,6,0,1,,,0,79,107
6564,note_off,,,,,24,0,1,,,0,79,64
6570,note_on,,,,,6,0,1,,,0,77,107
6576,note_off,,,,,96,0,2,,,1,47,64
6594,note_off,,,,,24,0,1,,,0,77,64
6600,note_on,,,,,24,0,2,,,1,50,107
6600,note_on,,,,,6,0,1,,,0,79,107
6624,note_off,,,,,24,0,1,,,0,79,64
6630,note_on,,,,,6,0,1,,,0,77,107
6654,note_off,,,,,24,0,1,,,0,77,64
6660,note_on,,,,,6,0,1,,,0,79,107
6684,note_off,,,,,24,0,1,,,0,79,64
6690,note_on,,,,,6,0,1,,,0,77,107
6696,note_off,,,,,96,0,2,,,1,50,64
6714,note_off,,,,,24,0,1,,,0,77,64
6720,note_on,,,,,24,0,2,,,1,53,107
6720,note_on,,,,,6,0,1,,,0,79,107
6744,note_off,,,,,24,0,1,,,0,79,64
6750,note_on,,,,,6,0,1,,,0,77,107
6774,note_off,,,,,24,0,1,,,0,77,64
6780,note_on,,,,,6,0,1,,,0,79,107
6804,note_off,,,,,24,0,1,,,0,79,64
6810,note_on,,,,,6,0,1,,,0,77,107
6816,note_off,,,,,96,0,2,,,1,53,64
6834,note_off,,,,,24,0,1,,,0,77,64
6840,note_on,,,,,6,0,1,,,0,79,107
6840,note_on,,,,,24,0,2,,,1,57,107
6864,note_off,,,,,24,0,1,,,0,79,64
6870,note_on,,,,,6,0,1,,,0,77,107
6894,note_off,,,,,24,0,1,,,0,77,64
6900,note_on,,,,,6,0,1,,,0,79,107
6924,note_off,,,,,24,0,1,,,0,79,64
6930,note_on,,,,,6,0,1,,,0,77,107
6936,note_off,,,,,96,0,2,,,1,57,64
6954,note_off,,,,,24,0,1,,,0,77,64
6960,note_on,,,,,6,0,1,,,0,79,107
6960,note_on,,,,,24,0,2,,,1,59,107
6984,note_off,,,,,24,0,1,,,0,79,64
6990,note_on,,,,,6,0,1,,,0,77,107
7014,note_off,,,,,24,0,1,,,0,77,64
7020,note_on,,,,,6,0,1,,,0,79,107
7044,note_off,,,,,24,0,1,,,0,79,64
7050,note_on,,,,,6,0,1,,,0,77,107
7056,note_off,,,,,96,0,2,,,1,59,64
7074,note_off,,,,,24,0,1,,,0,77,64
7080,note_on,,,,,6,0,1,,,0,79,107
7080,note_on,,,,,24,0,2,,,1,60,107
7104,note_off,,,,,24,0,1,,,0,79,64
7110,note_on,,,,,6,0,1,,,0,77,107
7134,note_off,,,,,24,0,1,,,0,77,64
7140,note_on,,,,,6,0,1,,,0,79,107
7164,note_off,,,,,24,0,1,,,0,79,64
7170,note_on,,,,,6,0,1,,,0,77,107
7176,note_off,,,,,96,0,2,,,1,60,64
7194,note_off,,,,,24,0,1,,,0,77,64
7200,note_on,,,,,24,0,2,,,1,59,107
7200,note_on,,,,,6,0,1,,,0,79,107
7224,note_off,,,,,24,0,1,,,0,79,64
7230,note_on,,,,,6,0,1,,,0,77,107
7254,note_off,,,,,24,0,1,,,0,77,64
7260,note_on,,,,,6,0,1,,,0,79,107
7284,note_off,,,,,24,0,1,,,0,79,64
7290,note_on,,,,,6,0,1,,,0,77,107
7296,note_off,,,,,96,0,2,,,1,59,64
7314,note_off,,,,,24,0,1,,,0,77,64
7320,note_on,,,,,24,0,2,,,1,56,107
7320,note_on,,,,,6,0,1,,,0,79,107
7344,note_off,,,,,24,0,1,,,0,79,64
7350,note_on,,,,,6,0,1,,,0,77,107
7374,note_off,,,,,24,0,1,,,0,77,64
7380,note_on,,,,,6,0,1,,,0,79,107
7404,note_off,,,,,24,0,1,,,0,79,64
7410,note_on,,,,,6,0,1,,,0,77,107
7416,note_off,,,,,96,0,2,,,1,56,64
7434,note_off,,,,,24,0,1,,,0,77,64
7440,note_on,,,,,24,0,2,,,1,57,107
7440,note_on,,,,,6,0,1,,,0,79,107
7464,note_off,,,,,24,0,1,,,0,79,64
7470,note_on,,,,,6,0,1,,,0,77,107
7494,note_off,,,,,24,0,1,,,0,77,64
7500,note_on,,,,,6,0,1,,,0,79,107
7524,note_off,,,,,24,0,1,,,0,79,64
7530,note_on,,,,,6,0,1,,,0,77,107
7536,note_off,,,,,96,0,2,,,1,57,64
7554,note_off,,,,,24,0,1,,,0,77,64
7560,note_on,,,,,24,0,2,,,1,56,107
7560,note_on,,,,,6,0,1,,,0,79,107
7584,note_off,,,,,24,0,1,,,0,79,64
7590,note_on,,,,,6,0,1,,,0,77,107
7614,note_off,,,,,24,0,1,,,0,77,64
7620,note_on,,,,,6,0,1,,,0,79,107
7644,note_off,,,,,24,0,1,,,0,79,64
7650,note_on,,,,,6,0,1,,,0,77,107
7674,note_off,,,,,24,0,1,,,0,77,64
7680,note_on,,,,,120,0,2,,,1,59,107
7680,note_on,,,,,6,0,1,,,0,79,107
7704,note_off,,,,,24,0,1,,,0,79,64
7710,note_on,,,,,6,0,1,,,0,77,107
7734,note_off,,,,,24,0,1,,,0,77,64
7740,note_on,,,,,6,0,1,,,0,79,107
7764,note_off,,,,,24,0,1,,,0,79,64
7770,note_on,,,,,6,0,1,,,0,77,107
7776,note_off,,,,,96,0,2,,,1,59,64
7794,note_off,,,,,24,0,1,,,0,77,64
7800,note_on,,,,,6,0,1,,,0,79,107
7800,note_on,,,,,24,0,2,,,1,62,107
7824,note_off,,,,,24,0,1,,,0,79,64
7830,note_on,,,,,6,0,1,,,0,77,107
7854,note_off,,,,,24,0,1,,,0,77,64
7860,note_on,,,,,6,0,1,,,0,79,107
7884,note_off,,,,,24,0,1,,,0,79,64
7890,note_on,,,,,6,0,1,,,0,77,107
7896,note_off,,,,,96,0,2,,,1,62,64
7914,note_off,,,,,24,0,1,,,0,77,64
7920,note_on,,,,,6,0,1,,,0,79,107
7920,note_on,,,,,24,0,2,,,1,65,107
7944,note_off,,,,,24,0,1,,,0,79,64
7950,note_on,,,,,6,0,1,,,0,77,107
7974,note_off,,,,,24,0,1,,,0,77,64
7980,note_on,,,,,6,0,1,,,0,79,107
8004,note_off,,,,,24,0,1,,,0,79,64
8010,note_on,,,,,6,0,1,,,0,77,107
8016,note_off,,,,,96,0,2,,,1,65,64
8034,note_off,,,,,24,0,1,,,0,77,64
8040,note_on,,,,,6,0,1,,,0,79,107
8040,note_on,,,,,24,0,2,,,1,64,107
8064,note_off,,,,,24,0,1,,,0,79,64
8070,note_on,,,,,6,0,1,,,0,77,107
8094,note_off,,,,,24,0,1,,,0,77,64
8100,note_on,,,,,6,0,1,,,0,79,107
8124,note_off,,,,,24,0,1,,,0,79,64
8130,note_on,,,,,6,0,1,,,0,77,107
8136,note_off,,,,,96,0,2,,,1,64,64
8154,note_off,,,,,24,0,1,,,0,77,64
8160,note_on,,,,,6,0,1,,,0,79,107
8160,note_on,,,,,24,0,2,,,1,62,107
8184,note_off,,,,,24,0,1,,,0,79,64
8190,note_on,,,,,6,0,1,,,0,77,107
8214,note_off,,,,,24,0,1,,,0,77,64
8220,note_on,,,,,6,0,1,,,0,79,107
8244,note_off,,,,,24,0,1,,,0,79,64
8250,note_on,,,,,6,0,1,,,0,77,107
8256,note_off,,,,,96,0,2,,,1,62,64
8274,note_off,,,,,24,0,1,,,0,77,64
8280,note_on,,,,,24,0,2,,,1,60,107
8280,note_on,,,,,6,0,1,,,0,79,107
8304,note_off,,,,,24,0,1,,,0,79,64
8310,note_on,,,,,6,0,1,,,0,77,107
8334,note_off,,,,,24,0,1,,,0,77,64
8340,note_on,,,,,6,0,1,,,0,79,107
8364,note_off,,,,,24,0,1,,,0,79,64
8370,note_on,,,,,6,0,1,,,0,77,107
8376,note_off,,,,,96,0,2,,,1,60,64
8394,note_off,,,,,24,0,1,,,0,77,64
8400,note_on,,,,,24,0,2,,,1,62,107
8400,note_on,,,,,6,0,1,,,0,79,107
8424,note_off,,,,,24,0,1,,,0,79,64
8430,note_on,,,,,6,0,1,,,0,77,107
8454,note_off,,,,,24,0,1,,,0,77,64
8460,note_on,,,,,6,0,1,,,0,79,107
8484,note_off,,,,,24,0,1,,,0,79,64
8490,note_on,,,,,6,0,1,,,0,77,107
8496,note_off,,,,,96,0,2,,,1,62,64
8514,note_off,,,,,24,0,1,,,0,77,64
8520,note_on,,,,,24,0,2,,,1,59,107
8520,note_on,,,,,6,0,1,,,0,79,107
8544,note_off,,,,,24,0,1,,,0,79,64
8550,note_on,,,,,6,0,1,,,0,77,107
8568,note_off,,,,,48,0,2,,,1,56,64
8574,note_off,,,,,24,0,1,,,0,77,64
8580,note_on,,,,,6,0,1,,,0,79,107
8604,note_off,,,,,24,0,1,,,0,79,64
8610,note_on,,,,,6,0,1,,,0,77,107
8616,note_off,,,,,48,0,2,,,1,59,64
8640,note_on,,,,,0,0,2,,,1,57,107
8640,note_on,,,,,24,0,2,,,1,60,107
8736,note_off,,,,,126,0,1,,,0,77,64
8760,note_on,,,,,24,0,1,,,0,76,107
8856,note_off,,,,,96,0,1,,,0,76,64
8880,note_on,,,,,24,0,1,,,0,74,107
8976,note_off,,,,,96,0,1,,,0,74,64
9000,note_on,,,,,24,0,1,,,0,76,107
9096,note_off,,,,,96,0,1,,,0,76,64
9120,note_on,,,,,24,0,1,,,0,81,107
9216,note_off,,,,,96,0,1,,,0,81,64
9240,note_on,,,,,24,0,1,,,0,80,107
9336,note_off,,,,,96,0,1,,,0,80,64
9360,note_on,,,,,24,0,1,,,0,81,107
9456,note_off,,,,,96,0,1,,,0,81,64
9480,note_on,,,,,24,0,1,,,0,83,107
9576,note_off,,,,,96,0,1,,,0,83,64
9600,note_on,,,,,24,0,1,,,0,84,107
9648,note_off,,,,,1008,0,2,,,1,60,64
9696,note_off,,,,,96,0,1,,,0,84,64
9720,note_on,,,,,24,0,1,,,0,74,107
9720,note_on,,,,,72,0,2,,,1,59,107
9816,note_off,,,,,96,0,1,,,0,74,64
9840,note_on,,,,,24,0,1,,,0,76,107
9936,note_off,,,,,96,0,1,,,0,76,64
9960,note_on,,,,,24,0,1,,,0,77,107
10008,note_off,,,,,288,0,2,,,1,57,64
10080,note_on,,,,,72,0,2,,,1,56,107
10176,note_off,,,,,216,0,1,,,0,77,64
10200,note_on,,,,,24,0,1,,,0,76,107
10296,note_off,,,,,96,0,1,,,0,76,64
10296,note_off,,,,,216,0,2,,,1,59,64
10320,note_on,,,,,24,0,1,,,0,74,107
10368,note_off,,,,,72,0,2,,,1,56,64
10416,note_off,,,,,96,0,1,,,0,74,64
10440,note_on,,,,,0,0,2,,,1,56,107
10440,note_on,,,,,24,0,1,,,0,72,107
10440,note_on,,,,,72,0,2,,,1,52,107
10536,note_off,,,,,96,0,1,,,0,72,64
10560,note_on,,,,,24,0,1,,,0,74,107
10656,note_off,,,,,96,0,1,,,0,74,64
10680,note_on,,,,,24,0,1,,,0,71,107
10728,note_off,,,,,288,0,2,,,1,56,64
10728,note_off,,,,,0,0,2,,,1,52,64
10776,note_off,,,,,96,0,1,,,0,71,64
10800,note_on,,,,,24,0,1,,,0,72,107
10800,note_on,,,,,72,0,2,,,1,57,107
10920,note_on,,,,,120,0,1,,,0,69,107
11016,note_off,,,,,96,0,1,,,0,69,64
11040,note_on,,,,,24,0,1,,,0,64,107
11136,note_off,,,,,96,0,1,,,0,64,64
11160,note_on,,,,,360,0,2,,,1,60,107
11256,note_off,,,,,96,0,2,,,1,60,64
11280,note_on,,,,,24,0,2,,,1,64,107
11376,note_off,,,,,0,0,2,,,1,57,64
11376,note_off,,,,,96,0,2,,,1,64,64
11400,note_on,,,,,24,0,2,,,1,57,107
11496,note_off,,,,,96,0,2,,,1,57,64
11520,note_on,,,,,24,0,2,,,1,55,107
11616,note_off,,,,,96,0,2,,,1,55,64
11640,note_on,,,,,24,0,2,,,1,53,107
11736,note_off,,,,,96,0,2,,,1,53,64
11760,note_on,,,,,24,0,2,,,1,52,107
11856,note_off,,,,,96,0,2,,,1,52,64
11880,note_on,,,,,24,0,2,,,1,53,107
12000,note_on,,,,,120,0,2,,,1,57,107
12096,note_off,,,,,96,0,2,,,1,57,64
12120,note_on,,,,,24,0,2,,,1,60,107
12216,note_off,,,,,96,0,2,,,1,60,64
12240,note_on,,,,,24,0,2,,,1,64,107
12336,note_off,,,,,96,0,2,,,1,64,64
12336,note_off,,,,,1200,0,1,,,0,72,64
12360,note_on,,,,,24,0,1,,,0,71,107
12360,note_on,,,,,24,0,2,,,1,62,107
12456,note_off,,,,,96,0,2,,,1,62,64
12456,note_off,,,,,96,0,1,,,0,71,64
12480,note_on,,,,,24,0,2,,,1,60,107
12480,note_on,,,,,24,0,1,,,0,69,107
12576,note_off,,,,,96,0,1,,,0,69,64
12576,note_off,,,,,96,0,2,,,1,60,64
12600,note_on,,,,,24,0,2,,,1,59,107
12600,note_on,,,,,24,0,1,,,0,74,107
12696,note_off,,,,,96,0,2,,,1,59,64
12696,note_off,,,,,96,0,1,,,0,74,64
12720,note_on,,,,,24,0,1,,,0,76,107
12720,note_on,,,,,24,0,2,,,1,60,107
12816,note_off,,,,,96,0,2,,,1,60,64
12816,note_off,,,,,96,0,1,,,0,76,64
12840,note_on,,,,,24,0,2,,,1,62,107
12840,note_on,,,,,24,0,1,,,0,77,107
12888,note_off,,,,,48,0,2,,,1,53,64
12936,note_off,,,,,96,0,1,,,0,77,64
12960,note_on,,,,,24,0,1,,,0,68,107
12960,note_on,,,,,0,0,1,,,0,68,107
12960,note_on,,,,,72,0,2,,,1,52,107
13056,note_off,,,,,96,0,1,,,0,68,64
13056,note_off,,,,,0,0,1,,,0,68,64
13080,note_on,,,,,24,0,1,,,0,71,107
13080,note_on,,,,,0,0,1,,,0,71,107
13176,note_off,,,,,96,0,1,,,0,71,64
13200,note_on,,,,,24,0,1,,,0,64,107
13296,note_off,,,,,96,0,1,,,0,64,64
13320,note_on,,,,,24,0,1,,,0,65,107
13416,note_off,,,,,96,0,1,,,0,65,64
13440,note_on,,,,,24,0,1,,,0,64,107
13512,note_off,,,,,552,0,2,,,1,62,64
13560,note_on,,,,,48,0,2,,,1,62,107
13656,note_off,,,,,96,0,2,,,1,62,64
13680,note_on,,,,,24,0,2,,,1,60,107
13776,note_off,,,,,96,0,2,,,1,60,64
13800,note_on,,,,,24,0,2,,,1,62,107
13896,note_off,,,,,96,0,2,,,1,62,64
13920,note_on,,,,,24,0,2,,,1,59,107
14016,note_off,,,,,96,0,2,,,1,59,64
14040,note_on,,,,,24,0,2,,,1,60,107
14136,note_off,,,,,696,0,1,,,0,64,64
14160,note_on,,,,,24,0,1,,,0,64,107
14232,note_off,,,,,72,0,1,,,0,71,64
14280,note_on,,,,,48,0,1,,,0,68,107
14376,note_off,,,,,96,0,1,,,0,68,64
14400,note_on,,,,,24,0,1,,,0,69,107
14496,note_off,,,,,456,0,2,,,1,60,64
14496,note_off,,,,,96,0,1,,,0,69,64
14520,note_on,,,,,24,0,2,,,1,59,107
14520,note_on,,,,,24,0,1,,,0,71,107
14616,note_off,,,,,96,0,1,,,0,71,64
14616,note_off,,,,,96,0,2,,,1,59,64
