tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,program,channel,control,value,note,velocity
0,time_signature,2,4,12,8,0,1,0,,,,,,,
0,control_change,,,,,0,0,2,,,1,7,100,,
0,track_name,,,,,0,1,3,,,,,,,
0,program_change,,,,,0,0,3,,41,2,,,,
0,control_change,,,,,0,0,3,,,2,7,100,,
0,track_name,,,,,0,1,4,,,,,,,
0,program_change,,,,,0,0,4,,42,3,,,,
0,control_change,,,,,0,0,4,,,3,7,100,,
0,program_change,,,,,0,0,9,,42,3,,,,
0,track_name,,,,,0,1,5,,,,,,,
0,program_change,,,,,0,0,5,,73,4,,,,
0,control_change,,,,,0,0,5,,,4,7,127,,
0,program_change,,,,,0,0,2,,40,1,,,,
0,track_name,,,,,0,1,6,,,,,,,
0,control_change,,,,,0,0,6,,,0,7,100,,
0,track_name,,,,,0,1,7,,,,,,,
0,program_change,,,,,0,0,7,,40,1,,,,
0,control_change,,,,,0,0,7,,,1,7,100,,
0,control_change,,,,,0,0,10,,,4,7,127,,
0,program_change,,,,,0,0,10,,73,4,,,,
0,track_name,,,,,0,1,10,,,,,,,
0,track_name,,,,,0,1,8,,,,,,,
0,program_change,,,,,0,0,8,,41,2,,,,
0,control_change,,,,,0,0,8,,,2,7,100,,
0,control_change,,,,,0,0,9,,,3,7,100,,
0,program_change,,,,,0,0,6,,40,0,,,,
0,track_name,,,,,0,1,2,,,,,,,
0,track_name,,,,,0,1,9,,,,,,,
0,set_tempo,,,,,0,1,0,500000,,,,,,
0,track_name,,,,,0,1,1,,,,,,,
0,program_change,,,,,0,0,1,,40,0,,,,
0,control_change,,,,,0,0,1,,,0,7,100,,
230,note_on,,,,,230,0,4,,,3,,,47,87
232,note_on,,,,,232,0,5,,,4,,,83,82
235,note_on,,,,,235,0,2,,,1,,,78,85
236,note_on,,,,,236,0,3,,,2,,,74,91
239,note_on,,,,,239,0,1,,,0,,,83,82
289,note_off,,,,,59,0,4,,,3,,,47,64
305,note_off,,,,,69,0,3,,,2,,,74,64
306,note_off,,,,,67,0,1,,,0,,,83,64
318,note_off,,,,,86,0,5,,,4,,,83,64
319,note_off,,,,,84,0,2,,,1,,,78,64
347,note_on,,,,,29,0,5,,,4,,,86,78
354,note_on,,,,,65,0,4,,,3,,,47,82
389,note_off,,,,,42,0,5,,,4,,,86,64
404,note_on,,,,,15,0,5,,,4,,,83,72
425,note_off,,,,,71,0,4,,,3,,,47,64
432,note_off,,,,,28,0,5,,,4,,,83,64
466,note_on,,,,,41,0,4,,,3,,,50,85
470,note_on,,,,,38,0,5,,,4,,,78,93
472,note_on,,,,,153,0,2,,,1,,,74,85
474,note_on,,,,,168,0,1,,,0,,,78,70
475,note_on,,,,,170,0,3,,,2,,,71,85
519,note_off,,,,,53,0,4,,,3,,,50,64
546,note_off,,,,,72,0,1,,,0,,,78,64
547,note_off,,,,,72,0,3,,,2,,,71,64
547,note_off,,,,,75,0,2,,,1,,,74,64
569,note_off,,,,,99,0,5,,,4,,,78,64
584,note_on,,,,,65,0,4,,,3,,,47,87
586,note_on,,,,,17,0,5,,,4,,,83,63
621,note_off,,,,,35,0,5,,,4,,,83,64
641,note_on,,,,,20,0,5,,,4,,,78,58
645,note_off,,,,,61,0,4,,,3,,,47,64
672,note_off,,,,,31,0,5,,,4,,,78,64
695,note_on,,,,,149,0,1,,,0,,,74,82
697,note_on,,,,,52,0,4,,,3,,,54,89
704,note_on,,,,,157,0,2,,,1,,,71,80
708,note_on,,,,,161,0,3,,,2,,,66,82
715,note_on,,,,,43,0,5,,,4,,,74,87
751,note_off,,,,,54,0,4,,,3,,,54,64
771,note_off,,,,,76,0,1,,,0,,,74,64
781,note_off,,,,,73,0,3,,,2,,,66,64
785,note_off,,,,,81,0,2,,,1,,,71,64
811,note_off,,,,,96,0,5,,,4,,,74,64
815,note_on,,,,,64,0,4,,,3,,,50,80
836,note_on,,,,,25,0,5,,,4,,,78,49
864,note_off,,,,,28,0,5,,,4,,,78,64
882,note_on,,,,,18,0,5,,,4,,,74,62
885,note_off,,,,,70,0,4,,,3,,,50,64
918,note_off,,,,,36,0,5,,,4,,,74,64
942,note_on,,,,,171,0,1,,,0,,,71,74
944,note_on,,,,,59,0,4,,,3,,,59,91
948,note_on,,,,,30,0,5,,,4,,,71,82
948,note_on,,,,,167,0,3,,,2,,,62,82
950,note_on,,,,,165,0,2,,,1,,,66,70
1008,note_off,,,,,64,0,4,,,3,,,59,64
1029,note_off,,,,,87,0,1,,,0,,,71,64
1032,note_off,,,,,84,0,3,,,2,,,62,64
1039,note_off,,,,,89,0,2,,,1,,,66,64
1063,note_on,,,,,55,0,4,,,3,,,54,82
1080,note_off,,,,,132,0,5,,,4,,,71,64
1122,note_off,,,,,59,0,4,,,3,,,54,64
1184,note_on,,,,,104,0,5,,,4,,,66,76
1185,note_on,,,,,63,0,4,,,3,,,50,82
1189,note_on,,,,,157,0,3,,,2,,,62,80
1190,note_on,,,,,151,0,2,,,1,,,66,78
1191,note_on,,,,,162,0,1,,,0,,,71,80
1239,note_off,,,,,55,0,5,,,4,,,66,64
1240,note_off,,,,,49,0,1,,,0,,,71,64
1246,note_on,,,,,7,0,5,,,4,,,71,60
1246,note_off,,,,,61,0,4,,,3,,,50,64
1249,note_off,,,,,60,0,3,,,2,,,62,64
1254,note_off,,,,,64,0,2,,,1,,,66,64
1289,note_off,,,,,43,0,5,,,4,,,71,64
1300,note_on,,,,,54,0,4,,,3,,,47,74
1302,note_on,,,,,48,0,2,,,1,,,71,82
1304,note_on,,,,,55,0,3,,,2,,,66,74
1306,note_on,,,,,66,0,1,,,0,,,74,80
1314,note_on,,,,,25,0,5,,,4,,,74,60
1358,note_off,,,,,52,0,1,,,0,,,74,64
1359,note_off,,,,,59,0,4,,,3,,,47,64
1365,note_on,,,,,0,0,5,,,4,,,71,54
1365,note_off,,,,,63,0,2,,,1,,,71,64
1365,note_off,,,,,51,0,5,,,4,,,74,64
1370,note_off,,,,,66,0,3,,,2,,,66,64
1401,note_off,,,,,36,0,5,,,4,,,71,64
1416,note_on,,,,,46,0,3,,,2,,,67,82
1422,note_on,,,,,57,0,2,,,1,,,71,74
1423,note_on,,,,,65,0,1,,,0,,,73,78
1425,note_on,,,,,66,0,4,,,3,,,52,80
1429,note_on,,,,,28,0,5,,,4,,,73,80
1478,note_off,,,,,49,0,5,,,4,,,73,64
1479,note_off,,,,,56,0,1,,,0,,,73,64
1483,note_off,,,,,67,0,3,,,2,,,67,64
1483,note_on,,,,,5,0,5,,,4,,,71,58
1489,note_off,,,,,64,0,4,,,3,,,52,64
1496,note_off,,,,,74,0,2,,,1,,,71,64
1521,note_off,,,,,38,0,5,,,4,,,71,64
1543,note_on,,,,,60,0,3,,,2,,,64,74
1543,note_on,,,,,47,0,2,,,1,,,71,82
1546,note_on,,,,,57,0,4,,,3,,,49,68
1547,note_on,,,,,68,0,1,,,0,,,73,78
1549,note_on,,,,,28,0,5,,,4,,,73,68
1599,note_off,,,,,53,0,4,,,3,,,49,64
1600,note_off,,,,,51,0,5,,,4,,,73,64
1602,note_on,,,,,2,0,5,,,4,,,71,53
1603,note_off,,,,,56,0,1,,,0,,,73,64
1607,note_off,,,,,64,0,3,,,2,,,64,64
1614,note_off,,,,,71,0,2,,,1,,,71,64
1648,note_off,,,,,46,0,5,,,4,,,71,64
1661,note_on,,,,,58,0,1,,,0,,,73,76
