tick,type,time,meta,track,key,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,tempo,port,program,channel,control,value,note,velocity
0,text,0,1,0,,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,instrument_name,0,1,2,,,,,,,,,,,,,
0,program_change,0,0,2,,,,,,,,0,1,,,,
0,control_change,0,0,2,,,,,,,,,1,7,127,,
0,control_change,0,0,2,,,,,,,,,1,10,64,,
0,text,0,1,2,,,,,,,,,,,,,
0,note_on,0,0,1,,,,,,,,,0,,,64,110
0,control_change,0,0,1,,,,,,,,,0,10,64,,
0,control_change,0,0,1,,,,,,,,,0,7,127,,
0,program_change,0,0,1,,,,,,,,0,0,,,,
0,instrument_name,0,1,1,,,,,,,,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,text,0,1,1,,,,,,,,,,,,,
0,time_signature,0,1,0,,3,8,24,8,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,key_signature,0,1,0,G,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,1090909,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
22,note_on,22,0,1,,,,,,,,,0,,,64,0
24,note_on,2,0,1,,,,,,,,,0,,,66,110
46,note_on,22,0,1,,,,,,,,,0,,,66,0
48,note_on,2,0,1,,,,,,,,,0,,,67,110
70,note_on,22,0,1,,,,,,,,,0,,,67,0
72,note_on,2,0,1,,,,,,,,,0,,,69,110
94,note_on,22,0,1,,,,,,,,,0,,,69,0
96,note_on,2,0,1,,,,,,,,,0,,,71,110
118,note_on,22,0,1,,,,,,,,,0,,,71,0
120,note_on,2,0,1,,,,,,,,,0,,,73,110
142,note_on,22,0,1,,,,,,,,,0,,,73,0
144,note_on,2,0,1,,,,,,,,,0,,,75,110
166,note_on,22,0,1,,,,,,,,,0,,,75,0
168,note_on,2,0,1,,,,,,,,,0,,,76,110
190,note_on,22,0,1,,,,,,,,,0,,,76,0
192,note_on,2,0,1,,,,,,,,,0,,,75,110
214,note_on,22,0,1,,,,,,,,,0,,,75,0
216,note_on,2,0,1,,,,,,,,,0,,,73,110
238,note_on,22,0,1,,,,,,,,,0,,,73,0
240,note_on,2,0,1,,,,,,,,,0,,,71,110
262,note_on,22,0,1,,,,,,,,,0,,,71,0
264,note_on,2,0,1,,,,,,,,,0,,,69,110
286,note_on,22,0,1,,,,,,,,,0,,,69,0
288,note_on,2,0,1,,,,,,,,,0,,,67,110
310,note_on,22,0,1,,,,,,,,,0,,,67,0
312,note_on,2,0,1,,,,,,,,,0,,,66,110
334,note_on,22,0,1,,,,,,,,,0,,,66,0
336,note_on,2,0,1,,,,,,,,,0,,,64,110
382,note_on,46,0,1,,,,,,,,,0,,,64,0
384,note_on,384,0,2,,,,,,,,,1,,,40,110
432,note_on,50,0,1,,,,,,,,,0,,,72,110
478,note_on,46,0,1,,,,,,,,,0,,,72,0
480,note_on,2,0,1,,,,,,,,,0,,,71,110
480,note_on,0,0,2,,,,,,,,,1,,,52,110
480,note_on,96,0,2,,,,,,,,,1,,,40,0
526,note_on,46,0,1,,,,,,,,,0,,,71,0
528,note_on,2,0,1,,,,,,,,,0,,,70,110
574,note_on,46,0,1,,,,,,,,,0,,,70,0
576,note_on,2,0,1,,,,,,,,,0,,,70,110
576,note_on,96,0,2,,,,,,,,,1,,,52,0
576,note_on,0,0,2,,,,,,,,,1,,,51,110
598,note_on,22,0,1,,,,,,,,,0,,,70,0
600,note_on,2,0,1,,,,,,,,,0,,,71,110
608,note_on,32,0,2,,,,,,,,,1,,,51,0
622,note_on,22,0,1,,,,,,,,,0,,,71,0
624,note_on,2,0,1,,,,,,,,,0,,,59,110
656,note_on,32,0,1,,,,,,,,,0,,,59,0
672,note_on,64,0,2,,,,,,,,,1,,,38,110
720,note_on,64,0,1,,,,,,,,,0,,,70,110
766,note_on,46,0,1,,,,,,,,,0,,,70,0
768,note_on,0,0,2,,,,,,,,,1,,,50,110
768,note_on,96,0,2,,,,,,,,,1,,,38,0
768,note_on,2,0,1,,,,,,,,,0,,,69,110
814,note_on,46,0,1,,,,,,,,,0,,,69,0
816,note_on,2,0,1,,,,,,,,,0,,,68,110
862,note_on,46,0,1,,,,,,,,,0,,,68,0
864,note_on,2,0,1,,,,,,,,,0,,,68,110
864,note_on,0,0,2,,,,,,,,,1,,,49,110
864,note_on,96,0,2,,,,,,,,,1,,,50,0
886,note_on,22,0,1,,,,,,,,,0,,,68,0
888,note_on,2,0,1,,,,,,,,,0,,,69,110
896,note_on,32,0,2,,,,,,,,,1,,,49,0
910,note_on,22,0,1,,,,,,,,,0,,,69,0
912,note_on,2,0,1,,,,,,,,,0,,,57,110
944,note_on,32,0,1,,,,,,,,,0,,,57,0
960,note_on,64,0,2,,,,,,,,,1,,,36,110
984,note_on,40,0,1,,,,,,,,,0,,,69,110
1006,note_on,22,0,1,,,,,,,,,0,,,69,0
1008,note_on,2,0,1,,,,,,,,,0,,,72,110
1030,note_on,22,0,1,,,,,,,,,0,,,72,0
1032,note_on,2,0,1,,,,,,,,,0,,,76,110
1054,note_on,22,0,1,,,,,,,,,0,,,76,0
1054,note_on,94,0,2,,,,,,,,,1,,,36,0
1056,note_on,2,0,1,,,,,,,,,0,,,81,110
1056,note_on,2,0,2,,,,,,,,,1,,,48,110
1078,note_on,22,0,1,,,,,,,,,0,,,81,0
1080,note_on,2,0,1,,,,,,,,,0,,,79,110
1102,note_on,22,0,1,,,,,,,,,0,,,79,0
1104,note_on,2,0,1,,,,,,,,,0,,,78,110
1126,note_on,22,0,1,,,,,,,,,0,,,78,0
1128,note_on,2,0,1,,,,,,,,,0,,,76,110
1150,note_on,94,0,2,,,,,,,,,1,,,48,0
1150,note_on,22,0,1,,,,,,,,,0,,,76,0
1152,note_on,2,0,1,,,,,,,,,0,,,75,110
1152,note_on,2,0,2,,,,,,,,,1,,,47,110
1174,note_on,22,0,1,,,,,,,,,0,,,75,0
1176,note_on,2,0,1,,,,,,,,,0,,,78,110
1198,note_on,22,0,1,,,,,,,,,0,,,78,0
1200,note_on,2,0,1,,,,,,,,,0,,,79,110
1246,note_on,94,0,2,,,,,,,,,1,,,47,0
1248,note_on,2,0,2,,,,,,,,,1,,,49,110
1270,note_on,70,0,1,,,,,,,,,0,,,79,0
1272,note_on,2,0,1,,,,,,,,,0,,,76,110
1294,note_on,22,0,1,,,,,,,,,0,,,76,0
1296,note_on,2,0,1,,,,,,,,,0,,,70,110
1342,note_on,94,0,2,,,,,,,,,1,,,49,0
1344,note_on,2,0,2,,,,,,,,,1,,,51,110
1366,note_on,70,0,1,,,,,,,,,0,,,70,0
1368,note_on,2,0,1,,,,,,,,,0,,,69,110
1390,note_on,22,0,1,,,,,,,,,0,,,69,0
1392,note_on,2,0,1,,,,,,,,,0,,,78,110
1414,note_on,22,0,1,,,,,,,,,0,,,78,0
1416,note_on,2,0,1,,,,,,,,,0,,,69,110
1438,note_on,22,0,1,,,,,,,,,0,,,69,0
1438,note_on,94,0,2,,,,,,,,,1,,,51,0
1440,note_on,2,0,1,,,,,,,,,0,,,69,110
1440,note_on,2,0,2,,,,,,,,,1,,,52,110
1462,note_on,22,0,1,,,,,,,,,0,,,69,0
1464,note_on,2,0,1,,,,,,,,,0,,,66,110
1486,note_on,22,0,1,,,,,,,,,0,,,66,0
1488,note_on,2,0,1,,,,,,,,,0,,,67,110
1510,note_on,22,0,1,,,,,,,,,0,,,67,0
1512,note_on,2,0,1,,,,,,,,,0,,,72,110
1534,note_on,22,0,1,,,,,,,,,0,,,72,0
1534,note_on,94,0,2,,,,,,,,,1,,,52,0
1536,note_on,2,0,1,,,,,,,,,0,,,72,110
1536,note_on,2,0,2,,,,,,,,,1,,,50,110
1558,note_on,22,0,1,,,,,,,,,0,,,72,0
1560,note_on,2,0,1,,,,,,,,,0,,,70,110
1582,note_on,22,0,1,,,,,,,,,0,,,70,0
1584,note_on,2,0,1,,,,,,,,,0,,,71,110
1606,note_on,22,0,1,,,,,,,,,0,,,71,0
1608,note_on,2,0,1,,,,,,,,,0,,,78,110
1630,note_on,22,0,1,,,,,,,,,0,,,78,0
1630,note_on,94,0,2,,,,,,,,,1,,,50,0
1632,note_on,2,0,2,,,,,,,,,1,,,49,110
1632,note_on,2,0,1,,,,,,,,,0,,,76,110
1654,note_on,22,0,1,,,,,,,,,0,,,76,0
1656,note_on,2,0,1,,,,,,,,,0,,,74,110
1678,note_on,22,0,1,,,,,,,,,0,,,74,0
1680,note_on,2,0,1,,,,,,,,,0,,,76,110
1702,note_on,22,0,1,,,,,,,,,0,,,76,0
1704,note_on,2,0,1,,,,,,,,,0,,,70,110
1726,note_on,94,0,2,,,,,,,,,1,,,49,0
1726,note_on,22,0,1,,,,,,,,,0,,,70,0
1728,note_on,2,0,2,,,,,,,,,1,,,47,110
1728,note_on,2,0,1,,,,,,,,,0,,,74,110
1750,note_on,22,0,1,,,,,,,,,0,,,74,0
1750,note_on,22,0,2,,,,,,,,,1,,,47,0
1752,note_on,2,0,2,,,,,,,,,1,,,49,110
1752,note_on,2,0,1,,,,,,,,,0,,,73,110
1774,note_on,22,0,2,,,,,,,,,1,,,49,0
1774,note_on,22,0,1,,,,,,,,,0,,,73,0
1776,note_on,2,0,2,,,,,,,,,1,,,50,110
1776,note_on,2,0,1,,,,,,,,,0,,,71,110
1798,note_on,22,0,2,,,,,,,,,1,,,50,0
1800,note_on,2,0,2,,,,,,,,,1,,,52,110
1822,note_on,22,0,2,,,,,,,,,1,,,52,0
1822,note_on,46,0,1,,,,,,,,,0,,,71,0
1824,note_on,2,0,2,,,,,,,,,1,,,54,110
1846,note_on,22,0,2,,,,,,,,,1,,,54,0
1848,note_on,2,0,2,,,,,,,,,1,,,56,110
1870,note_on,22,0,2,,,,,,,,,1,,,56,0
1872,note_on,2,0,2,,,,,,,,,1,,,58,110
1894,note_on,22,0,2,,,,,,,,,1,,,58,0
1896,note_on,2,0,2,,,,,,,,,1,,,59,110
1918,note_on,22,0,2,,,,,,,,,1,,,59,0
1920,note_on,2,0,2,,,,,,,,,1,,,58,110
1942,note_on,22,0,2,,,,,,,,,1,,,58,0
1944,note_on,2,0,2,,,,,,,,,1,,,56,110
1966,note_on,22,0,2,,,,,,,,,1,,,56,0
1968,note_on,2,0,2,,,,,,,,,1,,,54,110
1990,note_on,22,0,2,,,,,,,,,1,,,54,0
1992,note_on,2,0,2,,,,,,,,,1,,,52,110
2014,note_on,22,0,2,,,,,,,,,1,,,52,0
2016,note_on,2,0,2,,,,,,,,,1,,,50,110
2038,note_on,22,0,2,,,,,,,,,1,,,50,0
2040,note_on,2,0,2,,,,,,,,,1,,,49,110
2062,note_on,22,0,2,,,,,,,,,1,,,49,0
2064,note_on,2,0,2,,,,,,,,,1,,,47,110
2110,note_on,46,0,2,,,,,,,,,1,,,47,0
2112,note_on,290,0,1,,,,,,,,,0,,,71,110
2160,note_on,50,0,2,,,,,,,,,1,,,55,110
2206,note_on,46,0,2,,,,,,,,,1,,,55,0
2208,note_on,0,0,1,,,,,,,,,0,,,83,110
2208,note_on,96,0,1,,,,,,,,,0,,,71,0
2208,note_on,2,0,2,,,,,,,,,1,,,54,110
2254,note_on,46,0,2,,,,,,,,,1,,,54,0
2256,note_on,2,0,2,,,,,,,,,1,,,53,110
2302,note_on,46,0,2,,,,,,,,,1,,,53,0
2304,note_on,96,0,1,,,,,,,,,0,,,83,0
2304,note_on,0,0,1,,,,,,,,,0,,,82,110
2304,note_on,2,0,2,,,,,,,,,1,,,53,110
2326,note_on,22,0,2,,,,,,,,,1,,,53,0
2328,note_on,2,0,2,,,,,,,,,1,,,54,110
2336,note_on,32,0,1,,,,,,,,,0,,,82,0
2350,note_on,22,0,2,,,,,,,,,1,,,54,0
2352,note_on,2,0,2,,,,,,,,,1,,,42,110
2384,note_on,32,0,2,,,,,,,,,1,,,42,0
2400,note_on,64,0,1,,,,,,,,,0,,,69,110
2448,note_on,64,0,2,,,,,,,,,1,,,53,110
2494,note_on,46,0,2,,,,,,,,,1,,,53,0
2496,note_on,2,0,2,,,,,,,,,1,,,52,110
2496,note_on,0,0,1,,,,,,,,,0,,,81,110
2496,note_on,96,0,1,,,,,,,,,0,,,69,0
2542,note_on,46,0,2,,,,,,,,,1,,,52,0
2544,note_on,2,0,2,,,,,,,,,1,,,51,110
2590,note_on,46,0,2,,,,,,,,,1,,,51,0
2592,note_on,0,0,1,,,,,,,,,0,,,80,110
2592,note_on,96,0,1,,,,,,,,,0,,,81,0
2592,note_on,2,0,2,,,,,,,,,1,,,51,110
2614,note_on,22,0,2,,,,,,,,,1,,,51,0
2616,note_on,2,0,2,,,,,,,,,1,,,52,110
2624,note_on,32,0,1,,,,,,,,,0,,,80,0
2638,note_on,22,0,2,,,,,,,,,1,,,52,0
2640,note_on,2,0,2,,,,,,,,,1,,,40,110
2672,note_on,32,0,2,,,,,,,,,1,,,40,0
2688,note_on,64,0,1,,,,,,,,,0,,,67,110
2712,note_on,40,0,2,,,,,,,,,1,,,52,110
2734,note_on,22,0,2,,,,,,,,,1,,,52,0
2736,note_on,2,0,2,,,,,,,,,1,,,55,110
2758,note_on,22,0,2,,,,,,,,,1,,,55,0
2760,note_on,2,0,2,,,,,,,,,1,,,59,110
2782,note_on,94,0,1,,,,,,,,,0,,,67,0
2782,note_on,22,0,2,,,,,,,,,1,,,59,0
2784,note_on,2,0,1,,,,,,,,,0,,,79,110
2784,note_on,2,0,2,,,,,,,,,1,,,64,110
2806,note_on,22,0,2,,,,,,,,,1,,,64,0
2808,note_on,2,0,2,,,,,,,,,1,,,62,110
2830,note_on,22,0,2,,,,,,,,,1,,,62,0
2832,note_on,2,0,2,,,,,,,,,1,,,61,110
2854,note_on,22,0,2,,,,,,,,,1,,,61,0
2856,note_on,2,0,2,,,,,,,,,1,,,59,110
2878,note_on,22,0,2,,,,,,,,,1,,,59,0
2878,note_on,94,0,1,,,,,,,,,0,,,79,0
2880,note_on,2,0,1,,,,,,,,,0,,,78,110
2880,note_on,2,0,2,,,,,,,,,1,,,58,110
2902,note_on,22,0,2,,,,,,,,,1,,,58,0
2904,note_on,2,0,2,,,,,,,,,1,,,61,110
2926,note_on,22,0,2,,,,,,,,,1,,,61,0
2928,note_on,2,0,2,,,,,,,,,1,,,62,110
2974,note_on,94,0,1,,,,,,,,,0,,,78,0
2976,note_on,2,0,1,,,,,,,,,0,,,80,110
2998,note_on,70,0,2,,,,,,,,,1,,,62,0
3000,note_on,2,0,2,,,,,,,,,1,,,59,110
3022,note_on,22,0,2,,,,,,,,,1,,,59,0
3024,note_on,2,0,2,,,,,,,,,1,,,53,110
3070,note_on,94,0,1,,,,,,,,,0,,,80,0
3072,note_on,2,0,1,,,,,,,,,0,,,82,110
3094,note_on,70,0,2,,,,,,,,,1,,,53,0
3096,note_on,2,0,2,,,,,,,,,1,,,52,110
3118,note_on,22,0,2,,,,,,,,,1,,,52,0
3120,note_on,2,0,2,,,,,,,,,1,,,61,110
3142,note_on,22,0,2,,,,,,,,,1,,,61,0
3144,note_on,2,0,2,,,,,,,,,1,,,52,110
3166,note_on,22,0,2,,,,,,,,,1,,,52,0
3166,note_on,94,0,1,,,,,,,,,0,,,82,0
3168,note_on,2,0,2,,,,,,,,,1,,,52,110
3168,note_on,2,0,1,,,,,,,,,0,,,83,110
3190,note_on,22,0,2,,,,,,,,,1,,,52,0
3192,note_on,2,0,2,,,,,,,,,1,,,49,110
3200,note_on,32,0,1,,,,,,,,,0,,,83,0
3214,note_on,22,0,2,,,,,,,,,1,,,49,0
3216,note_on,2,0,2,,,,,,,,,1,,,50,110
3238,note_on,22,0,2,,,,,,,,,1,,,50,0
3240,note_on,2,0,2,,,,,,,,,1,,,55,110
3262,note_on,22,0,2,,,,,,,,,1,,,55,0
3264,note_on,2,0,2,,,,,,,,,1,,,55,110
3286,note_on,22,0,2,,,,,,,,,1,,,55,0
3288,note_on,2,0,2,,,,,,,,,1,,,52,110
3310,note_on,22,0,2,,,,,,,,,1,,,52,0
3312,note_on,2,0,2,,,,,,,,,1,,,54,110
3334,note_on,22,0,2,,,,,,,,,1,,,54,0
3336,note_on,2,0,2,,,,,,,,,1,,,64,110
3358,note_on,22,0,2,,,,,,,,,1,,,64,0
3360,note_on,2,0,2,,,,,,,,,1,,,62,110
3360,note_on,160,0,1,,,,,,,,,0,,,71,110
3382,note_on,22,0,2,,,,,,,,,1,,,62,0
3384,note_on,2,0,2,,,,,,,,,1,,,61,110
3406,note_on,22,0,2,,,,,,,,,1,,,61,0
3408,note_on,2,0,2,,,,,,,,,1,,,62,110
3430,note_on,22,0,2,,,,,,,,,1,,,62,0
3432,note_on,2,0,2,,,,,,,,,1,,,56,110
3454,note_on,22,0,2,,,,,,,,,1,,,56,0
3456,note_on,2,0,2,,,,,,,,,1,,,60,110
3478,note_on,118,0,1,,,,,,,,,0,,,71,0
3480,note_on,2,0,1,,,,,,,,,0,,,68,110
3502,note_on,22,0,1,,,,,,,,,0,,,68,0
3504,note_on,2,0,1,,,,,,,,,0,,,69,110
3526,note_on,22,0,1,,,,,,,,,0,,,69,0
3528,note_on,2,0,1,,,,,,,,,0,,,74,110
3550,note_on,94,0,2,,,,,,,,,1,,,60,0
3550,note_on,22,0,1,,,,,,,,,0,,,74,0
3552,note_on,2,0,1,,,,,,,,,0,,,74,110
3574,note_on,22,0,1,,,,,,,,,0,,,74,0
3576,note_on,2,0,1,,,,,,,,,0,,,71,110
3598,note_on,22,0,1,,,,,,,,,0,,,71,0
3600,note_on,2,0,1,,,,,,,,,0,,,72,110
3622,note_on,22,0,1,,,,,,,,,0,,,72,0
3624,note_on,2,0,1,,,,,,,,,0,,,83,110
3646,note_on,22,0,1,,,,,,,,,0,,,83,0
3648,note_on,2,0,1,,,,,,,,,0,,,81,110
3648,note_on,98,0,2,,,,,,,,,1,,,48,110
3670,note_on,22,0,1,,,,,,,,,0,,,81,0
3672,note_on,2,0,1,,,,,,,,,0,,,79,110
3694,note_on,22,0,1,,,,,,,,,0,,,79,0
3696,note_on,2,0,1,,,,,,,,,0,,,81,110
