tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,note,velocity,control,value
0,track_name,0,1,0,,,,,,,,,,,,
0,track_name,0,1,7,,,,,,,,,,,,
0,control_change,0,0,6,,,,,,,,2,,,7,127
0,program_change,0,0,6,,,,,,,52,2,,,,
0,track_name,0,1,6,,,,,,,,,,,,
0,control_change,0,0,5,,,,,,,,1,,,7,127
0,program_change,0,0,5,,,,,,,52,1,,,,
0,program_change,0,0,7,,,,,,,52,4,,,,
0,track_name,0,1,5,,,,,,,,,,,,
0,program_change,0,0,4,,,,,,,52,0,,,,
0,track_name,0,1,4,,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,,6,,,7,100
0,program_change,0,0,3,,,,,,,68,6,,,,
0,track_name,0,1,3,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,7,,,7,100
0,control_change,0,0,4,,,,,,,,0,,,7,127
0,control_change,0,0,7,,,,,,,,4,,,7,127
0,track_name,0,1,8,,,,,,,,,,,,
0,program_change,0,0,8,,,,,,,19,8,,,,
0,control_change,0,0,13,,,,,,,,13,,,7,100
0,program_change,0,0,13,,,,,,,48,13,,,,
0,track_name,0,1,13,,,,,,,,,,,,
0,control_change,0,0,12,,,,,,,,12,,,7,100
0,program_change,0,0,12,,,,,,,48,12,,,,
0,track_name,0,1,12,,,,,,,,,,,,
0,control_change,0,0,11,,,,,,,,10,,,7,100
0,program_change,0,0,11,,,,,,,48,10,,,,
0,track_name,0,1,11,,,,,,,,,,,,
0,control_change,0,0,10,,,,,,,,11,,,7,100
0,program_change,0,0,10,,,,,,,48,11,,,,
0,track_name,0,1,10,,,,,,,,,,,,
0,control_change,0,0,9,,,,,,,,3,,,7,127
0,program_change,0,0,9,,,,,,,52,3,,,,
0,track_name,0,1,9,,,,,,,,,,,,
0,program_change,0,0,2,,,,,,,70,7,,,,
0,track_name,0,1,2,,,,,,,,,,,,
0,end_of_track,0,1,14,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,
0,time_signature,0,1,0,4,4,24,8,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,key_signature,0,1,0,,,,,D,,,,,,,
0,program_change,0,0,1,,,,,,,73,5,,,,
0,set_tempo,0,1,0,,,,,,625000,,,,,,
480,note_on,480,0,1,,,,,,,,5,74,64,,
480,note_on,480,0,4,,,,,,,,0,74,80,,
480,note_on,0,0,1,,,,,,,,5,71,64,,
480,note_on,480,0,7,,,,,,,,4,47,80,,
480,note_on,480,0,2,,,,,,,,7,47,64,,
480,note_on,0,0,3,,,,,,,,6,71,64,,
480,note_on,0,0,3,,,,,,,,6,74,64,,
480,control_change,480,0,3,,,,,,,,6,,,7,100
480,set_tempo,480,1,0,,,,,,1714286,,,,,,
480,note_on,480,0,9,,,,,,,,3,59,80,,
480,note_on,480,0,10,,,,,,,,11,78,64,,
480,note_on,480,0,11,,,,,,,,10,86,64,,
480,note_on,480,0,5,,,,,,,,1,71,80,,
480,note_on,480,0,6,,,,,,,,2,66,80,,
480,note_on,480,0,12,,,,,,,,12,71,64,,
480,note_on,480,0,13,,,,,,,,13,47,64,,
480,note_on,480,0,8,,,,,,,,8,47,64,,
660,note_on,0,0,2,,,,,,,,7,47,64,,
660,note_on,0,0,11,,,,,,,,10,86,64,,
660,note_on,0,0,3,,,,,,,,6,71,64,,
660,note_on,0,0,3,,,,,,,,6,74,64,,
660,note_on,180,0,5,,,,,,,,1,71,0,,
660,note_on,180,0,7,,,,,,,,4,47,0,,
660,note_on,0,0,6,,,,,,,,2,66,80,,
660,note_on,0,0,1,,,,,,,,5,74,64,,
660,note_on,0,0,1,,,,,,,,5,71,64,,
660,note_on,180,0,11,,,,,,,,10,86,0,,
660,note_on,0,0,7,,,,,,,,4,47,80,,
660,note_on,0,0,3,,,,,,,,6,74,0,,
660,note_on,180,0,3,,,,,,,,6,71,0,,
660,note_on,180,0,2,,,,,,,,7,47,0,,
660,note_on,0,0,10,,,,,,,,11,78,64,,
660,note_on,0,0,5,,,,,,,,1,71,80,,
660,note_on,0,0,4,,,,,,,,0,74,80,,
660,note_on,180,0,4,,,,,,,,0,74,0,,
660,note_on,180,0,12,,,,,,,,12,71,0,,
660,note_on,0,0,12,,,,,,,,12,71,64,,
660,note_on,180,0,1,,,,,,,,5,71,0,,
660,note_on,180,0,6,,,,,,,,2,66,0,,
660,note_on,180,0,9,,,,,,,,3,59,0,,
660,note_on,0,0,1,,,,,,,,5,74,0,,
660,note_on,180,0,10,,,,,,,,11,78,0,,
660,note_on,0,0,9,,,,,,,,3,57,80,,
720,note_on,0,0,1,,,,,,,,5,76,64,,
720,note_on,60,0,11,,,,,,,,10,86,0,,
720,note_on,0,0,11,,,,,,,,10,85,64,,
720,note_on,0,0,12,,,,,,,,12,67,64,,
720,note_on,0,0,2,,,,,,,,7,49,64,,
720,note_on,60,0,2,,,,,,,,7,47,0,,
720,note_on,0,0,1,,,,,,,,5,74,0,,
720,note_on,0,0,1,,,,,,,,5,71,64,,
720,note_on,60,0,12,,,,,,,,12,71,0,,
720,note_on,0,0,13,,,,,,,,13,49,64,,
720,note_on,60,0,3,,,,,,,,6,71,0,,
720,note_on,60,0,7,,,,,,,,4,47,0,,
720,note_on,0,0,7,,,,,,,,4,49,80,,
720,note_on,0,0,6,,,,,,,,2,64,80,,
720,note_on,60,0,6,,,,,,,,2,66,0,,
720,note_on,240,0,8,,,,,,,,8,47,0,,
