tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,program,channel,note,velocity
0,time_signature,4,4,24,8,0,1,0,,,,,,
0,note_on,,,,,0,0,5,,,,4,64,96
0,note_on,,,,,0,0,4,,,,3,64,96
0,program_change,,,,,0,0,4,,,0,3,,
0,track_name,,,,,0,1,4,,,,,,
0,program_change,,,,,0,0,5,,,0,4,,
0,note_on,,,,,0,0,3,,,,2,64,96
0,program_change,,,,,0,0,3,,,0,2,,
0,track_name,,,,,0,1,3,,,,,,
0,note_on,,,,,0,0,2,,,,1,68,96
0,program_change,,,,,0,0,2,,,0,1,,
0,track_name,,,,,0,1,2,,,,,,
0,track_name,,,,,0,1,5,,,,,,
0,key_signature,,,,,0,1,0,E,,,,,
0,note_on,,,,,0,0,1,,,,0,71,96
0,program_change,,,,,0,0,1,,,0,0,,
0,set_tempo,,,,,0,1,0,,625000,,,,
0,track_name,,,,,0,1,1,,,,,,
512,note_off,,,,,512,0,3,,,,2,64,0
512,note_off,,,,,512,0,2,,,,1,68,0
512,note_on,,,,,0,0,2,,,,1,69,96
512,note_on,,,,,0,0,3,,,,2,66,96
1024,note_off,,,,,512,0,2,,,,1,69,0
1024,note_on,,,,,0,0,2,,,,1,68,96
1024,note_on,,,,,0,0,1,,,,0,71,96
1024,note_off,,,,,1024,0,1,,,,0,71,0
1024,note_off,,,,,512,0,3,,,,2,66,0
1024,note_on,,,,,0,0,3,,,,2,64,96
1024,note_off,,,,,1024,0,5,,,,4,64,0
1024,note_off,,,,,1024,0,4,,,,3,64,0
1024,note_on,,,,,0,0,4,,,,3,52,96
1024,note_on,,,,,0,0,5,,,,4,52,96
1536,note_on,,,,,0,0,3,,,,2,63,96
1536,note_off,,,,,512,0,3,,,,2,64,0
1536,note_on,,,,,0,0,2,,,,1,66,96
1536,note_off,,,,,512,0,2,,,,1,68,0
2048,note_off,,,,,1024,0,1,,,,0,71,0
2048,note_off,,,,,1024,0,5,,,,4,52,0
2048,note_on,,,,,0,0,5,,,,4,57,96
2048,note_off,,,,,512,0,2,,,,1,66,0
2048,note_on,,,,,0,0,4,,,,3,57,96
2048,note_off,,,,,1024,0,4,,,,3,52,0
2048,note_off,,,,,512,0,3,,,,2,63,0
2048,note_on,,,,,0,0,2,,,,1,64,96
2048,note_on,,,,,0,0,1,,,,0,73,96
2048,note_on,,,,,0,0,3,,,,2,61,96
2560,note_on,,,,,0,0,5,,,,4,59,96
2560,note_off,,,,,512,0,4,,,,3,57,0
2560,note_off,,,,,512,0,5,,,,4,57,0
2560,note_on,,,,,0,0,4,,,,3,59,96
3072,note_off,,,,,1024,0,1,,,,0,73,0
3072,note_on,,,,,0,0,2,,,,1,66,96
3072,note_on,,,,,0,0,5,,,,4,57,96
3072,note_off,,,,,512,0,5,,,,4,59,0
3072,note_on,,,,,0,0,1,,,,0,73,96
3072,note_off,,,,,1024,0,3,,,,2,61,0
3072,note_on,,,,,0,0,3,,,,2,63,96
3072,note_off,,,,,512,0,4,,,,3,59,0
3072,note_on,,,,,0,0,4,,,,3,57,96
3072,note_off,,,,,1024,0,2,,,,1,64,0
3584,note_off,,,,,512,0,4,,,,3,57,0
3584,note_on,,,,,0,0,5,,,,4,56,96
3584,note_off,,,,,512,0,5,,,,4,57,0
3584,note_on,,,,,0,0,3,,,,2,64,96
3584,note_off,,,,,512,0,3,,,,2,63,0
3584,note_on,,,,,0,0,2,,,,1,68,96
3584,note_off,,,,,512,0,2,,,,1,66,0
3584,note_on,,,,,0,0,4,,,,3,56,96
4096,note_off,,,,,512,0,3,,,,2,64,0
4096,note_on,,,,,0,0,2,,,,1,69,96
4096,note_on,,,,,0,0,5,,,,4,54,96
4096,note_off,,,,,512,0,5,,,,4,56,0
4096,note_off,,,,,512,0,2,,,,1,68,0
4096,note_on,,,,,0,0,3,,,,2,66,96
4096,note_off,,,,,1024,0,1,,,,0,73,0
4096,note_off,,,,,512,0,4,,,,3,56,0
4096,note_on,,,,,0,0,1,,,,0,75,96
4096,note_on,,,,,0,0,4,,,,3,54,96
4608,note_off,,,,,512,0,3,,,,2,66,0
4608,note_on,,,,,0,0,2,,,,1,73,96
4608,note_off,,,,,512,0,2,,,,1,69,0
4608,note_on,,,,,0,0,3,,,,2,69,96
5120,note_on,,,,,0,0,1,,,,0,75,96
5120,note_on,,,,,0,0,4,,,,3,47,96
5120,note_off,,,,,1024,0,4,,,,3,54,0
5120,note_on,,,,,0,0,2,,,,1,71,96
5120,note_off,,,,,512,0,3,,,,2,69,0
5120,note_off,,,,,512,0,2,,,,1,73,0
5120,note_off,,,,,1024,0,1,,,,0,75,0
5120,note_off,,,,,1024,0,5,,,,4,54,0
5120,note_on,,,,,0,0,3,,,,2,68,96
5120,note_on,,,,,0,0,5,,,,4,47,96
5632,note_off,,,,,512,0,3,,,,2,68,0
5632,note_on,,,,,0,0,3,,,,2,66,96
5632,note_off,,,,,512,0,2,,,,1,71,0
