tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,pitch,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,2,,,,,,,,,,,,,0,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,,,,,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-320,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-160,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-480,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-322,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-155,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-482,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-80,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-400,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-240,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-316,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-402,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,0,,
0,end_of_track,0,1,2,,,,,,,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,,,,,,,0,,,,,
0,text,0,1,0,,,,,,,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,,,,,,,,0,0,,,
0,smpte_offset,0,1,0,25,32,0,3,0,0,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,,,,,,,789474,,,,,,
0,key_signature,0,1,0,,,,,,,,,,,C,,,,,,,
0,time_signature,0,1,0,,,,,,,4,4,24,8,,,,,,,,
45,note_on,45,0,1,,,,,,,,,,,,,,,0,,50,127
228,note_on,183,0,1,,,,,,,,,,,,,,,0,,62,127
318,note_on,90,0,1,,,,,,,,,,,,,,,0,,62,0
320,note_on,2,0,1,,,,,,,,,,,,,,,0,,61,127
410,note_on,90,0,1,,,,,,,,,,,,,,,0,,61,0
411,note_on,1,0,1,,,,,,,,,,,,,,,0,,62,127
502,note_on,91,0,1,,,,,,,,,,,,,,,0,,50,0
502,note_on,0,0,1,,,,,,,,,,,,,,,0,,57,127
525,note_on,23,0,1,,,,,,,,,,,,,,,0,,62,0
603,note_on,78,0,1,,,,,,,,,,,,,,,0,,62,127
682,note_on,79,0,1,,,,,,,,,,,,,,,0,,57,0
693,note_on,11,0,1,,,,,,,,,,,,,,,0,,62,0
695,note_on,2,0,1,,,,,,,,,,,,,,,0,,61,127
785,note_on,90,0,1,,,,,,,,,,,,,,,0,,61,0
786,note_on,1,0,1,,,,,,,,,,,,,,,0,,62,127
878,note_on,92,0,1,,,,,,,,,,,,,,,0,,53,127
900,note_on,22,0,1,,,,,,,,,,,,,,,0,,62,0
979,note_on,79,0,1,,,,,,,,,,,,,,,0,,62,127
1058,note_on,79,0,1,,,,,,,,,,,,,,,0,,53,0
1069,note_on,11,0,1,,,,,,,,,,,,,,,0,,62,0
1070,note_on,1,0,1,,,,,,,,,,,,,,,0,,61,127
1160,note_on,90,0,1,,,,,,,,,,,,,,,0,,61,0
1161,note_on,1,0,1,,,,,,,,,,,,,,,0,,62,127
1253,note_on,92,0,1,,,,,,,,,,,,,,,0,,50,127
1275,note_on,22,0,1,,,,,,,,,,,,,,,0,,62,0
1354,note_on,79,0,1,,,,,,,,,,,,,,,0,,62,127
1433,note_on,79,0,1,,,,,,,,,,,,,,,0,,50,0
1445,note_on,12,0,1,,,,,,,,,,,,,,,0,,60,127
1462,note_on,17,0,1,,,,,,,,,,,,,,,0,,62,0
1537,note_on,75,0,1,,,,,,,,,,,,,,,0,,62,127
