tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,note,velocity,control,value
0,text,0,1,0,,,,,,,,,,,,,
0,midi_port,0,1,10,,,,,,,0,,,,,,
0,program_change,0,0,9,,,,,,,,6,8,,,,
0,track_name,0,1,9,,,,,,,,,,,,,
0,midi_port,0,1,9,,,,,,,0,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,program_change,0,0,3,,,,,,,,48,1,,,,
0,program_change,0,0,8,,,,,,,,6,7,,,,
0,track_name,0,1,8,,,,,,,,,,,,,
0,midi_port,0,1,8,,,,,,,0,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,program_change,0,0,4,,,,,,,,48,2,,,,
0,program_change,0,0,7,,,,,,,,53,6,,,,
0,track_name,0,1,7,,,,,,,,,,,,,
0,midi_port,0,1,7,,,,,,,0,,,,,,
0,midi_port,0,1,5,,,,,,,0,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,program_change,0,0,5,,,,,,,,48,3,,,,
0,program_change,0,0,6,,,,,,,,53,5,,,,
0,track_name,0,1,10,,,,,,,,,,,,,
0,program_change,0,0,10,,,,,,,,45,4,,,,
0,midi_port,0,1,6,,,,,,,0,,,,,,
0,time_signature,0,1,0,2,4,24,8,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,program_change,0,0,2,,,,,,,,73,0,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,key_signature,0,1,0,,,,,G,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,625000,,,,,,,
0,program_change,0,0,1,,,,,,,,73,0,,,,
196,control_change,196,0,9,,,,,,,,,8,,,11,84
200,control_change,200,0,10,,,,,,,,,4,,,11,86
212,control_change,212,0,8,,,,,,,,,7,,,11,88
240,note_on,44,0,9,,,,,,,,,8,43,40,,
240,set_tempo,0,1,0,,,,,,857143,,,,,,,
240,time_signature,240,1,0,4,4,24,8,,,,,,,,,
240,note_on,40,0,10,,,,,,,,,4,43,40,,
240,note_on,0,0,8,,,,,,,,,7,67,40,,
240,note_on,0,0,8,,,,,,,,,7,62,40,,
240,note_on,28,0,8,,,,,,,,,7,59,40,,
240,note_on,240,0,2,,,,,,,,,0,79,64,,
270,note_on,30,0,9,,,,,,,,,8,43,0,,
270,note_on,30,0,2,,,,,,,,,0,79,0,,
270,note_on,30,0,10,,,,,,,,,4,43,0,,
300,note_on,30,0,2,,,,,,,,,0,78,64,,
300,note_on,30,0,9,,,,,,,,,8,45,40,,
300,note_on,30,0,10,,,,,,,,,4,45,40,,
300,note_on,60,0,8,,,,,,,,,7,67,0,,
300,note_on,0,0,8,,,,,,,,,7,62,0,,
300,note_on,0,0,8,,,,,,,,,7,59,0,,
330,note_on,0,0,2,,,,,,,,,0,76,64,,
330,note_on,30,0,10,,,,,,,,,4,45,0,,
330,note_on,30,0,2,,,,,,,,,0,78,0,,
330,note_on,30,0,9,,,,,,,,,8,45,0,,
360,note_on,0,0,8,,,,,,,,,7,62,40,,
360,note_on,30,0,2,,,,,,,,,0,76,0,,
360,note_on,0,0,2,,,,,,,,,0,74,64,,
360,note_on,30,0,10,,,,,,,,,4,47,40,,
360,note_on,60,0,8,,,,,,,,,7,55,40,,
360,note_on,30,0,9,,,,,,,,,8,47,40,,
390,note_on,30,0,9,,,,,,,,,8,47,0,,
390,note_on,30,0,10,,,,,,,,,4,47,0,,
420,note_on,0,0,8,,,,,,,,,7,66,40,,
420,note_on,30,0,9,,,,,,,,,8,48,40,,
420,note_on,30,0,10,,,,,,,,,4,48,40,,
420,note_on,0,0,8,,,,,,,,,7,57,40,,
420,note_on,0,0,8,,,,,,,,,7,55,0,,
420,note_on,60,0,8,,,,,,,,,7,62,0,,
420,note_on,0,0,8,,,,,,,,,7,62,40,,
450,note_on,30,0,9,,,,,,,,,8,48,0,,
450,note_on,30,0,10,,,,,,,,,4,48,0,,
480,note_on,30,0,9,,,,,,,,,8,47,40,,
480,note_on,0,0,8,,,,,,,,,7,62,40,,
480,note_on,60,0,8,,,,,,,,,7,66,0,,
480,note_on,0,0,8,,,,,,,,,7,62,0,,
480,note_on,0,0,8,,,,,,,,,7,57,0,,
480,note_on,0,0,8,,,,,,,,,7,55,40,,
480,note_on,30,0,10,,,,,,,,,4,47,40,,
480,note_on,0,0,8,,,,,,,,,7,67,40,,
510,note_on,0,0,2,,,,,,,,,0,72,64,,
510,note_on,30,0,9,,,,,,,,,8,47,0,,
510,note_on,150,0,2,,,,,,,,,0,74,0,,
510,note_on,30,0,10,,,,,,,,,4,47,0,,
525,note_on,15,0,2,,,,,,,,,0,72,0,,
540,note_on,0,0,8,,,,,,,,,7,55,0,,
540,note_on,15,0,2,,,,,,,,,0,76,64,,
540,note_on,0,0,8,,,,,,,,,7,62,0,,
540,note_on,60,0,8,,,,,,,,,7,67,0,,
540,note_on,30,0,9,,,,,,,,,8,55,40,,
540,note_on,30,0,10,,,,,,,,,4,55,40,,
570,note_on,30,0,10,,,,,,,,,4,55,0,,
570,note_on,30,0,2,,,,,,,,,0,76,0,,
570,note_on,0,0,2,,,,,,,,,0,74,64,,
570,note_on,30,0,9,,,,,,,,,8,55,0,,
585,note_on,15,0,2,,,,,,,,,0,74,0,,
600,note_on,30,0,9,,,,,,,,,8,45,40,,
600,note_on,30,0,10,,,,,,,,,4,45,40,,
600,note_on,0,0,8,,,,,,,,,7,66,40,,
600,note_on,60,0,8,,,,,,,,,7,60,40,,
600,note_on,15,0,2,,,,,,,,,0,72,64,,
630,note_on,0,0,2,,,,,,,,,0,71,64,,
630,note_on,30,0,2,,,,,,,,,0,72,0,,
630,note_on,30,0,9,,,,,,,,,8,45,0,,
630,note_on,30,0,10,,,,,,,,,4,45,0,,
645,note_on,15,0,2,,,,,,,,,0,71,0,,
660,note_on,0,0,8,,,,,,,,,7,60,0,,
660,note_on,60,0,8,,,,,,,,,7,66,0,,
660,note_on,15,0,2,,,,,,,,,0,74,64,,
660,note_on,30,0,10,,,,,,,,,4,54,40,,
660,note_on,30,0,9,,,,,,,,,8,54,40,,
690,note_on,30,0,10,,,,,,,,,4,54,0,,
690,note_on,0,0,2,,,,,,,,,0,72,64,,
690,note_on,30,0,2,,,,,,,,,0,74,0,,
690,note_on,30,0,9,,,,,,,,,8,54,0,,
705,note_on,15,0,2,,,,,,,,,0,72,0,,
720,note_on,60,0,8,,,,,,,,,7,59,40,,
720,note_on,0,0,8,,,,,,,,,7,62,40,,
720,note_on,30,0,9,,,,,,,,,8,43,40,,
720,control_change,720,0,3,,,,,,,,,1,,,7,80
720,note_on,0,0,3,,,,,,,,,1,79,55,,
720,note_on,0,0,8,,,,,,,,,7,67,40,,
720,control_change,720,0,4,,,,,,,,,2,,,7,80
720,note_on,0,0,4,,,,,,,,,2,74,40,,
720,note_on,0,0,5,,,,,,,,,3,62,40,,
720,note_on,15,0,2,,,,,,,,,0,72,64,,
720,note_on,30,0,10,,,,,,,,,4,43,40,,
720,control_change,720,0,5,,,,,,,,,3,,,7,80
750,note_on,30,0,3,,,,,,,,,1,79,0,,
750,note_on,30,0,5,,,,,,,,,3,62,0,,
750,note_on,30,0,10,,,,,,,,,4,43,0,,
750,note_on,30,0,9,,,,,,,,,8,43,0,,
780,note_on,30,0,10,,,,,,,,,4,45,40,,
780,note_on,30,0,3,,,,,,,,,1,78,55,,
780,note_on,0,0,8,,,,,,,,,7,62,0,,
780,note_on,0,0,8,,,,,,,,,7,59,0,,
780,note_on,30,0,9,,,,,,,,,8,45,40,,
780,note_on,30,0,5,,,,,,,,,3,60,40,,
780,note_on,60,0,8,,,,,,,,,7,67,0,,
810,note_on,30,0,10,,,,,,,,,4,45,0,,
810,note_on,30,0,9,,,,,,,,,8,45,0,,
810,note_on,30,0,3,,,,,,,,,1,78,0,,
810,note_on,0,0,3,,,,,,,,,1,76,55,,
810,note_on,30,0,5,,,,,,,,,3,60,0,,
840,note_on,0,0,8,,,,,,,,,7,62,40,,
840,note_on,30,0,9,,,,,,,,,8,47,40,,
840,note_on,30,0,10,,,,,,,,,4,47,40,,
840,note_on,30,0,3,,,,,,,,,1,76,0,,
840,note_on,0,0,3,,,,,,,,,1,74,55,,
840,note_on,60,0,8,,,,,,,,,7,55,40,,
840,note_on,0,0,2,,,,,,,,,0,71,64,,
840,note_on,120,0,2,,,,,,,,,0,72,0,,
840,note_on,30,0,5,,,,,,,,,3,62,40,,
870,note_on,0,0,4,,,,,,,,,2,72,40,,
870,note_on,150,0,4,,,,,,,,,2,74,0,,
870,note_on,30,0,2,,,,,,,,,0,71,0,,
870,note_on,30,0,9,,,,,,,,,8,47,0,,
870,note_on,30,0,5,,,,,,,,,3,62,0,,
870,note_on,30,0,10,,,,,,,,,4,47,0,,
900,note_on,0,0,8,,,,,,,,,7,64,40,,
900,note_on,0,0,8,,,,,,,,,7,55,40,,
900,note_on,0,0,8,,,,,,,,,7,55,0,,
900,note_on,60,0,8,,,,,,,,,7,62,0,,
900,note_on,30,0,10,,,,,,,,,4,48,40,,
900,note_on,30,0,4,,,,,,,,,2,72,0,,
900,note_on,0,0,4,,,,,,,,,2,71,40,,
900,note_on,30,0,9,,,,,,,,,8,48,40,,
900,note_on,30,0,5,,,,,,,,,3,64,40,,
930,note_on,0,0,5,,,,,,,,,3,66,40,,
930,note_on,30,0,10,,,,,,,,,4,48,0,,
930,note_on,30,0,4,,,,,,,,,2,71,0,,
930,note_on,30,0,9,,,,,,,,,8,48,0,,
930,note_on,0,0,4,,,,,,,,,2,69,40,,
930,note_on,30,0,5,,,,,,,,,3,64,0,,
960,note_on,0,0,5,,,,,,,,,3,67,40,,
960,note_on,0,0,4,,,,,,,,,2,67,40,,
960,note_on,30,0,4,,,,,,,,,2,69,0,,
960,note_on,0,0,8,,,,,,,,,7,62,40,,
960,note_on,60,0,8,,,,,,,,,7,64,0,,
