tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,note,velocity
0,track_name,0,1,0,,,,,,,,,,
0,note_on,0,0,2,,,,,,,,1,55,64
0,program_change,0,0,2,,,,,,,0,1,,
0,track_name,0,1,2,,,,,,,,,,
0,note_on,0,0,1,,,,,,,,0,67,64
0,program_change,0,0,1,,,,,,,0,0,,
0,track_name,0,1,1,,,,,,,,,,
0,end_of_track,0,1,3,,,,,,,,,,
0,key_signature,0,1,0,,,,,C,,,,,
0,time_signature,0,1,0,12,16,6,8,,,,,,
0,set_tempo,0,1,0,,,,,,560748,,,,
60,note_on,60,0,1,,,,,,,,0,67,0
60,note_on,0,0,1,,,,,,,,0,71,64
120,note_on,0,0,1,,,,,,,,0,74,64
120,note_on,60,0,1,,,,,,,,0,71,0
180,note_on,180,0,2,,,,,,,,1,55,0
180,note_on,0,0,2,,,,,,,,1,43,64
180,note_on,60,0,1,,,,,,,,0,74,0
180,note_on,0,0,1,,,,,,,,0,79,64
240,note_on,60,0,1,,,,,,,,0,79,0
240,note_on,0,0,1,,,,,,,,0,74,64
300,note_on,0,0,1,,,,,,,,0,71,64
300,note_on,60,0,1,,,,,,,,0,74,0
360,note_on,0,0,1,,,,,,,,0,74,64
360,note_on,60,0,1,,,,,,,,0,71,0
360,note_on,180,0,2,,,,,,,,1,43,0
420,note_on,60,0,1,,,,,,,,0,74,0
420,note_on,0,0,1,,,,,,,,0,71,64
480,note_on,60,0,1,,,,,,,,0,71,0
480,note_on,0,0,1,,,,,,,,0,67,64
540,note_on,60,0,1,,,,,,,,0,67,0
540,note_on,0,0,1,,,,,,,,0,71,64
540,note_on,180,0,2,,,,,,,,1,55,64
600,note_on,60,0,1,,,,,,,,0,71,0
600,note_on,0,0,1,,,,,,,,0,67,64
660,note_on,60,0,1,,,,,,,,0,67,0
660,note_on,0,0,1,,,,,,,,0,62,64
720,note_on,0,0,2,,,,,,,,1,55,64
720,note_on,60,0,1,,,,,,,,0,62,0
720,note_on,0,0,1,,,,,,,,0,64,64
720,note_on,180,0,2,,,,,,,,1,55,0
780,note_on,60,0,1,,,,,,,,0,64,0
780,note_on,0,0,1,,,,,,,,0,67,64
