tick,type,time,meta,track,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,port,control,value,channel,program,note,velocity
0,text,0,1,0,,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,7,127,0,,,
0,control_change,0,0,1,,,,,,,,10,64,0,,,
0,program_change,0,0,1,,,,,,,,,,0,6,,
0,note_on,0,0,1,,,,,,,,,,0,,71,92
0,track_name,0,1,2,,,,,,,,,,,,,
0,program_change,0,0,4,,,,,,,,,,3,6,,
0,control_change,0,0,4,,,,,,,,10,64,3,,,
0,control_change,0,0,4,,,,,,,,7,127,3,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,program_change,0,0,3,,,,,,,,,,2,6,,
0,control_change,0,0,3,,,,,,,,10,64,2,,,
0,control_change,0,0,3,,,,,,,,7,127,2,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,program_change,0,0,2,,,,,,,,,,1,6,,
0,control_change,0,0,2,,,,,,,,10,64,1,,,
0,control_change,0,0,2,,,,,,,,7,127,1,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,set_tempo,0,1,0,789473,,,,,,,,,,,,
0,time_signature,0,1,0,,4,4,24,8,,,,,,,,
0,key_signature,0,1,0,,,,,,G,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
46,note_on,46,0,1,,,,,,,,,,0,,71,0
48,note_on,2,0,1,,,,,,,,,,0,,71,92
48,note_on,48,0,4,,,,,,,,,,3,,55,92
48,note_on,48,0,3,,,,,,,,,,2,,55,92
94,note_on,46,0,3,,,,,,,,,,2,,55,0
96,note_on,2,0,3,,,,,,,,,,2,,59,92
142,note_on,46,0,3,,,,,,,,,,2,,59,0
144,note_on,2,0,3,,,,,,,,,,2,,62,92
