tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,program,channel,control,value,note,velocity
0,time_signature,3,2,48,8,0,1,0,,,,,,,,
0,control_change,,,,,0,0,3,,,,2,7,127,,
0,track_name,,,,,0,1,4,,,,,,,,
0,program_change,,,,,0,0,4,,,0,3,,,,
0,control_change,,,,,0,0,4,,,,3,7,127,,
0,note_on,,,,,0,0,4,,,,3,,,43,96
0,control_change,,,,,0,0,2,,,,1,7,127,,
0,program_change,,,,,0,0,2,,,0,1,,,,
0,track_name,,,,,0,1,2,,,,,,,,
0,track_name,,,,,0,1,5,,,,,,,,
0,program_change,,,,,0,0,5,,,0,4,,,,
0,control_change,,,,,0,0,5,,,,4,7,127,,
0,note_on,,,,,0,0,5,,,,4,,,31,96
0,program_change,,,,,0,0,3,,,0,2,,,,
0,track_name,,,,,0,1,3,,,,,,,,
0,track_name,,,,,0,1,1,,,,,,,,
0,control_change,,,,,0,0,1,,,,0,7,127,,
0,program_change,,,,,0,0,1,,,0,0,,,,
0,set_tempo,,,,,0,1,0,,454545,,,,,,
0,key_signature,,,,,0,1,0,G,,,,,,,
1024,note_on,,,,,1024,0,1,,,,0,,,67,96
1536,note_on,,,,,0,0,1,,,,0,,,69,96
1536,note_off,,,,,512,0,1,,,,0,,,67,0
2048,note_on,,,,,0,0,5,,,,4,,,43,96
2048,note_off,,,,,2048,0,5,,,,4,,,31,0
2048,note_on,,,,,0,0,1,,,,0,,,71,96
2048,note_off,,,,,512,0,1,,,,0,,,69,0
2048,note_on,,,,,0,0,4,,,,3,,,55,96
2048,note_off,,,,,2048,0,4,,,,3,,,43,0
2560,note_off,,,,,512,0,1,,,,0,,,71,0
2560,note_on,,,,,0,0,1,,,,0,,,67,96
3072,note_on,,,,,0,0,1,,,,0,,,66,96
3072,note_off,,,,,512,0,1,,,,0,,,67,0
3584,note_off,,,,,512,0,1,,,,0,,,66,0
3584,note_on,,,,,0,0,1,,,,0,,,67,96
4096,note_on,,,,,0,0,4,,,,3,,,57,96
4096,note_off,,,,,2048,0,4,,,,3,,,55,0
4096,note_on,,,,,0,0,5,,,,4,,,45,96
4096,note_off,,,,,2048,0,5,,,,4,,,43,0
4096,note_off,,,,,512,0,1,,,,0,,,67,0
