tick,type,port,time,meta,track,data,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,note,velocity
0,midi_port,0,0,1,0,,,,,,,,,,,,,
0,note_on,,0,0,7,,,,,,,,,6,,,50,95
0,control_change,,0,0,7,,,,,,,,,6,93,0,,
0,control_change,,0,0,7,,,,,,,,,6,91,127,,
0,control_change,,0,0,7,,,,,,,,,6,121,0,,
0,control_change,,0,0,7,,,,,,,,,6,10,112,,
0,control_change,,0,0,7,,,,,,,,,6,7,112,,
0,program_change,,0,0,7,,,,,,,,42,6,,,,
0,track_name,,0,1,7,,,,,,,,,,,,,
0,midi_port,0,0,1,7,,,,,,,,,,,,,
0,note_on,,0,0,6,,,,,,,,,5,,,66,95
0,control_change,,0,0,6,,,,,,,,,5,93,0,,
0,control_change,,0,0,6,,,,,,,,,5,91,127,,
0,control_change,,0,0,6,,,,,,,,,5,121,0,,
0,control_change,,0,0,6,,,,,,,,,5,10,64,,
0,control_change,,0,0,6,,,,,,,,,5,7,127,,
0,midi_port,0,0,1,8,,,,,,,,,,,,,
0,program_change,,0,0,6,,,,,,,,41,5,,,,
0,track_name,,0,1,8,,,,,,,,,,,,,
0,control_change,,0,0,8,,,,,,,,,7,7,112,,
0,program_change,,0,0,1,,,,,,,,6,0,,,,
0,control_change,,0,0,1,,,,,,,,,0,7,112,,
0,control_change,,0,0,1,,,,,,,,,0,10,72,,
0,control_change,,0,0,1,,,,,,,,,0,121,0,,
0,control_change,,0,0,1,,,,,,,,,0,91,127,,
0,control_change,,0,0,1,,,,,,,,,0,93,0,,
0,note_on,,0,0,1,,,,,,,,,0,,,69,79
0,note_on,,0,0,1,,,,,,,,,0,,,62,79
0,note_on,,0,0,1,,,,,,,,,0,,,66,79
0,note_on,,0,0,1,,,,,,,,,0,,,74,79
0,note_on,,0,0,8,,,,,,,,,7,,,38,95
0,control_change,,0,0,8,,,,,,,,,7,93,0,,
0,control_change,,0,0,8,,,,,,,,,7,91,127,,
0,control_change,,0,0,8,,,,,,,,,7,121,0,,
0,control_change,,0,0,8,,,,,,,,,7,10,127,,
0,program_change,,0,0,8,,,,,,,,43,7,,,,
0,track_name,,0,1,6,,,,,,,,,,,,,
0,midi_port,0,0,1,6,,,,,,,,,,,,,
0,track_name,,0,1,2,,,,,,,,,,,,,
0,control_change,,0,0,3,,,,,,,,,2,121,0,,
0,control_change,,0,0,3,,,,,,,,,2,10,96,,
0,control_change,,0,0,3,,,,,,,,,2,7,127,,
0,program_change,,0,0,3,,,,,,,,73,2,,,,
0,track_name,,0,1,3,,,,,,,,,,,,,
0,midi_port,0,0,1,3,,,,,,,,,,,,,
0,note_on,,0,0,2,,,,,,,,,1,,,54,79
0,note_on,,0,0,2,,,,,,,,,1,,,50,79
0,note_on,,0,0,2,,,,,,,,,1,,,57,79
0,control_change,,0,0,2,,,,,,,,,1,93,0,,
0,control_change,,0,0,2,,,,,,,,,1,91,127,,
0,control_change,,0,0,2,,,,,,,,,1,121,0,,
0,control_change,,0,0,2,,,,,,,,,1,10,88,,
0,control_change,,0,0,2,,,,,,,,,1,7,112,,
0,program_change,,0,0,2,,,,,,,,6,1,,,,
0,control_change,,0,0,3,,,,,,,,,2,91,127,,
0,control_change,,0,0,3,,,,,,,,,2,93,0,,
0,midi_port,0,0,1,4,,,,,,,,,,,,,
0,track_name,,0,1,4,,,,,,,,,,,,,
0,note_on,,0,0,5,,,,,,,,,4,,,62,95
0,control_change,,0,0,5,,,,,,,,,4,93,0,,
0,control_change,,0,0,5,,,,,,,,,4,91,127,,
0,control_change,,0,0,5,,,,,,,,,4,121,0,,
0,control_change,,0,0,5,,,,,,,,,4,10,48,,
0,control_change,,0,0,5,,,,,,,,,4,7,127,,
0,program_change,,0,0,5,,,,,,,,40,4,,,,
0,track_name,,0,1,1,,,,,,,,,,,,,
0,track_name,,0,1,5,,,,,,,,,,,,,
0,note_on,,0,0,4,,,,,,,,,3,,,62,95
0,control_change,,0,0,4,,,,,,,,,3,93,0,,
0,control_change,,0,0,4,,,,,,,,,3,91,127,,
0,control_change,,0,0,4,,,,,,,,,3,121,0,,
0,control_change,,0,0,4,,,,,,,,,3,10,0,,
0,control_change,,0,0,4,,,,,,,,,3,7,127,,
0,program_change,,0,0,4,,,,,,,,40,3,,,,
0,midi_port,0,0,1,5,,,,,,,,,,,,,
0,midi_port,0,0,1,1,,,,,,,,,,,,,
0,midi_port,0,0,1,2,,,,,,,,,,,,,
0,midi_port,0,0,1,0,,,,,,,,,,,,,
0,sysex,,0,0,0,"(126, 127, 9, 1)",,,,,,,,,,,,
0,time_signature,,0,1,0,,4,4,24,8,,,,,,,,
0,key_signature,,0,1,0,,,,,,C,,,,,,,
0,set_tempo,,0,1,0,,,,,,,697674,,,,,,
0,marker,,0,1,0,,,,,,,,,,,,,
8,note_on,,8,0,5,,,,,,,,,4,,,62,0
8,note_on,,8,0,4,,,,,,,,,3,,,62,0
12,note_on,,4,0,4,,,,,,,,,3,,,62,95
12,note_on,,4,0,5,,,,,,,,,4,,,62,95
20,note_on,,8,0,4,,,,,,,,,3,,,62,0
20,note_on,,8,0,5,,,,,,,,,4,,,62,0
24,note_on,,4,0,4,,,,,,,,,3,,,66,95
24,note_on,,4,0,5,,,,,,,,,4,,,66,95
32,note_on,,8,0,5,,,,,,,,,4,,,66,0
32,note_on,,8,0,4,,,,,,,,,3,,,66,0
36,note_on,,4,0,5,,,,,,,,,4,,,66,95
36,note_on,,4,0,4,,,,,,,,,3,,,66,95
44,note_on,,8,0,5,,,,,,,,,4,,,66,0
44,note_on,,8,0,4,,,,,,,,,3,,,66,0
