tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,program,channel,control,value,note,velocity
0,time_signature,3,4,24,8,0,1,0,,,,,,,
0,track_name,,,,,0,1,12,,,,,,,
0,program_change,,,,,0,0,12,,42,12,,,,
0,control_change,,,,,0,0,12,,,12,7,100,,
0,control_change,,,,,0,0,4,,,3,7,100,,
0,program_change,,,,,0,0,4,,47,3,,,,
0,track_name,,,,,0,1,4,,,,,,,
0,control_change,,,,,0,0,3,,,2,7,127,,
0,program_change,,,,,0,0,3,,56,2,,,,
0,track_name,,,,,0,1,3,,,,,,,
0,control_change,,,,,0,0,2,,,1,7,127,,
0,program_change,,,,,0,0,2,,56,1,,,,
0,track_name,,,,,0,1,2,,,,,,,
0,control_change,,,,,0,0,21,,,8,7,100,,
0,program_change,,,,,0,0,21,,40,8,,,,
0,track_name,,,,,0,1,21,,,,,,,
0,track_name,,,,,0,1,13,,,,,,,
0,program_change,,,,,0,0,13,,56,0,,,,
0,control_change,,,,,0,0,13,,,0,7,127,,
0,track_name,,,,,0,1,14,,,,,,,
0,program_change,,,,,0,0,14,,56,1,,,,
0,control_change,,,,,0,0,14,,,1,7,127,,
0,control_change,,,,,0,0,20,,,7,7,100,,
0,program_change,,,,,0,0,20,,70,7,,,,
0,track_name,,,,,0,1,5,,,,,,,
0,program_change,,,,,0,0,5,,68,4,,,,
0,control_change,,,,,0,0,5,,,4,7,100,,
0,control_change,,,,,0,0,11,,,11,7,100,,
0,track_name,,,,,0,1,24,,,,,,,
0,track_name,,,,,0,1,6,,,,,,,
0,program_change,,,,,0,0,6,,68,5,,,,
0,control_change,,,,,0,0,6,,,5,7,100,,
0,track_name,,,,,0,1,7,,,,,,,
0,program_change,,,,,0,0,7,,68,6,,,,
0,control_change,,,,,0,0,7,,,6,7,100,,
0,control_change,,,,,0,0,23,,,11,7,100,,
0,program_change,,,,,0,0,23,,41,11,,,,
0,track_name,,,,,0,1,23,,,,,,,
0,track_name,,,,,0,1,8,,,,,,,
0,track_name,,,,,0,1,20,,,,,,,
0,program_change,,,,,0,0,8,,70,7,,,,
0,track_name,,,,,0,1,9,,,,,,,
0,program_change,,,,,0,0,9,,40,8,,,,
0,control_change,,,,,0,0,9,,,8,7,100,,
0,control_change,,,,,0,0,22,,,10,7,100,,
0,program_change,,,,,0,0,22,,40,10,,,,
0,track_name,,,,,0,1,22,,,,,,,
0,track_name,,,,,0,1,10,,,,,,,
0,program_change,,,,,0,0,10,,40,10,,,,
0,control_change,,,,,0,0,10,,,10,7,100,,
0,program_change,,,,,0,0,24,,42,12,,,,
0,program_change,,,,,0,0,11,,41,11,,,,
0,control_change,,,,,0,0,8,,,7,7,100,,
0,track_name,,,,,0,1,15,,,,,,,
0,track_name,,,,,0,1,11,,,,,,,
0,control_change,,,,,0,0,15,,,2,7,127,,
0,set_tempo,,,,,0,1,0,681818,,,,,,
0,control_change,,,,,0,0,18,,,5,7,100,,
0,program_change,,,,,0,0,18,,68,5,,,,
0,track_name,,,,,0,1,18,,,,,,,
