tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,data,tempo,control,value,channel,program,key,note,velocity
0,time_signature,2,2,96,8,0,1,0,,,,,,,,,
0,control_change,,,,,0,0,3,,,10,93,1,,,,
0,control_change,,,,,0,0,3,,,7,127,1,,,,
0,program_change,,,,,0,0,3,,,,,1,6,,,
0,control_change,,,,,0,0,3,,,0,0,1,,,,
0,track_name,,,,,0,1,3,,,,,,,,,
0,control_change,,,,,0,0,7,,,7,100,2,,,,
0,key_signature,,,,,0,1,2,,,,,,,Bm,,
0,control_change,,,,,0,0,2,,,91,63,1,,,,
0,control_change,,,,,0,0,3,,,91,63,1,,,,
0,control_change,,,,,0,0,2,,,10,93,1,,,,
0,program_change,,,,,0,0,2,,,,,1,6,,,
0,control_change,,,,,0,0,2,,,0,0,1,,,,
0,track_name,,,,,0,1,2,,,,,,,,,
0,key_signature,,,,,0,1,1,,,,,,,Bm,,
0,program_change,,,,,0,0,1,,,,,0,71,,,
0,control_change,,,,,0,0,1,,,91,63,0,,,,
0,control_change,,,,,0,0,1,,,10,29,0,,,,
0,control_change,,,,,0,0,1,,,7,127,0,,,,
0,control_change,,,,,0,0,2,,,7,127,1,,,,
0,control_change,,,,,0,0,1,,,0,0,0,,,,
0,key_signature,,,,,0,1,3,,,,,,,Bm,,
0,control_change,,,,,0,0,4,,,0,0,1,,,,
0,key_signature,,,,,0,1,7,,,,,,,Bm,,
0,track_name,,,,,0,1,7,,,,,,,,,
0,end_of_track,,,,,0,1,6,,,,,,,,,
0,control_change,,,,,0,0,6,,,7,100,2,,,,
0,key_signature,,,,,0,1,6,,,,,,,Bm,,
0,track_name,,,,,0,1,6,,,,,,,,,
0,key_signature,,,,,0,1,5,,,,,,,Bm,,
0,control_change,,,,,0,0,5,,,91,63,2,,,,
0,track_name,,,,,0,1,4,,,,,,,,,
0,control_change,,,,,0,0,5,,,10,93,2,,,,
0,program_change,,,,,0,0,5,,,,,2,6,,,
0,control_change,,,,,0,0,5,,,0,0,2,,,,
0,track_name,,,,,0,1,5,,,,,,,,,
0,key_signature,,,,,0,1,4,,,,,,,Bm,,
0,control_change,,,,,0,0,4,,,91,63,1,,,,
0,control_change,,,,,0,0,4,,,10,93,1,,,,
0,control_change,,,,,0,0,4,,,7,127,1,,,,
0,program_change,,,,,0,0,4,,,,,1,6,,,
0,control_change,,,,,0,0,5,,,7,0,2,,,,
0,track_name,,,,,0,1,1,,,,,,,,,
0,end_of_track,,,,,0,1,7,,,,,,,,,
0,sequencer_specific,,,,,0,1,0,"(0, 0, 65)",,,,,,,,
0,sequencer_specific,,,,,0,1,0,"(0, 0, 119, 14, 0)",,,,,,,,
0,set_tempo,,,,,0,1,0,,750000,,,,,,,
1536,note_on,,,,,1536,0,1,,,,,0,,,78,100
1536,note_on,,,,,0,0,3,,,,,1,,,71,70
1536,note_on,,,,,1536,0,3,,,,,1,,,62,70
1536,set_tempo,,,,,1536,1,0,,375000,,,,,,,
1536,note_on,,,,,1536,0,4,,,,,1,,,47,100
1584,set_tempo,,,,,48,1,0,,370370,,,,,,,
1640,set_tempo,,,,,56,1,0,,365853,,,,,,,
1696,set_tempo,,,,,56,1,0,,361445,,,,,,,
1752,set_tempo,,,,,56,1,0,,357142,,,,,,,
1792,note_off,,,,,256,0,1,,,,,0,,,78,100
1808,set_tempo,,,,,56,1,0,,352941,,,,,,,
1864,set_tempo,,,,,56,1,0,,348837,,,,,,,
