tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,32,0,0,,,
0,control_change,0,0,1,,,,,,,7,100,0,,,
0,control_change,0,0,1,,,,,,,10,54,0,,,
0,program_change,0,0,1,,,,,,,,,0,6,,
0,note_on,0,0,1,,,,,,,,,0,,84,100
0,end_of_track,0,1,4,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,0,0,1,,,
0,control_change,0,0,1,,,,,,,0,0,0,,,
0,control_change,0,0,2,,,,,,,32,0,1,,,
0,control_change,0,0,2,,,,,,,10,74,1,,,
0,program_change,0,0,2,,,,,,,,,1,6,,
0,note_on,0,0,2,,,,,,,,,1,,36,100
0,track_name,0,1,3,,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,7,100,1,,,
0,end_of_track,0,1,3,,,,,,,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,7,100,1,,,
0,control_change,0,0,2,,,,,,,7,100,1,,,
0,track_name,0,1,1,,,,,,,,,,,,
0,end_of_track,0,1,5,,,,,,,,,,,,
0,marker,0,1,0,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,923077,,,,,,
0,key_signature,0,1,0,,,,,C,,,,,,,
0,time_signature,0,1,0,4,4,24,8,,,,,,,,
64,note_on,64,0,1,,,,,,,,,0,,79,100
92,note_on,28,0,1,,,,,,,,,0,,84,0
128,note_on,36,0,1,,,,,,,,,0,,75,100
156,note_on,28,0,1,,,,,,,,,0,,79,0
188,note_on,188,0,2,,,,,,,,,1,,36,0
192,note_on,36,0,1,,,,,,,,,0,,72,100
192,note_on,4,0,2,,,,,,,,,1,,48,100
220,note_on,28,0,1,,,,,,,,,0,,75,0
252,note_on,32,0,1,,,,,,,,,0,,67,100
284,note_on,32,0,1,,,,,,,,,0,,72,0
316,note_on,32,0,1,,,,,,,,,0,,63,100
344,note_on,28,0,1,,,,,,,,,0,,67,0
380,note_on,188,0,2,,,,,,,,,1,,48,0
384,note_on,40,0,1,,,,,,,,,0,,60,100
408,note_on,24,0,1,,,,,,,,,0,,63,0
448,note_on,68,0,2,,,,,,,,,1,,55,100
512,note_on,104,0,1,,,,,,,,,0,,60,0
512,note_on,64,0,2,,,,,,,,,1,,55,0
512,note_on,0,0,2,,,,,,,,,1,,53,100
576,note_on,64,0,2,,,,,,,,,1,,53,0
576,note_on,0,0,1,,,,,,,,,0,,79,100
576,note_on,0,0,2,,,,,,,,,1,,51,100
576,note_on,0,0,1,,,,,,,,,0,,75,100
576,note_on,64,0,1,,,,,,,,,0,,84,100
636,note_on,60,0,2,,,,,,,,,1,,50,100
640,note_on,4,0,2,,,,,,,,,1,,51,0
700,note_on,60,0,2,,,,,,,,,1,,50,0
700,note_on,0,0,2,,,,,,,,,1,,48,100
764,note_on,188,0,1,,,,,,,,,0,,75,0
764,note_on,0,0,1,,,,,,,,,0,,79,0
764,note_on,0,0,1,,,,,,,,,0,,84,0
764,note_on,64,0,2,,,,,,,,,1,,48,0
768,note_on,0,0,1,,,,,,,,,0,,84,100
768,note_on,0,0,1,,,,,,,,,0,,79,100
768,note_on,4,0,1,,,,,,,,,0,,75,100
768,note_on,4,0,2,,,,,,,,,1,,55,100
804,note_on,36,0,2,,,,,,,,,1,,54,100
816,note_on,12,0,2,,,,,,,,,1,,55,0
844,note_on,28,0,2,,,,,,,,,1,,55,100
852,note_on,8,0,2,,,,,,,,,1,,54,0
956,note_on,0,0,1,,,,,,,,,0,,75,0
956,note_on,188,0,1,,,,,,,,,0,,84,0
960,note_on,108,0,2,,,,,,,,,1,,43,100
960,note_on,4,0,1,,,,,,,,,0,,83,100
960,note_on,0,0,1,,,,,,,,,0,,74,100
1004,note_on,44,0,2,,,,,,,,,1,,55,0
1088,note_on,84,0,2,,,,,,,,,1,,43,0
1088,note_on,128,0,1,,,,,,,,,0,,74,0
1088,note_on,0,0,1,,,,,,,,,0,,83,0
1128,note_on,40,0,1,,,,,,,,,0,,79,0
1136,note_on,8,0,1,,,,,,,,,0,,79,100
1188,note_on,52,0,1,,,,,,,,,0,,77,100
1208,note_on,20,0,1,,,,,,,,,0,,79,0
1224,note_on,16,0,1,,,,,,,,,0,,77,0
1224,note_on,0,0,1,,,,,,,,,0,,79,100
1256,note_on,32,0,1,,,,,,,,,0,,77,100
1260,note_on,4,0,1,,,,,,,,,0,,79,0
1288,note_on,28,0,1,,,,,,,,,0,,79,100
1292,note_on,4,0,1,,,,,,,,,0,,77,0
1324,note_on,0,0,1,,,,,,,,,0,,77,100
1324,note_on,32,0,1,,,,,,,,,0,,79,0
1356,note_on,32,0,1,,,,,,,,,0,,79,100
1360,note_on,4,0,1,,,,,,,,,0,,77,0
1388,note_on,28,0,1,,,,,,,,,0,,77,100
1392,note_on,4,0,1,,,,,,,,,0,,79,0
1420,note_on,28,0,1,,,,,,,,,0,,76,100
1424,note_on,4,0,1,,,,,,,,,0,,77,0
1468,note_on,44,0,1,,,,,,,,,0,,76,0
1468,note_on,0,0,1,,,,,,,,,0,,77,100
1516,note_on,48,0,1,,,,,,,,,0,,77,0
