tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,program,channel,note,velocity
0,set_tempo,857140,0,1,0,,,,,,,,
0,note_on,,0,0,2,,,,,,0,62,92
0,track_name,,0,1,2,,,,,,,,
0,note_on,,0,0,3,,,,,,0,59,102
0,note_on,,0,0,1,,,,,,0,66,92
0,program_change,,0,0,1,,,,,19,0,,
0,track_name,,0,1,1,,,,,,,,
0,track_name,,0,1,3,,,,,,,,
0,time_signature,,0,1,0,4,4,24,8,,,,
192,note_on,,192,0,1,,,,,,0,78,92
288,note_off,,96,0,1,,,,,,0,78,64
288,note_on,,0,0,1,,,,,,0,76,92
384,note_off,,384,0,2,,,,,,0,62,64
384,note_off,,384,0,3,,,,,,0,59,64
384,note_on,,0,0,1,,,,,,0,78,92
384,note_off,,96,0,1,,,,,,0,76,64
384,note_off,,0,0,1,,,,,,0,66,64
576,note_on,,192,0,2,,,,,,0,71,92
576,note_off,,192,0,1,,,,,,0,78,64
576,note_on,,0,0,1,,,,,,0,74,92
672,note_off,,96,0,1,,,,,,0,74,64
672,note_on,,0,0,1,,,,,,0,73,92
672,note_on,,0,0,2,,,,,,0,69,92
672,note_off,,96,0,2,,,,,,0,71,64
768,note_off,,96,0,1,,,,,,0,73,64
768,note_on,,0,0,1,,,,,,0,74,92
768,note_on,,0,0,2,,,,,,0,71,92
768,note_off,,96,0,2,,,,,,0,69,64
960,note_on,,0,0,2,,,,,,0,67,92
960,note_off,,192,0,1,,,,,,0,74,64
960,note_on,,0,0,1,,,,,,0,71,92
960,note_off,,192,0,2,,,,,,0,71,64
1056,note_off,,96,0,2,,,,,,0,67,64
1056,note_on,,0,0,2,,,,,,0,66,92
1152,note_on,,0,0,2,,,,,,0,67,92
1152,note_off,,96,0,2,,,,,,0,66,64
1152,note_off,,192,0,1,,,,,,0,71,64
1152,note_on,,0,0,1,,,,,,0,76,92
1344,note_off,,192,0,2,,,,,,0,67,64
1344,note_on,,0,0,2,,,,,,0,66,92
1440,note_off,,96,0,2,,,,,,0,66,64
1440,note_on,,0,0,2,,,,,,0,64,92
1536,note_off,,96,0,2,,,,,,0,64,64
1536,note_on,,1152,0,3,,,,,,0,59,102
1536,note_on,,0,0,2,,,,,,0,66,92
1728,note_off,,576,0,1,,,,,,0,76,64
1728,note_on,,0,0,1,,,,,,0,74,92
1824,note_off,,96,0,1,,,,,,0,74,64
1824,note_on,,0,0,1,,,,,,0,73,92
1920,note_off,,96,0,1,,,,,,0,73,64
1920,note_off,,384,0,3,,,,,,0,59,64
1920,note_on,,0,0,1,,,,,,0,74,92
2112,note_on,,0,0,2,,,,,,0,64,92
2112,note_off,,576,0,2,,,,,,0,66,64
2208,note_off,,96,0,2,,,,,,0,64,64
2208,note_on,,0,0,2,,,,,,0,62,92
2304,note_off,,96,0,2,,,,,,0,62,64
2304,note_on,,384,0,3,,,,,,0,61,102
2304,note_on,,0,0,2,,,,,,0,64,92
2496,note_off,,576,0,1,,,,,,0,74,64
2496,note_on,,0,0,1,,,,,,0,73,92
2592,note_on,,0,0,1,,,,,,0,71,92
2592,note_off,,96,0,1,,,,,,0,73,64
2688,note_on,,0,0,1,,,,,,0,73,92
2688,note_on,,0,0,1,,,,,,0,70,92
2688,note_off,,96,0,1,,,,,,0,71,64
2688,note_off,,384,0,3,,,,,,0,61,64
2880,note_off,,192,0,1,,,,,,0,73,64
2880,note_on,,0,0,1,,,,,,0,74,92
2976,note_on,,0,0,1,,,,,,0,76,92
2976,note_off,,96,0,1,,,,,,0,74,64
3072,note_on,,0,0,2,,,,,,0,66,92
3072,note_on,,0,0,1,,,,,,0,74,92
3072,note_on,,0,0,1,,,,,,0,71,92
3072,note_off,,0,0,1,,,,,,0,70,64
3072,note_off,,96,0,1,,,,,,0,76,64
3072,note_off,,768,0,2,,,,,,0,64,64
3264,note_on,,576,0,3,,,,,,0,59,102
3360,note_off,,96,0,3,,,,,,0,59,64
3360,note_on,,0,0,3,,,,,,0,58,102
3456,note_off,,96,0,3,,,,,,0,58,64
3456,note_on,,0,0,3,,,,,,0,59,102
3456,note_off,,384,0,2,,,,,,0,66,64
3456,note_off,,0,0,1,,,,,,0,71,64
3456,note_off,,384,0,1,,,,,,0,74,64
3648,note_on,,192,0,2,,,,,,0,62,92
3744,note_on,,0,0,2,,,,,,0,61,92
3744,note_off,,96,0,2,,,,,,0,62,64
3840,note_off,,96,0,2,,,,,,0,61,64
3840,note_on,,0,0,2,,,,,,0,62,92
4032,note_on,,576,0,1,,,,,,0,66,92
4128,note_off,,96,0,1,,,,,,0,66,64
4128,note_on,,0,0,1,,,,,,0,64,92
4224,note_on,,0,0,1,,,,,,0,66,92
4224,note_off,,96,0,1,,,,,,0,64,64
4416,note_on,,0,0,1,,,,,,0,67,92
4416,note_off,,192,0,1,,,,,,0,66,64
4512,note_on,,0,0,1,,,,,,0,69,92
4512,note_off,,96,0,1,,,,,,0,67,64
4608,note_off,,1152,0,3,,,,,,0,59,64
4608,note_on,,0,0,3,,,,,,0,55,102
4608,note_on,,0,0,1,,,,,,0,71,92
4608,note_off,,96,0,1,,,,,,0,69,64
4800,note_on,,0,0,2,,,,,,0,61,92
4800,note_off,,960,0,2,,,,,,0,62,64
4896,note_off,,96,0,2,,,,,,0,61,64
4896,note_on,,0,0,2,,,,,,0,59,92
4992,note_on,,0,0,2,,,,,,0,64,92
4992,note_off,,96,0,2,,,,,,0,59,64
5184,note_on,,576,0,1,,,,,,0,76,92
5280,note_off,,96,0,1,,,,,,0,76,64
5280,note_on,,0,0,1,,,,,,0,78,92
5376,note_off,,96,0,1,,,,,,0,78,64
5376,note_on,,0,0,1,,,,,,0,79,92
5568,note_off,,192,0,1,,,,,,0,79,64
5568,note_on,,0,0,1,,,,,,0,71,92
5568,note_off,,0,0,1,,,,,,0,71,64
5664,note_on,,96,0,1,,,,,,0,73,92
5760,note_on,,0,0,1,,,,,,0,74,92
5760,note_on,,0,0,3,,,,,,0,56,102
5760,note_off,,96,0,1,,,,,,0,73,64
5760,note_off,,1152,0,3,,,,,,0,55,64
5952,note_off,,192,0,1,,,,,,0,74,64
5952,note_on,,0,0,1,,,,,,0,73,92
6048,note_on,,0,0,1,,,,,,0,71,92
6048,note_off,,0,0,1,,,,,,0,71,64
6048,note_off,,96,0,1,,,,,,0,73,64
6144,note_off,,384,0,3,,,,,,0,56,64
6144,note_on,,0,0,3,,,,,,0,57,102
6144,note_on,,96,0,1,,,,,,0,73,92
6336,note_off,,192,0,1,,,,,,0,71,64
6336,note_on,,0,0,1,,,,,,0,69,92
6432,note_off,,96,0,1,,,,,,0,69,64
6432,note_on,,0,0,1,,,,,,0,68,92
6528,note_on,,0,0,1,,,,,,0,69,92
6528,note_off,,96,0,1,,,,,,0,68,64
6720,note_off,,1728,0,2,,,,,,0,64,64
6720,note_on,,0,0,2,,,,,,0,62,92
6816,note_off,,96,0,2,,,,,,0,62,64
6816,note_on,,0,0,2,,,,,,0,61,92
6912,note_off,,96,0,2,,,,,,0,61,64
6912,note_on,,0,0,2,,,,,,0,66,92
7104,note_off,,960,0,3,,,,,,0,57,64
7104,note_on,,0,0,3,,,,,,0,57,102
7200,note_on,,0,0,3,,,,,,0,56,102
7200,note_off,,96,0,3,,,,,,0,57,64
7296,note_on,,0,0,3,,,,,,0,54,102
7296,note_off,,96,0,3,,,,,,0,56,64
7488,note_on,,0,0,3,,,,,,0,56,102
7488,note_off,,192,0,3,,,,,,0,54,64
7584,note_off,,96,0,3,,,,,,0,56,64
7584,note_on,,0,0,3,,,,,,0,57,102
7680,note_off,,96,0,3,,,,,,0,57,64
