tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,note,velocity,channel
0,time_signature,4,4,24,8,0,1,0,,,,,
0,track_name,,,,,0,1,6,,,,,
0,track_name,,,,,0,1,8,,,,,
0,track_name,,,,,0,1,5,,,,,
0,track_name,,,,,0,1,4,,,,,
0,track_name,,,,,0,1,3,,,,,
0,track_name,,,,,0,1,2,,,,,
0,track_name,,,,,0,1,7,,,,,
0,key_signature,,,,,0,1,0,D,,,,
0,set_tempo,,,,,0,1,0,,681818,,,
0,track_name,,,,,0,1,1,,,,,
3072,note_on,,,,,3072,0,5,,,50,96,4
3072,note_on,,,,,3072,0,1,,,74,96,0
3072,note_on,,,,,3072,0,2,,,69,96,1
3072,note_on,,,,,3072,0,3,,,66,96,2
3072,note_on,,,,,3072,0,4,,,50,96,3
4096,note_on,,,,,0,0,5,,,57,96,4
4096,note_off,,,,,1024,0,2,,,69,0,1
4096,note_on,,,,,0,0,2,,,69,96,1
4096,note_on,,,,,0,0,1,,,73,96,0
4096,note_on,,,,,0,0,4,,,57,96,3
4096,note_off,,,,,1024,0,1,,,74,0,0
4096,note_off,,,,,1024,0,4,,,50,0,3
4096,note_off,,,,,1024,0,3,,,66,0,2
4096,note_on,,,,,0,0,3,,,64,96,2
4096,note_off,,,,,1024,0,5,,,50,0,4
4608,note_on,,,,,0,0,2,,,68,96,1
4608,note_off,,,,,512,0,2,,,69,0,1
5120,note_on,,,,,0,0,2,,,66,96,1
5120,note_off,,,,,512,0,2,,,68,0,1
5120,note_off,,,,,1024,0,3,,,64,0,2
5120,note_on,,,,,0,0,3,,,62,96,2
5120,note_off,,,,,1024,0,1,,,73,0,0
5120,note_on,,,,,0,0,1,,,71,96,0
5632,note_off,,,,,1536,0,4,,,57,0,3
5632,note_off,,,,,1536,0,5,,,57,0,4
5632,note_on,,,,,0,0,5,,,56,96,4
5632,note_on,,,,,0,0,4,,,56,96,3
6144,note_off,,,,,512,0,4,,,56,0,3
6144,note_on,,,,,0,0,4,,,57,96,3
6144,note_off,,,,,1024,0,1,,,71,0,0
6144,note_on,,,,,0,0,1,,,73,96,0
