tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,program,channel,control,value,note,velocity
0,time_signature,4,4,24,8,0,1,0,,,,,,,,
0,control_change,,,,,0,0,7,,,,6,91,127,,
0,control_change,,,,,0,0,7,,,,6,121,127,,
0,program_change,,,,,0,0,7,,,6,6,,,,
0,program_change,,,,,0,0,2,,,41,1,,,,
0,control_change,,,,,0,0,2,,,,1,121,127,,
0,control_change,,,,,0,0,2,,,,1,91,127,,
0,control_change,,,,,0,0,2,,,,1,1,10,,
0,control_change,,,,,0,0,2,,,,1,10,80,,
0,track_name,,,,,0,1,2,,,,,,,,
0,control_change,,,,,0,0,5,,,,4,121,127,,
0,program_change,,,,,0,0,3,,,41,2,,,,
0,control_change,,,,,0,0,3,,,,2,121,127,,
0,control_change,,,,,0,0,3,,,,2,91,127,,
0,control_change,,,,,0,0,3,,,,2,7,100,,
0,control_change,,,,,0,0,3,,,,2,1,10,,
0,control_change,,,,,0,0,3,,,,2,10,20,,
0,track_name,,,,,0,1,3,,,,,,,,
0,track_name,,,,,0,1,8,,,,,,,,
0,program_change,,,,,0,0,4,,,41,3,,,,
0,control_change,,,,,0,0,4,,,,3,121,127,,
0,control_change,,,,,0,0,4,,,,3,91,127,,
0,control_change,,,,,0,0,4,,,,3,7,100,,
0,control_change,,,,,0,0,4,,,,3,1,10,,
0,control_change,,,,,0,0,4,,,,3,10,100,,
0,track_name,,,,,0,1,4,,,,,,,,
0,track_name,,,,,0,1,5,,,,,,,,
0,control_change,,,,,0,0,5,,,,4,10,50,,
0,control_change,,,,,0,0,5,,,,4,1,10,,
0,control_change,,,,,0,0,5,,,,4,91,127,,
0,control_change,,,,,0,0,7,,,,6,10,60,,
0,track_name,,,,,0,1,7,,,,,,,,
0,program_change,,,,,0,0,5,,,42,4,,,,
0,control_change,,,,,0,0,1,,,,0,121,127,,
0,control_change,,,,,0,0,1,,,,0,10,40,,
0,control_change,,,,,0,0,1,,,,0,1,10,,
0,control_change,,,,,0,0,1,,,,0,91,127,,
0,set_tempo,,,,,0,1,0,,545454,,,,,,
0,program_change,,,,,0,0,1,,,41,0,,,,
0,set_tempo,,,,,0,1,0,,740740,,,,,,
0,track_name,,,,,0,1,1,,,,,,,,
0,key_signature,,,,,0,1,0,Bb,,,,,,,
0,track_name,,,,,0,1,0,,,,,,,,
32,control_change,,,,,0,0,6,,,,5,91,127,,
32,control_change,,,,,0,0,6,,,,5,7,120,,
32,control_change,,,,,0,0,6,,,,5,1,10,,
32,control_change,,,,,0,0,6,,,,5,10,70,,
32,track_name,,,,,0,1,6,,,,,,,,
32,control_change,,,,,0,0,6,,,,5,121,127,,
