tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,number,port,control,value,channel,program,note,velocity,frame_rate,hours,minutes,seconds,frames,sub_frames
0,track_name,0,1,0,,,,,,,,,,,,,,,,,,,,
0,sequence_number,0,1,10,,,,,,,255,,,,,,,,,,,,,
0,midi_port,0,1,10,,,,,,,,0,,,,,,,,,,,,
0,track_name,0,1,10,,,,,,,,,,,,,,,,,,,,
0,control_change,0,0,10,,,,,,,,,0,0,10,,,,,,,,,
0,control_change,0,0,10,,,,,,,,,32,0,10,,,,,,,,,
0,program_change,0,0,10,,,,,,,,,,,10,48,,,,,,,,
0,sequence_number,0,1,6,,,,,,,255,,,,,,,,,,,,,
0,control_change,0,0,10,,,,,,,,,7,100,10,,,,,,,,,
0,note_on,0,0,10,,,,,,,,,,,10,,45,100,,,,,,
0,midi_port,0,1,2,,,,,,,,0,,,,,,,,,,,,
0,note_on,0,0,5,,,,,,,,,,,4,,69,100,,,,,,
0,note_on,0,0,5,,,,,,,,,,,4,,64,100,,,,,,
0,note_on,0,0,5,,,,,,,,,,,4,,60,100,,,,,,
0,control_change,0,0,5,,,,,,,,,10,79,4,,,,,,,,,
0,control_change,0,0,10,,,,,,,,,10,94,10,,,,,,,,,
0,midi_port,0,1,6,,,,,,,,0,,,,,,,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,,,,,,,,,
0,control_change,0,0,6,,,,,,,,,0,0,5,,,,,,,,,
0,control_change,0,0,9,,,,,,,,,7,100,8,,,,,,,,,
0,control_change,0,0,9,,,,,,,,,10,34,8,,,,,,,,,
0,control_change,0,0,7,,,,,,,,,10,14,6,,,,,,,,,
0,control_change,0,0,7,,,,,,,,,7,100,6,,,,,,,,,
0,program_change,0,0,7,,,,,,,,,,,6,48,,,,,,,,
0,control_change,0,0,7,,,,,,,,,32,0,6,,,,,,,,,
0,control_change,0,0,7,,,,,,,,,0,0,6,,,,,,,,,
0,track_name,0,1,7,,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,7,,,,,,,,0,,,,,,,,,,,,
0,sequence_number,0,1,7,,,,,,,255,,,,,,,,,,,,,
0,note_on,0,0,6,,,,,,,,,,,5,,45,100,,,,,,
0,control_change,0,0,6,,,,,,,,,10,79,5,,,,,,,,,
0,control_change,0,0,6,,,,,,,,,7,80,5,,,,,,,,,
0,program_change,0,0,6,,,,,,,,,,,5,6,,,,,,,,
0,control_change,0,0,6,,,,,,,,,32,0,5,,,,,,,,,
0,control_change,0,0,5,,,,,,,,,7,80,4,,,,,,,,,
0,program_change,0,0,5,,,,,,,,,,,4,6,,,,,,,,
0,control_change,0,0,5,,,,,,,,,32,0,4,,,,,,,,,
0,control_change,0,0,5,,,,,,,,,0,0,4,,,,,,,,,
0,note_on,0,0,11,,,,,,,,,,,10,,33,100,,,,,,
0,control_change,0,0,3,,,,,,,,,10,64,2,,,,,,,,,
0,control_change,0,0,3,,,,,,,,,7,80,2,,,,,,,,,
0,program_change,0,0,3,,,,,,,,,,,2,6,,,,,,,,
0,control_change,0,0,3,,,,,,,,,32,0,2,,,,,,,,,
0,control_change,0,0,3,,,,,,,,,0,0,2,,,,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,3,,,,,,,,0,,,,,,,,,,,,
0,sequence_number,0,1,3,,,,,,,255,,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,,10,49,1,,,,,,,,,
0,control_change,0,0,2,,,,,,,,,7,80,1,,,,,,,,,
0,program_change,0,0,2,,,,,,,,,,,1,6,,,,,,,,
0,control_change,0,0,2,,,,,,,,,32,0,1,,,,,,,,,
0,control_change,0,0,2,,,,,,,,,0,0,1,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,,,,,,,,
0,control_change,0,0,11,,,,,,,,,10,104,10,,,,,,,,,
0,program_change,0,0,9,,,,,,,,,,,8,48,,,,,,,,
0,program_change,0,0,11,,,,,,,,,,,10,48,,,,,,,,
0,control_change,0,0,11,,,,,,,,,32,0,10,,,,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,5,,,,,,,,0,,,,,,,,,,,,
0,sequence_number,0,1,5,,,,,,,255,,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,,,10,64,3,,,,,,,,,
0,control_change,0,0,4,,,,,,,,,7,80,3,,,,,,,,,
0,program_change,0,0,4,,,,,,,,,,,3,6,,,,,,,,
0,control_change,0,0,4,,,,,,,,,32,0,3,,,,,,,,,
0,control_change,0,0,4,,,,,,,,,0,0,3,,,,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,4,,,,,,,,0,,,,,,,,,,,,
0,sequence_number,0,1,4,,,,,,,255,,,,,,,,,,,,,
0,sequence_number,0,1,11,,,,,,,0,,,,,,,,,,,,,
0,smpte_offset,0,1,11,,,,,,,,,,,,,,,24,0,0,0,0,0
0,midi_port,0,1,11,,,,,,,,0,,,,,,,,,,,,
0,control_change,0,0,11,,,,,,,,,0,0,10,,,,,,,,,
0,control_change,0,0,11,,,,,,,,,7,100,10,,,,,,,,,
0,control_change,0,0,9,,,,,,,,,32,0,8,,,,,,,,,
0,sequence_number,0,1,2,,,,,,,255,,,,,,,,,,,,,
0,track_name,0,1,9,,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,8,,,,,,,,0,,,,,,,,,,,,
0,track_name,0,1,8,,,,,,,,,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,,,,,0,6,,,,,,,,
0,control_change,0,0,1,,,,,,,,,10,49,0,,,,,,,,,
0,control_change,0,0,1,,,,,,,,,7,80,0,,,,,,,,,
0,control_change,0,0,1,,,,,,,,,32,0,0,,,,,,,,,
0,control_change,0,0,1,,,,,,,,,0,0,0,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,,0,,,,,,,,,,,,
0,sequence_number,0,1,1,,,,,,,255,,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,1875000,,,,,,,,,,,,,,
0,key_signature,0,1,0,,,,,C,,,,,,,,,,,,,,,
0,end_of_track,0,1,0,,,,,,,,,,,,,,,,,,,,
0,control_change,0,0,8,,,,,,,,,0,0,7,,,,,,,,,
0,control_change,0,0,8,,,,,,,,,32,0,7,,,,,,,,,
0,program_change,0,0,8,,,,,,,,,,,7,48,,,,,,,,
