tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,program,channel,note,velocity
0,time_signature,2,2,48,8,0,1,0,,,,,,,
0,program_change,,,,,0,0,3,,,,6,2,,
0,midi_port,,,,,0,1,4,,,0,,,,
0,track_name,,,,,0,1,4,,,,,,,
0,program_change,,,,,0,0,4,,,,6,3,,
0,program_change,,,,,0,0,2,,,,6,1,,
0,track_name,,,,,0,1,2,,,,,,,
0,midi_port,,,,,0,1,2,,,0,,,,
0,track_name,,,,,0,1,3,,,,,,,
0,midi_port,,,,,0,1,5,,,0,,,,
0,track_name,,,,,0,1,5,,,,,,,
0,program_change,,,,,0,0,5,,,,6,3,,
0,note_on,,,,,0,0,5,,,,,3,49,64
0,program_change,,,,,0,0,1,,,,6,0,,
0,midi_port,,,,,0,1,3,,,0,,,,
0,midi_port,,,,,0,1,1,,,0,,,,
0,set_tempo,,,,,0,1,0,,419580,,,,,
0,key_signature,,,,,0,1,0,C,,,,,,
0,track_name,,,,,0,1,1,,,,,,,
960,note_on,,,,,0,0,5,,,,,3,48,64
960,note_on,,,,,960,0,5,,,,,3,49,0
1440,note_on,,,,,0,0,5,,,,,3,52,64
1440,note_on,,,,,480,0,5,,,,,3,48,0
1920,note_on,,,,,0,0,5,,,,,3,51,64
1920,note_on,,,,,480,0,5,,,,,3,52,0
2880,note_on,,,,,960,0,5,,,,,3,51,0
2880,note_on,,,,,0,0,5,,,,,3,49,64
2880,note_on,,,,,2880,0,4,,,,,3,56,64
3120,note_on,,,,,0,0,5,,,,,3,51,64
3120,note_on,,,,,240,0,5,,,,,3,49,0
3360,note_on,,,,,240,0,5,,,,,3,51,0
3360,note_on,,,,,0,0,5,,,,,3,52,64
3840,note_on,,,,,960,0,4,,,,,3,56,0
3840,note_on,,,,,0,0,4,,,,,3,55,64
4080,note_on,,,,,720,0,5,,,,,3,52,0
4080,note_on,,,,,0,0,5,,,,,3,51,64
4200,note_on,,,,,120,0,5,,,,,3,51,0
4200,note_on,,,,,0,0,5,,,,,3,49,64
4320,note_on,,,,,480,0,4,,,,,3,55,0
4320,note_on,,,,,0,0,5,,,,,3,51,64
4320,note_on,,,,,120,0,5,,,,,3,49,0
4320,note_on,,,,,0,0,4,,,,,3,59,64
4560,note_on,,,,,0,0,5,,,,,3,56,64
4560,note_on,,,,,240,0,5,,,,,3,51,0
4800,note_on,,,,,0,0,4,,,,,3,58,64
4800,note_on,,,,,240,0,5,,,,,3,56,0
4800,note_on,,,,,0,0,5,,,,,3,49,64
4800,note_on,,,,,480,0,4,,,,,3,59,0
5040,note_on,,,,,240,0,5,,,,,3,49,0
5040,note_on,,,,,0,0,5,,,,,3,51,64
5160,note_on,,,,,120,0,5,,,,,3,51,0
5160,note_on,,,,,0,0,5,,,,,3,52,64
5280,note_on,,,,,0,0,5,,,,,3,54,64
5280,note_on,,,,,120,0,5,,,,,3,52,0
5760,note_on,,,,,960,0,4,,,,,3,58,0
5760,note_on,,,,,0,0,4,,,,,3,56,64
6000,note_on,,,,,0,0,5,,,,,3,52,64
6000,note_on,,,,,720,0,5,,,,,3,54,0
6240,note_on,,,,,6240,0,3,,,,,2,61,64
6240,note_on,,,,,0,0,5,,,,,3,51,64
6240,note_on,,,,,240,0,5,,,,,3,52,0
6240,note_on,,,,,480,0,4,,,,,3,56,0
6240,note_on,,,,,0,0,4,,,,,3,57,64
6480,note_on,,,,,0,0,5,,,,,3,49,64
6480,note_on,,,,,240,0,5,,,,,3,51,0
6720,note_on,,,,,240,0,5,,,,,3,49,0
6720,note_on,,,,,0,0,3,,,,,2,60,64
6720,note_on,,,,,480,0,3,,,,,2,61,0
6720,note_on,,,,,0,0,5,,,,,3,51,64
6960,note_on,,,,,720,0,4,,,,,3,57,0
6960,note_on,,,,,0,0,4,,,,,3,56,64
7080,note_on,,,,,0,0,4,,,,,3,54,64
7080,note_on,,,,,120,0,4,,,,,3,56,0
7200,note_on,,,,,120,0,4,,,,,3,54,0
7200,note_on,,,,,0,0,3,,,,,2,64,64
7200,note_on,,,,,480,0,5,,,,,3,51,0
7200,note_on,,,,,0,0,5,,,,,3,49,64
7200,note_on,,,,,480,0,3,,,,,2,60,0
7200,note_on,,,,,0,0,4,,,,,3,56,64
7440,note_on,,,,,240,0,4,,,,,3,56,0
7440,note_on,,,,,0,0,4,,,,,3,61,64
7680,note_on,,,,,240,0,4,,,,,3,61,0
7680,note_on,,,,,0,0,4,,,,,3,54,64
7680,note_on,,,,,480,0,3,,,,,2,64,0
7680,note_on,,,,,0,0,3,,,,,2,63,64
7920,note_on,,,,,240,0,4,,,,,3,54,0
7920,note_on,,,,,0,0,4,,,,,3,56,64
7920,note_on,,,,,720,0,5,,,,,3,49,0
7920,note_on,,,,,0,0,5,,,,,3,47,64
