tick,type,time,meta,track,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,program,channel,note,velocity
0,track_name,0,1,0,,,,,,,,,
0,track_name,0,1,3,,,,,,,,,
0,note_on,0,0,3,,,,,,,0,55,97
0,note_on,0,0,2,,,,,,,0,67,97
0,note_on,0,0,1,,,,,,,0,67,92
0,program_change,0,0,1,,,,,,19,0,,
0,track_name,0,1,1,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,
0,set_tempo,0,1,0,857142,,,,,,,,
0,time_signature,0,1,0,,2,4,24,8,,,,
240,note_off,240,0,3,,,,,,,0,55,64
240,note_on,0,0,3,,,,,,,0,54,97
480,note_on,0,0,3,,,,,,,0,55,97
480,note_off,240,0,3,,,,,,,0,54,64
480,note_off,480,0,1,,,,,,,0,67,64
480,note_on,0,0,1,,,,,,,0,67,92
480,note_on,0,0,2,,,,,,,0,67,97
480,note_off,480,0,2,,,,,,,0,67,64
720,note_off,240,0,3,,,,,,,0,55,64
720,note_on,0,0,3,,,,,,,0,57,97
960,note_off,240,0,3,,,,,,,0,57,64
960,note_off,480,0,1,,,,,,,0,67,64
960,note_on,0,0,1,,,,,,,0,67,92
960,note_off,480,0,2,,,,,,,0,67,64
960,note_on,0,0,3,,,,,,,0,59,97
960,note_on,0,0,2,,,,,,,0,67,97
1200,note_on,0,0,1,,,,,,,0,66,92
1200,note_on,0,0,3,,,,,,,0,57,97
1200,note_off,240,0,1,,,,,,,0,67,64
1200,note_on,0,0,2,,,,,,,0,66,97
1200,note_off,240,0,2,,,,,,,0,67,64
1200,note_off,240,0,3,,,,,,,0,59,64
1320,note_off,120,0,2,,,,,,,0,66,64
1320,note_on,0,0,2,,,,,,,0,64,97
1320,note_off,120,0,1,,,,,,,0,66,64
1320,note_on,0,0,1,,,,,,,0,64,92
1440,note_off,120,0,2,,,,,,,0,64,64
1440,note_on,0,0,3,,,,,,,0,59,97
1440,note_off,240,0,3,,,,,,,0,57,64
1440,note_off,120,0,1,,,,,,,0,64,64
1440,note_on,0,0,1,,,,,,,0,62,92
1440,note_on,0,0,2,,,,,,,0,62,97
1680,note_on,0,0,3,,,,,,,0,60,97
1680,note_off,240,0,3,,,,,,,0,59,64
1680,note_off,240,0,2,,,,,,,0,62,64
1680,note_on,0,0,2,,,,,,,0,60,97
1680,note_on,0,0,1,,,,,,,0,60,92
1680,note_off,240,0,1,,,,,,,0,62,64
1920,note_on,0,0,1,,,,,,,0,59,92
1920,note_on,0,0,3,,,,,,,0,62,97
1920,note_off,240,0,3,,,,,,,0,60,64
1920,note_off,240,0,2,,,,,,,0,60,64
1920,note_on,0,0,2,,,,,,,0,59,97
1920,note_off,240,0,1,,,,,,,0,60,64
2160,note_off,240,0,2,,,,,,,0,59,64
2160,note_on,0,0,2,,,,,,,0,67,97
2160,note_off,240,0,1,,,,,,,0,59,64
2160,note_on,0,0,1,,,,,,,0,67,92
2400,note_on,0,0,3,,,,,,,0,50,97
2400,note_off,240,0,1,,,,,,,0,67,64
2400,note_on,0,0,1,,,,,,,0,57,92
2400,note_off,480,0,3,,,,,,,0,62,64
2400,note_off,240,0,2,,,,,,,0,67,64
2400,note_on,0,0,2,,,,,,,0,57,97
2640,note_off,240,0,1,,,,,,,0,57,64
2640,note_on,0,0,2,,,,,,,0,66,97
2640,note_off,240,0,2,,,,,,,0,57,64
2640,note_on,0,0,1,,,,,,,0,66,92
2880,note_off,240,0,1,,,,,,,0,66,64
2880,note_on,0,0,1,,,,,,,0,55,92
2880,note_on,0,0,3,,,,,,,0,43,97
2880,note_off,480,0,3,,,,,,,0,50,64
2880,note_off,240,0,2,,,,,,,0,66,64
2880,note_on,0,0,2,,,,,,,0,55,97
3120,note_off,240,0,3,,,,,,,0,43,64
3120,note_off,240,0,1,,,,,,,0,55,64
3120,note_on,0,0,1,,,,,,,0,67,92
3120,note_on,0,0,3,,,,,,,0,59,97
3120,note_off,240,0,2,,,,,,,0,55,64
3240,note_off,120,0,1,,,,,,,0,67,64
3240,note_on,0,0,1,,,,,,,0,66,92
3360,note_off,240,0,3,,,,,,,0,59,64
3360,note_on,0,0,3,,,,,,,0,57,97
3360,note_on,0,0,1,,,,,,,0,67,92
3360,note_off,120,0,1,,,,,,,0,66,64
3480,note_off,120,0,1,,,,,,,0,67,64
3480,note_on,0,0,1,,,,,,,0,69,92
3600,note_off,120,0,1,,,,,,,0,69,64
3600,note_on,0,0,1,,,,,,,0,71,92
3600,note_on,0,0,3,,,,,,,0,55,97
3600,note_off,240,0,3,,,,,,,0,57,64
3720,note_off,120,0,1,,,,,,,0,71,64
3720,note_on,0,0,1,,,,,,,0,73,92
3840,note_on,0,0,1,,,,,,,0,74,92
3840,note_off,240,0,3,,,,,,,0,55,64
3840,note_on,0,0,3,,,,,,,0,54,97
3840,note_on,720,0,2,,,,,,,0,74,97
3840,note_off,120,0,1,,,,,,,0,73,64
4080,note_off,240,0,3,,,,,,,0,54,64
4080,note_on,0,0,3,,,,,,,0,52,97
4320,note_off,480,0,2,,,,,,,0,74,64
4320,note_on,0,0,2,,,,,,,0,74,97
4320,note_on,0,0,1,,,,,,,0,74,92
4320,note_off,480,0,1,,,,,,,0,74,64
4320,note_on,0,0,3,,,,,,,0,50,97
4320,note_off,240,0,3,,,,,,,0,52,64
4560,note_on,0,0,3,,,,,,,0,52,97
4560,note_off,240,0,3,,,,,,,0,50,64
4800,note_on,0,0,1,,,,,,,0,74,92
4800,note_off,480,0,1,,,,,,,0,74,64
4800,note_on,0,0,3,,,,,,,0,54,97
4800,note_off,240,0,3,,,,,,,0,52,64
4800,note_off,480,0,2,,,,,,,0,74,64
4800,note_on,0,0,2,,,,,,,0,74,97
5040,note_on,0,0,3,,,,,,,0,52,97
5040,note_off,240,0,3,,,,,,,0,54,64
5040,note_off,240,0,2,,,,,,,0,74,64
5040,note_off,240,0,1,,,,,,,0,74,64
5040,note_on,0,0,2,,,,,,,0,73,97
5040,note_on,0,0,1,,,,,,,0,73,92
5160,note_on,0,0,1,,,,,,,0,71,92
5160,note_on,0,0,2,,,,,,,0,71,97
5160,note_off,120,0,2,,,,,,,0,73,64
5160,note_off,120,0,1,,,,,,,0,73,64
5280,note_on,0,0,2,,,,,,,0,69,97
5280,note_off,120,0,2,,,,,,,0,71,64
