tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,number,port,control,value,channel,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,,
0,control_change,0,0,5,,,,,,,,,0,0,4,,,
0,control_change,0,0,5,,,,,,,,,32,0,4,,,
0,program_change,0,0,5,,,,,,,,,,,4,6,,
0,control_change,0,0,5,,,,,,,,,7,80,4,,,
0,control_change,0,0,5,,,,,,,,,10,64,4,,,
0,note_on,0,0,5,,,,,,,,,,,4,,48,100
0,sequence_number,0,1,2,,,,,,,65535,,,,,,,
0,midi_port,0,1,2,,,,,,,,0,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,,0,0,1,,,
0,control_change,0,0,2,,,,,,,,,32,0,1,,,
0,program_change,0,0,2,,,,,,,,,,,1,40,,
0,control_change,0,0,2,,,,,,,,,7,100,1,,,
0,control_change,0,0,2,,,,,,,,,10,74,1,,,
0,sequence_number,0,1,3,,,,,,,65535,,,,,,,
0,midi_port,0,1,3,,,,,,,,0,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,,,0,0,2,,,
0,control_change,0,0,3,,,,,,,,,32,0,2,,,
0,program_change,0,0,3,,,,,,,,,,,2,45,,
0,control_change,0,0,3,,,,,,,,,7,100,2,,,
0,track_name,0,1,5,,,,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,,,10,74,2,,,
0,midi_port,0,1,5,,,,,,,,0,,,,,,
0,sequence_number,0,1,4,,,,,,,65535,,,,,,,
0,time_signature,0,1,0,6,8,12,8,,,,,,,,,,
0,key_signature,0,1,0,,,,,C,,,,,,,,,
0,set_tempo,0,1,0,,,,,,1500000,,,,,,,,
0,end_of_track,0,1,0,,,,,,,,,,,,,,
0,sequence_number,0,1,1,,,,,,,65535,,,,,,,
0,midi_port,0,1,1,,,,,,,,0,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,,0,0,0,,,
0,control_change,0,0,1,,,,,,,,,32,0,0,,,
0,control_change,0,0,1,,,,,,,,,7,100,0,,,
0,sequence_number,0,1,5,,,,,,,65535,,,,,,,
0,control_change,0,0,1,,,,,,,,,10,54,0,,,
0,note_on,0,0,1,,,,,,,,,,,0,,76,100
0,note_on,0,0,4,,,,,,,,,,,3,,79,100
0,control_change,0,0,4,,,,,,,,,10,64,3,,,
0,control_change,0,0,4,,,,,,,,,7,80,3,,,
0,program_change,0,0,4,,,,,,,,,,,3,6,,
0,control_change,0,0,4,,,,,,,,,32,0,3,,,
0,control_change,0,0,4,,,,,,,,,0,0,3,,,
0,track_name,0,1,4,,,,,,,,,,,,,,
0,midi_port,0,1,4,,,,,,,,0,,,,,,
0,program_change,0,0,1,,,,,,,,,,,0,73,,
60,note_on,60,0,3,,,,,,,,,,,2,,72,100
108,note_on,108,0,5,,,,,,,,,,,4,,48,0
114,note_on,54,0,3,,,,,,,,,,,2,,72,0
120,note_on,12,0,5,,,,,,,,,,,4,,36,100
120,note_on,6,0,3,,,,,,,,,,,2,,67,100
174,note_on,54,0,3,,,,,,,,,,,2,,67,0
180,note_on,6,0,3,,,,,,,,,,,2,,64,100
216,note_on,216,0,1,,,,,,,,,,,0,,76,0
216,note_on,216,0,4,,,,,,,,,,,3,,79,0
228,note_on,108,0,5,,,,,,,,,,,4,,36,0
234,note_on,54,0,3,,,,,,,,,,,2,,64,0
240,note_on,6,0,3,,,,,,,,,,,2,,60,100
240,note_on,24,0,1,,,,,,,,,,,0,,77,100
240,note_on,12,0,5,,,,,,,,,,,4,,48,100
