tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,number,port,control,value,channel,program,note,velocity,frame_rate,hours,minutes,seconds,frames,sub_frames
0,track_name,0,1,0,,,,,,,,,,,,,,,,,,,,
0,control_change,0,0,10,,,,,,,,,0,0,10,,,,,,,,,
0,track_name,0,1,10,,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,10,,,,,,,,0,,,,,,,,,,,,
0,sequence_number,0,1,10,,,,,,,65535,,,,,,,,,,,,,
0,control_change,0,0,9,,,,,,,,,10,34,8,,,,,,,,,
0,control_change,0,0,9,,,,,,,,,7,100,8,,,,,,,,,
0,program_change,0,0,9,,,,,,,,,,,8,48,,,,,,,,
0,control_change,0,0,9,,,,,,,,,32,0,8,,,,,,,,,
0,control_change,0,0,9,,,,,,,,,0,0,8,,,,,,,,,
0,track_name,0,1,9,,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,9,,,,,,,,0,,,,,,,,,,,,
0,sequence_number,0,1,9,,,,,,,65535,,,,,,,,,,,,,
0,control_change,0,0,8,,,,,,,,,10,114,7,,,,,,,,,
0,control_change,0,0,8,,,,,,,,,7,100,7,,,,,,,,,
0,program_change,0,0,8,,,,,,,,,,,7,48,,,,,,,,
0,control_change,0,0,8,,,,,,,,,32,0,7,,,,,,,,,
0,control_change,0,0,8,,,,,,,,,0,0,7,,,,,,,,,
0,control_change,0,0,10,,,,,,,,,32,0,10,,,,,,,,,
0,track_name,0,1,8,,,,,,,,,,,,,,,,,,,,
0,program_change,0,0,10,,,,,,,,,,,10,48,,,,,,,,
0,control_change,0,0,10,,,,,,,,,10,94,10,,,,,,,,,
0,program_change,0,0,11,,,,,,,,,,,10,48,,,,,,,,
0,control_change,0,0,11,,,,,,,,,7,100,10,,,,,,,,,
0,control_change,0,0,11,,,,,,,,,32,0,10,,,,,,,,,
0,control_change,0,0,11,,,,,,,,,0,0,10,,,,,,,,,
0,midi_port,0,1,11,,,,,,,,0,,,,,,,,,,,,
0,smpte_offset,0,1,11,,,,,,,,,,,,,,,24,0,0,0,0,0
0,sequence_number,0,1,11,,,,,,,0,,,,,,,,,,,,,
0,sequence_number,0,1,2,,,,,,,65535,,,,,,,,,,,,,
0,midi_port,0,1,2,,,,,,,,0,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,,0,0,1,,,,,,,,,
0,control_change,0,0,2,,,,,,,,,32,0,1,,,,,,,,,
0,program_change,0,0,2,,,,,,,,,,,1,6,,,,,,,,
0,control_change,0,0,2,,,,,,,,,7,80,1,,,,,,,,,
0,control_change,0,0,2,,,,,,,,,10,49,1,,,,,,,,,
0,note_on,0,0,2,,,,,,,,,,,1,,60,100,,,,,,
0,note_on,0,0,10,,,,,,,,,,,10,,60,100,,,,,,
0,control_change,0,0,10,,,,,,,,,7,100,10,,,,,,,,,
0,midi_port,0,1,8,,,,,,,,0,,,,,,,,,,,,
0,sequence_number,0,1,8,,,,,,,65535,,,,,,,,,,,,,
0,sequence_number,0,1,3,,,,,,,65535,,,,,,,,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,6,,,,,,,,0,,,,,,,,,,,,
0,sequence_number,0,1,6,,,,,,,65535,,,,,,,,,,,,,
0,sequence_number,0,1,4,,,,,,,65535,,,,,,,,,,,,,
0,midi_port,0,1,4,,,,,,,,0,,,,,,,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,,,0,0,3,,,,,,,,,
0,control_change,0,0,4,,,,,,,,,32,0,3,,,,,,,,,
0,program_change,0,0,4,,,,,,,,,,,3,6,,,,,,,,
0,control_change,0,0,4,,,,,,,,,7,80,3,,,,,,,,,
0,control_change,0,0,4,,,,,,,,,10,64,3,,,,,,,,,
0,control_change,0,0,5,,,,,,,,,10,79,4,,,,,,,,,
0,control_change,0,0,5,,,,,,,,,7,80,4,,,,,,,,,
0,program_change,0,0,5,,,,,,,,,,,4,6,,,,,,,,
0,control_change,0,0,5,,,,,,,,,32,0,4,,,,,,,,,
0,control_change,0,0,5,,,,,,,,,0,0,4,,,,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,,,,,,,,
0,control_change,0,0,6,,,,,,,,,0,0,5,,,,,,,,,
0,control_change,0,0,6,,,,,,,,,32,0,5,,,,,,,,,
0,program_change,0,0,6,,,,,,,,,,,5,6,,,,,,,,
0,control_change,0,0,6,,,,,,,,,7,80,5,,,,,,,,,
0,midi_port,0,1,3,,,,,,,,0,,,,,,,,,,,,
