tick,type,data,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,port,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,program,channel,control,value,note,velocity
0,sequencer_specific,"(0, 0, 91, 35, 1, 0, 5, 6, 42, 0)",0,1,0,,,,,,,,,,,,,,,,,,,
0,control_change,,0,0,8,,,,,,,,,,,,,,,11,7,96,,
0,control_change,,0,0,8,,,,,,,,,,,,,,,11,11,127,,
0,control_change,,0,0,8,,,,,,,,,,,,,,,11,10,48,,
0,program_change,,0,0,8,,,,,,,,,,,,,,48,11,,,,
0,midi_port,,0,1,8,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,8,,,,,,,,,,,,,,,,,,,
0,note_on,,0,0,7,,,,,,,,,,,,,,,2,,,48,76
0,control_change,,0,0,7,,,,,,,,,,,,,,,2,7,96,,
0,control_change,,0,0,7,,,,,,,,,,,,,,,2,11,127,,
0,control_change,,0,0,7,,,,,,,,,,,,,,,2,10,75,,
0,program_change,,0,0,7,,,,,,,,,,,,,,70,2,,,,
0,midi_port,,0,1,7,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,7,,,,,,,,,,,,,,,,,,,
0,note_on,,0,0,6,,,,,,,,,,,,,,,1,,,67,76
0,control_change,,0,0,6,,,,,,,,,,,,,,,1,7,80,,
0,control_change,,0,0,6,,,,,,,,,,,,,,,1,11,127,,
0,control_change,,0,0,6,,,,,,,,,,,,,,,1,10,65,,
0,program_change,,0,0,6,,,,,,,,,,,,,,68,1,,,,
0,midi_port,,0,1,6,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,6,,,,,,,,,,,,,,,,,,,
0,note_on,,0,0,5,,,,,,,,,,,,,,,0,,,67,76
0,control_change,,0,0,5,,,,,,,,,,,,,,,0,7,80,,
0,control_change,,0,0,5,,,,,,,,,,,,,,,0,11,127,,
0,control_change,,0,0,5,,,,,,,,,,,,,,,0,10,55,,
0,program_change,,0,0,5,,,,,,,,,,,,,,68,0,,,,
0,midi_port,,0,1,5,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,5,,,,,,,,,,,,,,,,,,,
0,end_of_track,,0,1,4,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,4,,,,,,,0,,,,,,,,,,,,
0,note_on,,0,0,8,,,,,,,,,,,,,,,11,,,67,76
0,track_name,,0,1,9,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,9,,,,,,,0,,,,,,,,,,,,
0,program_change,,0,0,9,,,,,,,,,,,,,,48,12,,,,
0,track_name,,0,1,13,,,,,,,,,,,,,,,,,,,
0,note_on,,0,0,12,,,,,,,,,,,,,,,15,,,67,76
0,note_on,,0,0,12,,,,,,,,,,,,,,,15,,,64,76
0,note_on,,0,0,12,,,,,,,,,,,,,,,15,,,60,76
0,note_on,,0,0,12,,,,,,,,,,,,,,,15,,,48,76
0,program_change,,0,0,12,,,,,,,,,,,,,,6,15,,,,
0,control_change,,0,0,12,,,,,,,,,,,,,,,15,7,72,,
0,control_change,,0,0,12,,,,,,,,,,,,,,,15,11,127,,
0,control_change,,0,0,12,,,,,,,,,,,,,,,15,10,64,,
0,midi_port,,0,1,12,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,12,,,,,,,,,,,,,,,,,,,
0,note_on,,0,0,11,,,,,,,,,,,,,,,14,,,48,76
0,control_change,,0,0,11,,,,,,,,,,,,,,,14,7,96,,
0,control_change,,0,0,11,,,,,,,,,,,,,,,14,11,127,,
0,end_of_track,,0,1,3,,,,,,,,,,,,,,,,,,,
0,control_change,,0,0,11,,,,,,,,,,,,,,,14,10,90,,
0,midi_port,,0,1,11,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,11,,,,,,,,,,,,,,,,,,,
0,note_on,,0,0,10,,,,,,,,,,,,,,,13,,,60,76
0,control_change,,0,0,10,,,,,,,,,,,,,,,13,7,96,,
0,control_change,,0,0,10,,,,,,,,,,,,,,,13,11,127,,
0,control_change,,0,0,10,,,,,,,,,,,,,,,13,10,70,,
0,program_change,,0,0,10,,,,,,,,,,,,,,48,13,,,,
0,midi_port,,0,1,10,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,10,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,13,,,,,,,0,,,,,,,,,,,,
0,note_on,,0,0,9,,,,,,,,,,,,,,,12,,,64,76
0,control_change,,0,0,9,,,,,,,,,,,,,,,12,7,96,,
0,control_change,,0,0,9,,,,,,,,,,,,,,,12,11,127,,
0,control_change,,0,0,9,,,,,,,,,,,,,,,12,10,24,,
0,program_change,,0,0,11,,,,,,,,,,,,,,48,14,,,,
0,midi_port,,0,1,3,,,,,,,0,,,,,,,,,,,,
0,end_of_track,,0,1,13,,,,,,,,,,,,,,,,,,,
0,end_of_track,,0,1,2,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,2,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,2,,,,,,,,,,,,,,,,,,,
0,end_of_track,,0,1,1,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,1,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,1,,,,,,,,,,,,,,,,,,,
0,track_name,,0,1,0,,,,,,,,,,,,,,,,,,,
0,time_signature,,0,1,0,,,,,,,,,1,4,24,8,,,,,,,
0,set_tempo,,0,1,0,,,,,,,,344827,,,,,,,,,,,
0,key_signature,,0,1,0,,,,,,,,,,,,,C,,,,,,
0,track_name,,0,1,3,,,,,,,,,,,,,,,,,,,
0,instrument_name,,0,1,0,,,,,,,,,,,,,,,,,,,
0,smpte_offset,,0,1,0,25,32,0,3,0,0,,,,,,,,,,,,,
0,marker,,0,1,0,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,0,,,,,,,0,,,,,,,,,,,,
224,note_on,,224,0,9,,,,,,,,,,,,,,,12,,,64,0
224,note_on,,224,0,6,,,,,,,,,,,,,,,1,,,67,0
224,note_on,,224,0,8,,,,,,,,,,,,,,,11,,,67,0
224,note_on,,224,0,10,,,,,,,,,,,,,,,13,,,60,0
224,note_on,,224,0,11,,,,,,,,,,,,,,,14,,,48,0
224,note_on,,224,0,7,,,,,,,,,,,,,,,2,,,48,0
224,note_on,,224,0,5,,,,,,,,,,,,,,,0,,,67,0
239,note_on,,0,0,12,,,,,,,,,,,,,,,15,,,60,0
239,note_on,,0,0,12,,,,,,,,,,,,,,,15,,,67,0
239,note_on,,239,0,12,,,,,,,,,,,,,,,15,,,48,0
239,note_on,,0,0,12,,,,,,,,,,,,,,,15,,,64,0
240,note_on,,1,0,12,,,,,,,,,,,,,,,15,,,76,76
240,note_on,,16,0,11,,,,,,,,,,,,,,,14,,,60,76
240,note_on,,0,0,12,,,,,,,,,,,,,,,15,,,72,76
240,note_on,,0,0,12,,,,,,,,,,,,,,,15,,,79,76
240,note_on,,0,0,12,,,,,,,,,,,,,,,15,,,60,76
240,time_signature,,240,1,0,,,,,,,,,3,4,24,8,,,,,,,
240,note_on,,16,0,10,,,,,,,,,,,,,,,13,,,55,76
240,note_on,,16,0,9,,,,,,,,,,,,,,,12,,,64,76
240,note_on,,16,0,7,,,,,,,,,,,,,,,2,,,60,76
240,note_on,,16,0,6,,,,,,,,,,,,,,,1,,,72,76
240,note_on,,16,0,8,,,,,,,,,,,,,,,11,,,72,76
240,note_on,,16,0,5,,,,,,,,,,,,,,,0,,,72,76
464,note_on,,224,0,8,,,,,,,,,,,,,,,11,,,72,0
464,note_on,,224,0,6,,,,,,,,,,,,,,,1,,,72,0
464,note_on,,224,0,5,,,,,,,,,,,,,,,0,,,72,0
464,note_on,,224,0,9,,,,,,,,,,,,,,,12,,,64,0
464,note_on,,224,0,11,,,,,,,,,,,,,,,14,,,60,0
464,note_on,,224,0,7,,,,,,,,,,,,,,,2,,,60,0
479,note_on,,239,0,12,,,,,,,,,,,,,,,15,,,76,0
479,note_on,,0,0,12,,,,,,,,,,,,,,,15,,,72,0
479,note_on,,0,0,12,,,,,,,,,,,,,,,15,,,79,0
479,note_on,,0,0,12,,,,,,,,,,,,,,,15,,,60,0
480,note_on,,16,0,9,,,,,,,,,,,,,,,12,,,67,76
480,note_on,,1,0,12,,,,,,,,,,,,,,,15,,,60,76
480,note_on,,0,0,12,,,,,,,,,,,,,,,15,,,48,76
480,note_on,,0,0,12,,,,,,,,,,,,,,,15,,,64,76
480,note_on,,0,0,12,,,,,,,,,,,,,,,15,,,67,76
480,note_on,,16,0,7,,,,,,,,,,,,,,,2,,,48,76
480,note_on,,16,0,8,,,,,,,,,,,,,,,11,,,76,76
480,note_on,,16,0,6,,,,,,,,,,,,,,,1,,,76,76
480,note_on,,16,0,5,,,,,,,,,,,,,,,0,,,76,76
480,note_on,,16,0,11,,,,,,,,,,,,,,,14,,,48,76
599,note_on,,119,0,5,,,,,,,,,,,,,,,0,,,76,0
599,note_on,,119,0,6,,,,,,,,,,,,,,,1,,,76,0
599,note_on,,119,0,9,,,,,,,,,,,,,,,12,,,67,0
599,note_on,,119,0,8,,,,,,,,,,,,,,,11,,,76,0
600,note_on,,1,0,6,,,,,,,,,,,,,,,1,,,74,76
600,note_on,,1,0,9,,,,,,,,,,,,,,,12,,,65,76
600,note_on,,1,0,5,,,,,,,,,,,,,,,0,,,74,76
600,note_on,,1,0,8,,,,,,,,,,,,,,,11,,,74,76
