tick,type,time,meta,track,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,note,velocity,channel,program
0,track_name,0,1,0,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,
0,note_on,0,0,2,,,,,,55,97,0,
0,track_name,0,1,2,,,,,,,,,
0,track_name,0,1,3,,,,,,,,,
0,program_change,0,0,2,,,,,,,,0,19
0,time_signature,0,1,0,,4,4,24,8,,,,
0,set_tempo,0,1,0,750000,,,,,,,,
192,note_on,0,0,2,,,,,,50,97,0,
192,note_off,192,0,2,,,,,,55,64,0,
384,note_off,192,0,2,,,,,,50,64,0,
384,note_on,0,0,2,,,,,,46,97,0,
576,note_off,192,0,2,,,,,,46,64,0,
576,note_on,0,0,2,,,,,,50,97,0,
768,note_off,192,0,2,,,,,,50,64,0,
768,note_on,0,0,2,,,,,,43,97,0,
960,note_off,192,0,2,,,,,,43,64,0,
960,note_on,0,0,2,,,,,,57,97,0,
1152,note_off,192,0,2,,,,,,57,64,0,
1152,note_on,0,0,2,,,,,,58,97,0,
1344,note_off,192,0,2,,,,,,58,64,0,
1344,note_on,0,0,2,,,,,,60,97,0,
1536,note_off,192,0,2,,,,,,60,64,0,
1536,note_on,0,0,2,,,,,,58,97,0,
1728,note_off,192,0,2,,,,,,58,64,0,
1728,note_on,0,0,2,,,,,,55,97,0,
1920,note_off,192,0,2,,,,,,55,64,0,
1920,note_on,0,0,2,,,,,,50,97,0,
2112,note_on,0,0,2,,,,,,55,97,0,
2112,note_off,192,0,2,,,,,,50,64,0,
2304,note_on,0,0,2,,,,,,43,97,0,
2304,note_off,192,0,2,,,,,,55,64,0,
2496,note_off,192,0,2,,,,,,43,64,0,
2496,note_on,0,0,2,,,,,,60,97,0,
2688,note_off,192,0,2,,,,,,60,64,0,
2688,note_on,0,0,2,,,,,,62,97,0,
2880,note_off,192,0,2,,,,,,62,64,0,
2880,note_on,0,0,2,,,,,,63,97,0,
3072,note_off,192,0,2,,,,,,63,64,0,
3072,note_on,0,0,2,,,,,,62,97,0,
3264,note_off,192,0,2,,,,,,62,64,0,
3264,note_on,0,0,2,,,,,,58,97,0,
3456,note_off,192,0,2,,,,,,58,64,0,
3456,note_on,0,0,2,,,,,,55,97,0,
3648,note_off,192,0,2,,,,,,55,64,0,
3648,note_on,0,0,2,,,,,,58,97,0,
3840,note_off,192,0,2,,,,,,58,64,0,
3840,note_on,0,0,2,,,,,,43,97,0,
4032,note_off,192,0,2,,,,,,43,64,0,
4032,note_on,4032,0,1,,,,,,66,92,0,
4224,note_on,0,0,1,,,,,,67,92,0,
4224,note_off,192,0,1,,,,,,66,64,0,
4416,note_on,0,0,1,,,,,,69,92,0,
4416,note_off,192,0,1,,,,,,67,64,0,
4608,note_on,0,0,1,,,,,,67,92,0,
4608,note_off,192,0,1,,,,,,69,64,0,
4800,note_on,0,0,1,,,,,,62,92,0,
4800,note_off,192,0,1,,,,,,67,64,0,
4992,note_on,0,0,1,,,,,,58,92,0,
4992,note_off,192,0,1,,,,,,62,64,0,
5184,note_on,0,0,1,,,,,,62,92,0,
5184,note_off,192,0,1,,,,,,58,64,0,
5376,note_off,192,0,1,,,,,,62,64,0,
5376,note_on,1344,0,2,,,,,,43,97,0,
5568,note_off,192,0,2,,,,,,43,64,0,
5568,note_on,192,0,1,,,,,,69,92,0,
5760,note_off,192,0,1,,,,,,69,64,0,
5760,note_on,0,0,1,,,,,,70,92,0,
5952,note_off,192,0,1,,,,,,70,64,0,
5952,note_on,0,0,1,,,,,,72,92,0,
6144,note_on,0,0,1,,,,,,70,92,0,
6144,note_off,192,0,1,,,,,,72,64,0,
6336,note_on,192,0,1,,,,,,67,92,0,
6528,note_on,960,0,2,,,,,,55,97,0,
6720,note_off,384,0,1,,,,,,67,64,0,
6720,note_on,0,0,1,,,,,,67,92,0,
6912,note_off,384,0,2,,,,,,55,64,0,
6912,note_on,0,0,1,,,,,,72,92,0,
6912,note_off,0,0,1,,,,,,70,64,0,
6912,note_off,192,0,1,,,,,,67,64,0,
7104,note_on,192,0,1,,,,,,67,92,0,
7296,note_on,384,0,2,,,,,,57,97,0,
7488,note_on,0,0,1,,,,,,67,92,0,
7488,note_off,384,0,1,,,,,,67,64,0,
7680,note_off,0,0,1,,,,,,72,64,0,
7680,note_off,192,0,1,,,,,,67,64,0,
7680,note_off,384,0,2,,,,,,57,64,0,
7680,note_on,0,0,1,,,,,,74,92,0,
7872,note_on,192,0,1,,,,,,67,92,0,
8064,note_on,384,0,2,,,,,,58,97,0,
8256,note_off,384,0,1,,,,,,67,64,0,
8256,note_on,0,0,1,,,,,,67,92,0,
8448,note_off,384,0,2,,,,,,58,64,0,
8448,note_off,192,0,1,,,,,,67,64,0,
8448,note_off,0,0,1,,,,,,74,64,0,
8448,note_on,8448,0,3,,,,,,43,102,0,
8640,note_on,192,0,1,,,,,,74,92,0,
8832,note_off,192,0,1,,,,,,74,64,0,
8832,note_on,0,0,1,,,,,,75,92,0,
8832,note_off,384,0,3,,,,,,43,64,0,
9024,note_on,0,0,1,,,,,,77,92,0,
9024,note_off,192,0,1,,,,,,75,64,0,
9216,note_off,192,0,1,,,,,,77,64,0,
9216,note_on,0,0,1,,,,,,75,92,0,
9408,note_on,192,0,1,,,,,,67,92,0,
9600,note_on,1152,0,2,,,,,,60,97,0,
9792,note_off,384,0,1,,,,,,67,64,0,
9792,note_on,0,0,1,,,,,,67,92,0,
9984,note_off,384,0,2,,,,,,60,64,0,
9984,note_off,192,0,1,,,,,,67,64,0,
9984,note_off,0,0,1,,,,,,75,64,0,
9984,note_on,0,0,1,,,,,,77,92,0,
10176,note_on,192,0,1,,,,,,71,92,0,
10368,note_on,384,0,2,,,,,,62,97,0,
10560,note_on,0,0,1,,,,,,71,92,0,
10560,note_off,384,0,1,,,,,,71,64,0,
10752,note_off,0,0,1,,,,,,77,64,0,
10752,note_off,384,0,2,,,,,,62,64,0,
10752,note_on,0,0,1,,,,,,79,92,0,
10752,note_off,192,0,1,,,,,,71,64,0,
10944,note_on,192,0,1,,,,,,72,92,0,
11136,note_on,384,0,2,,,,,,63,97,0,
11328,note_off,384,0,1,,,,,,72,64,0,
11328,note_on,0,0,1,,,,,,72,92,0,
11520,note_on,2688,0,3,,,,,,43,102,0,
11520,note_off,384,0,2,,,,,,63,64,0,
11520,note_off,192,0,1,,,,,,72,64,0,
11520,note_off,0,0,1,,,,,,79,64,0,
11712,note_on,192,0,1,,,,,,78,92,0,
11904,note_off,384,0,3,,,,,,43,64,0,
11904,note_off,192,0,1,,,,,,78,64,0,
11904,note_on,0,0,1,,,,,,76,92,0,
12096,note_on,0,0,1,,,,,,78,92,0,
12096,note_off,192,0,1,,,,,,76,64,0,
12288,note_off,192,0,1,,,,,,78,64,0,
12288,note_on,0,0,1,,,,,,79,92,0,
12480,note_on,192,0,1,,,,,,70,92,0,
12672,note_on,1152,0,2,,,,,,62,97,0,
12864,note_off,384,0,1,,,,,,70,64,0,
12864,note_on,0,0,1,,,,,,70,92,0,
13056,note_on,0,0,1,,,,,,81,92,0,
13056,note_off,0,0,1,,,,,,79,64,0,
13056,note_off,192,0,1,,,,,,70,64,0,
13056,note_off,384,0,2,,,,,,62,64,0,
13248,note_on,192,0,1,,,,,,72,92,0,
13440,note_on,384,0,2,,,,,,66,97,0,
13632,note_off,384,0,1,,,,,,72,64,0,
13632,note_on,0,0,1,,,,,,72,92,0,
13824,note_on,0,0,1,,,,,,82,92,0,
13824,note_off,384,0,2,,,,,,66,64,0,
13824,note_off,192,0,1,,,,,,72,64,0,
13824,note_off,0,0,1,,,,,,81,64,0,
14016,note_on,192,0,1,,,,,,74,92,0,
14208,note_on,384,0,2,,,,,,67,97,0,
14400,note_off,384,0,1,,,,,,74,64,0,
14400,note_on,0,0,1,,,,,,74,92,0,
14592,note_off,384,0,2,,,,,,67,64,0,
14592,note_on,2688,0,3,,,,,,43,102,0,
14592,note_off,192,0,1,,,,,,74,64,0,
14592,note_off,0,0,1,,,,,,82,64,0,
14784,note_on,192,0,1,,,,,,83,92,0,
14976,note_off,384,0,3,,,,,,43,64,0,
14976,note_off,192,0,1,,,,,,83,64,0,
14976,note_on,0,0,1,,,,,,81,92,0,
15168,note_on,0,0,1,,,,,,83,92,0,
15168,note_off,192,0,1,,,,,,81,64,0,
15360,note_off,192,0,1,,,,,,83,64,0,
15360,note_on,0,0,1,,,,,,84,92,0,
15552,note_on,192,0,1,,,,,,75,92,0,
15744,note_on,1152,0,2,,,,,,67,97,0,
15936,note_off,384,0,1,,,,,,75,64,0,
15936,note_on,0,0,1,,,,,,75,92,0,
16128,note_off,0,0,1,,,,,,84,64,0,
16128,note_on,0,0,1,,,,,,82,92,0,
16128,note_off,384,0,2,,,,,,67,64,0,
16128,note_off,192,0,1,,,,,,75,64,0,
16320,note_on,192,0,1,,,,,,74,92,0,
16512,note_on,384,0,2,,,,,,65,97,0,
16704,note_off,384,0,1,,,,,,74,64,0,
16704,note_on,0,0,1,,,,,,74,92,0,
16896,note_on,0,0,1,,,,,,81,92,0,
16896,note_off,0,0,1,,,,,,82,64,0,
16896,note_off,192,0,1,,,,,,74,64,0,
16896,note_off,384,0,2,,,,,,65,64,0,
17088,note_on,192,0,1,,,,,,72,92,0,
17280,note_on,384,0,2,,,,,,63,97,0,
17472,note_on,0,0,1,,,,,,72,92,0,
17472,note_off,384,0,1,,,,,,72,64,0,
17664,note_off,384,0,2,,,,,,63,64,0,
17664,note_off,0,0,1,,,,,,81,64,0,
17664,note_on,2688,0,3,,,,,,43,102,0,
17664,note_off,192,0,1,,,,,,72,64,0,
17856,note_on,192,0,1,,,,,,81,92,0,
18048,note_on,0,0,1,,,,,,79,92,0,
18048,note_off,192,0,1,,,,,,81,64,0,
18048,note_off,384,0,3,,,,,,43,64,0,
18240,note_off,192,0,1,,,,,,79,64,0,
18240,note_on,0,0,1,,,,,,81,92,0,
18432,note_on,0,0,1,,,,,,82,92,0,
18432,note_off,192,0,1,,,,,,81,64,0,
18624,note_on,192,0,1,,,,,,74,92,0,
18816,note_on,1152,0,2,,,,,,62,97,0,
18816,note_on,0,0,2,,,,,,67,97,0,
19008,note_off,384,0,1,,,,,,74,64,0,
19008,note_on,0,0,1,,,,,,74,92,0,
19200,note_off,0,0,1,,,,,,82,64,0,
19200,note_off,0,0,2,,,,,,62,64,0,
19200,note_off,384,0,2,,,,,,67,64,0,
19200,note_off,192,0,1,,,,,,74,64,0,
19200,note_on,0,0,1,,,,,,81,92,0,
19392,note_on,192,0,1,,,,,,74,92,0,
19584,note_on,0,0,2,,,,,,66,97,0,
19584,note_on,384,0,2,,,,,,60,97,0,
19776,note_on,0,0,1,,,,,,74,92,0,
19776,note_off,384,0,1,,,,,,74,64,0,
19968,note_off,192,0,1,,,,,,74,64,0,
19968,note_off,0,0,1,,,,,,81,64,0,
19968,note_on,0,0,1,,,,,,79,92,0,
19968,note_off,384,0,2,,,,,,66,64,0,
19968,note_off,0,0,2,,,,,,60,64,0,
20160,note_on,192,0,1,,,,,,74,92,0,
20352,note_on,0,0,2,,,,,,67,97,0,
20352,note_on,384,0,2,,,,,,58,97,0,
20544,note_on,0,0,1,,,,,,74,92,0,
20544,note_off,384,0,1,,,,,,74,64,0,
20736,note_on,0,0,1,,,,,,78,92,0,
20736,note_off,192,0,1,,,,,,74,64,0,
20736,note_off,384,0,2,,,,,,67,64,0,
20736,note_off,0,0,2,,,,,,58,64,0,
20736,note_off,0,0,1,,,,,,79,64,0,
20928,note_on,192,0,1,,,,,,72,92,0,
21120,note_on,384,0,2,,,,,,57,97,0,
21120,note_on,0,0,2,,,,,,69,97,0,
21312,note_off,384,0,1,,,,,,72,64,0,
21312,note_on,0,0,1,,,,,,72,92,0,
21504,note_on,0,0,1,,,,,,79,92,0,
21504,note_off,192,0,1,,,,,,72,64,0,
21504,note_off,384,0,2,,,,,,69,64,0,
21504,note_off,0,0,2,,,,,,57,64,0,
21504,note_off,0,0,1,,,,,,78,64,0,
21696,note_on,192,0,1,,,,,,74,92,0,
21888,note_on,384,0,2,,,,,,58,97,0,
21888,note_on,0,0,2,,,,,,67,97,0,
22080,note_on,0,0,1,,,,,,74,92,0,
22080,note_off,384,0,1,,,,,,74,64,0,
22272,note_off,384,0,2,,,,,,67,64,0,
22272,note_off,0,0,1,,,,,,79,64,0,
22272,note_off,192,0,1,,,,,,74,64,0,
22272,note_off,0,0,2,,,,,,58,64,0,
22272,note_on,0,0,1,,,,,,77,92,0,
22464,note_on,192,0,1,,,,,,74,92,0,
22656,note_on,0,0,2,,,,,,67,97,0,
22656,note_on,384,0,2,,,,,,59,97,0,
22848,note_off,384,0,1,,,,,,74,64,0,
22848,note_on,0,0,1,,,,,,74,92,0,
23040,note_on,0,0,1,,,,,,75,92,0,
23040,note_off,0,0,2,,,,,,59,64,0,
23040,note_off,384,0,2,,,,,,67,64,0,
23040,note_off,192,0,1,,,,,,74,64,0,
23040,note_off,0,0,1,,,,,,77,64,0,
23232,note_on,192,0,1,,,,,,74,92,0,
23424,note_on,0,0,2,,,,,,67,97,0,
23424,note_on,384,0,2,,,,,,60,97,0,
23616,note_on,0,0,1,,,,,,74,92,0,
23616,note_off,384,0,1,,,,,,74,64,0,
23808,note_off,0,0,2,,,,,,60,64,0,
23808,note_off,192,0,1,,,,,,74,64,0,
23808,note_off,0,0,1,,,,,,75,64,0,
23808,note_on,0,0,1,,,,,,75,92,0,
23808,note_off,384,0,2,,,,,,67,64,0,
24000,note_on,192,0,1,,,,,,72,92,0,
24192,note_on,0,0,2,,,,,,67,97,0,
24192,note_on,384,0,2,,,,,,60,97,0,
24384,note_off,384,0,1,,,,,,72,64,0,
24384,note_on,0,0,1,,,,,,72,92,0,
24576,note_off,192,0,1,,,,,,72,64,0,
24576,note_on,0,0,1,,,,,,74,92,0,
24576,note_off,0,0,1,,,,,,75,64,0,
24576,note_off,384,0,2,,,,,,67,64,0,
24576,note_off,0,0,2,,,,,,60,64,0,
24768,note_on,192,0,1,,,,,,69,92,0,
24960,note_on,384,0,2,,,,,,54,97,0,
24960,note_on,0,0,2,,,,,,62,97,0,
25152,note_on,0,0,1,,,,,,69,92,0,
25152,note_off,384,0,1,,,,,,69,64,0,
25344,note_off,0,0,2,,,,,,54,64,0,
25344,note_off,384,0,2,,,,,,62,64,0,
25344,note_on,0,0,1,,,,,,72,92,0,
25344,note_off,0,0,1,,,,,,74,64,0,
25344,note_off,192,0,1,,,,,,69,64,0,
25536,note_on,192,0,1,,,,,,69,92,0,
25728,note_on,0,0,2,,,,,,62,97,0,
25728,note_on,384,0,2,,,,,,54,97,0,
25920,note_off,384,0,1,,,,,,69,64,0,
25920,note_on,0,0,1,,,,,,69,92,0,
26112,note_on,0,0,1,,,,,,70,92,0,
