tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,number,port,control,value,channel,program,note,velocity,frame_rate,hours,minutes,seconds,frames,sub_frames
0,track_name,0,1,0,,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,5,,,,,,,,0,,,,,,,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,,,,,,,,
0,control_change,0,0,5,,,,,,,,,0,0,4,,,,,,,,,
0,control_change,0,0,5,,,,,,,,,32,0,4,,,,,,,,,
0,program_change,0,0,5,,,,,,,,,,,4,48,,,,,,,,
0,control_change,0,0,5,,,,,,,,,7,80,4,,,,,,,,,
0,control_change,0,0,5,,,,,,,,,10,34,4,,,,,,,,,
0,sequence_number,0,1,6,,,,,,,65535,,,,,,,,,,,,,
0,midi_port,0,1,6,,,,,,,,0,,,,,,,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,,,,,,,,,
0,control_change,0,0,6,,,,,,,,,0,0,5,,,,,,,,,
0,control_change,0,0,6,,,,,,,,,32,0,5,,,,,,,,,
0,program_change,0,0,6,,,,,,,,,,,5,48,,,,,,,,
0,control_change,0,0,6,,,,,,,,,7,80,5,,,,,,,,,
0,control_change,0,0,6,,,,,,,,,10,94,5,,,,,,,,,
0,note_on,0,0,6,,,,,,,,,,,5,,45,100,,,,,,
0,control_change,0,0,12,,,,,,,,,10,64,11,,,,,,,,,
0,sequence_number,0,1,7,,,,,,,0,,,,,,,,,,,,,
0,smpte_offset,0,1,7,,,,,,,,,,,,,,,24,0,0,0,0,0
0,sequence_number,0,1,5,,,,,,,65535,,,,,,,,,,,,,
0,midi_port,0,1,7,,,,,,,,0,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,,,10,114,3,,,,,,,,,
0,program_change,0,0,4,,,,,,,,,,,3,48,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,,0,0,1,,,,,,,,,
0,control_change,0,0,2,,,,,,,,,32,0,1,,,,,,,,,
0,program_change,0,0,2,,,,,,,,,,,1,40,,,,,,,,
0,control_change,0,0,2,,,,,,,,,7,100,1,,,,,,,,,
0,control_change,0,0,2,,,,,,,,,10,74,1,,,,,,,,,
0,sequence_number,0,1,3,,,,,,,65535,,,,,,,,,,,,,
0,midi_port,0,1,3,,,,,,,,0,,,,,,,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,,,0,0,2,,,,,,,,,
0,control_change,0,0,3,,,,,,,,,32,0,2,,,,,,,,,
0,program_change,0,0,3,,,,,,,,,,,2,48,,,,,,,,
0,control_change,0,0,3,,,,,,,,,7,80,2,,,,,,,,,
0,control_change,0,0,3,,,,,,,,,10,14,2,,,,,,,,,
0,sequence_number,0,1,4,,,,,,,65535,,,,,,,,,,,,,
0,midi_port,0,1,4,,,,,,,,0,,,,,,,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,,,0,0,3,,,,,,,,,
0,control_change,0,0,4,,,,,,,,,32,0,3,,,,,,,,,
0,control_change,0,0,4,,,,,,,,,7,80,3,,,,,,,,,
0,control_change,0,0,7,,,,,,,,,0,0,5,,,,,,,,,
0,control_change,0,0,7,,,,,,,,,32,0,5,,,,,,,,,
0,control_change,0,0,7,,,,,,,,,7,80,5,,,,,,,,,
0,program_change,0,0,10,,,,,,,,,,,8,6,,,,,,,,
0,control_change,0,0,10,,,,,,,,,7,80,8,,,,,,,,,
0,control_change,0,0,10,,,,,,,,,10,64,8,,,,,,,,,
0,sequence_number,0,1,11,,,,,,,65535,,,,,,,,,,,,,
0,midi_port,0,1,11,,,,,,,,0,,,,,,,,,,,,
0,track_name,0,1,11,,,,,,,,,,,,,,,,,,,,
0,control_change,0,0,11,,,,,,,,,0,0,10,,,,,,,,,
