tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,program,channel,note,velocity
0,set_tempo,571420,0,1,0,,,,,,,,
0,note_on,,0,0,2,,,,,,0,64,92
0,note_on,,0,0,2,,,,,,0,57,92
0,track_name,,0,1,3,,,,,,,,
0,note_on,,0,0,3,,,,,,0,45,102
0,program_change,,0,0,2,,,,,19,0,,
0,note_on,,0,0,1,,,,,,0,72,92
0,note_on,,0,0,1,,,,,,0,81,92
0,note_on,,0,0,1,,,,,,0,76,92
0,program_change,,0,0,1,,,,,19,0,,
0,track_name,,0,1,1,,,,,,,,
0,track_name,,0,1,2,,,,,,,,
0,time_signature,,0,1,0,4,4,24,8,,,,
384,note_on,,0,0,2,,,,,,0,59,92
384,note_on,,0,0,1,,,,,,0,71,92
384,note_off,,384,0,3,,,,,,0,45,64
384,note_on,,0,0,1,,,,,,0,76,92
384,note_off,,0,0,1,,,,,,0,76,64
384,note_on,,0,0,1,,,,,,0,80,92
384,note_off,,384,0,1,,,,,,0,72,64
384,note_on,,0,0,2,,,,,,0,64,92
384,note_off,,0,0,2,,,,,,0,64,64
384,note_off,,384,0,2,,,,,,0,57,64
384,note_off,,0,0,1,,,,,,0,81,64
384,note_on,,0,0,3,,,,,,0,52,102
768,note_off,,384,0,2,,,,,,0,59,64
768,note_off,,0,0,2,,,,,,0,64,64
768,note_on,,0,0,2,,,,,,0,64,92
768,note_on,,0,0,2,,,,,,0,57,92
768,note_on,,0,0,3,,,,,,0,45,102
768,note_on,,0,0,1,,,,,,0,81,92
768,note_on,,0,0,1,,,,,,0,76,92
768,note_on,,0,0,1,,,,,,0,72,92
768,note_off,,0,0,1,,,,,,0,80,64
768,note_off,,384,0,1,,,,,,0,71,64
768,note_off,,384,0,3,,,,,,0,52,64
768,note_off,,0,0,1,,,,,,0,76,64
864,note_off,,96,0,1,,,,,,0,81,64
864,note_on,,0,0,1,,,,,,0,79,92
864,note_off,,0,0,1,,,,,,0,72,64
864,note_off,,0,0,1,,,,,,0,76,64
960,note_on,,0,0,1,,,,,,0,77,92
960,note_off,,96,0,1,,,,,,0,79,64
1056,note_off,,96,0,1,,,,,,0,77,64
1056,note_on,,0,0,1,,,,,,0,76,92
1152,note_off,,384,0,2,,,,,,0,57,64
1152,note_off,,96,0,1,,,,,,0,76,64
1152,note_on,,0,0,1,,,,,,0,74,92
1152,note_off,,0,0,2,,,,,,0,64,64
1152,note_off,,384,0,3,,,,,,0,45,64
1248,note_on,,0,0,1,,,,,,0,72,92
1248,note_off,,96,0,1,,,,,,0,74,64
1344,note_on,,192,0,3,,,,,,0,57,102
1344,note_on,,0,0,1,,,,,,0,71,92
1344,note_on,,0,0,1,,,,,,0,64,92
1344,note_off,,96,0,1,,,,,,0,72,64
1344,note_on,,192,0,2,,,,,,0,60,92
1440,note_on,,0,0,1,,,,,,0,69,92
1440,note_off,,96,0,1,,,,,,0,71,64
1536,note_on,,0,0,2,,,,,,0,59,92
1536,note_off,,192,0,2,,,,,,0,60,64
1536,note_off,,192,0,3,,,,,,0,57,64
1536,note_on,,0,0,3,,,,,,0,56,102
1536,note_off,,96,0,1,,,,,,0,69,64
1536,note_on,,0,0,1,,,,,,0,76,92
1728,note_off,,192,0,1,,,,,,0,76,64
1728,note_off,,0,0,1,,,,,,0,64,64
1728,note_on,,0,0,1,,,,,,0,64,92
1824,note_off,,288,0,3,,,,,,0,56,64
1824,note_on,,0,0,3,,,,,,0,54,102
1824,note_off,,288,0,2,,,,,,0,59,64
1824,note_on,,0,0,2,,,,,,0,57,92
1920,note_on,,0,0,1,,,,,,0,64,92
1920,note_on,,0,0,2,,,,,,0,56,92
1920,note_off,,96,0,3,,,,,,0,54,64
1920,note_off,,192,0,1,,,,,,0,64,64
1920,note_off,,96,0,2,,,,,,0,57,64
1920,note_on,,0,0,3,,,,,,0,52,102
2112,note_on,,192,0,1,,,,,,0,66,92
2112,note_on,,0,0,3,,,,,,0,50,102
2112,note_off,,192,0,3,,,,,,0,52,64
2112,note_on,,0,0,2,,,,,,0,57,92
2112,note_off,,192,0,2,,,,,,0,56,64
2208,note_on,,0,0,2,,,,,,0,59,92
2208,note_off,,96,0,2,,,,,,0,57,64
2208,note_on,,0,0,1,,,,,,0,68,92
2208,note_off,,96,0,1,,,,,,0,66,64
2304,note_off,,96,0,2,,,,,,0,59,64
2304,note_on,,0,0,3,,,,,,0,48,102
2304,note_off,,96,0,1,,,,,,0,68,64
2304,note_off,,192,0,3,,,,,,0,50,64
2304,note_on,,0,0,2,,,,,,0,60,92
2304,note_on,,0,0,1,,,,,,0,69,92
2496,note_on,,0,0,2,,,,,,0,60,92
2496,note_off,,192,0,2,,,,,,0,60,64
2496,note_off,,192,0,1,,,,,,0,69,64
2496,note_on,,0,0,1,,,,,,0,69,92
2592,note_on,,0,0,2,,,,,,0,62,92
2592,note_off,,96,0,2,,,,,,0,60,64
2592,note_off,,96,0,1,,,,,,0,69,64
2592,note_on,,0,0,3,,,,,,0,47,102
2592,note_on,,0,0,1,,,,,,0,71,92
2592,note_off,,288,0,3,,,,,,0,48,64
2688,note_on,,0,0,1,,,,,,0,69,92
2688,note_on,,0,0,2,,,,,,0,64,92
2688,note_off,,96,0,1,,,,,,0,71,64
2688,note_off,,96,0,2,,,,,,0,62,64
2688,note_off,,96,0,3,,,,,,0,47,64
2688,note_on,,0,0,3,,,,,,0,45,102
2688,note_on,,0,0,1,,,,,,0,72,92
2688,note_off,,0,0,1,,,,,,0,64,64
2880,note_off,,192,0,2,,,,,,0,64,64
2880,note_on,,0,0,2,,,,,,0,60,92
2880,note_off,,192,0,3,,,,,,0,45,64
2880,note_off,,192,0,1,,,,,,0,72,64
2880,note_on,,0,0,3,,,,,,0,57,102
2880,note_on,,0,0,1,,,,,,0,64,92
2880,note_on,,0,0,1,,,,,,0,72,92
2880,note_off,,0,0,1,,,,,,0,69,64
2976,note_on,,0,0,1,,,,,,0,74,92
2976,note_off,,96,0,1,,,,,,0,72,64
3072,note_off,,192,0,3,,,,,,0,57,64
3072,note_on,,0,0,3,,,,,,0,56,102
3072,note_on,,0,0,1,,,,,,0,76,92
3072,note_off,,96,0,1,,,,,,0,74,64
3072,note_off,,192,0,2,,,,,,0,60,64
3072,note_on,,0,0,2,,,,,,0,59,92
3264,note_off,,192,0,1,,,,,,0,76,64
3264,note_on,,0,0,1,,,,,,0,64,92
3264,note_off,,0,0,1,,,,,,0,64,64
3360,note_on,,0,0,2,,,,,,0,57,92
3360,note_off,,288,0,2,,,,,,0,59,64
3360,note_on,,0,0,3,,,,,,0,54,102
3360,note_off,,288,0,3,,,,,,0,56,64
3456,note_on,,0,0,1,,,,,,0,64,92
