tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,pitch,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,2,,,,,,,,,,,,,0,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,,,,,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-320,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-160,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-480,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-322,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-155,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-482,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-80,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-400,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-240,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-316,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,-402,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,0,0,,
0,end_of_track,0,1,2,,,,,,,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,,,,,,
0,key_signature,0,1,0,,,,,,,,,,,C,,,,,,,
0,set_tempo,0,1,0,,,,,,,,,,,,909091,,,,,,
0,smpte_offset,0,1,0,25,32,0,3,0,0,,,,,,,,,,,,
0,time_signature,0,1,0,,,,,,,4,4,24,8,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,,,,,,,0,,,,,
0,program_change,0,0,1,,,,,,,,,,,,,,0,0,,,
96,note_on,96,0,1,,,,,,,,,,,,,,,0,,54,127
286,note_on,190,0,1,,,,,,,,,,,,,,,0,,54,0
288,note_on,2,0,1,,,,,,,,,,,,,,,0,,56,127
335,note_on,47,0,1,,,,,,,,,,,,,,,0,,56,0
336,note_on,1,0,1,,,,,,,,,,,,,,,0,,57,127
383,note_on,47,0,1,,,,,,,,,,,,,,,0,,57,0
384,note_on,1,0,1,,,,,,,,,,,,,,,0,,59,127
431,note_on,47,0,1,,,,,,,,,,,,,,,0,,59,0
432,note_on,1,0,1,,,,,,,,,,,,,,,0,,61,127
479,note_on,47,0,1,,,,,,,,,,,,,,,0,,61,0
480,note_on,1,0,1,,,,,,,,,,,,,,,0,,62,127
527,note_on,47,0,1,,,,,,,,,,,,,,,0,,62,0
528,note_on,1,0,1,,,,,,,,,,,,,,,0,,61,127
575,note_on,47,0,1,,,,,,,,,,,,,,,0,,61,0
576,note_on,1,0,1,,,,,,,,,,,,,,,0,,59,127
623,note_on,47,0,1,,,,,,,,,,,,,,,0,,59,0
624,note_on,1,0,1,,,,,,,,,,,,,,,0,,57,127
671,note_on,47,0,1,,,,,,,,,,,,,,,0,,57,0
672,note_on,1,0,1,,,,,,,,,,,,,,,0,,56,127
719,note_on,47,0,1,,,,,,,,,,,,,,,0,,56,0
720,note_on,1,0,1,,,,,,,,,,,,,,,0,,57,127
767,note_on,47,0,1,,,,,,,,,,,,,,,0,,57,0
768,note_on,1,0,1,,,,,,,,,,,,,,,0,,54,127
815,note_on,47,0,1,,,,,,,,,,,,,,,0,,54,0
816,note_on,1,0,1,,,,,,,,,,,,,,,0,,61,127
863,note_on,47,0,1,,,,,,,,,,,,,,,0,,61,0
864,note_on,1,0,1,,,,,,,,,,,,,,,0,,57,127
911,note_on,47,0,1,,,,,,,,,,,,,,,0,,57,0
912,note_on,1,0,1,,,,,,,,,,,,,,,0,,66,127
959,note_on,47,0,1,,,,,,,,,,,,,,,0,,66,0
960,note_on,1,0,1,,,,,,,,,,,,,,,0,,61,127
