tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,note,velocity,channel
0,time_signature,4,4,24,8,0,1,0,,,,,
0,track_name,,,,,0,1,2,,,,,
0,track_name,,,,,0,1,4,,,,,
0,track_name,,,,,0,1,1,,,,,
0,track_name,,,,,0,1,3,,,,,
0,set_tempo,,,,,0,1,0,,2000000,,,
0,key_signature,,,,,0,1,0,Am,,,,
3072,note_on,,,,,3072,0,1,,,64,96,0
3072,note_on,,,,,3072,0,3,,,48,96,2
3072,note_on,,,,,3072,0,4,,,45,96,3
3584,note_off,,,,,512,0,3,,,48,0,2
3584,note_off,,,,,512,0,4,,,45,0,3
3584,note_on,,,,,0,0,4,,,47,96,3
3584,note_on,,,,,0,0,3,,,50,96,2
4096,note_on,,,,,0,0,4,,,48,96,3
4096,note_off,,,,,512,0,4,,,47,0,3
4096,note_off,,,,,512,0,3,,,50,0,2
4096,note_on,,,,,0,0,3,,,52,96,2
4096,note_off,,,,,1024,0,1,,,64,0,0
4096,note_on,,,,,0,0,1,,,69,96,0
4160,note_off,,,,,64,0,1,,,69,0,0
4160,note_on,,,,,0,0,1,,,68,96,0
4224,note_off,,,,,64,0,1,,,68,0,0
4224,note_on,,,,,0,0,1,,,69,96,0
4352,note_on,,,,,0,0,1,,,71,96,0
4352,note_off,,,,,128,0,1,,,69,0,0
4608,note_off,,,,,512,0,4,,,48,0,3
4608,note_off,,,,,512,0,3,,,52,0,2
4608,note_on,,,,,0,0,3,,,57,96,2
4608,note_on,,,,,0,0,1,,,69,96,0
4608,note_on,,,,,0,0,4,,,53,96,3
4608,note_off,,,,,256,0,1,,,71,0,0
4672,note_off,,,,,64,0,3,,,57,0,2
4672,note_on,,,,,0,0,3,,,55,96,2
4736,note_on,,,,,0,0,3,,,57,96,2
4736,note_off,,,,,64,0,3,,,55,0,2
4864,note_off,,,,,256,0,1,,,69,0,0
4864,note_on,,,,,0,0,1,,,71,96,0
5120,note_off,,,,,512,0,4,,,53,0,3
5120,note_off,,,,,256,0,1,,,71,0,0
5120,note_on,,,,,0,0,4,,,50,96,3
5120,note_on,,,,,0,0,1,,,72,96,0
5184,note_on,,,,,0,0,1,,,71,96,0
5184,note_off,,,,,64,0,1,,,72,0,0
5248,note_on,,,,,0,0,1,,,69,96,0
5248,note_off,,,,,64,0,1,,,71,0,0
5312,note_on,,,,,0,0,1,,,71,96,0
5312,note_off,,,,,64,0,1,,,69,0,0
5376,note_on,,,,,0,0,1,,,72,96,0
5376,note_off,,,,,64,0,1,,,71,0,0
5440,note_on,,,,,0,0,1,,,71,96,0
5440,note_off,,,,,64,0,1,,,72,0,0
5504,note_off,,,,,64,0,1,,,71,0,0
5504,note_on,,,,,0,0,1,,,72,96,0
5568,note_on,,,,,0,0,1,,,71,96,0
5568,note_off,,,,,64,0,1,,,72,0,0
5632,note_off,,,,,896,0,3,,,57,0,2
5632,note_on,,,,,0,0,3,,,57,96,2
5632,note_off,,,,,512,0,4,,,50,0,3
5632,note_on,,,,,0,0,4,,,52,96,3
5696,note_on,,,,,0,0,3,,,56,96,2
5696,note_off,,,,,64,0,3,,,57,0,2
5760,note_on,,,,,0,0,3,,,57,96,2
5760,note_off,,,,,64,0,3,,,56,0,2
5824,note_on,,,,,0,0,3,,,56,96,2
5824,note_off,,,,,64,0,3,,,57,0,2
5888,note_off,,,,,320,0,1,,,71,0,0
5888,note_on,,,,,0,0,1,,,69,96,0
6016,note_off,,,,,128,0,1,,,69,0,0
6016,note_on,,,,,0,0,1,,,71,96,0
6144,note_on,,,,,0,0,3,,,57,96,2
6144,note_off,,,,,320,0,3,,,56,0,2
6144,note_on,,,,,0,0,4,,,57,96,3
6144,note_off,,,,,512,0,4,,,52,0,3
6144,note_off,,,,,128,0,1,,,71,0,0
6144,note_on,,,,,0,0,1,,,72,96,0
6656,note_on,,,,,0,0,3,,,60,96,2
6656,note_off,,,,,512,0,3,,,57,0,2
7168,note_off,,,,,1024,0,1,,,72,0,0
7168,note_on,,,,,0,0,1,,,71,96,0
7168,note_on,,,,,0,0,3,,,62,96,2
7168,note_off,,,,,512,0,3,,,60,0,2
