tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,note,velocity,channel,program
0,set_tempo,789470,0,1,0,,,,,,,,
0,program_change,,0,0,3,,,,,,,0,19
0,track_name,,0,1,1,,,,,,,,
0,track_name,,0,1,3,,,,,,,,
0,track_name,,0,1,2,,,,,,,,
0,time_signature,,0,1,0,4,4,24,8,,,,
96,note_on,,96,0,3,,,,,43,102,0,
192,note_off,,96,0,3,,,,,43,64,0,
192,note_on,,0,0,3,,,,,48,102,0,
288,note_off,,96,0,3,,,,,48,64,0,
288,note_on,,0,0,3,,,,,43,102,0,
384,note_off,,96,0,3,,,,,43,64,0,
384,note_on,,0,0,3,,,,,48,102,0,
480,note_off,,96,0,3,,,,,48,64,0,
480,note_on,,0,0,3,,,,,43,102,0,
576,note_off,,96,0,3,,,,,43,64,0,
576,note_on,,0,0,3,,,,,48,102,0,
672,note_off,,96,0,3,,,,,48,64,0,
672,note_on,,0,0,3,,,,,43,102,0,
768,note_off,,96,0,3,,,,,43,64,0,
768,note_on,,0,0,3,,,,,48,102,0,
960,note_off,,192,0,3,,,,,48,64,0,
960,note_on,,0,0,3,,,,,48,102,0,
1056,note_off,,96,0,3,,,,,48,64,0,
1056,note_on,,0,0,3,,,,,43,102,0,
1152,note_off,,96,0,3,,,,,43,64,0,
1152,note_on,,0,0,3,,,,,52,102,0,
1248,note_on,,0,0,3,,,,,48,102,0,
1248,note_off,,96,0,3,,,,,52,64,0,
1344,note_off,,96,0,3,,,,,48,64,0,
1344,note_on,,0,0,3,,,,,52,102,0,
1440,note_off,,96,0,3,,,,,52,64,0,
1440,note_on,,0,0,3,,,,,48,102,0,
1536,note_off,,96,0,3,,,,,48,64,0,
1536,note_on,,0,0,3,,,,,52,102,0,
1728,note_off,,192,0,3,,,,,52,64,0,
1728,note_on,,0,0,3,,,,,52,102,0,
1824,note_off,,96,0,3,,,,,52,64,0,
1824,note_on,,0,0,3,,,,,48,102,0,
1920,note_on,,0,0,3,,,,,55,102,0,
1920,note_off,,96,0,3,,,,,48,64,0,
2016,note_off,,96,0,3,,,,,55,64,0,
2016,note_on,,0,0,3,,,,,52,102,0,
2112,note_off,,96,0,3,,,,,52,64,0,
2112,note_on,,0,0,3,,,,,55,102,0,
2208,note_off,,96,0,3,,,,,55,64,0,
2208,note_on,,0,0,3,,,,,52,102,0,
2304,note_off,,96,0,3,,,,,52,64,0,
2304,note_on,,0,0,3,,,,,55,102,0,
2496,note_off,,192,0,3,,,,,55,64,0,
2496,note_on,,0,0,3,,,,,52,102,0,
2592,note_off,,96,0,3,,,,,52,64,0,
2592,note_on,,0,0,3,,,,,55,102,0,
2688,note_on,,0,0,3,,,,,48,102,0,
2688,note_off,,96,0,3,,,,,55,64,0,
2784,note_off,,96,0,3,,,,,48,64,0,
2784,note_on,,0,0,3,,,,,60,102,0,
2880,note_off,,96,0,3,,,,,60,64,0,
2880,note_on,,0,0,3,,,,,55,102,0,
2976,note_off,,96,0,3,,,,,55,64,0,
2976,note_on,,0,0,3,,,,,60,102,0,
3072,note_on,,0,0,3,,,,,48,102,0,
3072,note_off,,96,0,3,,,,,60,64,0,
3168,note_on,,0,0,3,,,,,60,102,0,
3168,note_off,,96,0,3,,,,,48,64,0,
3264,note_off,,96,0,3,,,,,60,64,0,
3264,note_on,,0,0,3,,,,,55,102,0,
3360,note_off,,96,0,3,,,,,55,64,0,
3360,note_on,,0,0,3,,,,,60,102,0,
3456,note_off,,96,0,3,,,,,60,64,0,
3456,note_on,,0,0,3,,,,,52,102,0,
