tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,note,velocity,channel,program
0,set_tempo,750000,0,1,0,,,,,,,,
0,time_signature,,0,1,0,4,4,24,8,,,,
0,program_change,,0,0,2,,,,,,,0,19
0,note_on,,0,0,2,,,,,52,92,0,
0,track_name,,0,1,3,,,,,,,,
0,track_name,,0,1,2,,,,,,,,
0,track_name,,0,1,1,,,,,,,,
96,note_off,,96,0,2,,,,,52,64,0,
96,note_on,,0,0,2,,,,,54,92,0,
192,note_off,,96,0,2,,,,,54,64,0,
192,note_on,,0,0,2,,,,,56,92,0,
288,note_off,,96,0,2,,,,,56,64,0,
288,note_on,,0,0,2,,,,,57,92,0,
384,note_off,,96,0,2,,,,,57,64,0,
384,note_on,,0,0,2,,,,,59,92,0,
480,note_off,,96,0,2,,,,,59,64,0,
480,note_on,,0,0,2,,,,,56,92,0,
576,note_on,,0,0,2,,,,,52,92,0,
576,note_off,,96,0,2,,,,,56,64,0,
672,note_on,,0,0,2,,,,,59,92,0,
672,note_off,,96,0,2,,,,,52,64,0,
768,note_off,,96,0,2,,,,,59,64,0,
768,note_on,,768,0,1,,,,,61,92,0,
864,note_on,,0,0,1,,,,,63,92,0,
864,note_off,,96,0,1,,,,,61,64,0,
960,note_on,,0,0,1,,,,,64,92,0,
960,note_off,,96,0,1,,,,,63,64,0,
1056,note_on,,0,0,1,,,,,59,92,0,
1056,note_off,,96,0,1,,,,,64,64,0,
1152,note_off,,96,0,1,,,,,59,64,0,
1152,note_on,,0,0,1,,,,,56,92,0,
1248,note_off,,96,0,1,,,,,56,64,0,
1248,note_on,,0,0,1,,,,,59,92,0,
1344,note_off,,96,0,1,,,,,59,64,0,
1344,note_on,,0,0,1,,,,,64,92,0,
1440,note_on,,0,0,1,,,,,66,92,0,
1440,note_off,,96,0,1,,,,,64,64,0,
1536,note_on,,0,0,1,,,,,68,92,0,
1536,note_off,,96,0,1,,,,,66,64,0,
1632,note_on,,0,0,1,,,,,64,92,0,
1632,note_off,,96,0,1,,,,,68,64,0,
1728,note_on,,0,0,1,,,,,59,92,0,
1728,note_off,,96,0,1,,,,,64,64,0,
1824,note_on,,0,0,1,,,,,64,92,0,
1824,note_off,,96,0,1,,,,,59,64,0,
1920,note_off,,96,0,1,,,,,64,64,0,
1920,note_on,,0,0,1,,,,,68,92,0,
2016,note_off,,96,0,1,,,,,68,64,0,
2016,note_on,,0,0,1,,,,,69,92,0,
2112,note_on,,0,0,1,,,,,71,92,0,
2112,note_off,,96,0,1,,,,,69,64,0,
2208,note_on,,0,0,1,,,,,68,92,0,
2208,note_off,,96,0,1,,,,,71,64,0,
2304,note_off,,96,0,1,,,,,68,64,0,
2304,note_on,,0,0,1,,,,,73,92,0,
2400,note_off,,96,0,1,,,,,73,64,0,
2400,note_on,,0,0,1,,,,,68,92,0,
2496,note_off,,96,0,1,,,,,68,64,0,
2496,note_on,,0,0,1,,,,,69,92,0,
2592,note_off,,96,0,1,,,,,69,64,0,
2592,note_on,,0,0,1,,,,,66,92,0,
2688,note_off,,96,0,1,,,,,66,64,0,
2688,note_on,,0,0,1,,,,,63,92,0,
2784,note_on,,0,0,1,,,,,66,92,0,
2784,note_off,,96,0,1,,,,,63,64,0,
2880,note_off,,96,0,1,,,,,66,64,0,
2880,note_on,,0,0,1,,,,,71,92,0,
2976,note_off,,96,0,1,,,,,71,64,0,
2976,note_on,,0,0,1,,,,,66,92,0,
3072,note_off,,96,0,1,,,,,66,64,0,
3072,note_on,,0,0,1,,,,,68,92,0,
3168,note_off,,96,0,1,,,,,68,64,0,
3168,note_on,,0,0,1,,,,,71,92,0,
3264,note_off,,96,0,1,,,,,71,64,0,
3264,note_on,,0,0,1,,,,,76,92,0,
3360,note_on,,0,0,1,,,,,71,92,0,
3360,note_off,,96,0,1,,,,,76,64,0,
3456,note_off,,96,0,1,,,,,71,64,0,
3456,note_on,,0,0,1,,,,,73,92,0,
3552,note_on,,0,0,1,,,,,76,92,0,
3552,note_off,,96,0,1,,,,,73,64,0,
3648,note_off,,96,0,1,,,,,76,64,0,
3648,note_on,,0,0,1,,,,,81,92,0,
3744,note_on,,0,0,1,,,,,78,92,0,
3744,note_off,,96,0,1,,,,,81,64,0,
3840,note_on,,0,0,1,,,,,75,92,0,
3840,note_off,,96,0,1,,,,,78,64,0,
3936,note_off,,96,0,1,,,,,75,64,0,
3936,note_on,,0,0,1,,,,,78,92,0,
4032,note_off,,96,0,1,,,,,78,64,0,
4032,note_on,,0,0,1,,,,,83,92,0,
4128,note_on,,0,0,1,,,,,78,92,0,
4128,note_off,,96,0,1,,,,,83,64,0,
4224,note_off,,96,0,1,,,,,78,64,0,
4224,note_on,,0,0,1,,,,,80,92,0,
4320,note_on,,0,0,1,,,,,71,92,0,
4320,note_off,,96,0,1,,,,,80,64,0,
4416,note_off,,96,0,1,,,,,71,64,0,
4416,note_on,,0,0,1,,,,,76,92,0,
4512,note_off,,96,0,1,,,,,76,64,0,
4512,note_on,,0,0,1,,,,,68,92,0,
4608,note_off,,96,0,1,,,,,68,64,0,
4608,note_on,,0,0,1,,,,,73,92,0,
4704,note_off,,96,0,1,,,,,73,64,0,
4704,note_on,,0,0,1,,,,,64,92,0,
4800,note_on,,0,0,1,,,,,69,92,0,
4800,note_off,,96,0,1,,,,,64,64,0,
4896,note_on,,0,0,1,,,,,61,92,0,
4896,note_off,,96,0,1,,,,,69,64,0,
4992,note_off,,96,0,1,,,,,61,64,0,
4992,note_on,,0,0,1,,,,,63,92,0,
5088,note_off,,96,0,1,,,,,63,64,0,
5088,note_on,,0,0,1,,,,,59,92,0,
5184,note_off,,96,0,1,,,,,59,64,0,
5184,note_on,,0,0,1,,,,,66,92,0,
5280,note_on,,4512,0,2,,,,,57,92,0,
5280,note_off,,96,0,1,,,,,66,64,0,
5376,note_on,,0,0,2,,,,,56,92,0,
5376,note_off,,96,0,2,,,,,57,64,0,
5472,note_on,,0,0,2,,,,,64,92,0,
5472,note_off,,96,0,2,,,,,56,64,0,
5568,note_off,,96,0,2,,,,,64,64,0,
5568,note_on,,0,0,2,,,,,54,92,0,
5664,note_off,,96,0,2,,,,,54,64,0,
5664,note_on,,0,0,2,,,,,63,92,0,
5760,note_off,,96,0,2,,,,,63,64,0,
5760,note_on,,0,0,2,,,,,64,92,0,
5856,note_off,,96,0,2,,,,,64,64,0,
5856,note_on,,0,0,2,,,,,52,92,0,
5952,note_off,,96,0,2,,,,,52,64,0,
5952,note_on,,0,0,2,,,,,40,92,0,
6144,note_on,,864,0,1,,,,,68,92,0,
6144,note_on,,0,0,1,,,,,71,92,0,
6144,note_on,,6144,0,3,,,,,40,102,0,
6144,note_off,,192,0,2,,,,,40,64,0,
6144,note_on,,0,0,2,,,,,64,92,0,
6144,note_on,,0,0,2,,,,,56,92,0,
6144,note_on,,0,0,2,,,,,59,92,0,
6144,note_on,,0,0,3,,,,,52,102,0,
6528,note_on,,384,0,1,,,,,74,92,0,
6912,note_on,,0,0,2,,,,,61,92,0,
6912,note_off,,0,0,2,,,,,64,64,0,
6912,note_off,,768,0,2,,,,,59,64,0,
7104,note_off,,576,0,1,,,,,68,64,0,
7104,note_on,,0,0,1,,,,,64,92,0,
7296,note_on,,0,0,1,,,,,69,92,0,
7296,note_on,,0,0,1,,,,,73,92,0,
7296,note_off,,0,0,1,,,,,71,64,0,
7296,note_on,,0,0,2,,,,,57,92,0,
7296,note_off,,384,0,2,,,,,56,64,0,
7296,note_off,,192,0,1,,,,,74,64,0,
7488,note_on,,0,0,2,,,,,63,92,0,
7488,note_off,,192,0,2,,,,,61,64,0,
7680,note_off,,192,0,2,,,,,63,64,0,
7680,note_on,,0,0,2,,,,,59,92,0,
7680,note_on,,0,0,2,,,,,64,92,0,
7680,note_off,,384,0,1,,,,,73,64,0,
7680,note_off,,0,0,1,,,,,64,64,0,
7680,note_on,,0,0,1,,,,,71,92,0,
7680,note_off,,0,0,2,,,,,57,64,0,
7872,note_off,,192,0,1,,,,,69,64,0,
7872,note_on,,0,0,1,,,,,66,92,0,
8064,note_off,,192,0,1,,,,,66,64,0,
8064,note_on,,0,0,1,,,,,68,92,0,
8256,note_off,,576,0,2,,,,,64,64,0,
8256,note_on,,0,0,2,,,,,63,92,0,
8448,note_off,,384,0,1,,,,,68,64,0,
8448,note_off,,0,0,2,,,,,59,64,0,
8448,note_on,,0,0,2,,,,,64,92,0,
8448,note_off,,192,0,2,,,,,63,64,0,
8448,note_on,,0,0,1,,,,,68,92,0,
8640,note_on,,192,0,2,,,,,59,92,0,
8832,note_off,,384,0,1,,,,,71,64,0,
8832,note_on,,0,0,1,,,,,76,92,0,
8832,note_off,,192,0,2,,,,,59,64,0,
8832,note_on,,0,0,2,,,,,61,92,0,
9024,note_off,,192,0,1,,,,,68,64,0,
9024,note_on,,0,0,1,,,,,64,92,0,
9216,note_on,,0,0,1,,,,,69,92,0,
9216,note_off,,192,0,1,,,,,64,64,0,
9408,note_off,,192,0,1,,,,,76,64,0,
9408,note_on,,0,0,1,,,,,73,92,0,
9600,note_on,,0,0,2,,,,,63,92,0,
9600,note_on,,0,0,1,,,,,78,92,0,
9600,note_off,,192,0,1,,,,,73,64,0,
9600,note_off,,768,0,2,,,,,61,64,0,
9600,note_off,,0,0,2,,,,,64,64,0,
9600,note_on,,0,0,2,,,,,60,92,0,
