tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,tempo,note,velocity,channel
0,text,0,1,0,,,,,,,,,,,,,,
0,text,0,1,3,,,,,,,,,,,,,,
0,text,0,1,4,,,,,,,,,,,,,,
0,note_on,0,0,4,,,,,,,,,,,,60,64,0
0,text,0,1,1,,,,,,,,,,,,,,
0,text,0,1,2,,,,,,,,,,,,,,
0,smpte_offset,0,1,0,24,32,0,0,0,0,,,,,,,,
0,time_signature,0,1,0,,,,,,,6,8,24,8,,,,
0,set_tempo,0,1,0,,,,,,,,,,,500000,,,
0,end_of_track,0,1,0,,,,,,,,,,,,,,
240,note_off,240,0,4,,,,,,,,,,,,60,64,0
240,note_on,0,0,4,,,,,,,,,,,,55,64,0
480,note_off,240,0,4,,,,,,,,,,,,55,64,0
480,note_on,0,0,4,,,,,,,,,,,,51,64,0
720,note_on,0,0,4,,,,,,,,,,,,48,64,0
720,note_on,0,0,3,,,,,,,,,,,,75,40,0
720,note_on,0,0,3,,,,,,,,,,,,72,40,0
720,note_on,720,0,3,,,,,,,,,,,,67,40,0
720,note_off,240,0,4,,,,,,,,,,,,51,64,0
960,note_on,960,0,1,,,,,,,,,,,,72,64,0
1200,note_off,240,0,1,,,,,,,,,,,,72,64,0
1200,note_on,0,0,1,,,,,,,,,,,,74,64,0
1440,note_off,240,0,1,,,,,,,,,,,,74,64,0
1440,note_on,0,0,1,,,,,,,,,,,,75,64,0
1680,note_off,240,0,1,,,,,,,,,,,,75,64,0
1680,note_on,0,0,1,,,,,,,,,,,,77,64,0
1680,note_off,960,0,4,,,,,,,,,,,,48,64,0
1680,note_on,0,0,4,,,,,,,,,,,,50,64,0
1920,note_on,0,0,1,,,,,,,,,,,,79,64,0
1920,note_off,240,0,1,,,,,,,,,,,,77,64,0
1920,note_off,240,0,4,,,,,,,,,,,,50,64,0
1920,note_on,0,0,4,,,,,,,,,,,,51,64,0
2160,note_on,0,0,3,,,,,,,,,,,,72,40,0
2160,note_on,0,0,3,,,,,,,,,,,,68,40,0
2160,note_off,0,0,3,,,,,,,,,,,,75,64,0
2160,note_off,1440,0,3,,,,,,,,,,,,67,64,0
2160,note_on,0,0,3,,,,,,,,,,,,77,40,0
2160,note_off,0,0,3,,,,,,,,,,,,72,64,0
2160,note_off,240,0,4,,,,,,,,,,,,51,64,0
2160,note_off,240,0,1,,,,,,,,,,,,79,64,0
2160,note_on,0,0,1,,,,,,,,,,,,80,64,0
2160,note_on,0,0,4,,,,,,,,,,,,53,64,0
2400,note_off,240,0,1,,,,,,,,,,,,80,64,0
2400,note_on,0,0,1,,,,,,,,,,,,77,64,0
2640,note_off,480,0,3,,,,,,,,,,,,68,64,0
2640,note_off,0,0,3,,,,,,,,,,,,77,64,0
2640,note_on,0,0,3,,,,,,,,,,,,72,40,0
2640,note_on,0,0,3,,,,,,,,,,,,68,40,0
2640,note_on,0,0,1,,,,,,,,,,,,74,64,0
2640,note_off,240,0,1,,,,,,,,,,,,77,64,0
2640,note_off,0,0,3,,,,,,,,,,,,72,64,0
2640,note_on,0,0,3,,,,,,,,,,,,74,40,0
2880,note_off,0,0,3,,,,,,,,,,,,74,64,0
2880,note_off,0,0,3,,,,,,,,,,,,72,64,0
2880,note_on,0,0,3,,,,,,,,,,,,67,40,0
2880,note_on,0,0,3,,,,,,,,,,,,74,40,0
2880,note_on,0,0,3,,,,,,,,,,,,79,40,0
2880,note_off,240,0,1,,,,,,,,,,,,74,64,0
2880,note_on,0,0,1,,,,,,,,,,,,72,64,0
2880,note_off,240,0,3,,,,,,,,,,,,68,64,0
3120,note_off,960,0,4,,,,,,,,,,,,53,64,0
3120,note_on,0,0,4,,,,,,,,,,,,55,64,0
3360,note_on,0,0,1,,,,,,,,,,,,71,64,0
3360,note_off,240,0,4,,,,,,,,,,,,55,64,0
3360,note_on,0,0,4,,,,,,,,,,,,53,64,0
3360,note_off,480,0,1,,,,,,,,,,,,72,64,0
3600,note_off,240,0,4,,,,,,,,,,,,53,64,0
3600,note_on,0,0,4,,,,,,,,,,,,51,64,0
3600,note_on,0,0,3,,,,,,,,,,,,79,40,0
3600,note_on,0,0,3,,,,,,,,,,,,72,40,0
3600,note_on,0,0,3,,,,,,,,,,,,67,40,0
3600,note_off,0,0,3,,,,,,,,,,,,74,64,0
3600,note_off,0,0,3,,,,,,,,,,,,79,64,0
3600,note_off,720,0,3,,,,,,,,,,,,67,64,0
3600,note_off,240,0,1,,,,,,,,,,,,71,64,0
3840,note_off,240,0,4,,,,,,,,,,,,51,64,0
3840,note_on,0,0,4,,,,,,,,,,,,50,64,0
4080,note_off,240,0,4,,,,,,,,,,,,50,64,0
4080,note_on,0,0,3,,,,,,,,,,,,72,40,0
4080,note_on,0,0,3,,,,,,,,,,,,79,40,0
4080,note_off,480,0,3,,,,,,,,,,,,67,64,0
4080,note_on,0,0,4,,,,,,,,,,,,48,64,0
4080,note_on,0,0,3,,,,,,,,,,,,75,40,0
4080,note_off,0,0,3,,,,,,,,,,,,72,64,0
4080,note_off,0,0,3,,,,,,,,,,,,79,64,0
4080,note_on,480,0,1,,,,,,,,,,,,79,64,0
4320,note_off,240,0,1,,,,,,,,,,,,79,64,0
4320,note_on,0,0,1,,,,,,,,,,,,79,64,0
4320,note_off,240,0,3,,,,,,,,,,,,72,64,0
4320,note_off,0,0,3,,,,,,,,,,,,79,64,0
4320,note_off,0,0,3,,,,,,,,,,,,75,64,0
4320,note_on,0,0,3,,,,,,,,,,,,69,40,0
4320,note_on,0,0,3,,,,,,,,,,,,74,40,0
4320,note_on,0,0,3,,,,,,,,,,,,79,40,0
4320,note_off,240,0,4,,,,,,,,,,,,48,64,0
4320,note_on,0,0,4,,,,,,,,,,,,50,64,0
4560,note_off,240,0,4,,,,,,,,,,,,50,64,0
4560,note_on,0,0,4,,,,,,,,,,,,57,64,0
4800,note_on,0,0,4,,,,,,,,,,,,60,64,0
4800,note_off,480,0,1,,,,,,,,,,,,79,64,0
4800,note_off,240,0,4,,,,,,,,,,,,57,64,0
