tick,type,key,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,tempo,program,channel,note,velocity
0,key_signature,F,0,1,0,,,,,,,,,
0,time_signature,,0,1,0,8,4,24,8,,,,,
0,set_tempo,,0,1,0,,,,,599704,,,,
0,note_on,,0,0,1,,,,,,,0,62,64
0,program_change,,0,0,2,,,,,,0,0,,
0,program_change,,0,0,1,,,,,,0,0,,
48,note_on,,0,0,1,,,,,,,0,70,64
48,note_on,,48,0,1,,,,,,,0,62,0
96,note_on,,48,0,1,,,,,,,0,70,0
96,note_on,,0,0,1,,,,,,,0,69,64
288,note_on,,192,0,1,,,,,,,0,69,0
288,note_on,,0,0,1,,,,,,,0,67,64
384,note_on,,96,0,1,,,,,,,0,67,0
384,note_on,,0,0,1,,,,,,,0,65,64
432,note_on,,0,0,1,,,,,,,0,64,64
432,note_on,,48,0,1,,,,,,,0,65,0
456,note_on,,0,0,1,,,,,,,0,62,64
456,note_on,,24,0,1,,,,,,,0,64,0
480,note_on,,24,0,1,,,,,,,0,62,0
480,note_on,,0,0,1,,,,,,,0,63,64
672,note_on,,0,0,1,,,,,,,0,62,64
672,note_on,,192,0,1,,,,,,,0,63,0
768,note_on,,96,0,1,,,,,,,0,62,0
768,note_on,,0,0,1,,,,,,,0,61,64
816,note_on,,48,0,1,,,,,,,0,61,0
816,note_on,,0,0,1,,,,,,,0,62,64
840,note_on,,0,0,1,,,,,,,0,64,64
840,note_on,,24,0,1,,,,,,,0,62,0
864,note_on,,0,0,1,,,,,,,0,62,64
864,note_on,,24,0,1,,,,,,,0,64,0
1056,note_on,,192,0,1,,,,,,,0,62,0
1056,note_on,,0,0,1,,,,,,,0,64,64
1152,note_on,,96,0,1,,,,,,,0,64,0
1152,note_on,,0,0,1,,,,,,,0,65,64
1200,note_on,,48,0,1,,,,,,,0,65,0
1200,note_on,,0,0,1,,,,,,,0,57,64
1248,note_on,,48,0,1,,,,,,,0,57,0
1248,note_on,,0,0,1,,,,,,,0,67,64
1440,note_on,,0,0,1,,,,,,,0,65,64
1440,note_on,,192,0,1,,,,,,,0,67,0
1488,note_on,,0,0,1,,,,,,,0,64,64
1488,note_on,,48,0,1,,,,,,,0,65,0
1536,note_on,,0,0,1,,,,,,,0,65,64
1536,note_on,,1536,0,2,,,,,,,0,57,64
1536,note_on,,48,0,1,,,,,,,0,64,0
1560,note_on,,0,0,1,,,,,,,0,67,64
1560,note_on,,24,0,1,,,,,,,0,65,0
1584,note_on,,24,0,1,,,,,,,0,67,0
1584,note_on,,0,0,1,,,,,,,0,69,64
1632,note_on,,0,0,2,,,,,,,0,49,64
1632,note_on,,96,0,2,,,,,,,0,57,0
1680,note_on,,96,0,1,,,,,,,0,69,0
1680,note_on,,0,0,1,,,,,,,0,67,64
1728,note_on,,96,0,2,,,,,,,0,49,0
1728,note_on,,0,0,1,,,,,,,0,65,64
1728,note_on,,0,0,2,,,,,,,0,50,64
1728,note_on,,48,0,1,,,,,,,0,67,0
1776,note_on,,48,0,1,,,,,,,0,65,0
1776,note_on,,0,0,1,,,,,,,0,74,64
1824,note_on,,48,0,1,,,,,,,0,74,0
1824,note_on,,0,0,1,,,,,,,0,67,64
1872,note_on,,48,0,1,,,,,,,0,67,0
1872,note_on,,0,0,1,,,,,,,0,76,64
1920,note_on,,48,0,1,,,,,,,0,76,0
1920,note_on,,0,0,1,,,,,,,0,69,64
1968,note_on,,48,0,1,,,,,,,0,69,0
1968,note_on,,0,0,1,,,,,,,0,77,64
2016,note_on,,48,0,1,,,,,,,0,77,0
2016,note_on,,0,0,1,,,,,,,0,71,64
2064,note_on,,48,0,1,,,,,,,0,71,0
2064,note_on,,0,0,1,,,,,,,0,74,64
2112,note_on,,0,0,2,,,,,,,0,52,64
2112,note_on,,0,0,1,,,,,,,0,72,64
2112,note_on,,384,0,2,,,,,,,0,50,0
2112,note_on,,48,0,1,,,,,,,0,74,0
2160,note_on,,48,0,1,,,,,,,0,72,0
2160,note_on,,0,0,1,,,,,,,0,70,64
2208,note_on,,0,0,1,,,,,,,0,79,64
2208,note_on,,48,0,1,,,,,,,0,70,0
2256,note_on,,0,0,1,,,,,,,0,70,64
2256,note_on,,48,0,1,,,,,,,0,79,0
2304,note_on,,48,0,1,,,,,,,0,70,0
2304,note_on,,0,0,1,,,,,,,0,69,64
2304,note_on,,0,0,2,,,,,,,0,54,64
2304,note_on,,192,0,2,,,,,,,0,52,0
2328,note_on,,24,0,1,,,,,,,0,69,0
2328,note_on,,0,0,1,,,,,,,0,75,64
2352,note_on,,0,0,1,,,,,,,0,74,64
2352,note_on,,24,0,1,,,,,,,0,75,0
2400,note_on,,0,0,2,,,,,,,0,55,64
2400,note_on,,96,0,2,,,,,,,0,54,0
2448,note_on,,0,0,2,,,,,,,0,57,64
2448,note_on,,48,0,2,,,,,,,0,55,0
2448,note_on,,96,0,1,,,,,,,0,74,0
2448,note_on,,0,0,1,,,,,,,0,72,64
2496,note_on,,0,0,2,,,,,,,0,55,64
2496,note_on,,48,0,2,,,,,,,0,57,0
2496,note_on,,48,0,1,,,,,,,0,72,0
2496,note_on,,0,0,1,,,,,,,0,70,64
2544,note_on,,48,0,1,,,,,,,0,70,0
2544,note_on,,0,0,1,,,,,,,0,79,64
2592,note_on,,48,0,1,,,,,,,0,79,0
2592,note_on,,0,0,1,,,,,,,0,72,64
2640,note_on,,48,0,1,,,,,,,0,72,0
2640,note_on,,0,0,1,,,,,,,0,81,64
2688,note_on,,48,0,1,,,,,,,0,81,0
2688,note_on,,0,0,1,,,,,,,0,74,64
2736,note_on,,0,0,1,,,,,,,0,82,64
2736,note_on,,48,0,1,,,,,,,0,74,0
2784,note_on,,0,0,1,,,,,,,0,76,64
2784,note_on,,48,0,1,,,,,,,0,82,0
2832,note_on,,0,0,1,,,,,,,0,79,64
2832,note_on,,48,0,1,,,,,,,0,76,0
2880,note_on,,0,0,1,,,,,,,0,77,64
2880,note_on,,48,0,1,,,,,,,0,79,0
2880,note_on,,384,0,2,,,,,,,0,55,0
2880,note_on,,0,0,2,,,,,,,0,57,64
2928,note_on,,48,0,1,,,,,,,0,77,0
2928,note_on,,0,0,1,,,,,,,0,75,64
2976,note_on,,0,0,1,,,,,,,0,84,64
2976,note_on,,48,0,1,,,,,,,0,75,0
3024,note_on,,48,0,1,,,,,,,0,84,0
3024,note_on,,0,0,1,,,,,,,0,75,64
3072,note_on,,48,0,1,,,,,,,0,75,0
3072,note_on,,0,0,1,,,,,,,0,74,64
3072,note_on,,192,0,2,,,,,,,0,57,0
3072,note_on,,0,0,2,,,,,,,0,58,64
3120,note_on,,48,0,1,,,,,,,0,74,0
3120,note_on,,0,0,1,,,,,,,0,62,64
3168,note_on,,0,0,2,,,,,,,0,57,64
3168,note_on,,96,0,2,,,,,,,0,58,0
3216,note_on,,48,0,2,,,,,,,0,57,0
3216,note_on,,96,0,1,,,,,,,0,62,0
3216,note_on,,0,0,1,,,,,,,0,64,64
3216,note_on,,0,0,2,,,,,,,0,55,64
3264,note_on,,48,0,2,,,,,,,0,55,0
3264,note_on,,48,0,1,,,,,,,0,64,0
3264,note_on,,0,0,1,,,,,,,0,65,64
3264,note_on,,0,0,2,,,,,,,0,57,64
3312,note_on,,48,0,1,,,,,,,0,65,0
3312,note_on,,0,0,1,,,,,,,0,69,64
3360,note_on,,48,0,1,,,,,,,0,69,0
3360,note_on,,0,0,1,,,,,,,0,74,64
3408,note_on,,48,0,1,,,,,,,0,74,0
3408,note_on,,0,0,1,,,,,,,0,77,64
3456,note_on,,48,0,1,,,,,,,0,77,0
3456,note_on,,0,0,1,,,,,,,0,67,64
3504,note_on,,48,0,1,,,,,,,0,67,0
3504,note_on,,0,0,1,,,,,,,0,76,64
3552,note_on,,48,0,1,,,,,,,0,76,0
3552,note_on,,0,0,1,,,,,,,0,65,64
3600,note_on,,48,0,1,,,,,,,0,65,0
3600,note_on,,0,0,1,,,,,,,0,74,64
3648,note_on,,384,0,2,,,,,,,0,57,0
3648,note_on,,48,0,1,,,,,,,0,74,0
3648,note_on,,0,0,1,,,,,,,0,64,64
3648,note_on,,0,0,2,,,,,,,0,55,64
3696,note_on,,48,0,1,,,,,,,0,64,0
3696,note_on,,0,0,1,,,,,,,0,73,64
3744,note_on,,48,0,1,,,,,,,0,73,0
3744,note_on,,0,0,1,,,,,,,0,74,64
3792,note_on,,48,0,1,,,,,,,0,74,0
3792,note_on,,0,0,1,,,,,,,0,76,64
3840,note_on,,0,0,2,,,,,,,0,53,64
3840,note_on,,192,0,2,,,,,,,0,55,0
3840,note_on,,48,0,1,,,,,,,0,76,0
3840,note_on,,0,0,1,,,,,,,0,69,64
3888,note_on,,48,0,1,,,,,,,0,69,0
3888,note_on,,0,0,1,,,,,,,0,74,64
3912,note_on,,24,0,1,,,,,,,0,74,0
3912,note_on,,0,0,1,,,,,,,0,72,64
3936,note_on,,96,0,2,,,,,,,0,53,0
3936,note_on,,24,0,1,,,,,,,0,72,0
3936,note_on,,0,0,1,,,,,,,0,70,64
3936,note_on,,0,0,2,,,,,,,0,62,64
3984,note_on,,48,0,1,,,,,,,0,70,0
3984,note_on,,0,0,1,,,,,,,0,69,64
4032,note_on,,0,0,2,,,,,,,0,52,64
4032,note_on,,48,0,1,,,,,,,0,69,0
4032,note_on,,0,0,1,,,,,,,0,67,64
4032,note_on,,96,0,2,,,,,,,0,62,0
4080,note_on,,48,0,1,,,,,,,0,67,0
4080,note_on,,0,0,1,,,,,,,0,79,64
4104,note_on,,24,0,1,,,,,,,0,79,0
4104,note_on,,0,0,1,,,,,,,0,77,64
4128,note_on,,24,0,1,,,,,,,0,77,0
4128,note_on,,0,0,1,,,,,,,0,76,64
4176,note_on,,48,0,1,,,,,,,0,76,0
4176,note_on,,0,0,1,,,,,,,0,74,64
4224,note_on,,48,0,1,,,,,,,0,74,0
4224,note_on,,0,0,1,,,,,,,0,73,64
4272,note_on,,0,0,1,,,,,,,0,76,64
4272,note_on,,48,0,1,,,,,,,0,73,0
4296,note_on,,24,0,1,,,,,,,0,76,0
4296,note_on,,0,0,1,,,,,,,0,74,64
4320,note_on,,24,0,1,,,,,,,0,74,0
4320,note_on,,0,0,1,,,,,,,0,72,64
4368,note_on,,48,0,1,,,,,,,0,72,0
4368,note_on,,0,0,1,,,,,,,0,71,64
4416,note_on,,0,0,1,,,,,,,0,69,64
4416,note_on,,48,0,1,,,,,,,0,71,0
4416,note_on,,384,0,2,,,,,,,0,52,0
4416,note_on,,0,0,2,,,,,,,0,53,64
4464,note_on,,48,0,1,,,,,,,0,69,0
4464,note_on,,0,0,1,,,,,,,0,81,64
4488,note_on,,24,0,1,,,,,,,0,81,0
4488,note_on,,0,0,1,,,,,,,0,79,64
4512,note_on,,24,0,1,,,,,,,0,79,0
4512,note_on,,96,0,2,,,,,,,0,53,0
4512,note_on,,0,0,2,,,,,,,0,55,64
4512,note_on,,0,0,1,,,,,,,0,77,64
4536,note_on,,0,0,1,,,,,,,0,76,64
4536,note_on,,24,0,1,,,,,,,0,77,0
4560,note_on,,24,0,1,,,,,,,0,76,0
4560,note_on,,0,0,1,,,,,,,0,74,64
4584,note_on,,24,0,1,,,,,,,0,74,0
4584,note_on,,0,0,1,,,,,,,0,73,64
4608,note_on,,24,0,1,,,,,,,0,73,0
4608,note_on,,96,0,2,,,,,,,0,55,0
4608,note_on,,0,0,2,,,,,,,0,53,64
4608,note_on,,0,0,1,,,,,,,0,74,64
4656,note_on,,0,0,2,,,,,,,0,52,64
4656,note_on,,48,0,2,,,,,,,0,53,0
4704,note_on,,0,0,2,,,,,,,0,50,64
4704,note_on,,96,0,1,,,,,,,0,74,0
4704,note_on,,48,0,2,,,,,,,0,52,0
4800,note_on,,96,0,1,,,,,,,0,62,64
4848,note_on,,48,0,1,,,,,,,0,62,0
4848,note_on,,0,0,1,,,,,,,0,70,64
4896,note_on,,0,0,2,,,,,,,0,52,64
4896,note_on,,192,0,2,,,,,,,0,50,0
4944,note_on,,96,0,1,,,,,,,0,70,0
4944,note_on,,0,0,1,,,,,,,0,69,64
4968,note_on,,24,0,1,,,,,,,0,69,0
4968,note_on,,0,0,1,,,,,,,0,67,64
4992,note_on,,0,0,1,,,,,,,0,69,64
4992,note_on,,96,0,2,,,,,,,0,52,0
4992,note_on,,0,0,2,,,,,,,0,53,64
4992,note_on,,24,0,1,,,,,,,0,67,0
5016,note_on,,0,0,1,,,,,,,0,65,64
5016,note_on,,24,0,1,,,,,,,0,69,0
5040,note_on,,0,0,1,,,,,,,0,62,64
5040,note_on,,24,0,1,,,,,,,0,65,0
5088,note_on,,96,0,2,,,,,,,0,53,0
5088,note_on,,0,0,2,,,,,,,0,45,64
5136,note_on,,96,0,1,,,,,,,0,62,0
5136,note_on,,0,0,1,,,,,,,0,64,64
5160,note_on,,0,0,1,,,,,,,0,65,64
5160,note_on,,24,0,1,,,,,,,0,64,0
5184,note_on,,24,0,1,,,,,,,0,65,0
5184,note_on,,0,0,2,,,,,,,0,52,64
5184,note_on,,96,0,2,,,,,,,0,45,0
5184,note_on,,0,0,1,,,,,,,0,67,64
5208,note_on,,24,0,1,,,,,,,0,67,0
5208,note_on,,0,0,1,,,,,,,0,64,64
5232,note_on,,0,0,1,,,,,,,0,61,64
5232,note_on,,24,0,1,,,,,,,0,64,0
5280,note_on,,96,0,2,,,,,,,0,52,0
5280,note_on,,0,0,2,,,,,,,0,43,64
5328,note_on,,0,0,1,,,,,,,0,62,64
5328,note_on,,96,0,1,,,,,,,0,61,0
5352,note_on,,0,0,1,,,,,,,0,64,64
5352,note_on,,24,0,1,,,,,,,0,62,0
5376,note_on,,0,0,2,,,,,,,0,50,64
5376,note_on,,96,0,2,,,,,,,0,43,0
5376,note_on,,0,0,1,,,,,,,0,65,64
5376,note_on,,24,0,1,,,,,,,0,64,0
5400,note_on,,0,0,1,,,,,,,0,64,64
5400,note_on,,24,0,1,,,,,,,0,65,0
5424,note_on,,0,0,1,,,,,,,0,62,64
5424,note_on,,24,0,1,,,,,,,0,64,0
5472,note_on,,96,0,2,,,,,,,0,50,0
5472,note_on,,0,0,2,,,,,,,0,41,64
5520,note_on,,0,0,1,,,,,,,0,74,64
5520,note_on,,96,0,1,,,,,,,0,62,0
5568,note_on,,0,0,2,,,,,,,0,48,64
5568,note_on,,48,0,1,,,,,,,0,74,0
5568,note_on,,96,0,2,,,,,,,0,41,0
5568,note_on,,0,0,1,,,,,,,0,75,64
5616,note_on,,0,0,1,,,,,,,0,76,64
5616,note_on,,48,0,1,,,,,,,0,75,0
5664,note_on,,0,0,1,,,,,,,0,77,64
5664,note_on,,96,0,2,,,,,,,0,48,0
5664,note_on,,48,0,1,,,,,,,0,76,0
5664,note_on,,0,0,2,,,,,,,0,45,64
5712,note_on,,0,0,1,,,,,,,0,78,64
5712,note_on,,48,0,1,,,,,,,0,77,0
5760,note_on,,96,0,2,,,,,,,0,45,0
5760,note_on,,0,0,1,,,,,,,0,79,64
5760,note_on,,48,0,1,,,,,,,0,78,0
5760,note_on,,0,0,2,,,,,,,0,47,64
5808,note_on,,48,0,1,,,,,,,0,79,0
5808,note_on,,0,0,1,,,,,,,0,80,64
5856,note_on,,0,0,1,,,,,,,0,81,64
5856,note_on,,0,0,2,,,,,,,0,48,64
5856,note_on,,96,0,2,,,,,,,0,47,0
5856,note_on,,48,0,1,,,,,,,0,80,0
5904,note_on,,0,0,1,,,,,,,0,82,64
5904,note_on,,48,0,1,,,,,,,0,81,0
5952,note_on,,0,0,2,,,,,,,0,40,64
5952,note_on,,96,0,2,,,,,,,0,48,0
6000,note_on,,0,0,1,,,,,,,0,81,64
6000,note_on,,96,0,1,,,,,,,0,82,0
6024,note_on,,0,0,1,,,,,,,0,79,64
6024,note_on,,24,0,1,,,,,,,0,81,0
6048,note_on,,24,0,1,,,,,,,0,79,0
6048,note_on,,0,0,1,,,,,,,0,81,64
6048,note_on,,96,0,2,,,,,,,0,40,0
6048,note_on,,0,0,2,,,,,,,0,49,64
6096,note_on,,48,0,1,,,,,,,0,81,0
6096,note_on,,0,0,1,,,,,,,0,76,64
6144,note_on,,96,0,2,,,,,,,0,49,0
6144,note_on,,0,0,1,,,,,,,0,77,64
6144,note_on,,48,0,1,,,,,,,0,76,0
6144,note_on,,0,0,2,,,,,,,0,50,64
6168,note_on,,0,0,1,,,,,,,0,76,64
6168,note_on,,24,0,1,,,,,,,0,77,0
6192,note_on,,0,0,1,,,,,,,0,74,64
6192,note_on,,0,0,2,,,,,,,0,44,64
6192,note_on,,24,0,1,,,,,,,0,76,0
6192,note_on,,48,0,2,,,,,,,0,50,0
6240,note_on,,48,0,2,,,,,,,0,44,0
6240,note_on,,0,0,2,,,,,,,0,45,64
6288,note_on,,96,0,1,,,,,,,0,74,0
6288,note_on,,0,0,1,,,,,,,0,72,64
6312,note_on,,24,0,1,,,,,,,0,72,0
6312,note_on,,0,0,1,,,,,,,0,71,64
6336,note_on,,24,0,1,,,,,,,0,71,0
6336,note_on,,0,0,1,,,,,,,0,72,64
6384,note_on,,0,0,1,,,,,,,0,77,64
6384,note_on,,48,0,1,,,,,,,0,72,0
6432,note_on,,192,0,2,,,,,,,0,45,0
6432,note_on,,0,0,2,,,,,,,0,47,64
6480,note_on,,96,0,1,,,,,,,0,77,0
6480,note_on,,0,0,1,,,,,,,0,76,64
6504,note_on,,24,0,1,,,,,,,0,76,0
6504,note_on,,0,0,1,,,,,,,0,74,64
6528,note_on,,96,0,2,,,,,,,0,47,0
6528,note_on,,0,0,2,,,,,,,0,48,64
6528,note_on,,0,0,1,,,,,,,0,76,64
6528,note_on,,24,0,1,,,,,,,0,74,0
6552,note_on,,0,0,1,,,,,,,0,72,64
6552,note_on,,24,0,1,,,,,,,0,76,0
6576,note_on,,0,0,1,,,,,,,0,69,64
6576,note_on,,24,0,1,,,,,,,0,72,0
6624,note_on,,0,0,2,,,,,,,0,40,64
6624,note_on,,96,0,2,,,,,,,0,48,0
6672,note_on,,0,0,1,,,,,,,0,71,64
6672,note_on,,96,0,1,,,,,,,0,69,0
6696,note_on,,24,0,1,,,,,,,0,71,0
6696,note_on,,0,0,1,,,,,,,0,72,64
6720,note_on,,0,0,2,,,,,,,0,47,64
6720,note_on,,24,0,1,,,,,,,0,72,0
6720,note_on,,0,0,1,,,,,,,0,74,64
6720,note_on,,96,0,2,,,,,,,0,40,0
6744,note_on,,24,0,1,,,,,,,0,74,0
6744,note_on,,0,0,1,,,,,,,0,71,64
6768,note_on,,0,0,1,,,,,,,0,68,64
6768,note_on,,24,0,1,,,,,,,0,71,0
6816,note_on,,96,0,2,,,,,,,0,47,0
6816,note_on,,0,0,2,,,,,,,0,38,64
6864,note_on,,0,0,1,,,,,,,0,69,64
6864,note_on,,96,0,1,,,,,,,0,68,0
6888,note_on,,24,0,1,,,,,,,0,69,0
6888,note_on,,0,0,1,,,,,,,0,71,64
6912,note_on,,24,0,1,,,,,,,0,71,0
6912,note_on,,96,0,2,,,,,,,0,38,0
6912,note_on,,0,0,2,,,,,,,0,45,64
6912,note_on,,0,0,1,,,,,,,0,72,64
6936,note_on,,0,0,1,,,,,,,0,71,64
6936,note_on,,24,0,1,,,,,,,0,72,0
6960,note_on,,24,0,1,,,,,,,0,71,0
6960,note_on,,0,0,1,,,,,,,0,69,64
7008,note_on,,96,0,2,,,,,,,0,45,0
7008,note_on,,0,0,2,,,,,,,0,36,64
7056,note_on,,96,0,1,,,,,,,0,69,0
7056,note_on,,0,0,1,,,,,,,0,57,64
7104,note_on,,0,0,1,,,,,,,0,58,64
7104,note_on,,48,0,1,,,,,,,0,57,0
7104,note_on,,0,0,2,,,,,,,0,43,64
7104,note_on,,96,0,2,,,,,,,0,36,0
7152,note_on,,0,0,1,,,,,,,0,59,64
7152,note_on,,48,0,1,,,,,,,0,58,0
7200,note_on,,0,0,1,,,,,,,0,60,64
