tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,control,value,channel,program,note,velocity
0,time_signature,4,4,24,8,0,1,0,,,,,,,,,
0,control_change,,,,,0,0,4,,,,91,74,3,,,
0,note_on,,,,,0,0,4,,,,,,3,,59,78
0,midi_port,,,,,0,1,5,,,0,,,,,,
0,track_name,,,,,0,1,5,,,,,,,,,
0,control_change,,,,,0,0,5,,,,0,0,4,,,
0,program_change,,,,,0,0,5,,,,,,4,57,,
0,control_change,,,,,0,0,5,,,,7,100,4,,,
0,control_change,,,,,0,0,5,,,,10,64,4,,,
0,control_change,,,,,0,0,4,,,,93,0,3,,,
0,control_change,,,,,0,0,5,,,,93,0,4,,,
0,midi_port,,,,,0,1,6,,,0,,,,,,
0,track_name,,,,,0,1,6,,,,,,,,,
0,control_change,,,,,0,0,6,,,,0,0,5,,,
0,program_change,,,,,0,0,6,,,,,,5,16,,
0,control_change,,,,,0,0,6,,,,7,100,5,,,
0,control_change,,,,,0,0,6,,,,10,60,5,,,
0,control_change,,,,,0,0,6,,,,93,0,5,,,
0,control_change,,,,,0,0,6,,,,91,63,5,,,
0,control_change,,,,,0,0,5,,,,91,78,4,,,
0,control_change,,,,,0,0,4,,,,10,74,3,,,
0,control_change,,,,,0,0,4,,,,7,100,3,,,
0,program_change,,,,,0,0,4,,,,,,3,48,,
0,control_change,,,,,0,0,2,,,,0,0,1,,,
0,program_change,,,,,0,0,2,,,,,,1,50,,
0,control_change,,,,,0,0,2,,,,7,100,1,,,
0,control_change,,,,,0,0,2,,,,10,0,1,,,
0,control_change,,,,,0,0,2,,,,93,0,1,,,
0,control_change,,,,,0,0,2,,,,91,72,1,,,
0,note_on,,,,,0,0,2,,,,,,1,,67,127
0,midi_port,,,,,0,1,3,,,0,,,,,,
0,track_name,,,,,0,1,3,,,,,,,,,
0,control_change,,,,,0,0,3,,,,0,0,2,,,
0,program_change,,,,,0,0,3,,,,,,2,49,,
0,control_change,,,,,0,0,3,,,,7,100,2,,,
0,control_change,,,,,0,0,3,,,,10,127,2,,,
0,control_change,,,,,0,0,3,,,,93,0,2,,,
0,control_change,,,,,0,0,3,,,,91,68,2,,,
0,note_on,,,,,0,0,3,,,,,,2,,62,127
0,midi_port,,,,,0,1,4,,,0,,,,,,
0,track_name,,,,,0,1,4,,,,,,,,,
0,control_change,,,,,0,0,4,,,,0,0,3,,,
0,note_on,,,,,0,0,6,,,,,,5,,43,119
0,track_name,,,,,0,1,2,,,,,,,,,
0,midi_port,,,,,0,1,2,,,0,,,,,,
0,track_name,,,,,0,1,1,,,,,,,,,
0,key_signature,,,,,0,1,0,G,,,,,,,,
0,set_tempo,,,,,0,1,0,,769231,,,,,,,
0,marker,,,,,0,1,0,,,,,,,,,
0,midi_port,,,,,0,1,1,,,0,,,,,,
0,control_change,,,,,0,0,1,,,,7,115,0,,,
0,control_change,,,,,0,0,1,,,,10,50,0,,,
0,control_change,,,,,0,0,1,,,,93,0,0,,,
0,control_change,,,,,0,0,1,,,,91,72,0,,,
0,program_change,,,,,0,0,1,,,,,,0,48,,
0,note_on,,,,,0,0,1,,,,,,0,,67,127
0,control_change,,,,,0,0,1,,,,0,0,0,,,
59,note_on,,,,,59,0,2,,,,,,1,,67,0
59,note_on,,,,,59,0,1,,,,,,0,,67,0
60,note_on,,,,,1,0,1,,,,,,0,,62,127
60,note_on,,,,,1,0,2,,,,,,1,,62,127
119,note_on,,,,,119,0,3,,,,,,2,,62,0
119,note_on,,,,,119,0,6,,,,,,5,,43,0
119,note_on,,,,,119,0,4,,,,,,3,,59,0
120,note_on,,,,,1,0,3,,,,,,2,,62,127
120,note_on,,,,,1,0,6,,,,,,5,,42,127
120,note_on,,,,,1,0,4,,,,,,3,,57,119
179,note_on,,,,,119,0,1,,,,,,0,,62,0
179,note_on,,,,,119,0,2,,,,,,1,,62,0
180,note_on,,,,,1,0,1,,,,,,0,,60,127
180,note_on,,,,,1,0,2,,,,,,1,,60,119
239,note_on,,,,,119,0,3,,,,,,2,,62,0
239,note_on,,,,,119,0,4,,,,,,3,,57,0
239,note_on,,,,,119,0,6,,,,,,5,,42,0
239,note_on,,,,,59,0,2,,,,,,1,,60,0
239,note_on,,,,,59,0,1,,,,,,0,,60,0
240,note_on,,,,,1,0,3,,,,,,2,,62,127
240,note_on,,,,,1,0,1,,,,,,0,,59,127
240,note_on,,,,,1,0,4,,,,,,3,,55,127
240,note_on,,,,,1,0,6,,,,,,5,,43,127
240,note_on,,,,,1,0,2,,,,,,1,,59,127
299,note_on,,,,,59,0,6,,,,,,5,,43,0
299,note_on,,,,,59,0,2,,,,,,1,,59,0
299,note_on,,,,,59,0,1,,,,,,0,,59,0
300,note_on,,,,,1,0,6,,,,,,5,,45,119
300,note_on,,,,,1,0,2,,,,,,1,,60,127
300,note_on,,,,,1,0,1,,,,,,0,,60,127
329,note_on,,,,,29,0,2,,,,,,1,,60,0
329,note_on,,,,,29,0,6,,,,,,5,,45,0
329,note_on,,,,,29,0,1,,,,,,0,,60,0
330,note_on,,,,,1,0,2,,,,,,1,,62,127
330,note_on,,,,,1,0,1,,,,,,0,,62,127
330,note_on,,,,,1,0,6,,,,,,5,,47,104
359,note_on,,,,,119,0,4,,,,,,3,,55,0
359,note_on,,,,,29,0,1,,,,,,0,,62,0
359,note_on,,,,,119,0,3,,,,,,2,,62,0
359,note_on,,,,,29,0,2,,,,,,1,,62,0
359,note_on,,,,,29,0,6,,,,,,5,,47,0
360,note_on,,,,,1,0,1,,,,,,0,,64,127
360,note_on,,,,,1,0,3,,,,,,2,,60,104
360,note_on,,,,,1,0,4,,,,,,3,,55,119
360,note_on,,,,,1,0,6,,,,,,5,,48,111
360,note_on,,,,,1,0,2,,,,,,1,,64,127
419,note_on,,,,,59,0,2,,,,,,1,,64,0
419,note_on,,,,,59,0,1,,,,,,0,,64,0
419,note_on,,,,,59,0,4,,,,,,3,,55,0
419,note_on,,,,,59,0,6,,,,,,5,,48,0
419,note_on,,,,,59,0,3,,,,,,2,,60,0
420,note_on,,,,,1,0,3,,,,,,2,,64,96
420,note_on,,,,,1,0,4,,,,,,3,,60,104
420,note_on,,,,,1,0,1,,,,,,0,,69,127
420,note_on,,,,,1,0,6,,,,,,5,,60,104
420,note_on,,,,,1,0,2,,,,,,1,,69,127
479,note_on,,,,,59,0,1,,,,,,0,,69,0
479,note_on,,,,,59,0,4,,,,,,3,,60,0
479,note_on,,,,,59,0,3,,,,,,2,,64,0
479,note_on,,,,,59,0,2,,,,,,1,,69,0
480,note_on,,,,,1,0,1,,,,,,0,,66,127
480,note_on,,,,,1,0,3,,,,,,2,,62,127
480,note_on,,,,,1,0,4,,,,,,3,,57,127
480,note_on,,,,,1,0,2,,,,,,1,,66,127
539,note_on,,,,,119,0,6,,,,,,5,,60,0
539,note_on,,,,,59,0,1,,,,,,0,,66,0
539,note_on,,,,,59,0,2,,,,,,1,,66,0
539,note_on,,,,,59,0,4,,,,,,3,,57,0
540,note_on,,,,,1,0,1,,,,,,0,,67,127
540,note_on,,,,,1,0,6,,,,,,5,,59,119
540,note_on,,,,,1,0,4,,,,,,3,,62,119
540,note_on,,,,,1,0,2,,,,,,1,,67,127
599,note_on,,,,,59,0,2,,,,,,1,,67,0
599,note_on,,,,,59,0,1,,,,,,0,,67,0
599,note_on,,,,,59,0,6,,,,,,5,,59,0
599,note_on,,,,,119,0,3,,,,,,2,,62,0
600,note_on,,,,,1,0,3,,,,,,2,,69,127
600,note_on,,,,,1,0,1,,,,,,0,,72,127
600,note_on,,,,,1,0,6,,,,,,5,,54,127
600,note_on,,,,,1,0,2,,,,,,1,,72,119
659,note_on,,,,,59,0,3,,,,,,2,,69,0
659,note_on,,,,,59,0,1,,,,,,0,,72,0
659,note_on,,,,,59,0,2,,,,,,1,,72,0
659,note_on,,,,,59,0,6,,,,,,5,,54,0
659,note_on,,,,,119,0,4,,,,,,3,,62,0
660,note_on,,,,,1,0,1,,,,,,0,,71,127
660,note_on,,,,,1,0,2,,,,,,1,,71,127
660,note_on,,,,,1,0,6,,,,,,5,,55,127
660,note_on,,,,,1,0,3,,,,,,2,,67,127
660,note_on,,,,,1,0,4,,,,,,3,,62,119
719,note_on,,,,,59,0,2,,,,,,1,,71,0
719,note_on,,,,,59,0,3,,,,,,2,,67,0
719,note_on,,,,,59,0,1,,,,,,0,,71,0
719,note_on,,,,,59,0,6,,,,,,5,,55,0
719,note_on,,,,,59,0,4,,,,,,3,,62,0
720,note_on,,,,,1,0,1,,,,,,0,,71,127
720,note_on,,,,,1,0,2,,,,,,1,,71,119
720,note_on,,,,,1,0,4,,,,,,3,,62,127
720,note_on,,,,,1,0,3,,,,,,2,,67,127
720,note_on,,,,,1,0,6,,,,,,5,,62,127
739,note_on,,,,,19,0,1,,,,,,0,,71,0
739,note_on,,,,,19,0,2,,,,,,1,,71,0
739,note_on,,,,,19,0,3,,,,,,2,,67,0
740,note_on,,,,,1,0,2,,,,,,1,,72,104
740,note_on,,,,,1,0,3,,,,,,2,,69,127
740,note_on,,,,,1,0,1,,,,,,0,,72,127
759,note_on,,,,,19,0,3,,,,,,2,,69,0
759,note_on,,,,,19,0,1,,,,,,0,,72,0
759,note_on,,,,,19,0,2,,,,,,1,,72,0
760,note_on,,,,,1,0,2,,,,,,1,,71,104
760,note_on,,,,,1,0,3,,,,,,2,,67,127
760,note_on,,,,,1,0,1,,,,,,0,,71,127
779,note_on,,,,,19,0,2,,,,,,1,,71,0
779,note_on,,,,,59,0,4,,,,,,3,,62,0
779,note_on,,,,,59,0,6,,,,,,5,,62,0
779,note_on,,,,,19,0,3,,,,,,2,,67,0
779,note_on,,,,,19,0,1,,,,,,0,,71,0
780,note_on,,,,,1,0,4,,,,,,3,,62,127
780,note_on,,,,,1,0,2,,,,,,1,,69,127
780,note_on,,,,,1,0,3,,,,,,2,,66,127
780,note_on,,,,,1,0,6,,,,,,5,,50,127
780,note_on,,,,,1,0,1,,,,,,0,,69,127
839,note_on,,,,,59,0,1,,,,,,0,,69,0
839,note_on,,,,,59,0,6,,,,,,5,,50,0
839,note_on,,,,,59,0,3,,,,,,2,,66,0
839,note_on,,,,,59,0,4,,,,,,3,,62,0
839,note_on,,,,,59,0,2,,,,,,1,,69,0
960,note_on,,,,,121,0,6,,,,,,5,,48,88
960,note_on,,,,,121,0,1,,,,,,0,,69,127
960,note_on,,,,,121,0,3,,,,,,2,,64,88
960,note_on,,,,,121,0,4,,,,,,3,,57,119
960,note_on,,,,,121,0,2,,,,,,1,,69,127
1019,note_on,,,,,59,0,1,,,,,,0,,69,0
1019,note_on,,,,,59,0,2,,,,,,1,,69,0
1020,note_on,,,,,1,0,1,,,,,,0,,64,127
1020,note_on,,,,,1,0,2,,,,,,1,,64,119
1079,note_on,,,,,119,0,3,,,,,,2,,64,0
1079,note_on,,,,,119,0,6,,,,,,5,,48,0
1079,note_on,,,,,119,0,4,,,,,,3,,57,0
1080,note_on,,,,,1,0,3,,,,,,2,,64,104
1080,note_on,,,,,1,0,6,,,,,,5,,44,108
1080,note_on,,,,,1,0,4,,,,,,3,,59,104
1139,note_on,,,,,119,0,1,,,,,,0,,64,0
1139,note_on,,,,,119,0,2,,,,,,1,,64,0
1140,note_on,,,,,1,0,1,,,,,,0,,62,127
1140,note_on,,,,,1,0,2,,,,,,1,,62,119
1199,note_on,,,,,119,0,6,,,,,,5,,44,0
1199,note_on,,,,,59,0,2,,,,,,1,,62,0
1199,note_on,,,,,119,0,4,,,,,,3,,59,0
1199,note_on,,,,,59,0,1,,,,,,0,,62,0
1199,note_on,,,,,119,0,3,,,,,,2,,64,0
1200,note_on,,,,,1,0,4,,,,,,3,,57,127
1200,note_on,,,,,1,0,3,,,,,,2,,64,119
1200,note_on,,,,,1,0,2,,,,,,1,,60,111
1200,note_on,,,,,1,0,1,,,,,,0,,60,127
1200,note_on,,,,,1,0,6,,,,,,5,,45,111
1259,note_on,,,,,59,0,2,,,,,,1,,60,0
1259,note_on,,,,,59,0,1,,,,,,0,,60,0
1259,note_on,,,,,59,0,6,,,,,,5,,45,0
1260,note_on,,,,,1,0,6,,,,,,5,,47,104
1260,note_on,,,,,1,0,2,,,,,,1,,62,127
1260,note_on,,,,,1,0,1,,,,,,0,,62,127
1289,note_on,,,,,29,0,2,,,,,,1,,62,0
1289,note_on,,,,,29,0,6,,,,,,5,,47,0
1289,note_on,,,,,29,0,1,,,,,,0,,62,0
1290,note_on,,,,,1,0,2,,,,,,1,,64,119
1290,note_on,,,,,1,0,1,,,,,,0,,64,127
1290,note_on,,,,,1,0,6,,,,,,5,,48,111
